|ItemKNNCF| iter:     0/588 | topk:  10 | shrink:  10 | sim type: splus | avgMAP: 0.0314 |
|ItemKNNCF| iter:     1/588 | topk:  10 | shrink:  60 | sim type: splus | avgMAP: 0.0387 |
|ItemKNNCF| iter:     2/588 | topk:  10 | shrink: 110 | sim type: splus | avgMAP: 0.0407 |
|ItemKNNCF| iter:     3/588 | topk:  10 | shrink: 160 | sim type: splus | avgMAP: 0.0411 |
|ItemKNNCF| iter:     4/588 | topk:  10 | shrink: 210 | sim type: splus | avgMAP: 0.0413 |
|ItemKNNCF| iter:     5/588 | topk:  10 | shrink: 260 | sim type: splus | avgMAP: 0.0416 |
|ItemKNNCF| iter:     6/588 | topk:  10 | shrink: 310 | sim type: splus | avgMAP: 0.0417 |
|ItemKNNCF| iter:     7/588 | topk:  10 | shrink: 360 | sim type: splus | avgMAP: 0.0417 |
|ItemKNNCF| iter:     8/588 | topk:  10 | shrink: 410 | sim type: splus | avgMAP: 0.0417 |
|ItemKNNCF| iter:     9/588 | topk:  10 | shrink: 460 | sim type: splus | avgMAP: 0.0418 |
|ItemKNNCF| iter:    10/588 | topk:  10 | shrink: 510 | sim type: splus | avgMAP: 0.0419 |
|ItemKNNCF| iter:    11/588 | topk:  10 | shrink: 560 | sim type: splus | avgMAP: 0.0419 |
|ItemKNNCF| iter:    12/588 | topk:  10 | shrink: 610 | sim type: splus | avgMAP: 0.0420 |
|ItemKNNCF| iter:    13/588 | topk:  10 | shrink: 660 | sim type: splus | avgMAP: 0.0420 |
|ItemKNNCF| iter:    14/588 | topk:  60 | shrink:  10 | sim type: splus | avgMAP: 0.0390 |
|ItemKNNCF| iter:    15/588 | topk:  60 | shrink:  60 | sim type: splus | avgMAP: 0.0470 |
|ItemKNNCF| iter:    16/588 | topk:  60 | shrink: 110 | sim type: splus | avgMAP: 0.0484 |
|ItemKNNCF| iter:    17/588 | topk:  60 | shrink: 160 | sim type: splus | avgMAP: 0.0483 |
|ItemKNNCF| iter:    18/588 | topk:  60 | shrink: 210 | sim type: splus | avgMAP: 0.0487 |
|ItemKNNCF| iter:    19/588 | topk:  60 | shrink: 260 | sim type: splus | avgMAP: 0.0487 |
|ItemKNNCF| iter:    20/588 | topk:  60 | shrink: 310 | sim type: splus | avgMAP: 0.0490 |
|ItemKNNCF| iter:    21/588 | topk:  60 | shrink: 360 | sim type: splus | avgMAP: 0.0489 |
|ItemKNNCF| iter:    22/588 | topk:  60 | shrink: 410 | sim type: splus | avgMAP: 0.0488 |
|ItemKNNCF| iter:    23/588 | topk:  60 | shrink: 460 | sim type: splus | avgMAP: 0.0488 |
|ItemKNNCF| iter:    24/588 | topk:  60 | shrink: 510 | sim type: splus | avgMAP: 0.0488 |
|ItemKNNCF| iter:    25/588 | topk:  60 | shrink: 560 | sim type: splus | avgMAP: 0.0489 |
|ItemKNNCF| iter:    26/588 | topk:  60 | shrink: 610 | sim type: splus | avgMAP: 0.0489 |
|ItemKNNCF| iter:    27/588 | topk:  60 | shrink: 660 | sim type: splus | avgMAP: 0.0489 |
|ItemKNNCF| iter:    28/588 | topk: 110 | shrink:  10 | sim type: splus | avgMAP: 0.0402 |
|ItemKNNCF| iter:    29/588 | topk: 110 | shrink:  60 | sim type: splus | avgMAP: 0.0478 |
|ItemKNNCF| iter:    30/588 | topk: 110 | shrink: 110 | sim type: splus | avgMAP: 0.0489 |
|ItemKNNCF| iter:    31/588 | topk: 110 | shrink: 160 | sim type: splus | avgMAP: 0.0491 |
|ItemKNNCF| iter:    32/588 | topk: 110 | shrink: 210 | sim type: splus | avgMAP: 0.0494 |
