|ItemKNNCB| iter:     0/546 | topk:  50 | shrink:  10 | sim type: splus | avgMAP: 0.0339 |
|ItemKNNCB| iter:     1/546 | topk:  50 | shrink:  60 | sim type: splus | avgMAP: 0.0330 |
|ItemKNNCB| iter:     2/546 | topk:  50 | shrink: 110 | sim type: splus | avgMAP: 0.0329 |
|ItemKNNCB| iter:     3/546 | topk:  50 | shrink: 160 | sim type: splus | avgMAP: 0.0329 |
|ItemKNNCB| iter:     4/546 | topk:  50 | shrink: 210 | sim type: splus | avgMAP: 0.0328 |
|ItemKNNCB| iter:     5/546 | topk:  50 | shrink: 260 | sim type: splus | avgMAP: 0.0327 |
|ItemKNNCB| iter:     6/546 | topk:  50 | shrink: 310 | sim type: splus | avgMAP: 0.0327 |
|ItemKNNCB| iter:     7/546 | topk:  50 | shrink: 360 | sim type: splus | avgMAP: 0.0327 |
|ItemKNNCB| iter:     8/546 | topk:  50 | shrink: 410 | sim type: splus | avgMAP: 0.0327 |
|ItemKNNCB| iter:     9/546 | topk:  50 | shrink: 460 | sim type: splus | avgMAP: 0.0327 |
|ItemKNNCB| iter:    10/546 | topk:  50 | shrink: 510 | sim type: splus | avgMAP: 0.0327 |
|ItemKNNCB| iter:    11/546 | topk:  50 | shrink: 560 | sim type: splus | avgMAP: 0.0326 |
|ItemKNNCB| iter:    12/546 | topk:  50 | shrink: 610 | sim type: splus | avgMAP: 0.0326 |
|ItemKNNCB| iter:    13/546 | topk:  50 | shrink: 660 | sim type: splus | avgMAP: 0.0326 |
|ItemKNNCB| iter:    14/546 | topk: 100 | shrink:  10 | sim type: splus | avgMAP: 0.0352 |
|ItemKNNCB| iter:    15/546 | topk: 100 | shrink:  60 | sim type: splus | avgMAP: 0.0338 |
|ItemKNNCB| iter:    16/546 | topk: 100 | shrink: 110 | sim type: splus | avgMAP: 0.0337 |
|ItemKNNCB| iter:    17/546 | topk: 100 | shrink: 160 | sim type: splus | avgMAP: 0.0336 |
|ItemKNNCB| iter:    18/546 | topk: 100 | shrink: 210 | sim type: splus | avgMAP: 0.0334 |
|ItemKNNCB| iter:    19/546 | topk: 100 | shrink: 260 | sim type: splus | avgMAP: 0.0335 |
|ItemKNNCB| iter:    20/546 | topk: 100 | shrink: 310 | sim type: splus | avgMAP: 0.0335 |
|ItemKNNCB| iter:    21/546 | topk: 100 | shrink: 360 | sim type: splus | avgMAP: 0.0334 |
|ItemKNNCB| iter:    22/546 | topk: 100 | shrink: 410 | sim type: splus | avgMAP: 0.0334 |
|ItemKNNCB| iter:    23/546 | topk: 100 | shrink: 460 | sim type: splus | avgMAP: 0.0335 |
|ItemKNNCB| iter:    24/546 | topk: 100 | shrink: 510 | sim type: splus | avgMAP: 0.0334 |
|ItemKNNCB| iter:    25/546 | topk: 100 | shrink: 560 | sim type: splus | avgMAP: 0.0334 |
|ItemKNNCB| iter:    26/546 | topk: 100 | shrink: 610 | sim type: splus | avgMAP: 0.0334 |
|ItemKNNCB| iter:    27/546 | topk: 100 | shrink: 660 | sim type: splus | avgMAP: 0.0334 |
|ItemKNNCB| iter:    28/546 | topk: 150 | shrink:  10 | sim type: splus | avgMAP: 0.0353 |
|ItemKNNCB| iter:    29/546 | topk: 150 | shrink:  60 | sim type: splus | avgMAP: 0.0339 |
|ItemKNNCB| iter:    30/546 | topk: 150 | shrink: 110 | sim type: splus | avgMAP: 0.0337 |
|ItemKNNCB| iter:    31/546 | topk: 150 | shrink: 160 | sim type: splus | avgMAP: 0.0337 |
|ItemKNNCB| iter:    32/546 | topk: 150 | shrink: 210 | sim type: splus | avgMAP: 0.0336 |
|ItemKNNCB| iter:    33/546 | topk: 150 | shrink: 260 | sim type: splus | avgMAP: 0.0336 |
|ItemKNNCB| iter:    34/546 | topk: 150 | shrink: 310 | sim type: splus | avgMAP: 0.0336 |
|ItemKNNCB| iter:    35/546 | topk: 150 | shrink: 360 | sim type: splus | avgMAP: 0.0335 |
|ItemKNNCB| iter:    36/546 | topk: 150 | shrink: 410 | sim type: splus | avgMAP: 0.0335 |
|ItemKNNCB| iter:    37/546 | topk: 150 | shrink: 460 | sim type: splus | avgMAP: 0.0335 |
|ItemKNNCB| iter:    38/546 | topk: 150 | shrink: 510 | sim type: splus | avgMAP: 0.0335 |
|ItemKNNCB| iter:    39/546 | topk: 150 | shrink: 560 | sim type: splus | avgMAP: 0.0335 |
|ItemKNNCB| iter:    40/546 | topk: 150 | shrink: 610 | sim type: splus | avgMAP: 0.0335 |
|ItemKNNCB| iter:    41/546 | topk: 150 | shrink: 660 | sim type: splus | avgMAP: 0.0335 |
|ItemKNNCB| iter:    42/546 | topk: 200 | shrink:  10 | sim type: splus | avgMAP: 0.0354 |
|ItemKNNCB| iter:    43/546 | topk: 200 | shrink:  60 | sim type: splus | avgMAP: 0.0335 |
|ItemKNNCB| iter:    44/546 | topk: 200 | shrink: 110 | sim type: splus | avgMAP: 0.0333 |
|ItemKNNCB| iter:    45/546 | topk: 200 | shrink: 160 | sim type: splus | avgMAP: 0.0333 |
|ItemKNNCB| iter:    46/546 | topk: 200 | shrink: 210 | sim type: splus | avgMAP: 0.0332 |
|ItemKNNCB| iter:    47/546 | topk: 200 | shrink: 260 | sim type: splus | avgMAP: 0.0332 |
|ItemKNNCB| iter:    48/546 | topk: 200 | shrink: 310 | sim type: splus | avgMAP: 0.0332 |
|ItemKNNCB| iter:    49/546 | topk: 200 | shrink: 360 | sim type: splus | avgMAP: 0.0333 |
|ItemKNNCB| iter:    50/546 | topk: 200 | shrink: 410 | sim type: splus | avgMAP: 0.0333 |
