|ItemKNNCF| iter:     0/546 | topk:  50 | shrink:  10 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:     1/546 | topk:  50 | shrink:  60 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:     2/546 | topk:  50 | shrink: 110 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:     3/546 | topk:  50 | shrink: 160 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:     4/546 | topk:  50 | shrink: 210 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:     5/546 | topk:  50 | shrink: 260 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:     6/546 | topk:  50 | shrink: 310 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:     7/546 | topk:  50 | shrink: 360 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:     8/546 | topk:  50 | shrink: 410 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:     9/546 | topk:  50 | shrink: 460 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    10/546 | topk:  50 | shrink: 510 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    11/546 | topk:  50 | shrink: 560 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    12/546 | topk:  50 | shrink: 610 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    13/546 | topk:  50 | shrink: 660 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    14/546 | topk: 100 | shrink:  10 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    15/546 | topk: 100 | shrink:  60 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    16/546 | topk: 100 | shrink: 110 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    17/546 | topk: 100 | shrink: 160 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    18/546 | topk: 100 | shrink: 210 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    19/546 | topk: 100 | shrink: 260 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    20/546 | topk: 100 | shrink: 310 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    21/546 | topk: 100 | shrink: 360 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    22/546 | topk: 100 | shrink: 410 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    23/546 | topk: 100 | shrink: 460 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    24/546 | topk: 100 | shrink: 510 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    25/546 | topk: 100 | shrink: 560 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    26/546 | topk: 100 | shrink: 610 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    27/546 | topk: 100 | shrink: 660 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    28/546 | topk: 150 | shrink:  10 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    29/546 | topk: 150 | shrink:  60 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    30/546 | topk: 150 | shrink: 110 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    31/546 | topk: 150 | shrink: 160 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    32/546 | topk: 150 | shrink: 210 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    33/546 | topk: 150 | shrink: 260 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    34/546 | topk: 150 | shrink: 310 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    35/546 | topk: 150 | shrink: 360 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    36/546 | topk: 150 | shrink: 410 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    37/546 | topk: 150 | shrink: 460 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    38/546 | topk: 150 | shrink: 510 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    39/546 | topk: 150 | shrink: 560 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    40/546 | topk: 150 | shrink: 610 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    41/546 | topk: 150 | shrink: 660 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    42/546 | topk: 200 | shrink:  10 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    43/546 | topk: 200 | shrink:  60 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    44/546 | topk: 200 | shrink: 110 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    45/546 | topk: 200 | shrink: 160 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    46/546 | topk: 200 | shrink: 210 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    47/546 | topk: 200 | shrink: 260 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    48/546 | topk: 200 | shrink: 310 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    49/546 | topk: 200 | shrink: 360 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    50/546 | topk: 200 | shrink: 410 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    51/546 | topk: 200 | shrink: 460 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    52/546 | topk: 200 | shrink: 510 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    53/546 | topk: 200 | shrink: 560 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    54/546 | topk: 200 | shrink: 610 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    55/546 | topk: 200 | shrink: 660 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    56/546 | topk: 250 | shrink:  10 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    57/546 | topk: 250 | shrink:  60 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    58/546 | topk: 250 | shrink: 110 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    59/546 | topk: 250 | shrink: 160 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    60/546 | topk: 250 | shrink: 210 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    61/546 | topk: 250 | shrink: 260 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    62/546 | topk: 250 | shrink: 310 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    63/546 | topk: 250 | shrink: 360 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    64/546 | topk: 250 | shrink: 410 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    65/546 | topk: 250 | shrink: 460 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    66/546 | topk: 250 | shrink: 510 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    67/546 | topk: 250 | shrink: 560 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    68/546 | topk: 250 | shrink: 610 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    69/546 | topk: 250 | shrink: 660 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    70/546 | topk: 300 | shrink:  10 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    71/546 | topk: 300 | shrink:  60 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    72/546 | topk: 300 | shrink: 110 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    73/546 | topk: 300 | shrink: 160 | sim type: splus | avgMAP: 0.0508 |
|ItemKNNCF| iter:    74/546 | topk: 300 | shrink: 210 | sim type: splus | avgMAP: 0.0508 |
