|P3alpha| iter:     0/140 | topk:  10 | alpha: 0.000 | sim type: a | avgMAP: 0.0404 |
|P3alpha| iter:     1/140 | topk:  10 | alpha: 0.100 | sim type: a | avgMAP: 0.0472 |
|P3alpha| iter:     2/140 | topk:  10 | alpha: 0.200 | sim type: a | avgMAP: 0.0488 |
|P3alpha| iter:     3/140 | topk:  10 | alpha: 0.300 | sim type: a | avgMAP: 0.0489 |
|P3alpha| iter:     4/140 | topk:  10 | alpha: 0.400 | sim type: a | avgMAP: 0.0472 |
|P3alpha| iter:     5/140 | topk:  10 | alpha: 0.500 | sim type: a | avgMAP: 0.0453 |
|P3alpha| iter:     6/140 | topk:  10 | alpha: 0.600 | sim type: a | avgMAP: 0.0426 |
|P3alpha| iter:     7/140 | topk:  10 | alpha: 0.700 | sim type: a | avgMAP: 0.0404 |
|P3alpha| iter:     8/140 | topk:  10 | alpha: 0.800 | sim type: a | avgMAP: 0.0384 |
|P3alpha| iter:     9/140 | topk:  10 | alpha: 0.900 | sim type: a | avgMAP: 0.0364 |
|P3alpha| iter:    10/140 | topk:  60 | alpha: 0.000 | sim type: a | avgMAP: 0.0466 |
|P3alpha| iter:    11/140 | topk:  60 | alpha: 0.100 | sim type: a | avgMAP: 0.0527 |
|P3alpha| iter:    12/140 | topk:  60 | alpha: 0.200 | sim type: a | avgMAP: 0.0545 |
|P3alpha| iter:    13/140 | topk:  60 | alpha: 0.300 | sim type: a | avgMAP: 0.0552 |
|P3alpha| iter:    14/140 | topk:  60 | alpha: 0.400 | sim type: a | avgMAP: 0.0547 |
|P3alpha| iter:    15/140 | topk:  60 | alpha: 0.500 | sim type: a | avgMAP: 0.0537 |
|P3alpha| iter:    16/140 | topk:  60 | alpha: 0.600 | sim type: a | avgMAP: 0.0516 |
|P3alpha| iter:    17/140 | topk:  60 | alpha: 0.700 | sim type: a | avgMAP: 0.0495 |
|P3alpha| iter:    18/140 | topk:  60 | alpha: 0.800 | sim type: a | avgMAP: 0.0472 |
|P3alpha| iter:    19/140 | topk:  60 | alpha: 0.900 | sim type: a | avgMAP: 0.0447 |
|P3alpha| iter:    20/140 | topk: 110 | alpha: 0.000 | sim type: a | avgMAP: 0.0472 |
|P3alpha| iter:    21/140 | topk: 110 | alpha: 0.100 | sim type: a | avgMAP: 0.0529 |
|P3alpha| iter:    22/140 | topk: 110 | alpha: 0.200 | sim type: a | avgMAP: 0.0548 |
|P3alpha| iter:    23/140 | topk: 110 | alpha: 0.300 | sim type: a | avgMAP: 0.0554 |
|P3alpha| iter:    24/140 | topk: 110 | alpha: 0.400 | sim type: a | avgMAP: 0.0552 |
|P3alpha| iter:    25/140 | topk: 110 | alpha: 0.500 | sim type: a | avgMAP: 0.0542 |
|P3alpha| iter:    26/140 | topk: 110 | alpha: 0.600 | sim type: a | avgMAP: 0.0524 |
|P3alpha| iter:    27/140 | topk: 110 | alpha: 0.700 | sim type: a | avgMAP: 0.0501 |
|P3alpha| iter:    28/140 | topk: 110 | alpha: 0.800 | sim type: a | avgMAP: 0.0479 |
|P3alpha| iter:    29/140 | topk: 110 | alpha: 0.900 | sim type: a | avgMAP: 0.0455 |
|P3alpha| iter:    30/140 | topk: 160 | alpha: 0.000 | sim type: a | avgMAP: 0.0474 |
|P3alpha| iter:    31/140 | topk: 160 | alpha: 0.100 | sim type: a | avgMAP: 0.0525 |
|P3alpha| iter:    32/140 | topk: 160 | alpha: 0.200 | sim type: a | avgMAP: 0.0546 |
|P3alpha| iter:    33/140 | topk: 160 | alpha: 0.300 | sim type: a | avgMAP: 0.0554 |
|P3alpha| iter:    34/140 | topk: 160 | alpha: 0.400 | sim type: a | avgMAP: 0.0552 |
|P3alpha| iter:    35/140 | topk: 160 | alpha: 0.500 | sim type: a | avgMAP: 0.0544 |
|P3alpha| iter:    36/140 | topk: 160 | alpha: 0.600 | sim type: a | avgMAP: 0.0525 |
|P3alpha| iter:    37/140 | topk: 160 | alpha: 0.700 | sim type: a | avgMAP: 0.0503 |
|P3alpha| iter:    38/140 | topk: 160 | alpha: 0.800 | sim type: a | avgMAP: 0.0480 |
|P3alpha| iter:    39/140 | topk: 160 | alpha: 0.900 | sim type: a | avgMAP: 0.0457 |
|P3alpha| iter:    40/140 | topk: 210 | alpha: 0.000 | sim type: a | avgMAP: 0.0476 |
|P3alpha| iter:    41/140 | topk: 210 | alpha: 0.100 | sim type: a | avgMAP: 0.0526 |
|P3alpha| iter:    42/140 | topk: 210 | alpha: 0.200 | sim type: a | avgMAP: 0.0547 |
|P3alpha| iter:    43/140 | topk: 210 | alpha: 0.300 | sim type: a | avgMAP: 0.0554 |
|P3alpha| iter:    44/140 | topk: 210 | alpha: 0.400 | sim type: a | avgMAP: 0.0551 |
|P3alpha| iter:    45/140 | topk: 210 | alpha: 0.500 | sim type: a | avgMAP: 0.0544 |
|P3alpha| iter:    46/140 | topk: 210 | alpha: 0.600 | sim type: a | avgMAP: 0.0524 |
|P3alpha| iter:    47/140 | topk: 210 | alpha: 0.700 | sim type: a | avgMAP: 0.0504 |
|P3alpha| iter:    48/140 | topk: 210 | alpha: 0.800 | sim type: a | avgMAP: 0.0481 |
|P3alpha| iter:    49/140 | topk: 210 | alpha: 0.900 | sim type: a | avgMAP: 0.0458 |
|P3alpha| iter:    50/140 | topk: 260 | alpha: 0.000 | sim type: a | avgMAP: 0.0480 |
|P3alpha| iter:    51/140 | topk: 260 | alpha: 0.100 | sim type: a | avgMAP: 0.0527 |
|P3alpha| iter:    52/140 | topk: 260 | alpha: 0.200 | sim type: a | avgMAP: 0.0546 |
|P3alpha| iter:    53/140 | topk: 260 | alpha: 0.300 | sim type: a | avgMAP: 0.0553 |
|P3alpha| iter:    54/140 | topk: 260 | alpha: 0.400 | sim type: a | avgMAP: 0.0550 |
|P3alpha| iter:    55/140 | topk: 260 | alpha: 0.500 | sim type: a | avgMAP: 0.0544 |
|P3alpha| iter:    56/140 | topk: 260 | alpha: 0.600 | sim type: a | avgMAP: 0.0525 |
|P3alpha| iter:    57/140 | topk: 260 | alpha: 0.700 | sim type: a | avgMAP: 0.0504 |
|P3alpha| iter:    58/140 | topk: 260 | alpha: 0.800 | sim type: a | avgMAP: 0.0482 |
|P3alpha| iter:    59/140 | topk: 260 | alpha: 0.900 | sim type: a | avgMAP: 0.0458 |
|P3alpha| iter:    60/140 | topk: 310 | alpha: 0.000 | sim type: a | avgMAP: 0.0479 |
|P3alpha| iter:    61/140 | topk: 310 | alpha: 0.100 | sim type: a | avgMAP: 0.0525 |
|P3alpha| iter:    62/140 | topk: 310 | alpha: 0.200 | sim type: a | avgMAP: 0.0546 |
|P3alpha| iter:    63/140 | topk: 310 | alpha: 0.300 | sim type: a | avgMAP: 0.0553 |
|P3alpha| iter:    64/140 | topk: 310 | alpha: 0.400 | sim type: a | avgMAP: 0.0550 |
|P3alpha| iter:    65/140 | topk: 310 | alpha: 0.500 | sim type: a | avgMAP: 0.0544 |
|P3alpha| iter:    66/140 | topk: 310 | alpha: 0.600 | sim type: a | avgMAP: 0.0525 |
|P3alpha| iter:    67/140 | topk: 310 | alpha: 0.700 | sim type: a | avgMAP: 0.0504 |
|P3alpha| iter:    68/140 | topk: 310 | alpha: 0.800 | sim type: a | avgMAP: 0.0482 |
|P3alpha| iter:    69/140 | topk: 310 | alpha: 0.900 | sim type: a | avgMAP: 0.0458 |
|P3alpha| iter:    70/140 | topk: 360 | alpha: 0.000 | sim type: a | avgMAP: 0.0479 |
|P3alpha| iter:    71/140 | topk: 360 | alpha: 0.100 | sim type: a | avgMAP: 0.0525 |
|P3alpha| iter:    72/140 | topk: 360 | alpha: 0.200 | sim type: a | avgMAP: 0.0545 |
|P3alpha| iter:    73/140 | topk: 360 | alpha: 0.300 | sim type: a | avgMAP: 0.0554 |
|P3alpha| iter:    74/140 | topk: 360 | alpha: 0.400 | sim type: a | avgMAP: 0.0552 |
|P3alpha| iter:    75/140 | topk: 360 | alpha: 0.500 | sim type: a | avgMAP: 0.0544 |
|P3alpha| iter:    76/140 | topk: 360 | alpha: 0.600 | sim type: a | avgMAP: 0.0526 |
|P3alpha| iter:    77/140 | topk: 360 | alpha: 0.700 | sim type: a | avgMAP: 0.0505 |
|P3alpha| iter:    78/140 | topk: 360 | alpha: 0.800 | sim type: a | avgMAP: 0.0482 |
|P3alpha| iter:    79/140 | topk: 360 | alpha: 0.900 | sim type: a | avgMAP: 0.0458 |
|P3alpha| iter:    80/140 | topk: 410 | alpha: 0.000 | sim type: a | avgMAP: 0.0479 |
|P3alpha| iter:    81/140 | topk: 410 | alpha: 0.100 | sim type: a | avgMAP: 0.0524 |
|P3alpha| iter:    82/140 | topk: 410 | alpha: 0.200 | sim type: a | avgMAP: 0.0545 |
|P3alpha| iter:    83/140 | topk: 410 | alpha: 0.300 | sim type: a | avgMAP: 0.0554 |
|P3alpha| iter:    84/140 | topk: 410 | alpha: 0.400 | sim type: a | avgMAP: 0.0551 |
|P3alpha| iter:    85/140 | topk: 410 | alpha: 0.500 | sim type: a | avgMAP: 0.0544 |
|P3alpha| iter:    86/140 | topk: 410 | alpha: 0.600 | sim type: a | avgMAP: 0.0525 |
|P3alpha| iter:    87/140 | topk: 410 | alpha: 0.700 | sim type: a | avgMAP: 0.0505 |
|P3alpha| iter:    88/140 | topk: 410 | alpha: 0.800 | sim type: a | avgMAP: 0.0482 |
|P3alpha| iter:    89/140 | topk: 410 | alpha: 0.900 | sim type: a | avgMAP: 0.0458 |
|P3alpha| iter:    90/140 | topk: 460 | alpha: 0.000 | sim type: a | avgMAP: 0.0478 |
|P3alpha| iter:    91/140 | topk: 460 | alpha: 0.100 | sim type: a | avgMAP: 0.0524 |
|P3alpha| iter:    92/140 | topk: 460 | alpha: 0.200 | sim type: a | avgMAP: 0.0546 |
|P3alpha| iter:    93/140 | topk: 460 | alpha: 0.300 | sim type: a | avgMAP: 0.0554 |
|P3alpha| iter:    94/140 | topk: 460 | alpha: 0.400 | sim type: a | avgMAP: 0.0551 |
|P3alpha| iter:    95/140 | topk: 460 | alpha: 0.500 | sim type: a | avgMAP: 0.0545 |
|P3alpha| iter:    96/140 | topk: 460 | alpha: 0.600 | sim type: a | avgMAP: 0.0525 |
|P3alpha| iter:    97/140 | topk: 460 | alpha: 0.700 | sim type: a | avgMAP: 0.0505 |
|P3alpha| iter:    98/140 | topk: 460 | alpha: 0.800 | sim type: a | avgMAP: 0.0483 |
|P3alpha| iter:    99/140 | topk: 460 | alpha: 0.900 | sim type: a | avgMAP: 0.0459 |
|P3alpha| iter:   100/140 | topk: 510 | alpha: 0.000 | sim type: a | avgMAP: 0.0478 |
|P3alpha| iter:   101/140 | topk: 510 | alpha: 0.100 | sim type: a | avgMAP: 0.0524 |
|P3alpha| iter:   102/140 | topk: 510 | alpha: 0.200 | sim type: a | avgMAP: 0.0545 |
|P3alpha| iter:   103/140 | topk: 510 | alpha: 0.300 | sim type: a | avgMAP: 0.0553 |
|P3alpha| iter:   104/140 | topk: 510 | alpha: 0.400 | sim type: a | avgMAP: 0.0551 |
|P3alpha| iter:   105/140 | topk: 510 | alpha: 0.500 | sim type: a | avgMAP: 0.0545 |
|P3alpha| iter:   106/140 | topk: 510 | alpha: 0.600 | sim type: a | avgMAP: 0.0525 |
|P3alpha| iter:   107/140 | topk: 510 | alpha: 0.700 | sim type: a | avgMAP: 0.0505 |
|P3alpha| iter:   108/140 | topk: 510 | alpha: 0.800 | sim type: a | avgMAP: 0.0482 |
|P3alpha| iter:   109/140 | topk: 510 | alpha: 0.900 | sim type: a | avgMAP: 0.0459 |
|P3alpha| iter:   110/140 | topk: 560 | alpha: 0.000 | sim type: a | avgMAP: 0.0478 |
|P3alpha| iter:   111/140 | topk: 560 | alpha: 0.100 | sim type: a | avgMAP: 0.0523 |
|P3alpha| iter:   112/140 | topk: 560 | alpha: 0.200 | sim type: a | avgMAP: 0.0545 |
|P3alpha| iter:   113/140 | topk: 560 | alpha: 0.300 | sim type: a | avgMAP: 0.0553 |
|P3alpha| iter:   114/140 | topk: 560 | alpha: 0.400 | sim type: a | avgMAP: 0.0552 |
|P3alpha| iter:   115/140 | topk: 560 | alpha: 0.500 | sim type: a | avgMAP: 0.0544 |
|P3alpha| iter:   116/140 | topk: 560 | alpha: 0.600 | sim type: a | avgMAP: 0.0525 |
|P3alpha| iter:   117/140 | topk: 560 | alpha: 0.700 | sim type: a | avgMAP: 0.0504 |
|P3alpha| iter:   118/140 | topk: 560 | alpha: 0.800 | sim type: a | avgMAP: 0.0482 |
|P3alpha| iter:   119/140 | topk: 560 | alpha: 0.900 | sim type: a | avgMAP: 0.0458 |
|P3alpha| iter:   120/140 | topk: 610 | alpha: 0.000 | sim type: a | avgMAP: 0.0478 |
|P3alpha| iter:   121/140 | topk: 610 | alpha: 0.100 | sim type: a | avgMAP: 0.0524 |
|P3alpha| iter:   122/140 | topk: 610 | alpha: 0.200 | sim type: a | avgMAP: 0.0545 |
|P3alpha| iter:   123/140 | topk: 610 | alpha: 0.300 | sim type: a | avgMAP: 0.0554 |
