(25975, 19908)
|RP3beta| iter:     0/160 | topk: 250 | alpha: 0.300 | beta: 0.000 | avgMAP: 0.0696 |
|RP3beta| iter:     1/160 | topk: 250 | alpha: 0.350 | beta: 0.000 | avgMAP: 0.0701 |
|RP3beta| iter:     2/160 | topk: 250 | alpha: 0.400 | beta: 0.000 | avgMAP: 0.0699 |
|RP3beta| iter:     3/160 | topk: 250 | alpha: 0.450 | beta: 0.000 | avgMAP: 0.0692 |
|RP3beta| iter:     4/160 | topk: 270 | alpha: 0.300 | beta: 0.000 | avgMAP: 0.0696 |
|RP3beta| iter:     5/160 | topk: 270 | alpha: 0.350 | beta: 0.000 | avgMAP: 0.0700 |
|RP3beta| iter:     6/160 | topk: 270 | alpha: 0.400 | beta: 0.000 | avgMAP: 0.0698 |
|RP3beta| iter:     7/160 | topk: 270 | alpha: 0.450 | beta: 0.000 | avgMAP: 0.0691 |
|RP3beta| iter:     8/160 | topk: 290 | alpha: 0.300 | beta: 0.000 | avgMAP: 0.0696 |
|RP3beta| iter:     9/160 | topk: 290 | alpha: 0.350 | beta: 0.000 | avgMAP: 0.0700 |
|RP3beta| iter:    10/160 | topk: 290 | alpha: 0.400 | beta: 0.000 | avgMAP: 0.0698 |
|RP3beta| iter:    11/160 | topk: 290 | alpha: 0.450 | beta: 0.000 | avgMAP: 0.0691 |
|RP3beta| iter:    12/160 | topk: 310 | alpha: 0.300 | beta: 0.000 | avgMAP: 0.0696 |
|RP3beta| iter:    13/160 | topk: 310 | alpha: 0.350 | beta: 0.000 | avgMAP: 0.0700 |
|RP3beta| iter:    14/160 | topk: 310 | alpha: 0.400 | beta: 0.000 | avgMAP: 0.0698 |
|RP3beta| iter:    15/160 | topk: 310 | alpha: 0.450 | beta: 0.000 | avgMAP: 0.0691 |
|RP3beta| iter:    16/160 | topk: 330 | alpha: 0.300 | beta: 0.000 | avgMAP: 0.0696 |
|RP3beta| iter:    17/160 | topk: 330 | alpha: 0.350 | beta: 0.000 | avgMAP: 0.0700 |
|RP3beta| iter:    18/160 | topk: 330 | alpha: 0.400 | beta: 0.000 | avgMAP: 0.0698 |
|RP3beta| iter:    19/160 | topk: 330 | alpha: 0.450 | beta: 0.000 | avgMAP: 0.0692 |
|RP3beta| iter:    20/160 | topk: 350 | alpha: 0.300 | beta: 0.000 | avgMAP: 0.0695 |
|RP3beta| iter:    21/160 | topk: 350 | alpha: 0.350 | beta: 0.000 | avgMAP: 0.0700 |
|RP3beta| iter:    22/160 | topk: 350 | alpha: 0.400 | beta: 0.000 | avgMAP: 0.0698 |
