|UserKNNCF| iter:     0/234 | topk:  50 | shrink: 100 | sim type: cosine | avgMAP: 0.0553 |
|UserKNNCF| iter:     1/234 | topk:  50 | shrink: 150 | sim type: cosine | avgMAP: 0.0553 |
|UserKNNCF| iter:     2/234 | topk:  50 | shrink: 200 | sim type: cosine | avgMAP: 0.0553 |
|UserKNNCF| iter:     3/234 | topk:  50 | shrink: 250 | sim type: cosine | avgMAP: 0.0552 |
|UserKNNCF| iter:     4/234 | topk:  50 | shrink: 300 | sim type: cosine | avgMAP: 0.0552 |
|UserKNNCF| iter:     5/234 | topk:  50 | shrink: 350 | sim type: cosine | avgMAP: 0.0553 |
|UserKNNCF| iter:     6/234 | topk:  70 | shrink: 100 | sim type: cosine | avgMAP: 0.0562 |
|UserKNNCF| iter:     7/234 | topk:  70 | shrink: 150 | sim type: cosine | avgMAP: 0.0563 |
|UserKNNCF| iter:     8/234 | topk:  70 | shrink: 200 | sim type: cosine | avgMAP: 0.0563 |
|UserKNNCF| iter:     9/234 | topk:  70 | shrink: 250 | sim type: cosine | avgMAP: 0.0563 |
|UserKNNCF| iter:    10/234 | topk:  70 | shrink: 300 | sim type: cosine | avgMAP: 0.0562 |
|UserKNNCF| iter:    11/234 | topk:  70 | shrink: 350 | sim type: cosine | avgMAP: 0.0563 |
|UserKNNCF| iter:    12/234 | topk:  90 | shrink: 100 | sim type: cosine | avgMAP: 0.0566 |
|UserKNNCF| iter:    13/234 | topk:  90 | shrink: 150 | sim type: cosine | avgMAP: 0.0566 |
|UserKNNCF| iter:    14/234 | topk:  90 | shrink: 200 | sim type: cosine | avgMAP: 0.0566 |
|UserKNNCF| iter:    15/234 | topk:  90 | shrink: 250 | sim type: cosine | avgMAP: 0.0567 |
|UserKNNCF| iter:    16/234 | topk:  90 | shrink: 300 | sim type: cosine | avgMAP: 0.0567 |
|UserKNNCF| iter:    17/234 | topk:  90 | shrink: 350 | sim type: cosine | avgMAP: 0.0567 |
|UserKNNCF| iter:    18/234 | topk: 110 | shrink: 100 | sim type: cosine | avgMAP: 0.0570 |
|UserKNNCF| iter:    19/234 | topk: 110 | shrink: 150 | sim type: cosine | avgMAP: 0.0571 |
|UserKNNCF| iter:    20/234 | topk: 110 | shrink: 200 | sim type: cosine | avgMAP: 0.0571 |
|UserKNNCF| iter:    21/234 | topk: 110 | shrink: 250 | sim type: cosine | avgMAP: 0.0570 |
|UserKNNCF| iter:    22/234 | topk: 110 | shrink: 300 | sim type: cosine | avgMAP: 0.0571 |
|UserKNNCF| iter:    23/234 | topk: 110 | shrink: 350 | sim type: cosine | avgMAP: 0.0571 |
|UserKNNCF| iter:    24/234 | topk: 130 | shrink: 100 | sim type: cosine | avgMAP: 0.0569 |
|UserKNNCF| iter:    25/234 | topk: 130 | shrink: 150 | sim type: cosine | avgMAP: 0.0569 |
|UserKNNCF| iter:    26/234 | topk: 130 | shrink: 200 | sim type: cosine | avgMAP: 0.0569 |
|UserKNNCF| iter:    27/234 | topk: 130 | shrink: 250 | sim type: cosine | avgMAP: 0.0569 |
|UserKNNCF| iter:    28/234 | topk: 130 | shrink: 300 | sim type: cosine | avgMAP: 0.0569 |
|UserKNNCF| iter:    29/234 | topk: 130 | shrink: 350 | sim type: cosine | avgMAP: 0.0569 |
|UserKNNCF| iter:    30/234 | topk: 150 | shrink: 100 | sim type: cosine | avgMAP: 0.0569 |
|UserKNNCF| iter:    31/234 | topk: 150 | shrink: 150 | sim type: cosine | avgMAP: 0.0570 |
|UserKNNCF| iter:    32/234 | topk: 150 | shrink: 200 | sim type: cosine | avgMAP: 0.0569 |
|UserKNNCF| iter:    33/234 | topk: 150 | shrink: 250 | sim type: cosine | avgMAP: 0.0569 |
|UserKNNCF| iter:    34/234 | topk: 150 | shrink: 300 | sim type: cosine | avgMAP: 0.0569 |
|UserKNNCF| iter:    35/234 | topk: 150 | shrink: 350 | sim type: cosine | avgMAP: 0.0570 |
|UserKNNCF| iter:    36/234 | topk: 170 | shrink: 100 | sim type: cosine | avgMAP: 0.0570 |
|UserKNNCF| iter:    37/234 | topk: 170 | shrink: 150 | sim type: cosine | avgMAP: 0.0570 |
|UserKNNCF| iter:    38/234 | topk: 170 | shrink: 200 | sim type: cosine | avgMAP: 0.0570 |
|UserKNNCF| iter:    39/234 | topk: 170 | shrink: 250 | sim type: cosine | avgMAP: 0.0570 |
|UserKNNCF| iter:    40/234 | topk: 170 | shrink: 300 | sim type: cosine | avgMAP: 0.0570 |
|UserKNNCF| iter:    41/234 | topk: 170 | shrink: 350 | sim type: cosine | avgMAP: 0.0570 |
|UserKNNCF| iter:    42/234 | topk: 190 | shrink: 100 | sim type: cosine | avgMAP: 0.0569 |
|UserKNNCF| iter:    43/234 | topk: 190 | shrink: 150 | sim type: cosine | avgMAP: 0.0570 |
|UserKNNCF| iter:    44/234 | topk: 190 | shrink: 200 | sim type: cosine | avgMAP: 0.0570 |
|UserKNNCF| iter:    45/234 | topk: 190 | shrink: 250 | sim type: cosine | avgMAP: 0.0569 |
|UserKNNCF| iter:    46/234 | topk: 190 | shrink: 300 | sim type: cosine | avgMAP: 0.0569 |
