| iter: 0/91 | alpha: 0.01 | MAP: 0.0578 |
| iter: 1/91 | alpha: 0.011 | MAP: 0.0577 |
| iter: 2/91 | alpha: 0.011999999999999999 | MAP: 0.0577 |
| iter: 3/91 | alpha: 0.012999999999999998 | MAP: 0.0577 |
| iter: 4/91 | alpha: 0.013999999999999997 | MAP: 0.0577 |
| iter: 5/91 | alpha: 0.014999999999999996 | MAP: 0.0577 |
| iter: 6/91 | alpha: 0.015999999999999993 | MAP: 0.0578 |
| iter: 7/91 | alpha: 0.016999999999999994 | MAP: 0.0578 |
| iter: 8/91 | alpha: 0.017999999999999995 | MAP: 0.0578 |
| iter: 9/91 | alpha: 0.018999999999999993 | MAP: 0.0578 |
| iter: 10/91 | alpha: 0.01999999999999999 | MAP: 0.0578 |
| iter: 11/91 | alpha: 0.02099999999999999 | MAP: 0.0580 |
| iter: 12/91 | alpha: 0.021999999999999992 | MAP: 0.0579 |
| iter: 13/91 | alpha: 0.02299999999999999 | MAP: 0.0579 |
| iter: 14/91 | alpha: 0.023999999999999987 | MAP: 0.0579 |
| iter: 15/91 | alpha: 0.024999999999999988 | MAP: 0.0579 |
| iter: 16/91 | alpha: 0.02599999999999999 | MAP: 0.0579 |
| iter: 17/91 | alpha: 0.02699999999999999 | MAP: 0.0579 |
| iter: 18/91 | alpha: 0.027999999999999983 | MAP: 0.0579 |
| iter: 19/91 | alpha: 0.028999999999999984 | MAP: 0.0579 |
| iter: 20/91 | alpha: 0.029999999999999985 | MAP: 0.0578 |
| iter: 21/91 | alpha: 0.030999999999999986 | MAP: 0.0578 |
| iter: 22/91 | alpha: 0.03199999999999998 | MAP: 0.0578 |
| iter: 23/91 | alpha: 0.03299999999999998 | MAP: 0.0578 |
| iter: 24/91 | alpha: 0.03399999999999998 | MAP: 0.0578 |
| iter: 25/91 | alpha: 0.03499999999999998 | MAP: 0.0578 |
| iter: 26/91 | alpha: 0.035999999999999976 | MAP: 0.0579 |
| iter: 27/91 | alpha: 0.03699999999999998 | MAP: 0.0578 |
| iter: 28/91 | alpha: 0.03799999999999998 | MAP: 0.0578 |
| iter: 29/91 | alpha: 0.03899999999999998 | MAP: 0.0577 |
| iter: 30/91 | alpha: 0.03999999999999997 | MAP: 0.0577 |
| iter: 31/91 | alpha: 0.040999999999999974 | MAP: 0.0578 |
| iter: 32/91 | alpha: 0.041999999999999975 | MAP: 0.0578 |
| iter: 33/91 | alpha: 0.042999999999999976 | MAP: 0.0578 |
| iter: 34/91 | alpha: 0.04399999999999998 | MAP: 0.0578 |
| iter: 35/91 | alpha: 0.04499999999999997 | MAP: 0.0579 |
| iter: 36/91 | alpha: 0.04599999999999997 | MAP: 0.0579 |
| iter: 37/91 | alpha: 0.04699999999999997 | MAP: 0.0579 |
| iter: 38/91 | alpha: 0.047999999999999966 | MAP: 0.0579 |
| iter: 39/91 | alpha: 0.04899999999999997 | MAP: 0.0579 |
| iter: 40/91 | alpha: 0.04999999999999997 | MAP: 0.0579 |
| iter: 41/91 | alpha: 0.05099999999999997 | MAP: 0.0579 |
| iter: 42/91 | alpha: 0.05199999999999997 | MAP: 0.0578 |
| iter: 43/91 | alpha: 0.052999999999999964 | MAP: 0.0579 |
| iter: 44/91 | alpha: 0.053999999999999965 | MAP: 0.0579 |
| iter: 45/91 | alpha: 0.054999999999999966 | MAP: 0.0580 |
| iter: 46/91 | alpha: 0.05599999999999996 | MAP: 0.0580 |
| iter: 47/91 | alpha: 0.05699999999999996 | MAP: 0.0580 |
| iter: 48/91 | alpha: 0.05799999999999996 | MAP: 0.0580 |
| iter: 49/91 | alpha: 0.05899999999999996 | MAP: 0.0580 |
| iter: 50/91 | alpha: 0.05999999999999996 | MAP: 0.0581 |
| iter: 51/91 | alpha: 0.06099999999999996 | MAP: 0.0580 |
| iter: 52/91 | alpha: 0.06199999999999996 | MAP: 0.0580 |
| iter: 53/91 | alpha: 0.06299999999999996 | MAP: 0.0580 |
| iter: 54/91 | alpha: 0.06399999999999995 | MAP: 0.0580 |
| iter: 55/91 | alpha: 0.06499999999999995 | MAP: 0.0578 |
| iter: 56/91 | alpha: 0.06599999999999995 | MAP: 0.0578 |
| iter: 57/91 | alpha: 0.06699999999999995 | MAP: 0.0578 |
| iter: 58/91 | alpha: 0.06799999999999995 | MAP: 0.0578 |
| iter: 59/91 | alpha: 0.06899999999999995 | MAP: 0.0578 |
| iter: 60/91 | alpha: 0.06999999999999995 | MAP: 0.0578 |
| iter: 61/91 | alpha: 0.07099999999999995 | MAP: 0.0578 |
| iter: 62/91 | alpha: 0.07199999999999994 | MAP: 0.0579 |
