| iter:     0/1000 | topk:  10 | alpha: 0.000 | norm: non | MAP: 0.0366 |
| iter:     1/1000 | topk:  10 | alpha: 0.000 | norm: l2 | MAP: 0.0356 |
| iter:     2/1000 | topk:  10 | alpha: 0.000 | norm: l1 | MAP: 0.0245 |
| iter:     3/1000 | topk:  10 | alpha: 0.000 | norm: max | MAP: 0.0286 |
| iter:     4/1000 | topk:  10 | alpha: 0.100 | norm: non | MAP: 0.0394 |
| iter:     5/1000 | topk:  10 | alpha: 0.100 | norm: l2 | MAP: 0.0376 |
| iter:     6/1000 | topk:  10 | alpha: 0.100 | norm: l1 | MAP: 0.0271 |
| iter:     7/1000 | topk:  10 | alpha: 0.100 | norm: max | MAP: 0.0295 |
| iter:     8/1000 | topk:  10 | alpha: 0.200 | norm: non | MAP: 0.0399 |
| iter:     9/1000 | topk:  10 | alpha: 0.200 | norm: l2 | MAP: 0.0386 |
| iter:    10/1000 | topk:  10 | alpha: 0.200 | norm: l1 | MAP: 0.0284 |
| iter:    11/1000 | topk:  10 | alpha: 0.200 | norm: max | MAP: 0.0291 |
| iter:    12/1000 | topk:  10 | alpha: 0.300 | norm: non | MAP: 0.0398 |
| iter:    13/1000 | topk:  10 | alpha: 0.300 | norm: l2 | MAP: 0.0387 |
| iter:    14/1000 | topk:  10 | alpha: 0.300 | norm: l1 | MAP: 0.0305 |
| iter:    15/1000 | topk:  10 | alpha: 0.300 | norm: max | MAP: 0.0286 |
| iter:    16/1000 | topk:  10 | alpha: 0.400 | norm: non | MAP: 0.0394 |
| iter:    17/1000 | topk:  10 | alpha: 0.400 | norm: l2 | MAP: 0.0395 |
| iter:    18/1000 | topk:  10 | alpha: 0.400 | norm: l1 | MAP: 0.0320 |
| iter:    19/1000 | topk:  10 | alpha: 0.400 | norm: max | MAP: 0.0254 |
| iter:    20/1000 | topk:  10 | alpha: 0.500 | norm: non | MAP: 0.0385 |
| iter:    21/1000 | topk:  10 | alpha: 0.500 | norm: l2 | MAP: 0.0397 |
| iter:    22/1000 | topk:  10 | alpha: 0.500 | norm: l1 | MAP: 0.0336 |
| iter:    23/1000 | topk:  10 | alpha: 0.500 | norm: max | MAP: 0.0221 |
| iter:    24/1000 | topk:  10 | alpha: 0.600 | norm: non | MAP: 0.0380 |
| iter:    25/1000 | topk:  10 | alpha: 0.600 | norm: l2 | MAP: 0.0392 |
| iter:    26/1000 | topk:  10 | alpha: 0.600 | norm: l1 | MAP: 0.0348 |
| iter:    27/1000 | topk:  10 | alpha: 0.600 | norm: max | MAP: 0.0212 |
| iter:    28/1000 | topk:  10 | alpha: 0.700 | norm: non | MAP: 0.0368 |
| iter:    29/1000 | topk:  10 | alpha: 0.700 | norm: l2 | MAP: 0.0383 |
| iter:    30/1000 | topk:  10 | alpha: 0.700 | norm: l1 | MAP: 0.0358 |
| iter:    31/1000 | topk:  10 | alpha: 0.700 | norm: max | MAP: 0.0213 |
| iter:    32/1000 | topk:  10 | alpha: 0.800 | norm: non | MAP: 0.0366 |
| iter:    33/1000 | topk:  10 | alpha: 0.800 | norm: l2 | MAP: 0.0367 |
| iter:    34/1000 | topk:  10 | alpha: 0.800 | norm: l1 | MAP: 0.0359 |
| iter:    35/1000 | topk:  10 | alpha: 0.800 | norm: max | MAP: 0.0211 |
| iter:    36/1000 | topk:  10 | alpha: 0.900 | norm: non | MAP: 0.0366 |
| iter:    37/1000 | topk:  10 | alpha: 0.900 | norm: l2 | MAP: 0.0354 |
| iter:    38/1000 | topk:  10 | alpha: 0.900 | norm: l1 | MAP: 0.0363 |
| iter:    39/1000 | topk:  10 | alpha: 0.900 | norm: max | MAP: 0.0213 |
| iter:    40/1000 | topk:  30 | alpha: 0.000 | norm: non | MAP: 0.0472 |
| iter:    41/1000 | topk:  30 | alpha: 0.000 | norm: l2 | MAP: 0.0468 |
| iter:    42/1000 | topk:  30 | alpha: 0.000 | norm: l1 | MAP: 0.0338 |
| iter:    43/1000 | topk:  30 | alpha: 0.000 | norm: max | MAP: 0.0389 |
| iter:    44/1000 | topk:  30 | alpha: 0.100 | norm: non | MAP: 0.0495 |
| iter:    45/1000 | topk:  30 | alpha: 0.100 | norm: l2 | MAP: 0.0499 |
| iter:    46/1000 | topk:  30 | alpha: 0.100 | norm: l1 | MAP: 0.0386 |
| iter:    47/1000 | topk:  30 | alpha: 0.100 | norm: max | MAP: 0.0413 |
| iter:    48/1000 | topk:  30 | alpha: 0.200 | norm: non | MAP: 0.0504 |
| iter:    49/1000 | topk:  30 | alpha: 0.200 | norm: l2 | MAP: 0.0507 |
| iter:    50/1000 | topk:  30 | alpha: 0.200 | norm: l1 | MAP: 0.0409 |
| iter:    51/1000 | topk:  30 | alpha: 0.200 | norm: max | MAP: 0.0409 |
| iter:    52/1000 | topk:  30 | alpha: 0.300 | norm: non | MAP: 0.0507 |
| iter:    53/1000 | topk:  30 | alpha: 0.300 | norm: l2 | MAP: 0.0513 |
| iter:    54/1000 | topk:  30 | alpha: 0.300 | norm: l1 | MAP: 0.0431 |
| iter:    55/1000 | topk:  30 | alpha: 0.300 | norm: max | MAP: 0.0396 |
| iter:    56/1000 | topk:  30 | alpha: 0.400 | norm: non | MAP: 0.0511 |
| iter:    57/1000 | topk:  30 | alpha: 0.400 | norm: l2 | MAP: 0.0518 |
| iter:    58/1000 | topk:  30 | alpha: 0.400 | norm: l1 | MAP: 0.0452 |
| iter:    59/1000 | topk:  30 | alpha: 0.400 | norm: max | MAP: 0.0394 |
| iter:    60/1000 | topk:  30 | alpha: 0.500 | norm: non | MAP: 0.0509 |
| iter:    61/1000 | topk:  30 | alpha: 0.500 | norm: l2 | MAP: 0.0519 |
| iter:    62/1000 | topk:  30 | alpha: 0.500 | norm: l1 | MAP: 0.0477 |
| iter:    63/1000 | topk:  30 | alpha: 0.500 | norm: max | MAP: 0.0374 |
| iter:    64/1000 | topk:  30 | alpha: 0.600 | norm: non | MAP: 0.0501 |
| iter:    65/1000 | topk:  30 | alpha: 0.600 | norm: l2 | MAP: 0.0515 |
| iter:    66/1000 | topk:  30 | alpha: 0.600 | norm: l1 | MAP: 0.0483 |
| iter:    67/1000 | topk:  30 | alpha: 0.600 | norm: max | MAP: 0.0363 |
| iter:    68/1000 | topk:  30 | alpha: 0.700 | norm: non | MAP: 0.0502 |
| iter:    69/1000 | topk:  30 | alpha: 0.700 | norm: l2 | MAP: 0.0507 |
| iter:    70/1000 | topk:  30 | alpha: 0.700 | norm: l1 | MAP: 0.0490 |
| iter:    71/1000 | topk:  30 | alpha: 0.700 | norm: max | MAP: 0.0361 |
| iter:    72/1000 | topk:  30 | alpha: 0.800 | norm: non | MAP: 0.0492 |
| iter:    73/1000 | topk:  30 | alpha: 0.800 | norm: l2 | MAP: 0.0496 |
| iter:    74/1000 | topk:  30 | alpha: 0.800 | norm: l1 | MAP: 0.0488 |
| iter:    75/1000 | topk:  30 | alpha: 0.800 | norm: max | MAP: 0.0344 |
| iter:    76/1000 | topk:  30 | alpha: 0.900 | norm: non | MAP: 0.0479 |
| iter:    77/1000 | topk:  30 | alpha: 0.900 | norm: l2 | MAP: 0.0483 |
| iter:    78/1000 | topk:  30 | alpha: 0.900 | norm: l1 | MAP: 0.0487 |
| iter:    79/1000 | topk:  30 | alpha: 0.900 | norm: max | MAP: 0.0338 |
| iter:    80/1000 | topk:  50 | alpha: 0.000 | norm: non | MAP: 0.0506 |
| iter:    81/1000 | topk:  50 | alpha: 0.000 | norm: l2 | MAP: 0.0507 |
| iter:    82/1000 | topk:  50 | alpha: 0.000 | norm: l1 | MAP: 0.0379 |
| iter:    83/1000 | topk:  50 | alpha: 0.000 | norm: max | MAP: 0.0428 |
| iter:    84/1000 | topk:  50 | alpha: 0.100 | norm: non | MAP: 0.0530 |
| iter:    85/1000 | topk:  50 | alpha: 0.100 | norm: l2 | MAP: 0.0536 |
| iter:    86/1000 | topk:  50 | alpha: 0.100 | norm: l1 | MAP: 0.0434 |
| iter:    87/1000 | topk:  50 | alpha: 0.100 | norm: max | MAP: 0.0457 |
| iter:    88/1000 | topk:  50 | alpha: 0.200 | norm: non | MAP: 0.0530 |
| iter:    89/1000 | topk:  50 | alpha: 0.200 | norm: l2 | MAP: 0.0539 |
| iter:    90/1000 | topk:  50 | alpha: 0.200 | norm: l1 | MAP: 0.0458 |
| iter:    91/1000 | topk:  50 | alpha: 0.200 | norm: max | MAP: 0.0458 |
| iter:    92/1000 | topk:  50 | alpha: 0.300 | norm: non | MAP: 0.0528 |
| iter:    93/1000 | topk:  50 | alpha: 0.300 | norm: l2 | MAP: 0.0542 |
| iter:    94/1000 | topk:  50 | alpha: 0.300 | norm: l1 | MAP: 0.0473 |
| iter:    95/1000 | topk:  50 | alpha: 0.300 | norm: max | MAP: 0.0466 |
| iter:    96/1000 | topk:  50 | alpha: 0.400 | norm: non | MAP: 0.0534 |
| iter:    97/1000 | topk:  50 | alpha: 0.400 | norm: l2 | MAP: 0.0537 |
| iter:    98/1000 | topk:  50 | alpha: 0.400 | norm: l1 | MAP: 0.0486 |
| iter:    99/1000 | topk:  50 | alpha: 0.400 | norm: max | MAP: 0.0464 |
| iter:   100/1000 | topk:  50 | alpha: 0.500 | norm: non | MAP: 0.0534 |
| iter:   101/1000 | topk:  50 | alpha: 0.500 | norm: l2 | MAP: 0.0539 |
| iter:   102/1000 | topk:  50 | alpha: 0.500 | norm: l1 | MAP: 0.0502 |
| iter:   103/1000 | topk:  50 | alpha: 0.500 | norm: max | MAP: 0.0461 |
| iter:   104/1000 | topk:  50 | alpha: 0.600 | norm: non | MAP: 0.0530 |
| iter:   105/1000 | topk:  50 | alpha: 0.600 | norm: l2 | MAP: 0.0536 |
| iter:   106/1000 | topk:  50 | alpha: 0.600 | norm: l1 | MAP: 0.0510 |
| iter:   107/1000 | topk:  50 | alpha: 0.600 | norm: max | MAP: 0.0472 |
| iter:   108/1000 | topk:  50 | alpha: 0.700 | norm: non | MAP: 0.0527 |
| iter:   109/1000 | topk:  50 | alpha: 0.700 | norm: l2 | MAP: 0.0528 |
| iter:   110/1000 | topk:  50 | alpha: 0.700 | norm: l1 | MAP: 0.0516 |
| iter:   111/1000 | topk:  50 | alpha: 0.700 | norm: max | MAP: 0.0451 |
| iter:   112/1000 | topk:  50 | alpha: 0.800 | norm: non | MAP: 0.0522 |
| iter:   113/1000 | topk:  50 | alpha: 0.800 | norm: l2 | MAP: 0.0523 |
| iter:   114/1000 | topk:  50 | alpha: 0.800 | norm: l1 | MAP: 0.0512 |
| iter:   115/1000 | topk:  50 | alpha: 0.800 | norm: max | MAP: 0.0425 |
| iter:   116/1000 | topk:  50 | alpha: 0.900 | norm: non | MAP: 0.0512 |
| iter:   117/1000 | topk:  50 | alpha: 0.900 | norm: l2 | MAP: 0.0510 |
| iter:   118/1000 | topk:  50 | alpha: 0.900 | norm: l1 | MAP: 0.0518 |
| iter:   119/1000 | topk:  50 | alpha: 0.900 | norm: max | MAP: 0.0408 |
| iter:   120/1000 | topk:  70 | alpha: 0.000 | norm: non | MAP: 0.0520 |
| iter:   121/1000 | topk:  70 | alpha: 0.000 | norm: l2 | MAP: 0.0526 |
| iter:   122/1000 | topk:  70 | alpha: 0.000 | norm: l1 | MAP: 0.0416 |
| iter:   123/1000 | topk:  70 | alpha: 0.000 | norm: max | MAP: 0.0458 |
| iter:   124/1000 | topk:  70 | alpha: 0.100 | norm: non | MAP: 0.0545 |
| iter:   125/1000 | topk:  70 | alpha: 0.100 | norm: l2 | MAP: 0.0555 |
| iter:   126/1000 | topk:  70 | alpha: 0.100 | norm: l1 | MAP: 0.0465 |
| iter:   127/1000 | topk:  70 | alpha: 0.100 | norm: max | MAP: 0.0486 |
| iter:   128/1000 | topk:  70 | alpha: 0.200 | norm: non | MAP: 0.0545 |
| iter:   129/1000 | topk:  70 | alpha: 0.200 | norm: l2 | MAP: 0.0559 |
| iter:   130/1000 | topk:  70 | alpha: 0.200 | norm: l1 | MAP: 0.0480 |
| iter:   131/1000 | topk:  70 | alpha: 0.200 | norm: max | MAP: 0.0496 |
| iter:   132/1000 | topk:  70 | alpha: 0.300 | norm: non | MAP: 0.0550 |
| iter:   133/1000 | topk:  70 | alpha: 0.300 | norm: l2 | MAP: 0.0555 |
| iter:   134/1000 | topk:  70 | alpha: 0.300 | norm: l1 | MAP: 0.0497 |
| iter:   135/1000 | topk:  70 | alpha: 0.300 | norm: max | MAP: 0.0506 |
