['none', 'l2', 'l1', 'max']
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:     0/18 | alpha: 0.050 | norm: none | MAP: 0.0585 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:     1/18 | alpha: 0.050 | norm: l2 | MAP: 0.0594 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:     2/18 | alpha: 0.050 | norm: l1 | MAP: 0.0590 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:     3/18 | alpha: 0.050 | norm: max | MAP: 0.0594 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:     4/18 | alpha: 0.100 | norm: none | MAP: 0.0606 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:     5/18 | alpha: 0.100 | norm: l2 | MAP: 0.0605 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:     6/18 | alpha: 0.100 | norm: l1 | MAP: 0.0595 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:     7/18 | alpha: 0.100 | norm: max | MAP: 0.0606 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:     8/18 | alpha: 0.150 | norm: none | MAP: 0.0617 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:     9/18 | alpha: 0.150 | norm: l2 | MAP: 0.0614 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    10/18 | alpha: 0.150 | norm: l1 | MAP: 0.0602 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    11/18 | alpha: 0.150 | norm: max | MAP: 0.0617 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    12/18 | alpha: 0.200 | norm: none | MAP: 0.0626 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    13/18 | alpha: 0.200 | norm: l2 | MAP: 0.0624 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    14/18 | alpha: 0.200 | norm: l1 | MAP: 0.0605 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    15/18 | alpha: 0.200 | norm: max | MAP: 0.0626 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    16/18 | alpha: 0.250 | norm: none | MAP: 0.0634 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    17/18 | alpha: 0.250 | norm: l2 | MAP: 0.0631 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    18/18 | alpha: 0.250 | norm: l1 | MAP: 0.0613 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    19/18 | alpha: 0.250 | norm: max | MAP: 0.0634 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    20/18 | alpha: 0.300 | norm: none | MAP: 0.0640 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    21/18 | alpha: 0.300 | norm: l2 | MAP: 0.0644 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    22/18 | alpha: 0.300 | norm: l1 | MAP: 0.0616 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    23/18 | alpha: 0.300 | norm: max | MAP: 0.0640 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    24/18 | alpha: 0.350 | norm: none | MAP: 0.0644 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    25/18 | alpha: 0.350 | norm: l2 | MAP: 0.0647 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    26/18 | alpha: 0.350 | norm: l1 | MAP: 0.0621 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    27/18 | alpha: 0.350 | norm: max | MAP: 0.0644 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    28/18 | alpha: 0.400 | norm: none | MAP: 0.0644 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    29/18 | alpha: 0.400 | norm: l2 | MAP: 0.0654 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    30/18 | alpha: 0.400 | norm: l1 | MAP: 0.0629 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    31/18 | alpha: 0.400 | norm: max | MAP: 0.0644 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    32/18 | alpha: 0.450 | norm: none | MAP: 0.0651 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    33/18 | alpha: 0.450 | norm: l2 | MAP: 0.0653 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    34/18 | alpha: 0.450 | norm: l1 | MAP: 0.0633 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    35/18 | alpha: 0.450 | norm: max | MAP: 0.0651 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    36/18 | alpha: 0.500 | norm: none | MAP: 0.0654 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    37/18 | alpha: 0.500 | norm: l2 | MAP: 0.0654 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    38/18 | alpha: 0.500 | norm: l1 | MAP: 0.0636 |
|HRhat(HRhat(ItemKNNCB, UserKNNCB), P3alpha)| iter:    39/18 | alpha: 0.500 | norm: max | MAP: 0.0654 |
