['none', 'l2', 'l1', 'max']
|HRhat(ItemKNNCB, UserKNNCB)| iter:     0/18 | alpha: 0.050 | norm: none | MAP: 0.0551 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:     1/18 | alpha: 0.050 | norm: l2 | MAP: 0.0531 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:     2/18 | alpha: 0.050 | norm: l1 | MAP: 0.0529 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:     3/18 | alpha: 0.050 | norm: max | MAP: 0.0536 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:     4/18 | alpha: 0.100 | norm: none | MAP: 0.0546 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:     5/18 | alpha: 0.100 | norm: l2 | MAP: 0.0535 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:     6/18 | alpha: 0.100 | norm: l1 | MAP: 0.0532 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:     7/18 | alpha: 0.100 | norm: max | MAP: 0.0546 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:     8/18 | alpha: 0.150 | norm: none | MAP: 0.0557 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:     9/18 | alpha: 0.150 | norm: l2 | MAP: 0.0541 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    10/18 | alpha: 0.150 | norm: l1 | MAP: 0.0535 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    11/18 | alpha: 0.150 | norm: max | MAP: 0.0557 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    12/18 | alpha: 0.200 | norm: none | MAP: 0.0563 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    13/18 | alpha: 0.200 | norm: l2 | MAP: 0.0550 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    14/18 | alpha: 0.200 | norm: l1 | MAP: 0.0541 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    15/18 | alpha: 0.200 | norm: max | MAP: 0.0563 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    16/18 | alpha: 0.250 | norm: none | MAP: 0.0557 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    17/18 | alpha: 0.250 | norm: l2 | MAP: 0.0558 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    18/18 | alpha: 0.250 | norm: l1 | MAP: 0.0547 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    19/18 | alpha: 0.250 | norm: max | MAP: 0.0557 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    20/18 | alpha: 0.300 | norm: none | MAP: 0.0548 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    21/18 | alpha: 0.300 | norm: l2 | MAP: 0.0570 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    22/18 | alpha: 0.300 | norm: l1 | MAP: 0.0555 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    23/18 | alpha: 0.300 | norm: max | MAP: 0.0548 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    24/18 | alpha: 0.350 | norm: none | MAP: 0.0536 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    25/18 | alpha: 0.350 | norm: l2 | MAP: 0.0581 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    26/18 | alpha: 0.350 | norm: l1 | MAP: 0.0561 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    27/18 | alpha: 0.350 | norm: max | MAP: 0.0536 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    28/18 | alpha: 0.400 | norm: none | MAP: 0.0520 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    29/18 | alpha: 0.400 | norm: l2 | MAP: 0.0592 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    30/18 | alpha: 0.400 | norm: l1 | MAP: 0.0571 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    31/18 | alpha: 0.400 | norm: max | MAP: 0.0520 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    32/18 | alpha: 0.450 | norm: none | MAP: 0.0503 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    33/18 | alpha: 0.450 | norm: l2 | MAP: 0.0592 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    34/18 | alpha: 0.450 | norm: l1 | MAP: 0.0583 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    35/18 | alpha: 0.450 | norm: max | MAP: 0.0503 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    36/18 | alpha: 0.500 | norm: none | MAP: 0.0480 |
|HRhat(ItemKNNCB, UserKNNCB)| iter:    37/18 | alpha: 0.500 | norm: l2 | MAP: 0.0584 |
