['none', 'l2', 'l1', 'max']
|HRhat(ItemKNNCF, UserKNNCF)| iter:     0/18 | alpha: 0.050 | norm: none | MAP: 0.0570 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:     1/18 | alpha: 0.050 | norm: l2 | MAP: 0.0568 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:     2/18 | alpha: 0.050 | norm: l1 | MAP: 0.0567 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:     3/18 | alpha: 0.050 | norm: max | MAP: 0.0569 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:     4/18 | alpha: 0.100 | norm: none | MAP: 0.0573 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:     5/18 | alpha: 0.100 | norm: l2 | MAP: 0.0571 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:     6/18 | alpha: 0.100 | norm: l1 | MAP: 0.0570 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:     7/18 | alpha: 0.100 | norm: max | MAP: 0.0573 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:     8/18 | alpha: 0.150 | norm: none | MAP: 0.0572 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:     9/18 | alpha: 0.150 | norm: l2 | MAP: 0.0574 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    10/18 | alpha: 0.150 | norm: l1 | MAP: 0.0573 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    11/18 | alpha: 0.150 | norm: max | MAP: 0.0572 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    12/18 | alpha: 0.200 | norm: none | MAP: 0.0574 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    13/18 | alpha: 0.200 | norm: l2 | MAP: 0.0574 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    14/18 | alpha: 0.200 | norm: l1 | MAP: 0.0570 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    15/18 | alpha: 0.200 | norm: max | MAP: 0.0574 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    16/18 | alpha: 0.250 | norm: none | MAP: 0.0574 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    17/18 | alpha: 0.250 | norm: l2 | MAP: 0.0572 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    18/18 | alpha: 0.250 | norm: l1 | MAP: 0.0573 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    19/18 | alpha: 0.250 | norm: max | MAP: 0.0574 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    20/18 | alpha: 0.300 | norm: none | MAP: 0.0575 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    21/18 | alpha: 0.300 | norm: l2 | MAP: 0.0575 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    22/18 | alpha: 0.300 | norm: l1 | MAP: 0.0573 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    23/18 | alpha: 0.300 | norm: max | MAP: 0.0575 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    24/18 | alpha: 0.350 | norm: none | MAP: 0.0572 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    25/18 | alpha: 0.350 | norm: l2 | MAP: 0.0572 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    26/18 | alpha: 0.350 | norm: l1 | MAP: 0.0573 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    27/18 | alpha: 0.350 | norm: max | MAP: 0.0572 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    28/18 | alpha: 0.400 | norm: none | MAP: 0.0568 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    29/18 | alpha: 0.400 | norm: l2 | MAP: 0.0572 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    30/18 | alpha: 0.400 | norm: l1 | MAP: 0.0569 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    31/18 | alpha: 0.400 | norm: max | MAP: 0.0568 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    32/18 | alpha: 0.450 | norm: none | MAP: 0.0565 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    33/18 | alpha: 0.450 | norm: l2 | MAP: 0.0567 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    34/18 | alpha: 0.450 | norm: l1 | MAP: 0.0568 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    35/18 | alpha: 0.450 | norm: max | MAP: 0.0565 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    36/18 | alpha: 0.500 | norm: none | MAP: 0.0557 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    37/18 | alpha: 0.500 | norm: l2 | MAP: 0.0563 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    38/18 | alpha: 0.500 | norm: l1 | MAP: 0.0562 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    39/18 | alpha: 0.500 | norm: max | MAP: 0.0557 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    40/18 | alpha: 0.550 | norm: none | MAP: 0.0550 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    41/18 | alpha: 0.550 | norm: l2 | MAP: 0.0555 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    42/18 | alpha: 0.550 | norm: l1 | MAP: 0.0558 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    43/18 | alpha: 0.550 | norm: max | MAP: 0.0550 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    44/18 | alpha: 0.600 | norm: none | MAP: 0.0545 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    45/18 | alpha: 0.600 | norm: l2 | MAP: 0.0549 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    46/18 | alpha: 0.600 | norm: l1 | MAP: 0.0553 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    47/18 | alpha: 0.600 | norm: max | MAP: 0.0545 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    48/18 | alpha: 0.650 | norm: none | MAP: 0.0541 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    49/18 | alpha: 0.650 | norm: l2 | MAP: 0.0541 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    50/18 | alpha: 0.650 | norm: l1 | MAP: 0.0553 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    51/18 | alpha: 0.650 | norm: max | MAP: 0.0541 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    52/18 | alpha: 0.700 | norm: none | MAP: 0.0538 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    53/18 | alpha: 0.700 | norm: l2 | MAP: 0.0540 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    54/18 | alpha: 0.700 | norm: l1 | MAP: 0.0545 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    55/18 | alpha: 0.700 | norm: max | MAP: 0.0538 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    56/18 | alpha: 0.750 | norm: none | MAP: 0.0530 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    57/18 | alpha: 0.750 | norm: l2 | MAP: 0.0532 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    58/18 | alpha: 0.750 | norm: l1 | MAP: 0.0537 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    59/18 | alpha: 0.750 | norm: max | MAP: 0.0530 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    60/18 | alpha: 0.800 | norm: none | MAP: 0.0521 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    61/18 | alpha: 0.800 | norm: l2 | MAP: 0.0524 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    62/18 | alpha: 0.800 | norm: l1 | MAP: 0.0529 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    63/18 | alpha: 0.800 | norm: max | MAP: 0.0521 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    64/18 | alpha: 0.850 | norm: none | MAP: 0.0514 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    65/18 | alpha: 0.850 | norm: l2 | MAP: 0.0517 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    66/18 | alpha: 0.850 | norm: l1 | MAP: 0.0518 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    67/18 | alpha: 0.850 | norm: max | MAP: 0.0514 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    68/18 | alpha: 0.900 | norm: none | MAP: 0.0510 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    69/18 | alpha: 0.900 | norm: l2 | MAP: 0.0513 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    70/18 | alpha: 0.900 | norm: l1 | MAP: 0.0515 |
|HRhat(ItemKNNCF, UserKNNCF)| iter:    71/18 | alpha: 0.900 | norm: max | MAP: 0.0510 |
|HRhat(ItemKNNCF, UserKNNCF)| best results | alpha: 0.300 | norm: none | MAP: 0.0575 |
