| iter:     0/200 | topk:  10 | alpha: 0.000 | norm: non | MAP: 0.0366 |
| iter:     1/200 | topk:  10 | alpha: 0.100 | norm: non | MAP: 0.0357 |
| iter:     2/200 | topk:  10 | alpha: 0.200 | norm: non | MAP: 0.0358 |
| iter:     3/200 | topk:  10 | alpha: 0.300 | norm: non | MAP: 0.0358 |
| iter:     4/200 | topk:  10 | alpha: 0.400 | norm: non | MAP: 0.0348 |
| iter:     5/200 | topk:  10 | alpha: 0.500 | norm: non | MAP: 0.0340 |
| iter:     6/200 | topk:  10 | alpha: 0.600 | norm: non | MAP: 0.0336 |
| iter:     7/200 | topk:  10 | alpha: 0.700 | norm: non | MAP: 0.0316 |
| iter:     8/200 | topk:  10 | alpha: 0.800 | norm: non | MAP: 0.0289 |
| iter:     9/200 | topk:  10 | alpha: 0.900 | norm: non | MAP: 0.0271 |
| iter:    10/200 | topk:  30 | alpha: 0.000 | norm: non | MAP: 0.0472 |
| iter:    11/200 | topk:  30 | alpha: 0.100 | norm: non | MAP: 0.0467 |
| iter:    12/200 | topk:  30 | alpha: 0.200 | norm: non | MAP: 0.0469 |
| iter:    13/200 | topk:  30 | alpha: 0.300 | norm: non | MAP: 0.0462 |
| iter:    14/200 | topk:  30 | alpha: 0.400 | norm: non | MAP: 0.0458 |
| iter:    15/200 | topk:  30 | alpha: 0.500 | norm: non | MAP: 0.0459 |
| iter:    16/200 | topk:  30 | alpha: 0.600 | norm: non | MAP: 0.0451 |
| iter:    17/200 | topk:  30 | alpha: 0.700 | norm: non | MAP: 0.0442 |
| iter:    18/200 | topk:  30 | alpha: 0.800 | norm: non | MAP: 0.0429 |
| iter:    19/200 | topk:  30 | alpha: 0.900 | norm: non | MAP: 0.0410 |
| iter:    20/200 | topk:  50 | alpha: 0.000 | norm: non | MAP: 0.0506 |
| iter:    21/200 | topk:  50 | alpha: 0.100 | norm: non | MAP: 0.0504 |
| iter:    22/200 | topk:  50 | alpha: 0.200 | norm: non | MAP: 0.0503 |
| iter:    23/200 | topk:  50 | alpha: 0.300 | norm: non | MAP: 0.0504 |
| iter:    24/200 | topk:  50 | alpha: 0.400 | norm: non | MAP: 0.0502 |
| iter:    25/200 | topk:  50 | alpha: 0.500 | norm: non | MAP: 0.0501 |
| iter:    26/200 | topk:  50 | alpha: 0.600 | norm: non | MAP: 0.0498 |
| iter:    27/200 | topk:  50 | alpha: 0.700 | norm: non | MAP: 0.0488 |
| iter:    28/200 | topk:  50 | alpha: 0.800 | norm: non | MAP: 0.0484 |
| iter:    29/200 | topk:  50 | alpha: 0.900 | norm: non | MAP: 0.0469 |
| iter:    30/200 | topk:  70 | alpha: 0.000 | norm: non | MAP: 0.0520 |
| iter:    31/200 | topk:  70 | alpha: 0.100 | norm: non | MAP: 0.0520 |
| iter:    32/200 | topk:  70 | alpha: 0.200 | norm: non | MAP: 0.0519 |
| iter:    33/200 | topk:  70 | alpha: 0.300 | norm: non | MAP: 0.0520 |
| iter:    34/200 | topk:  70 | alpha: 0.400 | norm: non | MAP: 0.0522 |
| iter:    35/200 | topk:  70 | alpha: 0.500 | norm: non | MAP: 0.0520 |
| iter:    36/200 | topk:  70 | alpha: 0.600 | norm: non | MAP: 0.0518 |
| iter:    37/200 | topk:  70 | alpha: 0.700 | norm: non | MAP: 0.0514 |
| iter:    38/200 | topk:  70 | alpha: 0.800 | norm: non | MAP: 0.0508 |
| iter:    39/200 | topk:  70 | alpha: 0.900 | norm: non | MAP: 0.0496 |
| iter:    40/200 | topk:  90 | alpha: 0.000 | norm: non | MAP: 0.0527 |
| iter:    41/200 | topk:  90 | alpha: 0.100 | norm: non | MAP: 0.0529 |
| iter:    42/200 | topk:  90 | alpha: 0.200 | norm: non | MAP: 0.0527 |
| iter:    43/200 | topk:  90 | alpha: 0.300 | norm: non | MAP: 0.0528 |
| iter:    44/200 | topk:  90 | alpha: 0.400 | norm: non | MAP: 0.0527 |
| iter:    45/200 | topk:  90 | alpha: 0.500 | norm: non | MAP: 0.0526 |
| iter:    46/200 | topk:  90 | alpha: 0.600 | norm: non | MAP: 0.0526 |
| iter:    47/200 | topk:  90 | alpha: 0.700 | norm: non | MAP: 0.0517 |
| iter:    48/200 | topk:  90 | alpha: 0.800 | norm: non | MAP: 0.0518 |
| iter:    49/200 | topk:  90 | alpha: 0.900 | norm: non | MAP: 0.0513 |
| iter:    50/200 | topk: 110 | alpha: 0.000 | norm: non | MAP: 0.0543 |
| iter:    51/200 | topk: 110 | alpha: 0.100 | norm: non | MAP: 0.0539 |
| iter:    52/200 | topk: 110 | alpha: 0.200 | norm: non | MAP: 0.0542 |
| iter:    53/200 | topk: 110 | alpha: 0.300 | norm: non | MAP: 0.0538 |
| iter:    54/200 | topk: 110 | alpha: 0.400 | norm: non | MAP: 0.0537 |
| iter:    55/200 | topk: 110 | alpha: 0.500 | norm: non | MAP: 0.0530 |
| iter:    56/200 | topk: 110 | alpha: 0.600 | norm: non | MAP: 0.0529 |
| iter:    57/200 | topk: 110 | alpha: 0.700 | norm: non | MAP: 0.0526 |
