user_id,item_list
0,1447 4927 25878 15830 13219 6548 1560 1256 25582 20869 
1,19089 23600 6198 19709 12409 3165 8431 12119 20095 16630 
2,14353 2824 3164 5451 5566 19515 18165 16901 991 4842 
3,22487 17820 24093 16857 12473 5412 18569 20905 3942 5934 
4,9243 13427 9578 20577 25804 17733 19704 14715 14271 6537 
5,8097 14706 16172 12214 4257 17819 7013 8089 21373 19874 
6,24383 25044 23906 4824 17252 14020 16617 13020 10745 3382 
7,3850 14682 8499 7646 13840 19560 23534 23885 16405 21270 
8,25407 13629 14059 19056 15499 13143 3957 2426 15691 10834 
9,19792 9609 14978 25779 13390 10132 16375 7836 15782 8877 
10,3556 12906 18751 11361 12375 23026 17557 22923 23361 19792 
11,22956 3220 7856 12951 4661 15586 21948 3935 8488 23403 
12,2281 2823 19291 1592 20211 24546 7820 10380 8593 5447 
13,20969 11533 6446 9992 25407 23154 10594 1770 4213 23880 
14,3641 18499 20644 11848 18859 13887 18500 18644 16728 19103 
15,24546 12643 17130 25766 5709 12230 6 21617 17915 4025 
16,19622 886 21416 7913 12684 4502 8400 17514 921 17305 
17,19089 17723 20146 2665 24402 12409 19480 20404 23989 1455 
18,18793 5032 7267 12048 20300 15778 22385 18649 7472 10847 
19,2426 9555 15691 23154 10834 7095 10981 6327 12818 1583 
20,5078 15398 23465 19907 25957 8606 13616 25517 5925 6893 
21,18788 23778 3875 16803 24366 18901 13138 2646 4224 21786 
22,6616 9487 11597 1668 17899 14583 10005 17368 9824 23206 
23,6200 988 16496 11293 17836 16577 6454 25018 17143 14835 
24,13797 9069 14291 1275 8935 10484 8183 14804 9025 6982 
25,7405 7115 12844 10640 983 25674 290 823 18574 8131 
26,22621 3188 1414 15271 867 23056 15556 4188 19141 16156 
27,5044 6760 17820 8158 57 11706 16188 24484 3711 22270 
28,13424 23835 4411 2233 615 3687 21327 23020 1393 3123 
29,16688 5193 8667 9336 5078 14684 13894 23770 7852 5765 
30,21552 8544 3835 22511 11384 9243 19781 24621 5717 4966 
31,2001 13226 23651 19340 16793 6446 23593 23468 20913 22226 
