user_id,item_list
0,13219 25878 1447 15708 25582 6548 1560 4518 9742 1256 
1,19089 23600 12409 19709 6198 3165 20095 12119 16630 8431 
2,14353 2824 18165 14275 5451 3242 5566 25491 5518 24195 
3,7471 22487 17820 12473 12860 3942 15125 16857 4668 10689 
4,13427 9243 14715 14271 9578 1611 19704 10997 11384 3800 
5,8097 16172 14706 17819 18495 9301 8089 18882 19152 5028 
6,24383 23906 14020 25044 16617 4824 15176 24801 20999 17252 
7,3850 14682 8499 7646 4314 17332 13840 9723 16405 12181 
8,25407 2426 13711 10834 10594 18392 6878 1583 13629 14059 
9,19792 3699 25779 15782 13923 12375 7836 14978 9139 9609 
10,3556 12906 1302 13280 24567 18751 11361 10045 19792 17557 
11,3220 22956 4661 7856 16175 21262 12951 16099 13582 14310 
12,19291 6235 5447 7820 10380 20600 2216 8593 16212 2281 
13,20969 11533 23880 20068 23430 11924 14580 9992 18088 1770 
14,3641 20644 18499 21541 18500 11848 23309 16793 21099 19103 
15,5709 24546 3722 19563 22817 5076 12661 11702 6 12643 
16,19622 7913 4502 13754 21416 886 19217 25585 8400 8175 
17,19089 17723 19480 20146 23778 2665 20404 12407 7030 6198 
18,18793 5032 7267 12048 18649 20300 10847 13609 4936 19190 
19,2426 9555 15691 23154 10834 10981 7095 12818 1583 10594 
20,8606 5925 19907 14132 23465 19209 25517 6893 9633 10381 
21,18788 23778 24366 16803 3875 4224 19198 21786 2646 18901 
22,9487 6616 1668 14583 17368 9824 17899 11597 20163 23206 
23,6200 988 16496 11293 17836 6454 14835 16577 17143 22696 
24,13797 4095 9069 8935 9025 12513 21044 14291 6340 5379 
25,7405 10640 12844 7115 983 290 12385 13792 24295 18574 
26,23056 867 10530 9591 5633 15463 4067 25675 1414 5225 
27,22270 17820 57 6760 8158 5044 21527 5562 24346 23628 
28,6551 8742 7534 23835 18864 2233 21523 8678 13424 3687 
29,5193 7852 21286 8667 12356 23770 16688 5765 17310 14684 
30,8544 21552 24621 4966 8920 3835 11384 9243 5717 24721 
31,2001 13226 23651 23593 19340 23468 13593 16793 6446 7363 
32,9620 18574 1573 290 7115 10640 983 3923 5966 24739 
33,10269 17409 25675 9438 5942 22554 23485 12061 20174 20204 
34,1959 23324 21671 1700 9520 19007 1917 3966 12547 19717 
35,9620 11830 8914 22023 12844 5474 3701 24445 18469 9782 
36,25407 2426 6734 15691 1583 16928 17156 16906 4878 11533 
37,24075 21563 1008 3647 7053 1639 22404 19480 10528 21932 
38,1863 25846 8560 21062 12061 180 7266 13628 21799 4940 
39,2220 21872 24122 23816 4554 10134 9221 21772 2178 7321 
40,5044 16630 10035 24075 25407 8097 22445 20095 23189 15691 
41,14266 6599 17225 17322 14846 1682 24422 141 3417 22100 
42,20553 6612 18512 18930 722 4502 4913 13355 24070 20321 
43,8256 12696 12770 20040 966 8134 1184 552 15536 8366 
44,17470 5093 19886 20520 1413 25185 17374 23324 7418 11576 
45,16948 19487 11658 17723 2665 19525 24128 19089 6813 12648 
46,6088 23536 23711 13541 11792 22359 15459 4620 3983 14418 
47,21912 4032 19326 4738 16124 6369 16998 19281 18852 11514 
48,4781 13552 16893 24985 14867 13178 14484 5284 21071 10626 
49,12585 25253 4302 18549 5787 9646 23846 13409 24664 24746 
50,2426 9555 10594 1583 7991 10834 12818 6734 7727 17156 
51,24075 4957 10845 10848 6628 942 25675 7115 9620 17923 
52,13194 20199 11449 23510 22056 14767 7223 24270 5609 25009 
53,17874 20497 17627 1273 22126 11115 23761 11134 10488 17697 
54,3803 25675 20439 19401 19564 16420 7202 12923 22554 18293 
55,15562 4064 2122 22816 16218 11361 13842 21686 14009 3058 
56,11741 11987 3668 4638 6267 10384 3140 21988 7263 16878 
57,25656 11378 6049 2390 75 2436 24791 24586 25541 24759 
58,306 1259 5930 10951 6047 3913 6412 18022 10524 5495 
59,11223 8531 23950 9005 6544 8841 2846 10803 19668 11867 
60,3527 12483 14314 11774 25458 6096 15094 24473 21952 19518 
61,14378 9782 10653 8826 24747 9090 24579 6446 20334 21236 
62,11527 10311 12914 23895 12759 16394 19150 24378 12214 4481 
63,13424 21051 13231 8654 2760 3456 5905 7940 8558 557 
64,23741 20458 388 1814 15350 5810 17821 11323 14954 22327 
65,1628 11674 19785 16850 4682 18959 2182 22235 3216 8081 
66,24075 2533 10269 19089 7650 16083 8431 11091 12061 19480 
67,4203 17451 9615 17668 22752 20367 22674 22057 19796 14203 
68,6088 18190 2333 3983 5717 11792 4620 9315 23457 23711 
69,25932 2317 25697 21410 1005 24649 15249 24287 11739 11004 
70,4390 4588 6913 11281 551 14356 13081 8990 10653 10162 
71,17565 11064 5094 17668 1621 17400 14684 2459 21349 13660 
72,1863 2996 19094 4940 24340 21552 24075 22645 13541 8920 
73,15915 18419 5185 22750 4502 4675 343 20363 14202 18139 
74,14104 1608 7152 22172 24546 23624 18556 22622 24945 3834 
75,8251 20108 9339 22413 11072 19910 4927 11730 14593 21552 
76,17877 25407 3396 15903 25585 2426 6146 10834 15196 23154 
77,4272 10448 20373 18980 485 13263 21108 7117 15377 3941 
78,20431 2868 25030 19114 18190 15327 9111 6088 23036 25158 
79,10269 9438 5284 341 24985 14964 25675 21071 5942 22554 
80,21652 21517 1001 25538 11064 24092 11863 12035 921 4093 
81,9851 24075 12061 17192 23799 22617 21005 20532 24796 5942 
82,10785 22524 24075 23427 8930 5934 8311 8055 6626 707 
83,2426 9555 23154 10594 16928 1583 7727 10834 17156 9446 
84,20496 9851 4620 24410 7639 141 20148 10191 23127 20818 
85,23774 11533 2478 3580 8984 20863 8860 25596 3737 4878 
86,6446 8955 15161 16779 23039 3720 7389 16247 4860 7630 
87,2001 6446 23468 2888 23651 21021 18798 1303 2877 16577 
88,9851 8811 9438 10269 22554 23711 1439 18293 16268 2468 
89,11785 8070 21236 3701 22716 9352 7686 5961 25365 9782 
