user_id,item_list
0,1447 25878 13219 4927 12543 5161 20869 9851 7639 15830 
1,19089 23600 12409 20095 19709 3165 16630 19480 8431 17257 
2,2824 4842 9549 20323 575 11548 22230 16249 17336 14792 
3,22487 12473 3942 20905 11679 14446 6649 19572 24093 17578 
4,9243 1611 4927 14271 10997 9578 18692 9295 19843 11796 
5,8097 4257 7494 25407 14706 12214 19874 19089 16172 7013 
6,25044 23906 24383 4824 10745 1282 17252 4774 14020 1246 
7,4209 19189 22862 3850 1358 23568 16257 5092 13840 14682 
8,25407 2426 1583 23154 6734 15691 10594 10834 6878 13711 
9,10132 9609 19792 20666 13944 25358 8877 11905 811 11029 
10,3556 12906 11361 23361 22923 12375 23026 23919 16921 17557 
11,22956 7856 3220 12951 12788 20876 21630 16099 3935 8296 
12,2823 2281 1592 20211 24546 10380 19291 2016 8593 9526 
13,20969 11533 11924 1770 9992 23154 4213 25407 23880 6446 
14,18500 18499 3641 16999 20918 20644 244 11848 19103 25407 
15,24546 17130 25766 12643 13433 12230 12903 1745 7839 11702 
16,7913 886 21416 4502 17514 8400 12684 921 17305 14158 
17,19089 17723 20146 9438 19480 16630 12409 5942 20095 25675 
18,5032 18793 12048 7267 20300 15778 18649 9769 22385 7448 
19,2426 9555 15691 23154 10834 7095 12818 1583 10981 10594 
20,15398 23465 13616 5078 25957 8606 24785 5925 15234 5852 
21,3875 18788 23778 16803 18901 13138 24366 6298 2646 21786 
22,6616 11597 17899 10005 9487 1668 23206 7331 14583 3689 
23,988 6200 11293 17836 16496 6454 16577 23562 14835 15457 
24,14291 19480 11730 19709 14895 19089 4209 10786 1185 20108 
25,7115 12844 983 10640 823 25674 7494 18574 23430 8131 
26,867 23711 23056 5717 21975 11792 9029 20496 19781 13707 
27,5044 57 8158 17820 5562 16188 6760 19357 14609 24484 
28,6551 13424 4411 23020 615 21327 1393 23127 23056 13206 
29,14684 16688 5078 25957 19874 5193 5765 21428 8667 9336 
30,8544 21552 24621 5717 3835 11384 9243 20496 4966 8920 
31,2001 13226 23651 16793 13593 23468 19340 13081 6446 22226 
32,1573 9620 18574 10640 7115 290 983 2643 5966 23154 
33,10269 25675 9438 12061 22554 5942 4475 23780 14152 10953 
34,1959 23324 1803 9520 3477 21677 14413 19007 17400 24546 
35,9620 8914 24445 5474 11784 9782 8070 14826 24579 21236 
36,25407 2426 15691 6734 1583 22848 23141 16928 9701 16906 
37,24075 19480 10528 8439 10182 21932 2932 23725 10009 17474 
38,1863 8560 12061 21062 21552 24075 8811 13628 6088 4940 
39,2178 7321 6139 21872 2220 20820 16648 16871 5497 24524 
40,24075 5044 25407 8097 15691 20146 22445 20095 8894 10834 
41,8544 14023 17322 14266 24410 8524 19189 11317 22100 20496 
42,20553 6612 20544 4502 722 7494 19874 13663 16626 11533 
43,610 3469 780 21153 21468 16957 7507 4320 9284 5466 
44,5093 17470 8475 14678 3214 25209 19886 5876 23324 1205 
45,19089 11658 7494 17723 19525 24128 8431 12409 2665 8894 
46,23536 11792 6088 13541 23711 15459 19114 4620 18190 22359 
47,18852 21912 4032 19326 4738 6369 19281 1700 7993 16124 
48,24985 13552 5284 4781 14684 13433 19874 10626 11388 16893 
49,18549 25253 12585 5787 4302 24746 9646 24940 23846 8904 
50,2426 9555 10594 1583 10834 12818 6734 7991 23141 17156 
51,24075 25675 12061 561 22554 7494 5942 16195 10848 25693 
52,20375 13194 2919 8268 22056 25009 20199 2072 14767 11449 
53,8529 14396 20622 4147 14086 12323 13624 19166 18499 1022 
54,3803 25675 7202 20439 19401 18293 19564 16420 22554 15564 
55,15562 3058 10910 10601 4064 675 14236 25182 1868 16218 
56,13764 11741 20933 20401 12742 3348 10384 4638 2910 4083 
57,25656 2390 75 11378 6049 24791 2436 12922 12421 16413 
58,5930 11197 16577 625 17994 306 22324 12943 12601 23996 
59,8841 9005 11223 10803 8531 19668 23950 6544 23042 12026 
60,3527 6096 175 12454 11774 2237 9379 10638 3214 762 
61,8826 6446 14378 24948 6397 16932 22081 20571 12552 23974 
62,16394 8097 5952 11527 12214 10311 12759 8675 19948 12914 
63,13231 3456 13424 8654 14488 21051 7940 5905 8709 13789 
64,23741 17723 20458 14401 12886 2427 12104 339 1628 12347 
65,16850 2182 3840 16416 19525 8081 18959 25255 8587 25013 
66,24075 19089 19480 10269 12061 2533 10786 7494 8431 9851 
67,22057 19796 9822 18574 5966 9615 91 17451 18462 4457 
68,2333 6088 18190 5717 4620 23711 11792 3983 19114 9284 
69,25932 2317 7583 15124 10919 8971 2645 3264 6530 9787 
70,4390 8990 14356 10162 22121 10653 12254 3812 16802 16793 
71,1621 14684 17668 21085 20857 1959 17400 19007 21033 16205 
72,1863 2996 24075 21552 13541 23536 22645 19094 24340 8920 
73,4502 18419 15915 16394 18139 18293 22128 19874 5185 10073 
74,24546 14104 11710 22622 21505 19007 13552 11576 24945 21248 
75,8251 21552 20108 9339 11072 19910 7639 19480 8704 11730 
76,25407 17877 2426 15903 16577 10834 15691 23154 15196 9555 
77,24075 7494 15377 7117 25387 4272 20146 18980 19089 4081 
78,2868 6088 5717 15327 20431 19114 18190 9029 3337 15459 
79,10269 9438 25675 5284 24985 5942 22554 341 13433 24546 
80,4257 21652 1001 4093 12035 15541 6361 24978 11546 24092 
81,24075 9851 12061 10786 19114 23799 25068 11792 10269 5717 
82,24075 19502 10785 1535 8311 23427 24472 14915 22524 12110 
83,2426 9555 23154 10594 16928 1583 10834 23141 13711 17156 
84,20496 9851 4620 24410 23711 20148 7639 12061 10191 15327 
85,3580 11533 5952 13953 8984 25596 13503 2478 23774 6708 
86,6446 16779 15161 8955 11951 4588 14776 24635 16712 7564 
87,2001 6446 16577 23468 3812 22121 2888 18798 23651 5044 
88,9851 10269 8811 9438 23711 22554 18293 21552 19401 11792 
89,11785 8164 9496 4683 301 17866 14193 14835 7816 21236 
90,4620 5717 24075 9851 19480 921 19089 3337 18190 14978 
91,18949 25044 11848 15468 8529 4649 4824 22592 16758 24361 
92,19480 12409 16630 20146 19709 7494 17723 2665 20095 23481 
93,10269 9438 25675 13018 16223 7583 19864 17923 11945 6835 
94,13030 14373 19180 10788 21854 23127 11792 24561 22483 20750 
95,14413 9526 8593 2216 2281 21264 5447 229 24546 11339 
96,8529 5218 3812 2995 17229 19468 17920 9190 17717 20281 
97,12554 4502 24355 19874 25809 1486 20308 18419 19429 18512 
98,19874 24355 4502 17668 20308 5581 4257 15234 19655 11083 
99,11623 19007 14684 20308 1745 25209 7839 9135 24075 17130 
100,24075 4766 19839 24481 5464 18886 20290 6760 24355 1258 
101,25675 11649 21297 22554 25407 2426 15801 10340 7511 16772 
102,13057 22484 19596 22357 15152 19495 24615 20695 16395 13912 
103,19781 867 19704 8544 11796 3348 5717 6547 11067 17065 
104,19874 14684 24355 24075 19480 19089 9438 10581 11550 23534 
105,22750 7202 22554 23485 25675 15790 23424 18293 3803 17858 
106,22356 23711 9851 12061 275 23299 8811 3668 10786 2333 
107,1863 9438 24075 8786 10269 11745 20629 2840 20212 8560 
108,22121 18544 24747 25101 23189 19089 18317 14356 3539 10537 
109,484 13226 7363 10162 20688 25407 5044 15691 22121 4664 
110,8432 1095 15196 5150 17546 9511 3848 25507 15642 17517 
111,24546 1205 5589 2005 13343 8854 17374 19007 17823 11931 
112,14330 10269 16268 7683 1443 16191 6354 20320 25950 598 
113,23723 15563 5574 16987 10328 24655 9241 13424 3550 1928 
114,14100 11260 22040 23033 2426 9125 18770 3442 25092 8699 
115,24075 19792 13615 13831 25779 22554 7944 2210 10688 9438 
116,5044 11820 14356 15903 15196 20146 24577 22121 964 15691 
117,17803 25863 25331 1250 8773 15821 2017 3073 25935 23625 
118,23086 12162 10311 11527 25484 19823 2835 15183 16246 8675 
119,4502 20308 19874 18419 14684 1714 14104 21085 10073 9438 
120,21035 24355 24481 10996 18987 1258 2040 24014 16241 1185 
121,25675 24075 22554 5942 12851 25858 18576 18995 9851 19205 
122,14626 15739 5178 14412 16203 18656 17130 8675 9175 22024 
123,21061 4147 8337 25407 681 1869 13887 3630 13294 7260 
124,2333 5717 13541 23536 22646 23711 2868 18190 4620 1863 
125,4257 6502 828 23221 17668 7753 25 21948 9516 4502 
126,22140 14437 2581 11873 3024 21039 1652 3820 9330 4156 
127,10085 132 22881 18211 7926 6728 25552 23531 18329 2007 
128,9851 25675 10269 9438 10786 1863 15034 13118 8811 23711 
129,18708 861 14045 25693 2165 7944 4884 13099 1454 604 
130,24546 25766 3527 8805 13433 7839 7818 18343 12230 16124 
131,22548 25138 3037 4707 10507 21552 24585 4099 10698 9436 
132,341 21567 20719 7109 5284 11701 1816 18541 9657 6291 
133,21631 23155 11159 22862 11536 5415 22965 6770 14266 22880 
134,21042 17383 23651 10617 18419 16577 22121 3497 13303 12702 
135,16447 25440 23333 24746 72 14302 9529 5889 18288 11841 
136,13433 11550 24909 19480 24546 17236 25801 19976 10573 1894 
137,16726 3579 20963 23405 15733 7053 13373 10782 7016 12953 
138,15592 21095 22523 25028 11432 4796 15327 14343 20737 21264 
139,10391 9347 4463 21064 7012 2491 18837 5469 22102 8472 
140,13433 21153 9940 17180 158 10099 24546 7124 9277 8626 
141,5078 14684 17637 20308 24355 12230 4502 6652 14386 3916 
142,19480 9851 20146 13118 25675 10269 21552 16630 23600 5717 
143,11584 177 2939 9708 15187 14889 16381 11814 681 1478 
144,19089 7494 12409 17723 20146 19709 16630 2665 19480 24128 
145,9591 18119 22845 4100 9345 18122 3943 20679 10019 6774 
146,24075 25675 5942 22554 10786 12061 13118 15564 19089 8538 
147,3497 5930 14141 5469 588 24823 19769 25133 11848 7873 
148,23154 25407 2426 10594 1583 5607 17877 9322 7333 17546 
149,21552 5717 12061 10786 23666 773 5119 21653 11384 12056 
150,19089 17723 23600 19709 20146 20095 7494 24128 16630 8431 
151,19480 525 10979 3169 23481 8158 19089 11687 2932 9664 
152,12214 8828 13902 1830 7175 7635 2061 16537 3261 21619 
153,9195 20210 18412 15182 13609 15783 9118 16263 20447 427 
154,17320 9859 9140 19961 24098 18484 24660 1225 20966 18839 
155,4620 24075 5717 13014 20496 12365 13837 11792 12056 8544 
156,25407 15691 10594 23154 9555 2426 1583 10834 6734 17156 
157,9475 11499 24687 18317 4282 21260 22056 19309 4204 17304 
158,5150 15196 3261 17546 18367 17517 9511 2370 7144 1175 
159,20919 22151 18687 23844 7030 3037 4447 16871 15064 3133 
160,12601 21355 22731 6047 4871 3913 11354 2375 19934 25407 
161,414 3827 16978 12574 8026 17240 19944 8577 333 12571 
162,3473 22128 18293 22750 12875 21552 20363 6039 21342 15915 
163,14641 25197 11832 14684 18394 18419 8395 166 4502 21277 
164,25407 8322 4878 17819 11535 20146 14706 7013 1577 5044 
165,5717 21552 12061 7639 4620 24075 11792 11072 4209 19480 
166,17179 20167 12273 11159 10990 7639 13363 5717 15906 1967 
167,6878 2426 22848 10834 13711 25407 18392 17209 4980 13136 
168,3030 19850 19331 2220 25730 23439 14533 3695 1393 2515 
169,25407 15691 2426 7494 23154 1583 10834 7991 10594 19089 
170,22801 4366 5952 16402 20863 17951 24750 13663 11533 2384 
171,25675 4512 23424 24075 10789 22359 12923 7202 22554 19401 
172,19781 11792 19114 8544 11731 5717 9243 24908 867 10514 
173,17209 2426 9733 13136 20863 25407 16854 13711 12050 11533 
