user_id,item_list
0,13219 25878 1447 15708 25582 6548 10191 1560 11730 4518 
1,19089 23600 12409 19709 6198 20095 3165 16630 12119 19525 
2,14353 2824 18165 5451 14275 25491 5566 5518 3242 24195 
3,7471 22487 17820 12473 12860 15125 3942 16857 4668 20905 
4,13427 9243 14715 1611 9578 14271 19704 10997 11384 21975 
5,8097 16172 14706 17819 8089 7494 12214 7013 19874 18495 
6,24383 23906 14020 25044 16617 4824 15176 17252 25694 4774 
7,3850 14682 8499 7646 4314 17332 13840 23885 16405 9723 
8,25407 2426 10834 13711 6878 18392 10594 1583 15691 23154 
9,19792 25779 3699 14978 9609 15782 13923 7836 9139 10132 
10,3556 12906 1302 13280 18751 19792 17557 11361 24567 12375 
11,3220 22956 4661 7856 16175 21262 12951 16099 19186 21948 
12,19291 6235 7820 5447 10380 20600 2281 2216 2823 8593 
13,20969 11533 23430 23880 11924 9992 14580 18088 20068 3382 
14,3641 20644 18499 21541 11848 18500 23309 21099 16793 19103 
15,24546 5709 5076 3722 11702 22817 12643 19563 6 22622 
16,19622 7913 4502 13754 8175 21416 886 25585 19217 8400 
17,19089 17723 20146 19480 9438 2665 12409 6198 23600 23778 
18,18793 5032 12048 7267 20300 18649 13609 4936 10847 15778 
19,2426 9555 15691 23154 10834 7095 10981 12818 1583 13711 
20,8606 5925 19907 23465 14132 25517 19209 6893 9633 15398 
21,18788 23778 16803 24366 3875 4224 19198 21786 2646 18901 
22,9487 6616 1668 14583 17368 9824 11597 17899 23206 20163 
23,6200 988 11293 17836 16496 6454 14835 16577 17143 6734 
24,13797 4095 9069 8935 14291 9025 12513 19480 21044 6340 
25,7405 10640 12844 7115 983 290 24295 18574 12385 13792 
26,23056 867 10530 12983 19781 16245 4055 25675 4067 21975 
27,17820 22270 57 5044 8158 6760 5562 21527 23628 24484 
28,6551 8742 23835 7534 2233 18864 8678 21523 3687 17914 
29,5193 7852 8667 21286 12356 14684 5765 23770 16688 17310 
30,8544 21552 24621 9243 3835 4966 11384 8920 5717 22511 
31,2001 13226 23651 23593 19340 23468 13593 16793 13081 6446 
32,18574 9620 1573 290 7115 10640 983 5966 3923 24739 
33,10269 25675 17409 9438 5942 22554 12061 23485 20204 20174 
34,1959 23324 19007 1700 21671 9520 12124 1803 3966 12230 
35,9620 11830 8914 12844 22023 5474 24445 3701 9782 18469 
36,25407 2426 6734 15691 1583 16928 16906 23141 22848 17156 
37,24075 1008 1639 19480 21563 3647 10009 7053 10528 21932 
38,1863 25846 8560 21062 12061 4940 13628 180 21799 14385 
39,2220 21872 23816 24122 2178 7321 4554 10134 21772 9221 
40,24075 5044 22554 16630 8097 10035 25407 22445 20095 15691 
41,14266 6599 17322 17225 14846 141 1682 14023 22100 3871 
42,20553 6612 24070 18512 4502 18930 722 13663 13870 4913 
43,8256 12696 12770 20040 8134 1184 966 552 15536 8366 
44,17470 5093 19886 23324 25185 1413 11576 25209 20520 17374 
45,16948 11658 19487 17723 19525 2665 19089 25873 24128 7494 
46,6088 23536 23711 11792 13541 15459 22359 19114 3983 4620 
47,4032 21912 19326 16124 4738 6369 16998 18852 19281 11514 
48,4781 13552 16893 24985 14867 13178 5284 21071 14484 10626 
49,12585 25253 4302 18549 5787 9646 23846 24746 13409 24664 
50,2426 9555 10594 1583 7991 12818 10834 6734 23141 7727 
51,24075 25675 4957 942 10845 25693 6628 561 10848 22554 
52,13194 20199 11449 23510 22056 14767 24270 5609 7223 25009 
53,17874 11115 20497 17627 1273 22126 23761 17697 11134 10488 
54,3803 25675 19401 20439 19564 7202 22554 16420 12923 18293 
55,15562 2122 4064 16218 11361 22816 13842 21686 678 3058 
56,11741 11987 3668 4638 2910 10384 6267 3140 21988 5413 
57,25656 11378 6049 2390 75 24791 2436 24586 25541 6033 
58,306 5930 10951 1259 6047 3913 6412 22324 11197 10524 
59,11223 8531 23950 9005 6544 8841 2846 10803 19668 11867 
60,3527 12483 25458 14314 11774 6096 19281 175 24473 762 
61,8826 10653 9782 14378 24747 9090 6446 24579 21236 1282 
62,11527 10311 16394 12914 12759 23895 12214 5952 21542 19150 
63,13424 13231 21051 8654 3456 2760 5905 8558 7940 13502 
64,23741 20458 388 1814 5810 15350 11323 17821 851 14954 
65,11674 1628 4682 2182 8081 18959 16850 19785 3216 22140 
66,24075 2533 19089 10269 8431 11091 7650 19480 16083 25873 
67,17668 4203 9615 17451 22752 22057 20367 22674 19796 10480 
68,6088 18190 2333 3983 5717 4620 11792 23711 23457 2090 
69,25932 2317 25697 1005 21410 21573 13025 15249 24649 24287 
70,4390 4588 6913 14356 10653 8990 10162 13081 11281 9992 
71,17565 11064 5094 17400 1621 17668 14684 21349 2459 13660 
72,1863 2996 19094 4940 24340 21552 22645 13541 8920 24075 
73,15915 18419 22750 5185 4502 18139 16394 343 22128 4675 
74,14104 24546 1608 22622 7152 18556 22172 23624 24945 9520 
75,8251 20108 9339 11730 19910 11072 4927 7639 8704 22413 
76,17877 25407 15903 3396 2426 16577 15196 10834 23154 6146 
77,4272 10448 18980 7117 20373 485 15377 21108 3941 8610 
78,20431 2868 25030 19114 18190 15327 6088 9111 20230 18809 
79,10269 9438 5284 341 24985 25675 14964 5942 21071 22554 
80,21652 21517 1001 25538 11064 921 12035 24092 11863 4093 
81,9851 24075 12061 23799 5942 21005 17192 10786 22617 20532 
82,10785 22524 23427 24075 8311 8930 19502 5934 1535 24472 
83,2426 9555 23154 16928 10594 1583 10834 7727 13711 17156 
84,20496 4620 9851 24410 10191 20148 141 7639 23127 23711 
85,23774 11533 3580 2478 20863 8984 25596 8860 3737 13503 
86,6446 8955 23039 15161 16779 11951 3720 16247 7389 4860 
87,2001 6446 23468 2888 23651 21021 18798 1303 3812 16577 
88,9851 8811 9438 10269 22554 23711 18293 7202 19401 3803 
89,11785 8070 3701 21236 22716 7686 9352 25365 9782 5961 
90,5717 4620 921 19480 2333 12550 14978 3337 9851 18190 
91,13020 22592 18949 16758 14020 14973 1283 3600 25419 16617 
92,2665 12409 16630 20146 19480 19709 17723 7494 20095 14291 
93,19152 10269 19864 6835 13018 17923 25675 11945 9438 21796 
94,13030 14373 3599 11792 19180 11190 10788 21854 19114 772 
95,14413 9526 8593 2216 19291 11339 5447 7820 1150 21264 
96,8529 2995 6698 5218 23331 9190 3613 19626 19891 10294 
97,12554 19429 20308 19874 18419 24355 4502 21428 1486 25809 
98,24355 19874 17668 4502 20308 8406 15234 5581 4257 19879 
99,9135 25209 11623 7839 19007 6718 17130 2219 3527 24546 
100,15207 1185 16218 11112 24014 1258 24481 1409 8081 5227 
101,20325 4201 21297 18890 7511 1994 15801 7564 9297 22554 
102,10956 15842 22484 19596 13057 19193 25498 10140 12713 10922 
103,19781 19704 867 14715 3348 11067 17065 9243 18380 6547 
104,10581 19874 22653 14684 24355 14158 24909 11550 9438 17668 
105,942 22750 7260 18293 15790 2174 22554 25675 23485 13720 
106,275 23299 22356 3674 8811 4254 16281 22244 20160 16215 
107,1863 24900 7266 8786 4940 20629 9438 17064 8560 13262 
108,18544 22121 173 22335 3539 24747 14378 23688 14356 25101 
109,10162 7363 484 13226 7049 4664 2888 20688 2679 15402 
110,14554 15196 17218 3848 8432 6830 1095 17546 5150 20841 
111,1205 24546 2005 24545 9444 24438 6600 5589 16801 6 
112,5292 14568 13414 4550 21641 16022 17418 22983 18679 7534 
113,23723 16987 15563 5574 10328 12158 24655 13424 9241 8558 
114,14100 7455 25880 4194 9125 11011 17317 20499 3292 11260 
115,13615 13831 24075 19792 21260 25779 7944 5154 22554 10688 
116,5044 11820 15364 6297 15196 19602 25639 16591 16620 2814 
117,17803 2017 25863 15926 3073 2259 12950 3949 1250 21298 
118,23086 10311 12162 11527 1151 24378 19150 7350 6952 12759 
119,4502 20308 19874 14684 4915 18419 1714 678 21085 341 
120,24481 1258 24355 18987 16241 2040 5886 1185 4502 15207 
121,25675 24075 22554 25858 2536 12851 5942 25199 1110 18576 
122,16203 15739 5950 22024 9175 22969 23802 16257 10073 25317 
123,21061 8337 7260 4147 3630 25407 1384 681 15572 1869 
124,22646 5717 2333 13541 23711 18190 2868 2090 23536 1863 
125,6502 4257 17668 25 828 7753 23221 20964 19627 6591 
126,17931 19434 16954 14317 7552 21039 2895 10288 19720 3024 
127,18211 16570 10085 132 17629 843 677 10420 5256 24387 
128,9851 25675 10269 9438 10786 1863 15034 8811 13118 23799 
129,14045 4619 1181 18708 13284 861 604 22423 16536 3736 
130,24546 3527 16124 11702 175 25526 9463 4805 21248 19281 
131,5713 24585 3916 4707 10507 15723 7508 14403 15063 9436 
132,8712 21927 9948 16187 12597 11737 341 8863 11701 6291 
133,11536 6770 21631 6194 22864 22965 11159 22862 23155 23434 
134,17383 19035 21042 12830 6446 14328 15234 4468 16577 23651 
135,4302 16447 25440 9646 24746 23333 23846 24940 20220 23262 
136,18288 13433 3911 24909 11550 11226 9529 18265 16981 17236 
137,16726 3579 13373 23405 4184 7053 2798 12381 9294 21409 
138,21095 7885 14343 17162 10980 22754 878 16901 999 3439 
139,10391 4463 9347 7012 21064 8472 5044 2491 22102 17800 
140,13433 8733 7473 15076 14654 20038 7597 9940 15797 3804 
141,5078 17637 14684 21857 20308 2304 11083 11700 17565 13552 
142,9851 19480 20146 13118 16630 23600 20095 8538 25675 17525 
143,177 24891 11584 19621 2939 14889 24524 1478 767 9708 
144,19089 20191 7494 19631 19709 12409 2854 16630 2665 20146 
145,9591 22845 4100 18119 25682 8587 18122 9345 6774 10019 
146,24075 5942 25675 22554 12061 10786 13118 15564 1888 19308 
147,3497 5930 14141 588 21042 19769 16880 21061 21712 306 
148,23154 25407 2426 10594 7333 1583 5607 9322 17546 10834 
149,21552 21653 23666 5119 5717 12734 11384 19480 10786 12056 
150,6198 17723 19089 23189 23600 20095 24128 19709 20146 6076 
151,19480 525 16524 18037 19040 11687 23481 4437 2451 7495 
152,1830 12214 14481 1175 8828 2061 25676 21619 3261 18263 
153,15182 16263 9118 22684 9195 20210 18412 13609 13993 8467 
154,17320 9859 19961 24098 24660 9194 1225 18484 9140 13625 
155,13014 5717 24446 4620 12365 15544 25927 2694 24075 24694 
156,25407 10594 23154 9555 15691 2426 10834 2492 1583 18452 
157,24687 11499 11701 9475 7585 967 21260 9209 4282 22056 
158,5150 15196 17546 3261 1175 18367 9511 17517 2388 18951 
159,20919 22151 7030 23844 4447 16871 3133 16301 3987 13954 
160,6047 21355 3913 12601 4871 11354 22731 306 18924 2375 
161,3827 414 17488 16978 14784 12574 19250 333 17959 25922 
162,22128 3473 18293 24751 20363 22750 12875 21552 3415 13004 
163,25197 14684 11832 5907 18419 15982 19874 1714 19970 7131 
164,17819 4549 14706 11535 8322 2492 25407 4878 8089 7013 
165,5717 7639 21552 11072 12061 8704 141 4209 4620 8524 
166,5256 11159 20858 1648 14163 17179 20167 21738 12273 20179 
167,6878 2426 22848 10834 13711 22651 10908 5108 11991 13136 
168,3030 13823 23364 24987 18138 24025 14738 25418 19331 25272 
169,25407 15691 7494 2426 23154 1583 10834 10594 16906 7991 
170,20863 17951 5952 4366 22801 16402 2761 8147 13663 9913 
171,4512 23424 19401 25675 22359 9680 7202 12923 10789 24075 
172,19781 11731 2344 19114 9243 22830 10514 17065 13236 21975 
173,17209 9322 25407 2426 9733 12050 13711 25675 11533 20863 
174,17511 10245 6973 13294 3264 2434 22010 10311 13928 14838 
175,5756 2507 20626 16667 7632 13374 17824 23530 12305 25517 
176,6004 23127 21854 2300 18545 12061 15327 24575 9315 22646 
177,25407 6734 10594 21920 17143 9555 1583 19655 18282 6713 
178,8251 22657 8704 23909 3172 7639 25095 1600 2759 13555 
179,16954 8304 7872 20894 16197 22402 25128 7665 6500 24484 
180,14876 2579 2597 10865 23832 5467 22847 17464 4787 25343 
181,19480 13797 19089 8251 21552 23600 19709 23481 14895 4927 
182,15903 17517 19973 5150 3261 22075 25771 17546 12223 5641 
183,19709 23600 12409 17723 23481 20095 7494 6198 3165 5522 
184,7823 15749 9683 16394 20651 21512 10073 23851 10491 16588 
185,5250 4198 14018 653 21255 7574 7607 14084 25204 15809 
186,17877 3264 7742 16587 5289 736 16394 22759 2105 22798 
187,10747 1254 2825 8432 4072 23879 18515 19518 13763 18106 
188,9017 24577 11748 8649 1095 11823 6454 9819 10747 23895 
189,16772 25407 8097 5044 15691 17229 19750 9555 7095 2426 
190,23154 6734 25171 10594 5 5108 25407 23001 9555 8316 
191,13690 6897 8691 18806 13202 14821 22508 1026 23698 24191 
192,24093 15764 8304 17820 24109 4803 5412 57 3997 18122 
193,3656 24243 484 17013 14356 4909 19468 8272 7114 12601 
194,1538 11367 24753 1110 18259 24566 11426 18995 13348 6686 
195,10020 23051 6145 21011 1092 2521 16703 7030 18503 24628 
