user_id,item_list
0,25878 13219 1447 1560 9742 1256 18883 4518 6919 11595 
1,19089 23600 19709 12409 3165 6198 20095 12119 16630 8431 
2,14353 2824 5566 14275 18165 3242 19515 5451 16901 22237 
3,7471 17820 22487 1651 16086 16857 12860 10689 12462 23128 
4,13427 19704 13480 1611 20577 14715 9578 9243 11384 6537 
5,8097 17819 16172 14706 8089 21538 5028 9301 12214 7013 
6,24383 14020 23906 16617 25044 24801 3382 20999 20237 25694 
7,3850 14682 8499 17332 13840 23885 8015 12181 7646 16405 
8,25407 2426 13629 14059 19056 6878 3957 13143 15499 10834 
9,19792 3699 25779 15782 14978 12375 17092 9139 22923 13923 
10,3556 12906 1302 10045 18751 24567 19792 12375 17557 22077 
11,3220 22956 4661 7856 12951 16175 20876 14310 21262 3935 
12,19291 6235 5447 7820 24153 10380 8593 16212 20600 2216 
13,20969 11533 20068 23880 3382 18088 11838 405 23430 2354 
14,3641 20644 18499 11848 21541 18500 555 16793 5109 10412 
15,24546 5709 22817 12643 19563 6 17130 3722 12065 4025 
16,19622 7913 13754 25585 886 21416 19217 17514 8400 12684 
17,19089 17723 20146 9438 2665 12409 16630 5942 23778 19480 
18,18793 5032 12048 7267 20300 18649 4936 15778 10847 13609 
19,2426 9555 15691 23154 10834 7095 12818 10981 13711 16928 
20,8606 23465 14132 19907 19209 6893 10381 25517 15398 5509 
21,18788 23778 24366 16803 3875 4224 19198 2646 21786 12052 
22,9487 6616 1668 14583 17368 11597 9824 17899 23206 10005 
23,6200 988 11293 17836 16496 6454 17143 21806 14835 22696 
24,13797 4095 9069 8935 9025 12513 21044 4170 5379 3666 
25,7405 10640 7115 12844 983 12385 13792 290 24295 3923 
26,23056 4055 12983 5633 16245 25008 19781 10530 1414 5225 
27,22270 17820 57 8158 5044 24346 21527 5562 6760 20383 
28,23835 8742 7534 2233 21523 8678 6551 18864 22881 3123 
29,7852 5193 12356 8667 14684 23770 21286 17310 16538 13485 
30,8544 21552 24621 11384 5717 3835 20496 9243 19781 25491 
31,2001 13226 23593 19340 23651 475 13658 16793 20913 6526 
32,9620 1573 290 18574 10640 7115 3923 983 24739 5715 
33,10269 17409 25675 9438 22554 12061 5942 20204 20174 4475 
