user_id,item_list
0,13219 25878 1447 15708 4927 25582 1560 10191 6548 9742 
1,19089 23600 12409 20095 19709 3165 6198 16630 19525 8431 
2,14353 2824 5451 18165 24195 14275 780 25491 5518 17336 
3,7471 22487 17820 12473 3942 12860 16857 15125 20905 9087 
4,13427 9243 14715 1611 10997 14271 9578 19704 4927 21975 
5,8097 14706 16172 7494 17819 12214 7013 8322 8089 4257 
6,24383 23906 14020 25044 4824 15176 17252 16617 4774 25694 
7,3850 7646 4314 14682 8499 14266 17332 4209 16405 9723 
8,25407 1583 10834 2426 13711 6878 10594 18392 23154 15691 
9,19792 25779 9609 14978 3699 10132 13923 7836 16375 15782 
10,3556 12906 13280 11361 18751 1302 17557 19792 12375 1729 
11,3220 22956 7856 4661 21262 16175 16099 21630 12951 19186 
12,19291 6235 7820 10380 20600 2281 5447 2823 2216 8593 
13,20969 11533 9992 23430 4213 25407 11924 23880 10467 3382 
14,3641 20644 18499 18500 23309 21099 19103 11848 21541 16999 
15,24546 5709 5076 12643 6 11702 19563 17130 12661 3722 
16,19622 7913 4502 8175 21416 886 17305 8400 17514 12684 
17,19089 17723 20146 9438 19480 23600 5942 51 16630 2665 
18,5032 18793 12048 7267 20300 18649 15778 13609 9769 740 
19,2426 9555 15691 23154 10834 12818 7095 1583 16928 10981 
20,8606 5925 23465 19907 25517 15234 6893 14132 15398 25446 
21,18788 23778 16803 3875 24366 4224 18901 21786 2646 19198 
22,9487 6616 1668 14583 17368 17899 11597 9824 20163 20911 
23,6200 988 11293 17836 16496 6454 14835 16577 17143 23562 
24,13797 4095 14291 9069 8935 6239 19480 14895 11730 12513 
25,7405 12844 10640 7115 983 290 18574 24295 25674 12385 
26,23056 867 10530 25675 19781 12983 21975 13236 4067 16245 
27,8158 57 5044 17820 5562 6760 23628 21527 22270 14609 
28,6551 23835 8742 7534 2233 18864 17914 3687 13424 615 
29,5193 14684 8667 7852 21286 25957 21428 19874 16688 5765 
