user_id,item_list
0,13219 25878 1447 1560 4927 11730 15708 1256 25582 6548 
1,19089 23600 12409 19709 6198 20095 3165 16630 12119 19525 
2,14353 2824 18165 5451 14275 5566 25491 19515 5518 24195 
3,7471 17820 22487 12473 16857 12860 15125 20905 9087 3942 
4,13427 9243 1611 14715 19704 9578 11384 10997 21975 14271 
5,8097 14706 16172 17819 12214 19874 8089 7494 4257 7013 
6,24383 23906 14020 25044 4824 16617 17252 15176 25694 24801 
7,3850 14682 8499 7646 4314 4209 13840 16405 17332 23885 
8,25407 2426 10834 6878 13711 18392 1583 10594 13629 15691 
9,19792 25779 14978 3699 15782 9609 13923 16375 7836 12375 
10,3556 12906 18751 1302 19792 13280 11361 17557 12375 24567 
11,3220 22956 7856 4661 12951 16175 21262 20876 3935 16099 
12,19291 6235 5447 7820 10380 20600 2281 8593 2823 2216 
13,20969 11533 23430 23880 9992 3382 11924 18088 25407 1770 
14,3641 20644 18499 11848 21541 18500 23309 19103 16793 21099 
15,24546 5709 12643 5076 11702 17130 22817 6 19563 4025 
16,19622 7913 886 21416 4502 8400 17514 12684 13754 25585 
17,19089 20146 17723 19480 9438 2665 12409 16630 23600 51 
18,18793 5032 12048 7267 20300 18649 4936 15778 10847 13609 
19,2426 9555 15691 23154 10834 7095 12818 10981 13711 1583 
20,8606 23465 5925 19907 25517 6893 14132 15398 19209 9633 
21,18788 23778 16803 3875 24366 4224 2646 21786 19198 18901 
22,9487 6616 1668 14583 17368 11597 17899 9824 23206 10005 
23,6200 988 11293 17836 16496 6454 16577 14835 17143 6734 
24,13797 4095 9069 8935 14291 9025 19480 12513 21044 11730 
25,7405 10640 12844 7115 983 290 24295 18574 12385 25674 
26,23056 867 10530 4055 12983 19781 16245 21975 25675 5633 
27,5044 17820 57 8158 22270 6760 5562 21527 23628 24484 
28,6551 23835 8742 2233 7534 18864 8678 3687 3123 22881 
29,5193 8667 7852 21286 14684 12356 16688 23770 5078 5765 
30,8544 21552 24621 3835 11384 9243 4966 5717 8920 22511 
31,2001 13226 23651 23593 19340 16793 23468 13593 6446 7363 
32,18574 9620 1573 290 7115 10640 983 5966 3923 20656 
33,10269 25675 17409 9438 5942 22554 12061 20204 4475 23485 
34,1959 23324 19007 21671 1700 9520 12124 1803 12230 3966 
35,9620 11830 8914 22023 12844 5474 3701 24445 24948 9782 
36,25407 2426 6734 15691 1583 16928 22848 23141 16906 9701 
37,24075 19480 1639 1008 10009 10528 3647 21932 21563 2932 
38,1863 8560 25846 21062 12061 13628 4940 180 14385 21799 
39,2220 21872 5497 23816 16648 2178 7321 24122 6139 20820 
40,24075 22554 5044 10035 8097 16630 25407 22445 20095 9438 
41,14266 6599 17322 17225 1682 141 14023 14846 22100 9657 
42,20553 6612 24070 18512 4502 13663 18930 722 20544 13870 
43,12770 8256 12696 20040 8134 1184 15536 780 552 966 
44,17470 5093 23324 19886 25185 25209 11576 1413 20520 17374 
45,16948 11658 17723 19487 19525 2665 19089 24128 25873 7494 
46,6088 23536 23711 11792 15459 13541 19114 22359 3983 18190 
47,21912 4032 19326 16124 4738 18852 6369 16998 7993 19281 
48,4781 13552 24985 16893 14867 5284 13178 14684 10626 13433 
49,12585 25253 18549 4302 5787 9646 23846 24746 13409 24664 
50,2426 9555 10594 1583 12818 7991 10834 6734 23141 7727 
51,24075 25675 942 22554 10845 4957 561 25693 7964 6628 
52,13194 20199 11449 22056 23510 14767 5609 24270 25009 7223 
53,17874 11115 20497 17627 1273 22126 17697 21008 23761 11134 
54,3803 25675 19401 19564 20439 7202 22554 16420 12923 18293 
55,15562 2122 4064 678 11361 16218 22816 14009 21686 13842 
56,11987 11741 3668 4638 2910 6267 10384 3140 21988 3348 
57,25656 11378 6049 2390 75 24791 2436 24586 25541 6033 
