user_id,item_list
0,4518 13219 2588 18857 1256 25878 9843 11803 18408 8097 
1,6198 18554 2519 1382 20147 25948 22316 4925 21225 10829 
2,14353 5566 5923 2074 14275 13782 19395 12684 7849 11563 
3,15125 9479 10689 7471 12860 10012 23128 1651 16086 25476 
4,14715 4026 3290 7281 13480 13427 11731 24868 12587 21101 
5,15150 22517 5028 9301 9039 16172 17819 18495 18882 23086 
6,18179 23643 19282 20237 11578 18088 11393 3382 5126 1183 
7,23810 21270 9723 14879 15027 7646 9314 10716 21739 7624 
8,14059 4440 11492 21208 22963 14351 17320 22119 1554 13629 
9,8059 15782 17092 5741 15894 2379 12967 5045 10263 14978 
10,3556 10045 1302 24567 12906 4462 12616 22679 22077 16899 
11,3220 23959 14310 21262 4661 12133 3385 7856 13582 6817 
12,6235 19291 5447 24153 1150 7909 5042 13229 15129 10573 
13,25974 8660 8650 8651 8652 8653 8654 8655 8656 8657 
14,3641 11169 20644 18499 21541 5109 10914 19352 9883 3898 
15,12065 1089 22756 23145 12565 22817 19466 3582 13810 5709 
16,19217 25585 18722 10769 12752 23312 20888 12258 19500 23717 
17,23778 6461 4224 23994 16221 1905 13403 21562 7245 18788 
18,19190 23697 13609 20333 13783 23328 12316 18793 17412 12265 
19,6327 24316 2426 14558 11340 7729 9322 21856 25675 12045 
20,10381 6893 2163 14132 9633 8606 6215 14523 10719 5509 
21,24366 18788 23778 19198 16803 12344 24967 3875 4224 19980 
22,9487 12525 1668 17368 4733 7166 256 18611 13494 15127 
23,22680 6125 7340 7056 22105 19282 22696 4227 20691 6200 
24,13797 4095 15382 9025 12513 21044 12510 10990 4401 15089 
25,7405 12385 13792 16844 10640 12844 8839 290 12713 1294 
26,16245 4252 431 24286 9426 25008 25926 13683 9153 21863 
27,2408 22270 12119 21527 7494 18778 17606 2838 20383 18134 
28,8742 8678 18864 21523 17099 23291 1673 2233 16139 8119 
29,16538 23770 7065 9849 19581 14732 4167 23888 6065 472 
30,25915 9368 24091 8409 11174 9289 10997 6267 20595 7172 
31,475 16897 23593 19974 25146 2717 10762 3028 16118 17331 
32,24739 290 18574 3923 5715 9620 901 4304 17884 24295 
33,17409 1024 3637 1603 14785 13493 16160 25632 13753 23485 
34,3966 2005 363 20307 8881 1959 11770 20094 15386 17811 
35,5663 8914 16267 11175 4035 18469 240 9221 22023 21512 
36,22651 16928 23133 4604 18148 25828 12744 22484 4980 4637 
37,21563 22404 8278 1008 23202 20396 6931 19957 6887 5245 
38,7266 25846 1151 6566 3286 10969 8056 21281 24345 22997 
39,23816 16361 1537 4829 4554 18372 2220 3882 21737 14850 
40,16885 10381 11584 2163 8648 5612 13294 10035 3847 10004 
41,23810 6599 24422 14846 5620 11453 9723 1682 10806 20079 
42,18930 20321 971 225 17513 18599 3900 9832 21159 8147 
43,12809 3323 4322 23854 1184 22365 12770 12696 15536 17365 
44,20520 1413 17470 10215 25185 7418 17374 16092 23324 20352 
45,7896 17301 3856 25873 17761 10315 2659 15239 19793 23904 
46,6894 14271 17749 13919 3236 11360 9764 21275 13398 25903 
47,16124 19326 8928 11194 4032 4738 16998 17177 7993 12241 
48,16893 13178 4781 14867 13469 13552 10749 14484 14188 7327 
49,4302 12585 23846 9646 25253 24664 13409 24746 8904 23262 
50,7727 7991 22557 9592 4604 1249 23001 21601 6734 2426 
51,7728 13902 21688 22013 7812 6815 524 22128 15429 209 
52,13194 7223 20199 24270 23510 9237 18418 14767 11449 14475 
53,17874 11115 11134 10488 17627 17697 1273 22126 23761 20497 
54,25556 10238 1851 23877 18065 7793 17706 13463 24821 18386 
55,2122 678 13842 14009 10258 22816 21686 7934 19786 17570 
56,5413 11987 3668 7203 8277 17079 12034 6267 874 5759 
57,23136 6033 17311 17703 18076 7985 16305 8890 18026 1412 
58,10951 10524 306 18022 3913 6047 11354 1259 15065 19926 
59,2846 11223 8531 6544 11867 2253 9005 23950 13673 838 
60,21952 5051 2241 21983 13830 24140 9170 12014 23277 2977 
61,24747 14232 9782 20334 24358 19253 15146 2840 11581 6137 
62,18334 24378 25762 10311 11527 12714 12759 78 14611 9577 
63,2760 24256 21051 10024 7940 557 23820 19775 24186 9223 
64,15350 1814 5810 17821 12561 835 24729 8533 13577 16665 
65,1538 1628 23552 16174 479 7444 5387 19785 10572 7918 
66,12389 11091 5522 7650 20807 9378 17388 7760 11036 11050 
67,12109 14203 7417 17668 23302 22674 17288 11962 16439 3581 
68,20150 9337 13297 20395 6588 1401 20393 5900 10912 5435 
69,7371 14666 15493 22447 24874 6227 11673 12045 8315 23455 
70,11545 551 22175 8266 10491 18389 13242 15589 14989 4828 
71,17565 11064 5094 15244 18135 13660 25160 613 20432 14478 
72,1863 7266 21978 2932 21685 7686 605 24833 23684 14567 
73,13052 9008 12264 6309 3326 8712 14202 4675 10556 5185 
74,14024 22172 21293 1608 7152 23624 5180 16481 25526 19466 
75,2394 22083 15447 24734 23678 3178 1111 7027 12694 21537 
76,22067 9506 13713 25359 12837 14354 10491 2634 3209 12325 
77,13263 10295 10448 14753 4131 19477 9285 3941 10486 8610 
78,10583 20431 3762 3237 10434 15587 19856 9111 5087 24908 
79,24985 341 6651 5180 12653 5284 4781 21071 12546 12952 
80,21652 1449 11064 21517 1001 13052 11764 3326 22939 22182 
81,7370 2289 18719 6242 19751 14115 12568 922 6846 20532 
82,17024 10409 5934 707 25905 24022 20531 12594 8864 8055 
