12-12-2020-01:12:31
HMR(Hsim(ItemKNNCF, ItemKNNCB),Hsim(UserKNNCF, UserKNNCB),Hsim(P3alpha, RP3beta),Hsim(SLIM_MSE, SLIM_BPR),PureSVD)
|iter:     0/2500 | vec: [2.31335540e-01 5.46232886e-01 4.90366701e-05 1.54341817e-01
 6.80407205e-02] | norm: none | MAP: 0.0676 |
|iter:     1/2500 | vec: [0.04828772 0.10272924 0.21131338 0.25192172 0.38574794] | norm: none | MAP: 0.0611 |
|iter:     2/2500 | vec: [0.1338139  0.28467066 0.05633037 0.51834595 0.00683912] | norm: none | MAP: 0.0655 |
|iter:     3/2500 | vec: [0.39084241 0.19015785 0.28800794 0.0532609  0.0777309 ] | norm: none | MAP: 0.0674 |
|iter:     4/2500 | vec: [0.18523519 0.3961792  0.04317938 0.13534697 0.24005925] | norm: none | MAP: 0.0663 |
|iter:     5/2500 | vec: [0.48183115 0.01903283 0.00853096 0.03985722 0.45074784] | norm: none | MAP: 0.0696 |
|iter:     6/2500 | vec: [0.01798358 0.09495762 0.55022515 0.13233022 0.20450343] | norm: none | MAP: 0.0597 |
|iter:     7/2500 | vec: [0.07991057 0.24451477 0.37933675 0.00389078 0.29234712] | norm: none | MAP: 0.0631 |
|iter:     8/2500 | vec: [0.57133457 0.17518494 0.04181124 0.19782815 0.01384109] | norm: none | MAP: 0.0719 |
|iter:     9/2500 | vec: [0.15579783 0.62749355 0.09116672 0.08900769 0.03653421] | norm: none | MAP: 0.0651 |
|iter:    10/2500 | vec: [0.0082234  0.4775875  0.09998514 0.12977374 0.28443022] | norm: none | MAP: 0.0606 |
|iter:    11/2500 | vec: [0.01735314 0.2701085  0.05021153 0.28159951 0.38072732] | norm: none | MAP: 0.0592 |
|iter:    12/2500 | vec: [0.04472236 0.22143388 0.49109433 0.22152105 0.02122838] | norm: none | MAP: 0.0602 |
|iter:    13/2500 | vec: [0.12074922 0.17145975 0.11378569 0.45507512 0.13893022] | norm: none | MAP: 0.0656 |
|iter:    14/2500 | vec: [0.48802162 0.03088055 0.03131716 0.34392392 0.10585675] | norm: none | MAP: 0.0720 |
|iter:    15/2500 | vec: [0.03054951 0.44354989 0.07222982 0.23485765 0.21881313] | norm: none | MAP: 0.0614 |
|iter:    16/2500 | vec: [0.40846004 0.18582332 0.26430886 0.0815873  0.05982048] | norm: none | MAP: 0.0680 |
|iter:    17/2500 | vec: [0.27488324 0.06789553 0.40678912 0.13231981 0.1181123 ] | norm: none | MAP: 0.0645 |
|iter:    18/2500 | vec: [0.02392969 0.58617805 0.11734623 0.16957119 0.10297484] | norm: none | MAP: 0.0617 |
|iter:    19/2500 | vec: [0.06116449 0.52836231 0.19275543 0.00064988 0.2170679 ] | norm: none | MAP: 0.0627 |
|iter:    20/2500 | vec: [0.06431503 0.12177022 0.35306519 0.07188482 0.38896474] | norm: none | MAP: 0.0622 |
|iter:    21/2500 | vec: [0.09091226 0.00148479 0.24684057 0.10931085 0.55145153] | norm: none | MAP: 0.0598 |
|iter:    22/2500 | vec: [0.04403633 0.0343386  0.62789159 0.27783761 0.01589586] | norm: none | MAP: 0.0597 |
|iter:    23/2500 | vec: [0.20863714 0.20767894 0.37986786 0.18415825 0.01965781] | norm: none | MAP: 0.0630 |
|iter:    24/2500 | vec: [0.00863929 0.01142731 0.01235413 0.12160285 0.84597642] | norm: none | MAP: 0.0484 |
