13-12-2020-01:00:35
HMR(Hsim(ItemKNNCF, ItemKNNCB),P3alpha,Hsim(UserKNNCF, UserKNNCB),Hsim(SLIM_MSE, SLIM_BPR),PureSVD,IALS)
|iter:     0/2500 | vec: [0.00986657 0.18816057 0.07171899 0.15977784 0.47435909 0.09611694] | norm: l2 | MAP: 0.0560 |
|iter:     1/2500 | vec: [0.15313611 0.01646745 0.06883392 0.15259032 0.25039235 0.35857985] | norm: l2 | MAP: 0.0633 |
|iter:     2/2500 | vec: [0.11603604 0.01650468 0.0822399  0.58155092 0.05807593 0.14559252] | norm: l2 | MAP: 0.0631 |
|iter:     3/2500 | vec: [0.34875871 0.00328537 0.11956909 0.3906736  0.03410637 0.10360685] | norm: l2 | MAP: 0.0679 |
|iter:     4/2500 | vec: [0.3743505  0.02230702 0.11567854 0.21664204 0.1725845  0.0984374 ] | norm: l2 | MAP: 0.0695 |
|iter:     5/2500 | vec: [0.05338192 0.1571596  0.10848277 0.1511265  0.10608539 0.42376381] | norm: l2 | MAP: 0.0642 |
|iter:     6/2500 | vec: [0.36123872 0.09300369 0.20978567 0.07971753 0.14881271 0.10744168] | norm: l2 | MAP: 0.0698 |
|iter:     7/2500 | vec: [0.16947774 0.07318887 0.09722402 0.2010201  0.08428345 0.37480581] | norm: l2 | MAP: 0.0670 |
|iter:     8/2500 | vec: [0.04521397 0.30704003 0.12469595 0.12630629 0.22860341 0.16814035] | norm: l2 | MAP: 0.0616 |
|iter:     9/2500 | vec: [0.14088027 0.00037534 0.02544497 0.32484123 0.19532289 0.3131353 ] | norm: l2 | MAP: 0.0641 |
|iter:    10/2500 | vec: [0.53187927 0.19633493 0.0093318  0.06314446 0.15349217 0.04581737] | norm: l2 | MAP: 0.0723 |
|iter:    11/2500 | vec: [0.31145435 0.26961092 0.17530946 0.05940612 0.17115914 0.01306   ] | norm: l2 | MAP: 0.0686 |
|iter:    12/2500 | vec: [0.10318124 0.17374798 0.3784318  0.18588772 0.04113417 0.11761709] | norm: l2 | MAP: 0.0644 |
|iter:    13/2500 | vec: [0.11041452 0.10058365 0.05093581 0.15089384 0.16734942 0.41982276] | norm: l2 | MAP: 0.0648 |
|iter:    14/2500 | vec: [0.20508331 0.09522061 0.07955064 0.19406448 0.28128643 0.14479452] | norm: l2 | MAP: 0.0642 |
|iter:    15/2500 | vec: [0.21472721 0.3728412  0.0055293  0.27773898 0.04312858 0.08603474] | norm: l2 | MAP: 0.0666 |
