18-12-2020-18:26:05
HMR(ItemKNNCB,P3alpha,IALS)
|iter:     0/2500 | vec: [0.43718504 0.10152387 0.46129109] | norm: none | MAP: 0.0742 |
|iter:     1/2500 | vec: [0.46562077 0.44402505 0.09035418] | norm: none | MAP: 0.0702 |
|iter:     2/2500 | vec: [0.92624228 0.0015473  0.07221042] | norm: none | MAP: 0.0401 |
|iter:     3/2500 | vec: [0.24783909 0.65648735 0.09567356] | norm: none | MAP: 0.0639 |
|iter:     4/2500 | vec: [0.31727168 0.65416704 0.02856127] | norm: none | MAP: 0.0649 |
|iter:     5/2500 | vec: [0.64634782 0.00641391 0.34723827] | norm: none | MAP: 0.0450 |
|iter:     6/2500 | vec: [0.01202265 0.83545791 0.15251944] | norm: none | MAP: 0.0596 |
|iter:     7/2500 | vec: [0.45560998 0.23629828 0.30809173] | norm: none | MAP: 0.0749 |
|iter:     8/2500 | vec: [0.16030154 0.0656766  0.77402186] | norm: none | MAP: 0.0744 |
|iter:     9/2500 | vec: [0.09054936 0.65093497 0.25851567] | norm: none | MAP: 0.0616 |
|iter:    10/2500 | vec: [0.1761177  0.65083233 0.17304997] | norm: none | MAP: 0.0629 |
|iter:    11/2500 | vec: [0.10655188 0.16027603 0.73317209] | norm: none | MAP: 0.0665 |
|iter:    12/2500 | vec: [0.32717266 0.44684827 0.22597907] | norm: none | MAP: 0.0678 |
|iter:    13/2500 | vec: [0.41425773 0.19964314 0.38609913] | norm: none | MAP: 0.0755 |
|iter:    14/2500 | vec: [0.68582182 0.09273115 0.22144703] | norm: none | MAP: 0.0628 |
|iter:    15/2500 | vec: [0.32455777 0.53943227 0.13600996] | norm: none | MAP: 0.0664 |
|iter:    16/2500 | vec: [0.19986024 0.24223483 0.55790492] | norm: none | MAP: 0.0682 |
|iter:    17/2500 | vec: [0.26860243 0.60476526 0.12663231] | norm: none | MAP: 0.0646 |
|iter:    18/2500 | vec: [0.20281661 0.05931787 0.73786552] | norm: none | MAP: 0.0763 |
|iter:    19/2500 | vec: [0.19645772 0.61616729 0.18737499] | norm: none | MAP: 0.0634 |
|iter:    20/2500 | vec: [0.71843886 0.15861145 0.12294969] | norm: none | MAP: 0.0704 |
|iter:    21/2500 | vec: [0.18103201 0.39816222 0.42080577] | norm: none | MAP: 0.0649 |
|iter:    22/2500 | vec: [0.47573609 0.04647279 0.47779112] | norm: none | MAP: 0.0642 |
|iter:    23/2500 | vec: [0.07313194 0.3424954  0.58437266] | norm: none | MAP: 0.0627 |
|iter:    24/2500 | vec: [0.42146595 0.53931621 0.03921783] | norm: none | MAP: 0.0678 |
|iter:    25/2500 | vec: [0.41569945 0.07403557 0.51026498] | norm: none | MAP: 0.0736 |
|iter:    26/2500 | vec: [0.23041201 0.74422702 0.02536097] | norm: none | MAP: 0.0629 |
|iter:    27/2500 | vec: [0.05841861 0.5785575  0.3630239 ] | norm: none | MAP: 0.0610 |
|iter:    28/2500 | vec: [0.25136702 0.55030188 0.1983311 ] | norm: none | MAP: 0.0649 |
|iter:    29/2500 | vec: [0.33304328 0.14308951 0.52386721] | norm: none | MAP: 0.0758 |
|iter:    30/2500 | vec: [0.6414792  0.09395378 0.26456702] | norm: none | MAP: 0.0647 |
|iter:    31/2500 | vec: [0.75811773 0.16278799 0.07909427] | norm: none | MAP: 0.0695 |
|iter:    32/2500 | vec: [0.30418074 0.23716287 0.45865639] | norm: none | MAP: 0.0715 |
|iter:    33/2500 | vec: [0.40764276 0.21470139 0.37765585] | norm: none | MAP: 0.0747 |
|iter:    34/2500 | vec: [0.08029697 0.34408382 0.57561921] | norm: none | MAP: 0.0630 |
|iter:    35/2500 | vec: [0.40976018 0.03642413 0.5538157 ] | norm: none | MAP: 0.0660 |
|iter:    36/2500 | vec: [0.34289411 0.52818261 0.12892328] | norm: none | MAP: 0.0668 |
|iter:    37/2500 | vec: [0.05326111 0.83053032 0.11620856] | norm: none | MAP: 0.0607 |
|iter:    38/2500 | vec: [0.40345293 0.44783581 0.14871126] | norm: none | MAP: 0.0690 |
|iter:    39/2500 | vec: [0.48569597 0.03220669 0.48209734] | norm: none | MAP: 0.0592 |
|iter:    40/2500 | vec: [0.18084768 0.41564322 0.40350911] | norm: none | MAP: 0.0648 |
|iter:    41/2500 | vec: [0.52037557 0.47426714 0.00535729] | norm: none | MAP: 0.0707 |
|iter:    42/2500 | vec: [0.01929849 0.93939035 0.04131117] | norm: none | MAP: 0.0605 |
|iter:    43/2500 | vec: [0.3650266  0.26079973 0.37417366] | norm: none | MAP: 0.0726 |
|iter:    44/2500 | vec: [0.14969094 0.08178586 0.7685232 ] | norm: none | MAP: 0.0726 |
|iter:    45/2500 | vec: [0.92152365 0.00448689 0.07398947] | norm: none | MAP: 0.0403 |
|iter:    46/2500 | vec: [0.53638152 0.18243669 0.2811818 ] | norm: none | MAP: 0.0759 |
|iter:    47/2500 | vec: [0.33362104 0.09588567 0.57049329] | norm: none | MAP: 0.0770 |
|iter:    48/2500 | vec: [0.55976167 0.35256702 0.08767131] | norm: none | MAP: 0.0734 |
|iter:    49/2500 | vec: [0.07918745 0.21627928 0.70453328] | norm: none | MAP: 0.0643 |
|iter:    50/2500 | vec: [0.04877663 0.09227964 0.85894373] | norm: none | MAP: 0.0650 |
|iter:    51/2500 | vec: [0.49082994 0.02542786 0.4837422 ] | norm: none | MAP: 0.0565 |
|iter:    52/2500 | vec: [0.49429662 0.37281972 0.13288365] | norm: none | MAP: 0.0721 |
|iter:    53/2500 | vec: [0.20417435 0.15843227 0.63739338] | norm: none | MAP: 0.0710 |
|iter:    54/2500 | vec: [0.11289197 0.11047513 0.7766329 ] | norm: none | MAP: 0.0689 |
|iter:    55/2500 | vec: [0.3307108  0.4535032  0.21578601] | norm: none | MAP: 0.0677 |
|iter:    56/2500 | vec: [0.09087159 0.09525372 0.81387469] | norm: none | MAP: 0.0685 |
|iter:    57/2500 | vec: [0.3796415  0.42205578 0.19830272] | norm: none | MAP: 0.0692 |
|iter:    58/2500 | vec: [0.88251636 0.04661086 0.07087278] | norm: none | MAP: 0.0468 |
|iter:    59/2500 | vec: [0.37591368 0.27602068 0.34806565] | norm: none | MAP: 0.0724 |
|iter:    60/2500 | vec: [0.20111659 0.75066359 0.04821982] | norm: none | MAP: 0.0624 |
|iter:    61/2500 | vec: [0.18046278 0.68179922 0.137738  ] | norm: none | MAP: 0.0627 |
|iter:    62/2500 | vec: [0.21119182 0.20421937 0.58458881] | norm: none | MAP: 0.0695 |
|iter:    63/2500 | vec: [0.38137984 0.50093288 0.11768728] | norm: none | MAP: 0.0678 |
|iter:    64/2500 | vec: [0.76552137 0.06587658 0.16860205] | norm: none | MAP: 0.0542 |
|iter:    65/2500 | vec: [0.3415275  0.10359555 0.55487696] | norm: none | MAP: 0.0774 |
|iter:    66/2500 | vec: [0.8165406  0.07476983 0.10868958] | norm: none | MAP: 0.0542 |
|iter:    67/2500 | vec: [0.02220815 0.8069447  0.17084715] | norm: none | MAP: 0.0600 |
|iter:    68/2500 | vec: [0.52795646 0.33308038 0.13896316] | norm: none | MAP: 0.0733 |
|iter:    69/2500 | vec: [0.35782919 0.15678529 0.48538552] | norm: none | MAP: 0.0756 |
|iter:    70/2500 | vec: [0.05802091 0.1833744  0.75860469] | norm: none | MAP: 0.0639 |
|iter:    71/2500 | vec: [0.12887558 0.85479639 0.01632803] | norm: none | MAP: 0.0616 |
|iter:    72/2500 | vec: [0.15996014 0.18406476 0.6559751 ] | norm: none | MAP: 0.0684 |
|iter:    73/2500 | vec: [0.54780986 0.15111206 0.30107808] | norm: none | MAP: 0.0746 |
|iter:    74/2500 | vec: [0.4578441  0.16389343 0.37826246] | norm: none | MAP: 0.0767 |
|iter:    75/2500 | vec: [0.61689712 0.1450749  0.23802798] | norm: none | MAP: 0.0727 |
|iter:    76/2500 | vec: [0.07122633 0.20639159 0.72238207] | norm: none | MAP: 0.0641 |
|iter:    77/2500 | vec: [0.65237662 0.24835122 0.09927216] | norm: none | MAP: 0.0757 |
|iter:    78/2500 | vec: [0.39750214 0.20121402 0.40128384] | norm: none | MAP: 0.0750 |
|iter:    79/2500 | vec: [0.20568869 0.01864014 0.77567117] | norm: none | MAP: 0.0744 |
|iter:    80/2500 | vec: [0.2185919  0.35412396 0.42728414] | norm: none | MAP: 0.0666 |
|iter:    81/2500 | vec: [0.35714177 0.21631102 0.42654721] | norm: none | MAP: 0.0739 |
|iter:    82/2500 | vec: [0.86657996 0.02232544 0.1110946 ] | norm: none | MAP: 0.0432 |
|iter:    83/2500 | vec: [0.69905446 0.29500031 0.00594523] | norm: none | MAP: 0.0754 |
