10-01-2021-23:09:44
HMR(ItemKNNCB,RP3beta)
|iter:     0/2000 | vec: [0.1092869 0.8907131] | norm: none | MAP: 0.0601 |
|iter:     1/2000 | vec: [0.08451467 0.91548533] | norm: none | MAP: 0.0598 |
|iter:     2/2000 | vec: [0.41466565 0.58533435] | norm: none | MAP: 0.0667 |
|iter:     3/2000 | vec: [0.66524382 0.33475618] | norm: none | MAP: 0.0740 |
|iter:     4/2000 | vec: [0.62874659 0.37125341] | norm: none | MAP: 0.0731 |
|iter:     5/2000 | vec: [0.05906744 0.94093256] | norm: none | MAP: 0.0595 |
|iter:     6/2000 | vec: [0.77158014 0.22841986] | norm: none | MAP: 0.0729 |
|iter:     7/2000 | vec: [0.86872293 0.13127707] | norm: none | MAP: 0.0623 |
|iter:     8/2000 | vec: [0.60370275 0.39629725] | norm: none | MAP: 0.0723 |
|iter:     9/2000 | vec: [0.53333176 0.46666824] | norm: none | MAP: 0.0694 |
|iter:    10/2000 | vec: [0.74777861 0.25222139] | norm: none | MAP: 0.0736 |
|iter:    11/2000 | vec: [0.53390829 0.46609171] | norm: none | MAP: 0.0695 |
|iter:    12/2000 | vec: [0.71824474 0.28175526] | norm: none | MAP: 0.0743 |
|iter:    13/2000 | vec: [0.05168109 0.94831891] | norm: none | MAP: 0.0594 |
|iter:    14/2000 | vec: [0.93919431 0.06080569] | norm: none | MAP: 0.0478 |
|iter:    15/2000 | vec: [0.09708331 0.90291669] | norm: none | MAP: 0.0599 |
|iter:    16/2000 | vec: [0.443199 0.556801] | norm: none | MAP: 0.0672 |
|iter:    17/2000 | vec: [0.02621037 0.97378963] | norm: none | MAP: 0.0591 |
|iter:    18/2000 | vec: [0.0022631 0.9977369] | norm: none | MAP: 0.0590 |
|iter:    19/2000 | vec: [0.19400022 0.80599978] | norm: none | MAP: 0.0619 |
|iter:    20/2000 | vec: [0.15603744 0.84396256] | norm: none | MAP: 0.0612 |
|iter:    21/2000 | vec: [0.44388717 0.55611283] | norm: none | MAP: 0.0672 |
