08-01-2021-22:14:36
HMR(ItemKNNCB,RP3beta,IALS)
|iter:     0/1000 | vec: [0.09927751 0.80913424 0.09158826] | norm: none | MAP: 0.0748 |
|iter:     1/1000 | vec: [0.60814848 0.16248737 0.22936416] | norm: none | MAP: 0.0542 |
|iter:     2/1000 | vec: [0.57283457 0.28825508 0.13891035] | norm: none | MAP: 0.0597 |
|iter:     3/1000 | vec: [0.12730388 0.05154792 0.8211482 ] | norm: none | MAP: 0.0710 |
|iter:     4/1000 | vec: [0.20254357 0.05996133 0.73749509] | norm: none | MAP: 0.0709 |
|iter:     5/1000 | vec: [0.26555356 0.44338734 0.2910591 ] | norm: none | MAP: 0.0745 |
|iter:     6/1000 | vec: [0.35721223 0.31256268 0.3302251 ] | norm: none | MAP: 0.0712 |
|iter:     7/1000 | vec: [0.32994785 0.3577464  0.31230575] | norm: none | MAP: 0.0727 |
|iter:     8/1000 | vec: [0.54097261 0.21221441 0.24681299] | norm: none | MAP: 0.0592 |
|iter:     9/1000 | vec: [0.49178337 0.47731417 0.03090246] | norm: none | MAP: 0.0677 |
|iter:    10/1000 | vec: [0.01688972 0.15708165 0.82602863] | norm: none | MAP: 0.0715 |
|iter:    11/1000 | vec: [0.63073687 0.00967852 0.35958461] | norm: none | MAP: 0.0463 |
