18-12-2020-09:11:05
HMR(ItemKNNCB,RP3beta,P3alpha,UserKNNCF,UserKNNCB,IALS)
|iter:     0/2500 | vec: [0.32498744 0.07546915 0.342907   0.11949524 0.11395299 0.02318817] | norm: none | MAP: 0.0681 |
|iter:     1/2500 | vec: [0.58997779 0.00098557 0.04599503 0.0899759  0.23833222 0.03473348] | norm: none | MAP: 0.0599 |
|iter:     2/2500 | vec: [0.25907399 0.53417205 0.02332223 0.1185607  0.00117651 0.06369452] | norm: none | MAP: 0.0653 |
|iter:     3/2500 | vec: [0.0043903  0.30508317 0.05569534 0.28923543 0.15000952 0.19558624] | norm: none | MAP: 0.0613 |
|iter:     4/2500 | vec: [0.05910759 0.02421677 0.28540317 0.05716132 0.41091732 0.16319383] | norm: none | MAP: 0.0632 |
|iter:     5/2500 | vec: [0.14065144 0.51976891 0.13820148 0.02145722 0.03227609 0.14764486] | norm: none | MAP: 0.0629 |
|iter:     6/2500 | vec: [0.154688   0.21127092 0.10684344 0.2183957  0.10525139 0.20355055] | norm: none | MAP: 0.0656 |
|iter:     7/2500 | vec: [0.34092831 0.0460975  0.11008335 0.16321713 0.27127555 0.06839816] | norm: none | MAP: 0.0751 |
|iter:     8/2500 | vec: [0.14129089 0.17124754 0.39441003 0.07871435 0.17722738 0.03710979] | norm: none | MAP: 0.0629 |
|iter:     9/2500 | vec: [0.10978695 0.03210944 0.39941503 0.09011291 0.2826289  0.08594677] | norm: none | MAP: 0.0633 |
|iter:    10/2500 | vec: [0.29523543 0.06517982 0.05052497 0.10663868 0.23454134 0.24787975] | norm: none | MAP: 0.0763 |
|iter:    11/2500 | vec: [0.15736394 0.01537227 0.15804371 0.04894136 0.2292048  0.39107392] | norm: none | MAP: 0.0685 |
|iter:    12/2500 | vec: [0.20174751 0.25816013 0.01877281 0.21671225 0.03859619 0.26601111] | norm: none | MAP: 0.0677 |
|iter:    13/2500 | vec: [0.1143441  0.36932955 0.01258561 0.02942783 0.29144298 0.18286992] | norm: none | MAP: 0.0643 |
|iter:    14/2500 | vec: [0.10139201 0.2219711  0.07999931 0.19870614 0.08537258 0.31255886] | norm: none | MAP: 0.0643 |
|iter:    15/2500 | vec: [0.25199187 0.0369078  0.1039297  0.46030682 0.09884009 0.04802372] | norm: none | MAP: 0.0722 |
|iter:    16/2500 | vec: [0.18220035 0.14205751 0.27472928 0.16346998 0.08609802 0.15144485] | norm: none | MAP: 0.0651 |
|iter:    17/2500 | vec: [0.05936703 0.25439609 0.42558024 0.10680671 0.00949419 0.14435574] | norm: none | MAP: 0.0613 |
|iter:    18/2500 | vec: [0.25510746 0.392959   0.09591676 0.01363574 0.2126297  0.02975134] | norm: none | MAP: 0.0657 |
|iter:    19/2500 | vec: [0.15065804 0.16723157 0.055532   0.3043266  0.02018001 0.30207178] | norm: none | MAP: 0.0666 |
|iter:    20/2500 | vec: [0.05642609 0.12968439 0.12589844 0.35801375 0.32629156 0.00368577] | norm: none | MAP: 0.0634 |
|iter:    21/2500 | vec: [0.00427117 0.20790712 0.00914304 0.28423843 0.20307919 0.29136105] | norm: none | MAP: 0.0618 |
|iter:    22/2500 | vec: [0.10978253 0.05998131 0.5636308  0.24568313 0.00119623 0.01972599] | norm: none | MAP: 0.0622 |
|iter:    23/2500 | vec: [0.15554383 0.05290432 0.08153915 0.23687517 0.06808004 0.40505748] | norm: none | MAP: 0.0691 |
|iter:    24/2500 | vec: [0.14270873 0.08988538 0.02235141 0.05899896 0.16113985 0.52491568] | norm: none | MAP: 0.0708 |
|iter:    25/2500 | vec: [0.0146438  0.02770434 0.25787348 0.34347218 0.01779387 0.33851233] | norm: none | MAP: 0.0610 |
|iter:    26/2500 | vec: [0.2572872  0.19405704 0.0691675  0.0978992  0.07596642 0.30562264] | norm: none | MAP: 0.0695 |
|iter:    27/2500 | vec: [0.03565432 0.03489102 0.24528158 0.22626342 0.31027467 0.14763497] | norm: none | MAP: 0.0623 |
|iter:    28/2500 | vec: [0.01488499 0.01560279 0.13331466 0.31745529 0.35292201 0.16582025] | norm: none | MAP: 0.0626 |
|iter:    29/2500 | vec: [0.67665551 0.03573814 0.05434059 0.08768779 0.06438617 0.0811918 ] | norm: none | MAP: 0.0634 |
|iter:    30/2500 | vec: [0.02571163 0.09596812 0.00616463 0.15739163 0.59463502 0.12012897] | norm: none | MAP: 0.0641 |
