17-12-2020-08:45:23
HMR(ItemKNNCF,ItemKNNCB,RP3beta,UserKNNCB,PureSVD)
|iter:     0/2500 | vec: [0.3327022  0.07726069 0.35104715 0.12233189 0.11665808] | norm: none | MAP: 0.0617 |
|iter:     1/2500 | vec: [0.05016554 0.77088293 0.00128777 0.06009851 0.11756525] | norm: none | MAP: 0.0452 |
|iter:     2/2500 | vec: [0.18899529 0.02754334 0.24857011 0.51251461 0.02237665] | norm: none | MAP: 0.0613 |
|iter:     3/2500 | vec: [0.19813511 0.00196616 0.10644438 0.00983758 0.68361677] | norm: none | MAP: 0.0595 |
|iter:     4/2500 | vec: [0.07855364 0.40794247 0.21157593 0.27585809 0.02606988] | norm: none | MAP: 0.0739 |
|iter:     5/2500 | vec: [0.02573809 0.30333242 0.06075223 0.43673147 0.17344579] | norm: none | MAP: 0.0754 |
|iter:     6/2500 | vec: [0.16501506 0.60980321 0.16214073 0.02517404 0.03786696] | norm: none | MAP: 0.0743 |
|iter:     7/2500 | vec: [0.19176409 0.18088072 0.24704459 0.12493482 0.25537578] | norm: none | MAP: 0.0655 |
|iter:     8/2500 | vec: [0.14006776 0.27088354 0.40398245 0.05462316 0.13044308] | norm: none | MAP: 0.0664 |
|iter:     9/2500 | vec: [0.17716714 0.2944612  0.07424409 0.20529984 0.24882774] | norm: none | MAP: 0.0733 |
|iter:    10/2500 | vec: [0.48829114 0.09745067 0.21941268 0.04594301 0.14890251] | norm: none | MAP: 0.0612 |
|iter:    11/2500 | vec: [0.03606939 0.44867353 0.10122623 0.31748457 0.09654629] | norm: none | MAP: 0.0747 |
|iter:    12/2500 | vec: [0.39253753 0.08666144 0.06717672 0.14178408 0.31184022] | norm: none | MAP: 0.0623 |
|iter:    13/2500 | vec: [0.4745385  0.21776155 0.02127227 0.21870221 0.06772547] | norm: none | MAP: 0.0636 |
|iter:    14/2500 | vec: [0.24956941 0.42582043 0.13681213 0.17506752 0.01273051] | norm: none | MAP: 0.0729 |
|iter:    15/2500 | vec: [0.20545329 0.03659098 0.2521909  0.11956662 0.38619821] | norm: none | MAP: 0.0627 |
|iter:    16/2500 | vec: [0.01722187 0.04026837 0.39880392 0.25023503 0.29347082] | norm: none | MAP: 0.0629 |
|iter:    17/2500 | vec: [0.24701661 0.08902582 0.22112661 0.09500536 0.3478256 ] | norm: none | MAP: 0.0633 |
|iter:    18/2500 | vec: [0.26470394 0.03876967 0.10917257 0.48352762 0.10382621] | norm: none | MAP: 0.0620 |
