14-12-2020-21:17:51
HMR(ItemKNNCF,P3alpha,UserKNNCF,IALS)
|iter:     0/2500 | vec: [0.25894112 0.39846938 0.11122949 0.23136001] | norm: none | MAP: 0.0589 |
|iter:     1/2500 | vec: [0.45909287 0.46561749 0.02757325 0.0477164 ] | norm: none | MAP: 0.0583 |
|iter:     2/2500 | vec: [0.0414496  0.4559751  0.02379369 0.47878162] | norm: none | MAP: 0.0592 |
|iter:     3/2500 | vec: [0.30848029 0.09613477 0.33216584 0.2632191 ] | norm: none | MAP: 0.0586 |
|iter:     4/2500 | vec: [0.01445693 0.48740181 0.17872762 0.31941364] | norm: none | MAP: 0.0592 |
|iter:     5/2500 | vec: [0.14713491 0.52133343 0.25623191 0.07529975] | norm: none | MAP: 0.0589 |
|iter:     6/2500 | vec: [0.26950297 0.51920003 0.12531817 0.08597883] | norm: none | MAP: 0.0586 |
|iter:     7/2500 | vec: [0.06067962 0.34047561 0.46092943 0.13791534] | norm: none | MAP: 0.0594 |
|iter:     8/2500 | vec: [0.48853683 0.39169237 0.09949663 0.02027417] | norm: none | MAP: 0.0576 |
|iter:     9/2500 | vec: [0.41079945 0.31638589 0.17396889 0.09884576] | norm: none | MAP: 0.0580 |
|iter:    10/2500 | vec: [0.28773358 0.34901863 0.17297829 0.19026949] | norm: none | MAP: 0.0584 |
|iter:    11/2500 | vec: [0.16112648 0.5187169  0.23237728 0.08777935] | norm: none | MAP: 0.0590 |
|iter:    12/2500 | vec: [0.23486104 0.4371849  0.16580178 0.16215228] | norm: none | MAP: 0.0587 |
|iter:    13/2500 | vec: [0.37517323 0.04745207 0.34357694 0.23379776] | norm: none | MAP: 0.0575 |
|iter:    14/2500 | vec: [0.2486438  0.27764065 0.23748166 0.23623389] | norm: none | MAP: 0.0589 |
|iter:    15/2500 | vec: [0.16490576 0.38885956 0.14640447 0.29983021] | norm: none | MAP: 0.0590 |
|iter:    16/2500 | vec: [0.29759414 0.44464742 0.04793587 0.20982258] | norm: none | MAP: 0.0584 |
|iter:    17/2500 | vec: [0.58859993 0.04332103 0.19435027 0.17372877] | norm: none | MAP: 0.0552 |
|iter:    18/2500 | vec: [0.44247192 0.22156558 0.31213361 0.02382888] | norm: none | MAP: 0.0578 |
|iter:    19/2500 | vec: [0.132767   0.39103243 0.29030002 0.18590056] | norm: none | MAP: 0.0590 |
|iter:    20/2500 | vec: [0.03303556 0.19227525 0.04963704 0.72505215] | norm: none | MAP: 0.0607 |
|iter:    21/2500 | vec: [0.33098591 0.22521471 0.3551965  0.08860287] | norm: none | MAP: 0.0583 |
|iter:    22/2500 | vec: [0.40892372 0.2859445  0.20274411 0.10238767] | norm: none | MAP: 0.0583 |
|iter:    23/2500 | vec: [0.27368807 0.20247267 0.16010274 0.36373652] | norm: none | MAP: 0.0592 |
|iter:    24/2500 | vec: [0.40438478 0.18347065 0.32410467 0.08803991] | norm: none | MAP: 0.0580 |
|iter:    25/2500 | vec: [0.03220529 0.19530435 0.23205741 0.54043294] | norm: none | MAP: 0.0599 |
|iter:    26/2500 | vec: [0.55126035 0.22714329 0.02724448 0.19435188] | norm: none | MAP: 0.0577 |
|iter:    27/2500 | vec: [0.48253314 0.28424479 0.12177439 0.11144768] | norm: none | MAP: 0.0580 |
|iter:    28/2500 | vec: [0.08951961 0.07101588 0.02784253 0.81162197] | norm: none | MAP: 0.0617 |
|iter:    29/2500 | vec: [0.58015101 0.08780813 0.30345976 0.0285811 ] | norm: none | MAP: 0.0561 |
|iter:    30/2500 | vec: [0.07224401 0.4034455  0.32382275 0.20048773] | norm: none | MAP: 0.0592 |
|iter:    31/2500 | vec: [0.06320495 0.20778296 0.61651293 0.11249916] | norm: none | MAP: 0.0591 |
|iter:    32/2500 | vec: [0.02119753 0.01733538 0.02521878 0.93624831] | norm: none | MAP: 0.0613 |
|iter:    33/2500 | vec: [0.25241365 0.58931649 0.06045141 0.09781845] | norm: none | MAP: 0.0589 |
|iter:    34/2500 | vec: [0.30038512 0.57630147 0.10625852 0.01705489] | norm: none | MAP: 0.0584 |
|iter:    35/2500 | vec: [0.51669706 0.08897834 0.34979524 0.04452937] | norm: none | MAP: 0.0565 |
|iter:    36/2500 | vec: [0.24878173 0.38585097 0.27214807 0.09321923] | norm: none | MAP: 0.0585 |
|iter:    37/2500 | vec: [0.54778816 0.06343123 0.15904488 0.22973573] | norm: none | MAP: 0.0563 |
|iter:    38/2500 | vec: [0.35014451 0.02786885 0.3541526  0.26783404] | norm: none | MAP: 0.0573 |
|iter:    39/2500 | vec: [0.78720651 0.10129979 0.0506807  0.06081301] | norm: none | MAP: 0.0550 |
|iter:    40/2500 | vec: [0.25217457 0.48142008 0.17199164 0.09441372] | norm: none | MAP: 0.0586 |
|iter:    41/2500 | vec: [0.07894128 0.41854455 0.47996273 0.02255144] | norm: none | MAP: 0.0589 |
|iter:    42/2500 | vec: [0.05671753 0.41553309 0.43966394 0.08808544] | norm: none | MAP: 0.0592 |
|iter:    43/2500 | vec: [0.18537241 0.31895777 0.43881894 0.05685088] | norm: none | MAP: 0.0590 |
|iter:    44/2500 | vec: [0.41856522 0.1766034  0.3442551  0.06057628] | norm: none | MAP: 0.0577 |
|iter:    45/2500 | vec: [0.41297096 0.1708509  0.05163503 0.36454312] | norm: none | MAP: 0.0577 |
|iter:    46/2500 | vec: [0.38329236 0.58370451 0.01480321 0.01819992] | norm: none | MAP: 0.0581 |
|iter:    47/2500 | vec: [0.51853506 0.13879177 0.27777739 0.06489578] | norm: none | MAP: 0.0569 |
|iter:    48/2500 | vec: [0.60012746 0.10991795 0.2778528  0.01210179] | norm: none | MAP: 0.0563 |
|iter:    49/2500 | vec: [0.18825013 0.01857059 0.62271757 0.17046171] | norm: none | MAP: 0.0590 |
|iter:    50/2500 | vec: [0.070795   0.07933651 0.77153528 0.0783332 ] | norm: none | MAP: 0.0593 |
|iter:    51/2500 | vec: [0.08675872 0.24495854 0.29425848 0.37402425] | norm: none | MAP: 0.0597 |
|iter:    52/2500 | vec: [0.37690195 0.18146521 0.37508564 0.0665472 ] | norm: none | MAP: 0.0581 |
|iter:    53/2500 | vec: [0.13748046 0.6838291  0.07088056 0.10780988] | norm: none | MAP: 0.0587 |
|iter:    54/2500 | vec: [0.28909778 0.67816042 0.00077456 0.03196724] | norm: none | MAP: 0.0585 |
|iter:    55/2500 | vec: [0.17586661 0.05038545 0.32325745 0.45049049] | norm: none | MAP: 0.0601 |
|iter:    56/2500 | vec: [0.33286167 0.45763068 0.19122741 0.01828024] | norm: none | MAP: 0.0583 |
|iter:    57/2500 | vec: [0.27601737 0.22184156 0.43341054 0.06873052] | norm: none | MAP: 0.0586 |
|iter:    58/2500 | vec: [0.09295707 0.60660644 0.11042927 0.19000721] | norm: none | MAP: 0.0588 |
|iter:    59/2500 | vec: [0.61922585 0.07262488 0.03537069 0.27277859] | norm: none | MAP: 0.0553 |
|iter:    60/2500 | vec: [0.35385784 0.39973262 0.01814987 0.22825967] | norm: none | MAP: 0.0586 |
|iter:    61/2500 | vec: [0.00271424 0.17970271 0.77726148 0.04032157] | norm: none | MAP: 0.0593 |
|iter:    62/2500 | vec: [0.03884733 0.49318634 0.39480731 0.07315901] | norm: none | MAP: 0.0588 |
|iter:    63/2500 | vec: [0.27132432 0.20420117 0.12780412 0.39667039] | norm: none | MAP: 0.0594 |
|iter:    64/2500 | vec: [0.04719832 0.43935578 0.0107124  0.5027335 ] | norm: none | MAP: 0.0594 |
|iter:    65/2500 | vec: [0.32688135 0.17125303 0.32294575 0.17891986] | norm: none | MAP: 0.0589 |
|iter:    66/2500 | vec: [0.34444462 0.02739171 0.16142255 0.46674112] | norm: none | MAP: 0.0573 |
|iter:    67/2500 | vec: [0.47656583 0.04519354 0.0527048  0.42553582] | norm: none | MAP: 0.0558 |
