08-01-2021-23:31:47
HMR(ItemKNNCF,RP3beta,IALS)
|iter:     0/1000 | vec: [0.09927751 0.80913424 0.09158826] | norm: none | MAP: 0.0743 |
|iter:     1/1000 | vec: [0.60814848 0.16248737 0.22936416] | norm: none | MAP: 0.0660 |
|iter:     2/1000 | vec: [0.57283457 0.28825508 0.13891035] | norm: none | MAP: 0.0680 |
|iter:     3/1000 | vec: [0.12730388 0.05154792 0.8211482 ] | norm: none | MAP: 0.0704 |
|iter:     4/1000 | vec: [0.20254357 0.05996133 0.73749509] | norm: none | MAP: 0.0720 |
|iter:     5/1000 | vec: [0.26555356 0.44338734 0.2910591 ] | norm: none | MAP: 0.0743 |
|iter:     6/1000 | vec: [0.35721223 0.31256268 0.3302251 ] | norm: none | MAP: 0.0725 |
|iter:     7/1000 | vec: [0.32994785 0.3577464  0.31230575] | norm: none | MAP: 0.0730 |
|iter:     8/1000 | vec: [0.54097261 0.21221441 0.24681299] | norm: none | MAP: 0.0680 |
|iter:     9/1000 | vec: [0.49178337 0.47731417 0.03090246] | norm: none | MAP: 0.0704 |
|iter:    10/1000 | vec: [0.01688972 0.15708165 0.82602863] | norm: none | MAP: 0.0711 |
|iter:    11/1000 | vec: [0.63073687 0.00967852 0.35958461] | norm: none | MAP: 0.0633 |
|iter:    12/1000 | vec: [0.0009406  0.41468454 0.58437486] | norm: none | MAP: 0.0746 |
|iter:    13/1000 | vec: [0.68821336 0.04865039 0.26313625] | norm: none | MAP: 0.0623 |
|iter:    14/1000 | vec: [4.43673587e-01 5.55845247e-01 4.81166278e-04] | norm: none | MAP: 0.0711 |
|iter:    15/1000 | vec: [0.12353909 0.777252   0.09920891] | norm: none | MAP: 0.0747 |
|iter:    16/1000 | vec: [0.42604011 0.20044053 0.37351936] | norm: none | MAP: 0.0703 |
|iter:    17/1000 | vec: [0.84678494 0.03770744 0.11550762] | norm: none | MAP: 0.0600 |
|iter:    18/1000 | vec: [0.03144872 0.07700424 0.89154704] | norm: none | MAP: 0.0676 |
|iter:    19/1000 | vec: [0.28298516 0.48052283 0.23649201] | norm: none | MAP: 0.0744 |
|iter:    20/1000 | vec: [0.19061273 0.3156858  0.49370147] | norm: none | MAP: 0.0747 |
|iter:    21/1000 | vec: [0.56973857 0.40713599 0.02312544] | norm: none | MAP: 0.0691 |
|iter:    22/1000 | vec: [0.35144478 0.02836719 0.62018803] | norm: none | MAP: 0.0707 |
