08-01-2021-23:55:29
HMR(ItemKNNCF,RP3beta,P3alpha,IALS,SLIM_ELN)
|iter:     0/1000 | vec: [0.04398291 0.35847073 0.04057635 0.43953375 0.11743626] | norm: none | MAP: 0.0738 |
|iter:     1/1000 | vec: [0.25647389 0.39363112 0.19807843 0.09545415 0.05636242] | norm: none | MAP: 0.0733 |
|iter:     2/1000 | vec: [0.0195807  0.31191671 0.1354009  0.04008431 0.49301737] | norm: none | MAP: 0.0734 |
|iter:     3/1000 | vec: [0.10453265 0.17453523 0.11457266 0.32339076 0.2829687 ] | norm: none | MAP: 0.0736 |
|iter:     4/1000 | vec: [0.40725702 0.13736543 0.14893865 0.13002059 0.17641831] | norm: none | MAP: 0.0731 |
|iter:     5/1000 | vec: [0.02194991 0.02552854 0.46843426 0.45465203 0.02943526] | norm: none | MAP: 0.0721 |
|iter:     6/1000 | vec: [0.00822411 0.07648779 0.40221822 0.50531592 0.00775396] | norm: none | MAP: 0.0723 |
|iter:     7/1000 | vec: [1.25805102e-01 2.39878409e-04 1.05755418e-01 1.49030893e-01
 6.19168709e-01] | norm: none | MAP: 0.0714 |
|iter:     8/1000 | vec: [4.59331908e-02 2.48439693e-01 3.13068114e-01 3.92219479e-01
 3.39523973e-04] | norm: none | MAP: 0.0727 |
|iter:     9/1000 | vec: [0.08338208 0.52460231 0.06696055 0.2210547  0.10400035] | norm: none | MAP: 0.0740 |
|iter:    10/1000 | vec: [0.62036087 0.27934185 0.01243913 0.03810426 0.0497539 ] | norm: none | MAP: 0.0723 |
|iter:    11/1000 | vec: [0.04035653 0.46724373 0.13934182 0.23660931 0.1164486 ] | norm: none | MAP: 0.0735 |
|iter:    12/1000 | vec: [0.10650654 0.17639222 0.27586004 0.25734331 0.18389789] | norm: none | MAP: 0.0729 |
|iter:    13/1000 | vec: [0.03338269 0.15113233 0.01219879 0.2667004  0.5365858 ] | norm: none | MAP: 0.0723 |
|iter:    14/1000 | vec: [0.02033404 0.08098358 0.17619319 0.10849272 0.61399647] | norm: none | MAP: 0.0724 |
|iter:    15/1000 | vec: [0.07469708 0.17529933 0.11704479 0.15074453 0.48221427] | norm: none | MAP: 0.0733 |
|iter:    16/1000 | vec: [0.53437323 0.02201974 0.34488935 0.07895817 0.01975951] | norm: none | MAP: 0.0726 |
|iter:    17/1000 | vec: [0.09825546 0.14509723 0.65974588 0.09437234 0.00252909] | norm: none | MAP: 0.0722 |
|iter:    18/1000 | vec: [0.36692885 0.02200477 0.1215742  0.35440511 0.13508706] | norm: none | MAP: 0.0726 |
|iter:    19/1000 | vec: [0.1641676  0.44721024 0.00571619 0.23585957 0.1470464 ] | norm: none | MAP: 0.0742 |
|iter:    20/1000 | vec: [0.62871782 0.24146729 0.00828647 0.03156551 0.08996291] | norm: none | MAP: 0.0715 |
|iter:    21/1000 | vec: [0.15807064 0.05255085 0.05811427 0.33132882 0.39993542] | norm: none | MAP: 0.0726 |
|iter:    22/1000 | vec: [0.12939623 0.56539987 0.09904035 0.02133785 0.18482569] | norm: none | MAP: 0.0735 |
|iter:    23/1000 | vec: [0.11303834 0.23362311 0.35093114 0.15360883 0.14879858] | norm: none | MAP: 0.0729 |
|iter:    24/1000 | vec: [0.15405284 0.15045908 0.18144    0.45582003 0.05822806] | norm: none | MAP: 0.0734 |
|iter:    25/1000 | vec: [0.03181507 0.10052431 0.09186498 0.16582376 0.60997188] | norm: none | MAP: 0.0723 |
|iter:    26/1000 | vec: [0.02287628 0.22049253 0.6191953  0.11325951 0.02417638] | norm: none | MAP: 0.0723 |
|iter:    27/1000 | vec: [0.1145893  0.03675115 0.68167342 0.07714586 0.08984027] | norm: none | MAP: 0.0721 |
|iter:    28/1000 | vec: [0.24927613 0.2458403  0.13163939 0.36412103 0.00912315] | norm: none | MAP: 0.0738 |
|iter:    29/1000 | vec: [0.45406192 0.11462111 0.04879883 0.2366281  0.14589005] | norm: none | MAP: 0.0727 |
|iter:    30/1000 | vec: [0.61633308 0.01627985 0.12450574 0.09165582 0.15122551] | norm: none | MAP: 0.0711 |
|iter:    31/1000 | vec: [0.07331481 0.00837375 0.20805943 0.12012534 0.59012667] | norm: none | MAP: 0.0722 |
|iter:    32/1000 | vec: [0.0998631  0.08807948 0.16273249 0.12163301 0.52769192] | norm: none | MAP: 0.0727 |
|iter:    33/1000 | vec: [0.32506354 0.14343412 0.04954839 0.19352013 0.28843383] | norm: none | MAP: 0.0736 |
|iter:    34/1000 | vec: [0.18079575 0.64579547 0.03161133 0.07109797 0.07069949] | norm: none | MAP: 0.0740 |
|iter:    35/1000 | vec: [0.14885012 0.17638788 0.25216437 0.30302912 0.11956852] | norm: none | MAP: 0.0728 |
|iter:    36/1000 | vec: [0.06650644 0.1656424  0.06763471 0.17620353 0.52401292] | norm: none | MAP: 0.0731 |
|iter:    37/1000 | vec: [0.09727761 0.62273723 0.08706084 0.08416464 0.10875968] | norm: none | MAP: 0.0738 |
|iter:    38/1000 | vec: [0.28775168 0.21215299 0.19692151 0.20599952 0.0971743 ] | norm: none | MAP: 0.0734 |
|iter:    39/1000 | vec: [0.4760254  0.29400803 0.11722398 0.08931585 0.02342673] | norm: none | MAP: 0.0737 |
|iter:    40/1000 | vec: [0.42326144 0.01280924 0.17938286 0.06167747 0.32286898] | norm: none | MAP: 0.0721 |
