09-01-2021-00:22:31
HMR(ItemKNNCF,RP3beta,UserKNNCF,IALS)
|iter:     0/2000 | vec: [0.04983539 0.40616979 0.04597554 0.49801927] | norm: none | MAP: 0.0742 |
|iter:     1/2000 | vec: [0.17642181 0.24903375 0.38221214 0.1923323 ] | norm: none | MAP: 0.0734 |
|iter:     2/2000 | vec: [0.17736033 0.10472522 0.04240537 0.67550908] | norm: none | MAP: 0.0749 |
|iter:     3/2000 | vec: [0.1822342  0.05394891 0.66354525 0.10027164] | norm: none | MAP: 0.0708 |
|iter:     4/2000 | vec: [0.19490965 0.12794734 0.36114187 0.31600114] | norm: none | MAP: 0.0729 |
|iter:     5/2000 | vec: [0.49449499 0.16679029 0.1808426  0.15787212] | norm: none | MAP: 0.0727 |
|iter:     6/2000 | vec: [0.09784489 0.0383829  0.04464069 0.81913152] | norm: none | MAP: 0.0743 |
|iter:     7/2000 | vec: [0.8746261  0.05662539 0.00667433 0.06207418] | norm: none | MAP: 0.0630 |
|iter:     8/2000 | vec: [0.33424321 0.41991735 0.00644354 0.2393959 ] | norm: none | MAP: 0.0744 |
|iter:     9/2000 | vec: [2.74399233e-04 1.20974645e-01 1.70477880e-01 7.08273075e-01] | norm: none | MAP: 0.0738 |
|iter:    10/2000 | vec: [0.04594879 0.24852407 0.31317444 0.39235269] | norm: none | MAP: 0.0733 |
|iter:    11/2000 | vec: [4.31804776e-04 1.23485742e-01 7.76916380e-01 9.91660728e-02] | norm: none | MAP: 0.0704 |
|iter:    12/2000 | vec: [0.36470049 0.17158188 0.31974147 0.14397616] | norm: none | MAP: 0.0734 |
|iter:    13/2000 | vec: [0.05600109 0.17154582 0.22399262 0.54846046] | norm: none | MAP: 0.0741 |
|iter:    14/2000 | vec: [0.48689305 0.14520165 0.24655961 0.12134569] | norm: none | MAP: 0.0724 |
|iter:    15/2000 | vec: [0.13050639 0.21613989 0.33802148 0.31533224] | norm: none | MAP: 0.0735 |
|iter:    16/2000 | vec: [0.74922844 0.04255639 0.1926641  0.01555106] | norm: none | MAP: 0.0662 |
|iter:    17/2000 | vec: [0.29914488 0.60186223 0.01986747 0.07912541] | norm: none | MAP: 0.0744 |
|iter:    18/2000 | vec: [0.16516185 0.10170006 0.57555454 0.15758356] | norm: none | MAP: 0.0719 |
|iter:    19/2000 | vec: [0.18945075 0.12649349 0.1629137  0.52114206] | norm: none | MAP: 0.0746 |
|iter:    20/2000 | vec: [0.54514503 0.02246361 0.35184157 0.08054979] | norm: none | MAP: 0.0689 |
|iter:    21/2000 | vec: [0.02335445 0.10625723 0.15691373 0.71347459] | norm: none | MAP: 0.0738 |
|iter:    22/2000 | vec: [0.1815145  0.00486442 0.76758868 0.0460324 ] | norm: none | MAP: 0.0695 |
|iter:    23/2000 | vec: [0.16847663 0.49113197 0.18720264 0.15318876] | norm: none | MAP: 0.0741 |
|iter:    24/2000 | vec: [0.53504774 0.00683892 0.28218524 0.1759281 ] | norm: none | MAP: 0.0678 |
