13-12-2020-10:12:59
HMS(ItemKNNCF,ItemKNNCB,RP3beta,P3alpha)
|iter:     0/100 | vec: [2.48224944e-01 5.86112396e-01 5.26167518e-05 1.65610043e-01] | norm: none | MAP: 0.0557 |
|iter:     1/100 | vec: [0.17919426 0.10938868 0.23271788 0.47869918] | norm: none | MAP: 0.0654 |
|iter:     2/100 | vec: [0.16969288 0.25983738 0.18241242 0.38805732] | norm: none | MAP: 0.0697 |
|iter:     3/100 | vec: [0.06589067 0.60631881 0.00799984 0.31979068] | norm: none | MAP: 0.0623 |
|iter:     4/100 | vec: [0.31216528 0.47279711 0.08743369 0.12760392] | norm: none | MAP: 0.0581 |
|iter:     5/100 | vec: [0.24374952 0.52132907 0.05681941 0.17810201] | norm: none | MAP: 0.0586 |
|iter:     6/100 | vec: [0.46776335 0.50343688 0.01988628 0.00891349] | norm: none | MAP: 0.0454 |
|iter:     7/100 | vec: [0.06328226 0.71566316 0.03519843 0.18585616] | norm: none | MAP: 0.0507 |
|iter:     8/100 | vec: [0.57741497 0.13886942 0.21460913 0.06910648] | norm: none | MAP: 0.0671 |
|iter:     9/100 | vec: [0.2657511  0.41228247 0.0042287  0.31773773] | norm: none | MAP: 0.0681 |
|iter:    10/100 | vec: [0.57935346 0.17764372 0.04239808 0.20060474] | norm: none | MAP: 0.0684 |
|iter:    11/100 | vec: [0.03164414 0.17252713 0.69487269 0.10095604] | norm: none | MAP: 0.0669 |
|iter:    12/100 | vec: [0.20768582 0.08524698 0.01196865 0.69509855] | norm: none | MAP: 0.0644 |
|iter:    13/100 | vec: [0.18610609 0.24155271 0.52942061 0.04292059] | norm: none | MAP: 0.0623 |
|iter:    14/100 | vec: [0.2748785  0.05109825 0.28657244 0.38745081] | norm: none | MAP: 0.0640 |
|iter:    15/100 | vec: [0.04569234 0.22623652 0.50174557 0.22632558] | norm: none | MAP: 0.0683 |
|iter:    16/100 | vec: [0.01946748 0.29162584 0.4140987  0.27480798] | norm: none | MAP: 0.0683 |
|iter:    17/100 | vec: [0.46205025 0.14105967 0.37327063 0.02361945] | norm: none | MAP: 0.0667 |
|iter:    18/100 | vec: [0.06036006 0.66287197 0.20402614 0.07274183] | norm: none | MAP: 0.0425 |
|iter:    19/100 | vec: [0.45752712 0.07450594 0.24225853 0.22570841] | norm: none | MAP: 0.0649 |
|iter:    20/100 | vec: [0.43444898 0.19764664 0.28112595 0.08677842] | norm: none | MAP: 0.0680 |
|iter:    21/100 | vec: [0.04852497 0.34892709 0.08618419 0.51636375] | norm: none | MAP: 0.0702 |
|iter:    22/100 | vec: [0.21069662 0.1880736  0.02358148 0.5776483 ] | norm: none | MAP: 0.0670 |
|iter:    23/100 | vec: [0.26488521 0.38277243 0.23244473 0.11989763] | norm: none | MAP: 0.0614 |
