['none', 'l2', 'l1', 'max']
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:     0/18 | alpha: 0.050 | norm: none | MAP: 0.0581 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:     1/18 | alpha: 0.050 | norm: l2 | MAP: 0.0532 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:     2/18 | alpha: 0.050 | norm: l1 | MAP: 0.0538 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:     3/18 | alpha: 0.050 | norm: max | MAP: 0.0531 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:     4/18 | alpha: 0.100 | norm: none | MAP: 0.0538 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:     5/18 | alpha: 0.100 | norm: l2 | MAP: 0.0540 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:     6/18 | alpha: 0.100 | norm: l1 | MAP: 0.0545 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:     7/18 | alpha: 0.100 | norm: max | MAP: 0.0538 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:     8/18 | alpha: 0.150 | norm: none | MAP: 0.0541 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:     9/18 | alpha: 0.150 | norm: l2 | MAP: 0.0542 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    10/18 | alpha: 0.150 | norm: l1 | MAP: 0.0551 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    11/18 | alpha: 0.150 | norm: max | MAP: 0.0541 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    12/18 | alpha: 0.200 | norm: none | MAP: 0.0543 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    13/18 | alpha: 0.200 | norm: l2 | MAP: 0.0545 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    14/18 | alpha: 0.200 | norm: l1 | MAP: 0.0559 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    15/18 | alpha: 0.200 | norm: max | MAP: 0.0543 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    16/18 | alpha: 0.250 | norm: none | MAP: 0.0552 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    17/18 | alpha: 0.250 | norm: l2 | MAP: 0.0554 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    18/18 | alpha: 0.250 | norm: l1 | MAP: 0.0565 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    19/18 | alpha: 0.250 | norm: max | MAP: 0.0552 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    20/18 | alpha: 0.300 | norm: none | MAP: 0.0558 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    21/18 | alpha: 0.300 | norm: l2 | MAP: 0.0558 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    22/18 | alpha: 0.300 | norm: l1 | MAP: 0.0567 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    23/18 | alpha: 0.300 | norm: max | MAP: 0.0558 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    24/18 | alpha: 0.350 | norm: none | MAP: 0.0562 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    25/18 | alpha: 0.350 | norm: l2 | MAP: 0.0565 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    26/18 | alpha: 0.350 | norm: l1 | MAP: 0.0570 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    27/18 | alpha: 0.350 | norm: max | MAP: 0.0562 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    28/18 | alpha: 0.400 | norm: none | MAP: 0.0567 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    29/18 | alpha: 0.400 | norm: l2 | MAP: 0.0569 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    30/18 | alpha: 0.400 | norm: l1 | MAP: 0.0570 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    31/18 | alpha: 0.400 | norm: max | MAP: 0.0567 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    32/18 | alpha: 0.450 | norm: none | MAP: 0.0569 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    33/18 | alpha: 0.450 | norm: l2 | MAP: 0.0570 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    34/18 | alpha: 0.450 | norm: l1 | MAP: 0.0572 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    35/18 | alpha: 0.450 | norm: max | MAP: 0.0569 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    36/18 | alpha: 0.500 | norm: none | MAP: 0.0574 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    37/18 | alpha: 0.500 | norm: l2 | MAP: 0.0572 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    38/18 | alpha: 0.500 | norm: l1 | MAP: 0.0575 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    39/18 | alpha: 0.500 | norm: max | MAP: 0.0574 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    40/18 | alpha: 0.550 | norm: none | MAP: 0.0576 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    41/18 | alpha: 0.550 | norm: l2 | MAP: 0.0576 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    42/18 | alpha: 0.550 | norm: l1 | MAP: 0.0577 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    43/18 | alpha: 0.550 | norm: max | MAP: 0.0576 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    44/18 | alpha: 0.600 | norm: none | MAP: 0.0577 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    45/18 | alpha: 0.600 | norm: l2 | MAP: 0.0581 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    46/18 | alpha: 0.600 | norm: l1 | MAP: 0.0576 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    47/18 | alpha: 0.600 | norm: max | MAP: 0.0577 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    48/18 | alpha: 0.650 | norm: none | MAP: 0.0580 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    49/18 | alpha: 0.650 | norm: l2 | MAP: 0.0578 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    50/18 | alpha: 0.650 | norm: l1 | MAP: 0.0578 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    51/18 | alpha: 0.650 | norm: max | MAP: 0.0580 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    52/18 | alpha: 0.700 | norm: none | MAP: 0.0579 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    53/18 | alpha: 0.700 | norm: l2 | MAP: 0.0578 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    54/18 | alpha: 0.700 | norm: l1 | MAP: 0.0576 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    55/18 | alpha: 0.700 | norm: max | MAP: 0.0579 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    56/18 | alpha: 0.750 | norm: none | MAP: 0.0579 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    57/18 | alpha: 0.750 | norm: l2 | MAP: 0.0579 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    58/18 | alpha: 0.750 | norm: l1 | MAP: 0.0577 |
|HRhat(Hsim(UserKNNCF, UserKNNCB), SLIM_MSE)| iter:    59/18 | alpha: 0.750 | norm: max | MAP: 0.0579 |
