| iter:     0/250 | topk:  10 | alpha: 0.000 | norm: non | MAP: 0.0462 |
| iter:     1/250 | topk:  10 | alpha: 0.100 | norm: non | MAP: 0.0523 |
| iter:     2/250 | topk:  10 | alpha: 0.200 | norm: non | MAP: 0.0504 |
| iter:     3/250 | topk:  10 | alpha: 0.300 | norm: non | MAP: 0.0489 |
| iter:     4/250 | topk:  10 | alpha: 0.400 | norm: non | MAP: 0.0452 |
| iter:     5/250 | topk:  10 | alpha: 0.500 | norm: non | MAP: 0.0426 |
| iter:     6/250 | topk:  10 | alpha: 0.600 | norm: non | MAP: 0.0408 |
| iter:     7/250 | topk:  10 | alpha: 0.700 | norm: non | MAP: 0.0396 |
| iter:     8/250 | topk:  10 | alpha: 0.800 | norm: non | MAP: 0.0379 |
| iter:     9/250 | topk:  10 | alpha: 0.900 | norm: non | MAP: 0.0369 |
| iter:    10/250 | topk:  30 | alpha: 0.000 | norm: non | MAP: 0.0503 |
| iter:    11/250 | topk:  30 | alpha: 0.100 | norm: non | MAP: 0.0566 |
| iter:    12/250 | topk:  30 | alpha: 0.200 | norm: non | MAP: 0.0553 |
| iter:    13/250 | topk:  30 | alpha: 0.300 | norm: non | MAP: 0.0540 |
| iter:    14/250 | topk:  30 | alpha: 0.400 | norm: non | MAP: 0.0522 |
| iter:    15/250 | topk:  30 | alpha: 0.500 | norm: non | MAP: 0.0519 |
| iter:    16/250 | topk:  30 | alpha: 0.600 | norm: non | MAP: 0.0504 |
| iter:    17/250 | topk:  30 | alpha: 0.700 | norm: non | MAP: 0.0493 |
| iter:    18/250 | topk:  30 | alpha: 0.800 | norm: non | MAP: 0.0485 |
| iter:    19/250 | topk:  30 | alpha: 0.900 | norm: non | MAP: 0.0476 |
| iter:    20/250 | topk:  50 | alpha: 0.000 | norm: non | MAP: 0.0521 |
| iter:    21/250 | topk:  50 | alpha: 0.100 | norm: non | MAP: 0.0570 |
| iter:    22/250 | topk:  50 | alpha: 0.200 | norm: non | MAP: 0.0558 |
| iter:    23/250 | topk:  50 | alpha: 0.300 | norm: non | MAP: 0.0545 |
| iter:    24/250 | topk:  50 | alpha: 0.400 | norm: non | MAP: 0.0539 |
| iter:    25/250 | topk:  50 | alpha: 0.500 | norm: non | MAP: 0.0540 |
| iter:    26/250 | topk:  50 | alpha: 0.600 | norm: non | MAP: 0.0526 |
| iter:    27/250 | topk:  50 | alpha: 0.700 | norm: non | MAP: 0.0519 |
| iter:    28/250 | topk:  50 | alpha: 0.800 | norm: non | MAP: 0.0513 |
| iter:    29/250 | topk:  50 | alpha: 0.900 | norm: non | MAP: 0.0510 |
| iter:    30/250 | topk:  70 | alpha: 0.000 | norm: non | MAP: 0.0532 |
| iter:    31/250 | topk:  70 | alpha: 0.100 | norm: non | MAP: 0.0574 |
| iter:    32/250 | topk:  70 | alpha: 0.200 | norm: non | MAP: 0.0566 |
| iter:    33/250 | topk:  70 | alpha: 0.300 | norm: non | MAP: 0.0541 |
| iter:    34/250 | topk:  70 | alpha: 0.400 | norm: non | MAP: 0.0537 |
| iter:    35/250 | topk:  70 | alpha: 0.500 | norm: non | MAP: 0.0537 |
| iter:    36/250 | topk:  70 | alpha: 0.600 | norm: non | MAP: 0.0532 |
| iter:    37/250 | topk:  70 | alpha: 0.700 | norm: non | MAP: 0.0526 |
| iter:    38/250 | topk:  70 | alpha: 0.800 | norm: non | MAP: 0.0521 |
| iter:    39/250 | topk:  70 | alpha: 0.900 | norm: non | MAP: 0.0520 |
| iter:    40/250 | topk:  90 | alpha: 0.000 | norm: non | MAP: 0.0534 |
| iter:    41/250 | topk:  90 | alpha: 0.100 | norm: non | MAP: 0.0581 |
| iter:    42/250 | topk:  90 | alpha: 0.200 | norm: non | MAP: 0.0587 |
| iter:    43/250 | topk:  90 | alpha: 0.300 | norm: non | MAP: 0.0575 |
| iter:    44/250 | topk:  90 | alpha: 0.400 | norm: non | MAP: 0.0567 |
| iter:    45/250 | topk:  90 | alpha: 0.500 | norm: non | MAP: 0.0555 |
| iter:    46/250 | topk:  90 | alpha: 0.600 | norm: non | MAP: 0.0546 |
| iter:    47/250 | topk:  90 | alpha: 0.700 | norm: non | MAP: 0.0535 |
| iter:    48/250 | topk:  90 | alpha: 0.800 | norm: non | MAP: 0.0528 |
| iter:    49/250 | topk:  90 | alpha: 0.900 | norm: non | MAP: 0.0522 |
| iter:    50/250 | topk: 110 | alpha: 0.000 | norm: non | MAP: 0.0534 |
| iter:    51/250 | topk: 110 | alpha: 0.100 | norm: non | MAP: 0.0590 |
| iter:    52/250 | topk: 110 | alpha: 0.200 | norm: non | MAP: 0.0591 |
| iter:    53/250 | topk: 110 | alpha: 0.300 | norm: non | MAP: 0.0581 |
| iter:    54/250 | topk: 110 | alpha: 0.400 | norm: non | MAP: 0.0566 |
| iter:    55/250 | topk: 110 | alpha: 0.500 | norm: non | MAP: 0.0557 |
| iter:    56/250 | topk: 110 | alpha: 0.600 | norm: non | MAP: 0.0545 |
| iter:    57/250 | topk: 110 | alpha: 0.700 | norm: non | MAP: 0.0536 |
| iter:    58/250 | topk: 110 | alpha: 0.800 | norm: non | MAP: 0.0528 |
| iter:    59/250 | topk: 110 | alpha: 0.900 | norm: non | MAP: 0.0522 |
| iter:    60/250 | topk: 130 | alpha: 0.000 | norm: non | MAP: 0.0535 |
| iter:    61/250 | topk: 130 | alpha: 0.100 | norm: non | MAP: 0.0592 |
| iter:    62/250 | topk: 130 | alpha: 0.200 | norm: non | MAP: 0.0595 |
| iter:    63/250 | topk: 130 | alpha: 0.300 | norm: non | MAP: 0.0582 |
| iter:    64/250 | topk: 130 | alpha: 0.400 | norm: non | MAP: 0.0569 |
| iter:    65/250 | topk: 130 | alpha: 0.500 | norm: non | MAP: 0.0558 |
| iter:    66/250 | topk: 130 | alpha: 0.600 | norm: non | MAP: 0.0546 |
| iter:    67/250 | topk: 130 | alpha: 0.700 | norm: non | MAP: 0.0537 |
| iter:    68/250 | topk: 130 | alpha: 0.800 | norm: non | MAP: 0.0528 |
| iter:    69/250 | topk: 130 | alpha: 0.900 | norm: non | MAP: 0.0522 |
| iter:    70/250 | topk: 150 | alpha: 0.000 | norm: non | MAP: 0.0539 |
| iter:    71/250 | topk: 150 | alpha: 0.100 | norm: non | MAP: 0.0592 |
| iter:    72/250 | topk: 150 | alpha: 0.200 | norm: non | MAP: 0.0593 |
| iter:    73/250 | topk: 150 | alpha: 0.300 | norm: non | MAP: 0.0583 |
| iter:    74/250 | topk: 150 | alpha: 0.400 | norm: non | MAP: 0.0570 |
| iter:    75/250 | topk: 150 | alpha: 0.500 | norm: non | MAP: 0.0559 |
| iter:    76/250 | topk: 150 | alpha: 0.600 | norm: non | MAP: 0.0547 |
| iter:    77/250 | topk: 150 | alpha: 0.700 | norm: non | MAP: 0.0538 |
| iter:    78/250 | topk: 150 | alpha: 0.800 | norm: non | MAP: 0.0529 |
| iter:    79/250 | topk: 150 | alpha: 0.900 | norm: non | MAP: 0.0523 |
| iter:    80/250 | topk: 170 | alpha: 0.000 | norm: non | MAP: 0.0540 |
| iter:    81/250 | topk: 170 | alpha: 0.100 | norm: non | MAP: 0.0594 |
| iter:    82/250 | topk: 170 | alpha: 0.200 | norm: non | MAP: 0.0595 |
| iter:    83/250 | topk: 170 | alpha: 0.300 | norm: non | MAP: 0.0585 |
| iter:    84/250 | topk: 170 | alpha: 0.400 | norm: non | MAP: 0.0571 |
| iter:    85/250 | topk: 170 | alpha: 0.500 | norm: non | MAP: 0.0560 |
| iter:    86/250 | topk: 170 | alpha: 0.600 | norm: non | MAP: 0.0547 |
| iter:    87/250 | topk: 170 | alpha: 0.700 | norm: non | MAP: 0.0538 |
| iter:    88/250 | topk: 170 | alpha: 0.800 | norm: non | MAP: 0.0529 |
| iter:    89/250 | topk: 170 | alpha: 0.900 | norm: non | MAP: 0.0523 |
| iter:    90/250 | topk: 190 | alpha: 0.000 | norm: non | MAP: 0.0539 |
| iter:    91/250 | topk: 190 | alpha: 0.100 | norm: non | MAP: 0.0594 |
| iter:    92/250 | topk: 190 | alpha: 0.200 | norm: non | MAP: 0.0597 |
| iter:    93/250 | topk: 190 | alpha: 0.300 | norm: non | MAP: 0.0586 |
| iter:    94/250 | topk: 190 | alpha: 0.400 | norm: non | MAP: 0.0572 |
| iter:    95/250 | topk: 190 | alpha: 0.500 | norm: non | MAP: 0.0560 |
| iter:    96/250 | topk: 190 | alpha: 0.600 | norm: non | MAP: 0.0547 |
| iter:    97/250 | topk: 190 | alpha: 0.700 | norm: non | MAP: 0.0539 |
| iter:    98/250 | topk: 190 | alpha: 0.800 | norm: non | MAP: 0.0529 |
| iter:    99/250 | topk: 190 | alpha: 0.900 | norm: non | MAP: 0.0523 |
| iter:   100/250 | topk: 210 | alpha: 0.000 | norm: non | MAP: 0.0540 |
| iter:   101/250 | topk: 210 | alpha: 0.100 | norm: non | MAP: 0.0595 |
| iter:   102/250 | topk: 210 | alpha: 0.200 | norm: non | MAP: 0.0596 |
| iter:   103/250 | topk: 210 | alpha: 0.300 | norm: non | MAP: 0.0586 |
| iter:   104/250 | topk: 210 | alpha: 0.400 | norm: non | MAP: 0.0572 |
| iter:   105/250 | topk: 210 | alpha: 0.500 | norm: non | MAP: 0.0560 |
| iter:   106/250 | topk: 210 | alpha: 0.600 | norm: non | MAP: 0.0549 |
| iter:   107/250 | topk: 210 | alpha: 0.700 | norm: non | MAP: 0.0539 |
| iter:   108/250 | topk: 210 | alpha: 0.800 | norm: non | MAP: 0.0530 |
| iter:   109/250 | topk: 210 | alpha: 0.900 | norm: non | MAP: 0.0523 |
| iter:   110/250 | topk: 230 | alpha: 0.000 | norm: non | MAP: 0.0540 |
| iter:   111/250 | topk: 230 | alpha: 0.100 | norm: non | MAP: 0.0595 |
| iter:   112/250 | topk: 230 | alpha: 0.200 | norm: non | MAP: 0.0595 |
| iter:   113/250 | topk: 230 | alpha: 0.300 | norm: non | MAP: 0.0586 |
| iter:   114/250 | topk: 230 | alpha: 0.400 | norm: non | MAP: 0.0572 |
| iter:   115/250 | topk: 230 | alpha: 0.500 | norm: non | MAP: 0.0560 |
| iter:   116/250 | topk: 230 | alpha: 0.600 | norm: non | MAP: 0.0549 |
| iter:   117/250 | topk: 230 | alpha: 0.700 | norm: non | MAP: 0.0539 |
| iter:   118/250 | topk: 230 | alpha: 0.800 | norm: non | MAP: 0.0530 |
| iter:   119/250 | topk: 230 | alpha: 0.900 | norm: non | MAP: 0.0523 |
| iter:   120/250 | topk: 250 | alpha: 0.000 | norm: non | MAP: 0.0537 |
| iter:   121/250 | topk: 250 | alpha: 0.100 | norm: non | MAP: 0.0594 |
| iter:   122/250 | topk: 250 | alpha: 0.200 | norm: non | MAP: 0.0595 |
| iter:   123/250 | topk: 250 | alpha: 0.300 | norm: non | MAP: 0.0585 |
| iter:   124/250 | topk: 250 | alpha: 0.400 | norm: non | MAP: 0.0572 |
| iter:   125/250 | topk: 250 | alpha: 0.500 | norm: non | MAP: 0.0559 |
| iter:   126/250 | topk: 250 | alpha: 0.600 | norm: non | MAP: 0.0549 |
| iter:   127/250 | topk: 250 | alpha: 0.700 | norm: non | MAP: 0.0539 |
| iter:   128/250 | topk: 250 | alpha: 0.800 | norm: non | MAP: 0.0530 |
| iter:   129/250 | topk: 250 | alpha: 0.900 | norm: non | MAP: 0.0523 |
| iter:   130/250 | topk: 270 | alpha: 0.000 | norm: non | MAP: 0.0537 |
| iter:   131/250 | topk: 270 | alpha: 0.100 | norm: non | MAP: 0.0593 |
| iter:   132/250 | topk: 270 | alpha: 0.200 | norm: non | MAP: 0.0595 |
| iter:   133/250 | topk: 270 | alpha: 0.300 | norm: non | MAP: 0.0585 |
| iter:   134/250 | topk: 270 | alpha: 0.400 | norm: non | MAP: 0.0573 |
| iter:   135/250 | topk: 270 | alpha: 0.500 | norm: non | MAP: 0.0560 |
| iter:   136/250 | topk: 270 | alpha: 0.600 | norm: non | MAP: 0.0549 |
| iter:   137/250 | topk: 270 | alpha: 0.700 | norm: non | MAP: 0.0540 |
| iter:   138/250 | topk: 270 | alpha: 0.800 | norm: non | MAP: 0.0530 |
| iter:   139/250 | topk: 270 | alpha: 0.900 | norm: non | MAP: 0.0523 |
| iter:   140/250 | topk: 290 | alpha: 0.000 | norm: non | MAP: 0.0536 |
| iter:   141/250 | topk: 290 | alpha: 0.100 | norm: non | MAP: 0.0594 |
| iter:   142/250 | topk: 290 | alpha: 0.200 | norm: non | MAP: 0.0597 |
| iter:   143/250 | topk: 290 | alpha: 0.300 | norm: non | MAP: 0.0585 |
| iter:   144/250 | topk: 290 | alpha: 0.400 | norm: non | MAP: 0.0574 |
| iter:   145/250 | topk: 290 | alpha: 0.500 | norm: non | MAP: 0.0560 |
| iter:   146/250 | topk: 290 | alpha: 0.600 | norm: non | MAP: 0.0550 |
| iter:   147/250 | topk: 290 | alpha: 0.700 | norm: non | MAP: 0.0540 |
| iter:   148/250 | topk: 290 | alpha: 0.800 | norm: non | MAP: 0.0531 |
| iter:   149/250 | topk: 290 | alpha: 0.900 | norm: non | MAP: 0.0523 |
| iter:   150/250 | topk: 310 | alpha: 0.000 | norm: non | MAP: 0.0536 |
| iter:   151/250 | topk: 310 | alpha: 0.100 | norm: non | MAP: 0.0594 |
| iter:   152/250 | topk: 310 | alpha: 0.200 | norm: non | MAP: 0.0597 |
| iter:   153/250 | topk: 310 | alpha: 0.300 | norm: non | MAP: 0.0586 |
| iter:   154/250 | topk: 310 | alpha: 0.400 | norm: non | MAP: 0.0573 |
| iter:   155/250 | topk: 310 | alpha: 0.500 | norm: non | MAP: 0.0560 |
| iter:   156/250 | topk: 310 | alpha: 0.600 | norm: non | MAP: 0.0549 |
| iter:   157/250 | topk: 310 | alpha: 0.700 | norm: non | MAP: 0.0541 |
| iter:   158/250 | topk: 310 | alpha: 0.800 | norm: non | MAP: 0.0531 |
| iter:   159/250 | topk: 310 | alpha: 0.900 | norm: non | MAP: 0.0523 |
| iter:   160/250 | topk: 330 | alpha: 0.000 | norm: non | MAP: 0.0536 |
| iter:   161/250 | topk: 330 | alpha: 0.100 | norm: non | MAP: 0.0594 |
| iter:   162/250 | topk: 330 | alpha: 0.200 | norm: non | MAP: 0.0597 |
| iter:   163/250 | topk: 330 | alpha: 0.300 | norm: non | MAP: 0.0586 |
| iter:   164/250 | topk: 330 | alpha: 0.400 | norm: non | MAP: 0.0573 |
| iter:   165/250 | topk: 330 | alpha: 0.500 | norm: non | MAP: 0.0561 |
| iter:   166/250 | topk: 330 | alpha: 0.600 | norm: non | MAP: 0.0550 |
| iter:   167/250 | topk: 330 | alpha: 0.700 | norm: non | MAP: 0.0541 |
| iter:   168/250 | topk: 330 | alpha: 0.800 | norm: non | MAP: 0.0531 |
| iter:   169/250 | topk: 330 | alpha: 0.900 | norm: non | MAP: 0.0524 |
| iter:   170/250 | topk: 350 | alpha: 0.000 | norm: non | MAP: 0.0536 |
| iter:   171/250 | topk: 350 | alpha: 0.100 | norm: non | MAP: 0.0594 |
| iter:   172/250 | topk: 350 | alpha: 0.200 | norm: non | MAP: 0.0597 |
| iter:   173/250 | topk: 350 | alpha: 0.300 | norm: non | MAP: 0.0586 |
| iter:   174/250 | topk: 350 | alpha: 0.400 | norm: non | MAP: 0.0573 |
| iter:   175/250 | topk: 350 | alpha: 0.500 | norm: non | MAP: 0.0562 |
| iter:   176/250 | topk: 350 | alpha: 0.600 | norm: non | MAP: 0.0550 |
| iter:   177/250 | topk: 350 | alpha: 0.700 | norm: non | MAP: 0.0541 |
| iter:   178/250 | topk: 350 | alpha: 0.800 | norm: non | MAP: 0.0530 |
| iter:   179/250 | topk: 350 | alpha: 0.900 | norm: non | MAP: 0.0524 |
| iter:   180/250 | topk: 370 | alpha: 0.000 | norm: non | MAP: 0.0537 |
| iter:   181/250 | topk: 370 | alpha: 0.100 | norm: non | MAP: 0.0595 |
| iter:   182/250 | topk: 370 | alpha: 0.200 | norm: non | MAP: 0.0599 |
