13-12-2020-12:08:55
| iter:     0/420 | topk:  40 | alpha: 0.000 | norm: l2 | MAP: 0.0348 |
| iter:     1/420 | topk:  40 | alpha: 0.000 | norm: l1 | MAP: 0.0230 |
| iter:     2/420 | topk:  40 | alpha: 0.000 | norm: max | MAP: 0.0248 |
| iter:     3/420 | topk:  40 | alpha: 0.200 | norm: l2 | MAP: 0.0437 |
| iter:     4/420 | topk:  40 | alpha: 0.200 | norm: l1 | MAP: 0.0281 |
| iter:     5/420 | topk:  40 | alpha: 0.200 | norm: max | MAP: 0.0307 |
| iter:     6/420 | topk:  40 | alpha: 0.400 | norm: l2 | MAP: 0.0458 |
| iter:     7/420 | topk:  40 | alpha: 0.400 | norm: l1 | MAP: 0.0244 |
| iter:     8/420 | topk:  40 | alpha: 0.400 | norm: max | MAP: 0.0274 |
| iter:     9/420 | topk:  40 | alpha: 0.600 | norm: l2 | MAP: 0.0369 |
| iter:    10/420 | topk:  40 | alpha: 0.600 | norm: l1 | MAP: 0.0207 |
| iter:    11/420 | topk:  40 | alpha: 0.600 | norm: max | MAP: 0.0223 |
| iter:    12/420 | topk:  40 | alpha: 0.800 | norm: l2 | MAP: 0.0315 |
| iter:    13/420 | topk:  40 | alpha: 0.800 | norm: l1 | MAP: 0.0189 |
| iter:    14/420 | topk:  40 | alpha: 0.800 | norm: max | MAP: 0.0201 |
| iter:    15/420 | topk:  60 | alpha: 0.000 | norm: l2 | MAP: 0.0356 |
| iter:    16/420 | topk:  60 | alpha: 0.000 | norm: l1 | MAP: 0.0233 |
| iter:    17/420 | topk:  60 | alpha: 0.000 | norm: max | MAP: 0.0229 |
| iter:    18/420 | topk:  60 | alpha: 0.200 | norm: l2 | MAP: 0.0440 |
| iter:    19/420 | topk:  60 | alpha: 0.200 | norm: l1 | MAP: 0.0285 |
| iter:    20/420 | topk:  60 | alpha: 0.200 | norm: max | MAP: 0.0288 |
| iter:    21/420 | topk:  60 | alpha: 0.400 | norm: l2 | MAP: 0.0457 |
| iter:    22/420 | topk:  60 | alpha: 0.400 | norm: l1 | MAP: 0.0249 |
| iter:    23/420 | topk:  60 | alpha: 0.400 | norm: max | MAP: 0.0258 |
| iter:    24/420 | topk:  60 | alpha: 0.600 | norm: l2 | MAP: 0.0380 |
| iter:    25/420 | topk:  60 | alpha: 0.600 | norm: l1 | MAP: 0.0209 |
| iter:    26/420 | topk:  60 | alpha: 0.600 | norm: max | MAP: 0.0216 |
| iter:    27/420 | topk:  60 | alpha: 0.800 | norm: l2 | MAP: 0.0325 |
| iter:    28/420 | topk:  60 | alpha: 0.800 | norm: l1 | MAP: 0.0193 |
| iter:    29/420 | topk:  60 | alpha: 0.800 | norm: max | MAP: 0.0195 |
| iter:    30/420 | topk:  80 | alpha: 0.000 | norm: l2 | MAP: 0.0355 |
| iter:    31/420 | topk:  80 | alpha: 0.000 | norm: l1 | MAP: 0.0240 |
| iter:    32/420 | topk:  80 | alpha: 0.000 | norm: max | MAP: 0.0218 |
| iter:    33/420 | topk:  80 | alpha: 0.200 | norm: l2 | MAP: 0.0443 |
| iter:    34/420 | topk:  80 | alpha: 0.200 | norm: l1 | MAP: 0.0290 |
| iter:    35/420 | topk:  80 | alpha: 0.200 | norm: max | MAP: 0.0284 |
| iter:    36/420 | topk:  80 | alpha: 0.400 | norm: l2 | MAP: 0.0463 |
| iter:    37/420 | topk:  80 | alpha: 0.400 | norm: l1 | MAP: 0.0252 |
| iter:    38/420 | topk:  80 | alpha: 0.400 | norm: max | MAP: 0.0256 |
| iter:    39/420 | topk:  80 | alpha: 0.600 | norm: l2 | MAP: 0.0392 |
| iter:    40/420 | topk:  80 | alpha: 0.600 | norm: l1 | MAP: 0.0212 |
| iter:    41/420 | topk:  80 | alpha: 0.600 | norm: max | MAP: 0.0210 |
| iter:    42/420 | topk:  80 | alpha: 0.800 | norm: l2 | MAP: 0.0330 |
| iter:    43/420 | topk:  80 | alpha: 0.800 | norm: l1 | MAP: 0.0193 |
| iter:    44/420 | topk:  80 | alpha: 0.800 | norm: max | MAP: 0.0185 |
| iter:    45/420 | topk: 100 | alpha: 0.000 | norm: l2 | MAP: 0.0361 |
| iter:    46/420 | topk: 100 | alpha: 0.000 | norm: l1 | MAP: 0.0244 |
| iter:    47/420 | topk: 100 | alpha: 0.000 | norm: max | MAP: 0.0211 |
| iter:    48/420 | topk: 100 | alpha: 0.200 | norm: l2 | MAP: 0.0446 |
| iter:    49/420 | topk: 100 | alpha: 0.200 | norm: l1 | MAP: 0.0295 |
| iter:    50/420 | topk: 100 | alpha: 0.200 | norm: max | MAP: 0.0271 |
| iter:    51/420 | topk: 100 | alpha: 0.400 | norm: l2 | MAP: 0.0465 |
| iter:    52/420 | topk: 100 | alpha: 0.400 | norm: l1 | MAP: 0.0254 |
| iter:    53/420 | topk: 100 | alpha: 0.400 | norm: max | MAP: 0.0247 |
| iter:    54/420 | topk: 100 | alpha: 0.600 | norm: l2 | MAP: 0.0395 |
| iter:    55/420 | topk: 100 | alpha: 0.600 | norm: l1 | MAP: 0.0212 |
| iter:    56/420 | topk: 100 | alpha: 0.600 | norm: max | MAP: 0.0207 |
| iter:    57/420 | topk: 100 | alpha: 0.800 | norm: l2 | MAP: 0.0331 |
| iter:    58/420 | topk: 100 | alpha: 0.800 | norm: l1 | MAP: 0.0194 |
| iter:    59/420 | topk: 100 | alpha: 0.800 | norm: max | MAP: 0.0184 |
| iter:    60/420 | topk: 120 | alpha: 0.000 | norm: l2 | MAP: 0.0363 |
| iter:    61/420 | topk: 120 | alpha: 0.000 | norm: l1 | MAP: 0.0247 |
| iter:    62/420 | topk: 120 | alpha: 0.000 | norm: max | MAP: 0.0206 |
| iter:    63/420 | topk: 120 | alpha: 0.200 | norm: l2 | MAP: 0.0452 |
| iter:    64/420 | topk: 120 | alpha: 0.200 | norm: l1 | MAP: 0.0296 |
| iter:    65/420 | topk: 120 | alpha: 0.200 | norm: max | MAP: 0.0263 |
| iter:    66/420 | topk: 120 | alpha: 0.400 | norm: l2 | MAP: 0.0469 |
| iter:    67/420 | topk: 120 | alpha: 0.400 | norm: l1 | MAP: 0.0256 |
| iter:    68/420 | topk: 120 | alpha: 0.400 | norm: max | MAP: 0.0241 |
| iter:    69/420 | topk: 120 | alpha: 0.600 | norm: l2 | MAP: 0.0398 |
| iter:    70/420 | topk: 120 | alpha: 0.600 | norm: l1 | MAP: 0.0214 |
| iter:    71/420 | topk: 120 | alpha: 0.600 | norm: max | MAP: 0.0204 |
| iter:    72/420 | topk: 120 | alpha: 0.800 | norm: l2 | MAP: 0.0332 |
| iter:    73/420 | topk: 120 | alpha: 0.800 | norm: l1 | MAP: 0.0193 |
| iter:    74/420 | topk: 120 | alpha: 0.800 | norm: max | MAP: 0.0182 |
| iter:    75/420 | topk: 140 | alpha: 0.000 | norm: l2 | MAP: 0.0362 |
| iter:    76/420 | topk: 140 | alpha: 0.000 | norm: l1 | MAP: 0.0249 |
| iter:    77/420 | topk: 140 | alpha: 0.000 | norm: max | MAP: 0.0206 |
| iter:    78/420 | topk: 140 | alpha: 0.200 | norm: l2 | MAP: 0.0448 |
| iter:    79/420 | topk: 140 | alpha: 0.200 | norm: l1 | MAP: 0.0298 |
| iter:    80/420 | topk: 140 | alpha: 0.200 | norm: max | MAP: 0.0262 |
| iter:    81/420 | topk: 140 | alpha: 0.400 | norm: l2 | MAP: 0.0473 |
| iter:    82/420 | topk: 140 | alpha: 0.400 | norm: l1 | MAP: 0.0255 |
| iter:    83/420 | topk: 140 | alpha: 0.400 | norm: max | MAP: 0.0240 |
| iter:    84/420 | topk: 140 | alpha: 0.600 | norm: l2 | MAP: 0.0400 |
| iter:    85/420 | topk: 140 | alpha: 0.600 | norm: l1 | MAP: 0.0214 |
| iter:    86/420 | topk: 140 | alpha: 0.600 | norm: max | MAP: 0.0203 |
| iter:    87/420 | topk: 140 | alpha: 0.800 | norm: l2 | MAP: 0.0334 |
| iter:    88/420 | topk: 140 | alpha: 0.800 | norm: l1 | MAP: 0.0192 |
| iter:    89/420 | topk: 140 | alpha: 0.800 | norm: max | MAP: 0.0182 |
| iter:    90/420 | topk: 160 | alpha: 0.000 | norm: l2 | MAP: 0.0364 |
| iter:    91/420 | topk: 160 | alpha: 0.000 | norm: l1 | MAP: 0.0250 |
| iter:    92/420 | topk: 160 | alpha: 0.000 | norm: max | MAP: 0.0202 |
| iter:    93/420 | topk: 160 | alpha: 0.200 | norm: l2 | MAP: 0.0451 |
| iter:    94/420 | topk: 160 | alpha: 0.200 | norm: l1 | MAP: 0.0299 |
| iter:    95/420 | topk: 160 | alpha: 0.200 | norm: max | MAP: 0.0253 |
| iter:    96/420 | topk: 160 | alpha: 0.400 | norm: l2 | MAP: 0.0475 |
| iter:    97/420 | topk: 160 | alpha: 0.400 | norm: l1 | MAP: 0.0255 |
| iter:    98/420 | topk: 160 | alpha: 0.400 | norm: max | MAP: 0.0238 |
