13-12-2020-11:24:08
| iter:     0/140 | topk:  40 | alpha: 0.000 | norm: non | MAP: 0.0567 |
| iter:     1/140 | topk:  40 | alpha: 0.200 | norm: non | MAP: 0.0565 |
| iter:     2/140 | topk:  40 | alpha: 0.400 | norm: non | MAP: 0.0565 |
| iter:     3/140 | topk:  40 | alpha: 0.600 | norm: non | MAP: 0.0564 |
| iter:     4/140 | topk:  40 | alpha: 0.800 | norm: non | MAP: 0.0565 |
| iter:     5/140 | topk:  60 | alpha: 0.000 | norm: non | MAP: 0.0571 |
| iter:     6/140 | topk:  60 | alpha: 0.200 | norm: non | MAP: 0.0572 |
| iter:     7/140 | topk:  60 | alpha: 0.400 | norm: non | MAP: 0.0573 |
| iter:     8/140 | topk:  60 | alpha: 0.600 | norm: non | MAP: 0.0570 |
| iter:     9/140 | topk:  60 | alpha: 0.800 | norm: non | MAP: 0.0571 |
| iter:    10/140 | topk:  80 | alpha: 0.000 | norm: non | MAP: 0.0578 |
| iter:    11/140 | topk:  80 | alpha: 0.200 | norm: non | MAP: 0.0576 |
| iter:    12/140 | topk:  80 | alpha: 0.400 | norm: non | MAP: 0.0578 |
| iter:    13/140 | topk:  80 | alpha: 0.600 | norm: non | MAP: 0.0579 |
| iter:    14/140 | topk:  80 | alpha: 0.800 | norm: non | MAP: 0.0579 |
| iter:    15/140 | topk: 100 | alpha: 0.000 | norm: non | MAP: 0.0586 |
| iter:    16/140 | topk: 100 | alpha: 0.200 | norm: non | MAP: 0.0585 |
| iter:    17/140 | topk: 100 | alpha: 0.400 | norm: non | MAP: 0.0587 |
| iter:    18/140 | topk: 100 | alpha: 0.600 | norm: non | MAP: 0.0589 |
| iter:    19/140 | topk: 100 | alpha: 0.800 | norm: non | MAP: 0.0590 |
| iter:    20/140 | topk: 120 | alpha: 0.000 | norm: non | MAP: 0.0591 |
| iter:    21/140 | topk: 120 | alpha: 0.200 | norm: non | MAP: 0.0592 |
| iter:    22/140 | topk: 120 | alpha: 0.400 | norm: non | MAP: 0.0592 |
| iter:    23/140 | topk: 120 | alpha: 0.600 | norm: non | MAP: 0.0591 |
| iter:    24/140 | topk: 120 | alpha: 0.800 | norm: non | MAP: 0.0590 |
| iter:    25/140 | topk: 140 | alpha: 0.000 | norm: non | MAP: 0.0596 |
| iter:    26/140 | topk: 140 | alpha: 0.200 | norm: non | MAP: 0.0594 |
| iter:    27/140 | topk: 140 | alpha: 0.400 | norm: non | MAP: 0.0596 |
| iter:    28/140 | topk: 140 | alpha: 0.600 | norm: non | MAP: 0.0597 |
| iter:    29/140 | topk: 140 | alpha: 0.800 | norm: non | MAP: 0.0596 |
| iter:    30/140 | topk: 160 | alpha: 0.000 | norm: non | MAP: 0.0594 |
| iter:    31/140 | topk: 160 | alpha: 0.200 | norm: non | MAP: 0.0594 |
| iter:    32/140 | topk: 160 | alpha: 0.400 | norm: non | MAP: 0.0594 |
| iter:    33/140 | topk: 160 | alpha: 0.600 | norm: non | MAP: 0.0595 |
