| iter:     0/240 | topk:  20 | alpha: 0.000 | norm: non | MAP: 0.0322 |
| iter:     1/240 | topk:  20 | alpha: 0.100 | norm: non | MAP: 0.0350 |
| iter:     2/240 | topk:  20 | alpha: 0.200 | norm: non | MAP: 0.0390 |
| iter:     3/240 | topk:  20 | alpha: 0.300 | norm: non | MAP: 0.0420 |
| iter:     4/240 | topk:  20 | alpha: 0.400 | norm: non | MAP: 0.0452 |
| iter:     5/240 | topk:  20 | alpha: 0.500 | norm: non | MAP: 0.0465 |
| iter:     6/240 | topk:  20 | alpha: 0.600 | norm: non | MAP: 0.0476 |
| iter:     7/240 | topk:  20 | alpha: 0.700 | norm: non | MAP: 0.0489 |
| iter:     8/240 | topk:  20 | alpha: 0.800 | norm: non | MAP: 0.0496 |
| iter:     9/240 | topk:  20 | alpha: 0.900 | norm: non | MAP: 0.0495 |
| iter:    10/240 | topk:  40 | alpha: 0.000 | norm: non | MAP: 0.0418 |
| iter:    11/240 | topk:  40 | alpha: 0.100 | norm: non | MAP: 0.0441 |
| iter:    12/240 | topk:  40 | alpha: 0.200 | norm: non | MAP: 0.0473 |
| iter:    13/240 | topk:  40 | alpha: 0.300 | norm: non | MAP: 0.0499 |
| iter:    14/240 | topk:  40 | alpha: 0.400 | norm: non | MAP: 0.0522 |
| iter:    15/240 | topk:  40 | alpha: 0.500 | norm: non | MAP: 0.0522 |
| iter:    16/240 | topk:  40 | alpha: 0.600 | norm: non | MAP: 0.0526 |
| iter:    17/240 | topk:  40 | alpha: 0.700 | norm: non | MAP: 0.0522 |
| iter:    18/240 | topk:  40 | alpha: 0.800 | norm: non | MAP: 0.0523 |
| iter:    19/240 | topk:  40 | alpha: 0.900 | norm: non | MAP: 0.0518 |
| iter:    20/240 | topk:  60 | alpha: 0.000 | norm: non | MAP: 0.0457 |
| iter:    21/240 | topk:  60 | alpha: 0.100 | norm: non | MAP: 0.0479 |
| iter:    22/240 | topk:  60 | alpha: 0.200 | norm: non | MAP: 0.0510 |
| iter:    23/240 | topk:  60 | alpha: 0.300 | norm: non | MAP: 0.0526 |
| iter:    24/240 | topk:  60 | alpha: 0.400 | norm: non | MAP: 0.0534 |
| iter:    25/240 | topk:  60 | alpha: 0.500 | norm: non | MAP: 0.0541 |
| iter:    26/240 | topk:  60 | alpha: 0.600 | norm: non | MAP: 0.0536 |
| iter:    27/240 | topk:  60 | alpha: 0.700 | norm: non | MAP: 0.0535 |
| iter:    28/240 | topk:  60 | alpha: 0.800 | norm: non | MAP: 0.0532 |
| iter:    29/240 | topk:  60 | alpha: 0.900 | norm: non | MAP: 0.0528 |
| iter:    30/240 | topk:  80 | alpha: 0.000 | norm: non | MAP: 0.0487 |
| iter:    31/240 | topk:  80 | alpha: 0.100 | norm: non | MAP: 0.0512 |
| iter:    32/240 | topk:  80 | alpha: 0.200 | norm: non | MAP: 0.0525 |
| iter:    33/240 | topk:  80 | alpha: 0.300 | norm: non | MAP: 0.0531 |
| iter:    34/240 | topk:  80 | alpha: 0.400 | norm: non | MAP: 0.0543 |
| iter:    35/240 | topk:  80 | alpha: 0.500 | norm: non | MAP: 0.0547 |
| iter:    36/240 | topk:  80 | alpha: 0.600 | norm: non | MAP: 0.0544 |
| iter:    37/240 | topk:  80 | alpha: 0.700 | norm: non | MAP: 0.0540 |
| iter:    38/240 | topk:  80 | alpha: 0.800 | norm: non | MAP: 0.0541 |
| iter:    39/240 | topk:  80 | alpha: 0.900 | norm: non | MAP: 0.0537 |
| iter:    40/240 | topk: 100 | alpha: 0.000 | norm: non | MAP: 0.0511 |
| iter:    41/240 | topk: 100 | alpha: 0.100 | norm: non | MAP: 0.0522 |
| iter:    42/240 | topk: 100 | alpha: 0.200 | norm: non | MAP: 0.0530 |
| iter:    43/240 | topk: 100 | alpha: 0.300 | norm: non | MAP: 0.0537 |
| iter:    44/240 | topk: 100 | alpha: 0.400 | norm: non | MAP: 0.0549 |
| iter:    45/240 | topk: 100 | alpha: 0.500 | norm: non | MAP: 0.0547 |
| iter:    46/240 | topk: 100 | alpha: 0.600 | norm: non | MAP: 0.0543 |
| iter:    47/240 | topk: 100 | alpha: 0.700 | norm: non | MAP: 0.0544 |
| iter:    48/240 | topk: 100 | alpha: 0.800 | norm: non | MAP: 0.0541 |
| iter:    49/240 | topk: 100 | alpha: 0.900 | norm: non | MAP: 0.0534 |
| iter:    50/240 | topk: 120 | alpha: 0.000 | norm: non | MAP: 0.0519 |
| iter:    51/240 | topk: 120 | alpha: 0.100 | norm: non | MAP: 0.0527 |
| iter:    52/240 | topk: 120 | alpha: 0.200 | norm: non | MAP: 0.0534 |
| iter:    53/240 | topk: 120 | alpha: 0.300 | norm: non | MAP: 0.0538 |
| iter:    54/240 | topk: 120 | alpha: 0.400 | norm: non | MAP: 0.0552 |
| iter:    55/240 | topk: 120 | alpha: 0.500 | norm: non | MAP: 0.0553 |
| iter:    56/240 | topk: 120 | alpha: 0.600 | norm: non | MAP: 0.0545 |
| iter:    57/240 | topk: 120 | alpha: 0.700 | norm: non | MAP: 0.0549 |
| iter:    58/240 | topk: 120 | alpha: 0.800 | norm: non | MAP: 0.0544 |
| iter:    59/240 | topk: 120 | alpha: 0.900 | norm: non | MAP: 0.0534 |
| iter:    60/240 | topk: 140 | alpha: 0.000 | norm: non | MAP: 0.0519 |
| iter:    61/240 | topk: 140 | alpha: 0.100 | norm: non | MAP: 0.0527 |
| iter:    62/240 | topk: 140 | alpha: 0.200 | norm: non | MAP: 0.0539 |
| iter:    63/240 | topk: 140 | alpha: 0.300 | norm: non | MAP: 0.0547 |
| iter:    64/240 | topk: 140 | alpha: 0.400 | norm: non | MAP: 0.0558 |
| iter:    65/240 | topk: 140 | alpha: 0.500 | norm: non | MAP: 0.0555 |
| iter:    66/240 | topk: 140 | alpha: 0.600 | norm: non | MAP: 0.0551 |
| iter:    67/240 | topk: 140 | alpha: 0.700 | norm: non | MAP: 0.0547 |
| iter:    68/240 | topk: 140 | alpha: 0.800 | norm: non | MAP: 0.0545 |
| iter:    69/240 | topk: 140 | alpha: 0.900 | norm: non | MAP: 0.0540 |
| iter:    70/240 | topk: 160 | alpha: 0.000 | norm: non | MAP: 0.0519 |
| iter:    71/240 | topk: 160 | alpha: 0.100 | norm: non | MAP: 0.0528 |
| iter:    72/240 | topk: 160 | alpha: 0.200 | norm: non | MAP: 0.0541 |
| iter:    73/240 | topk: 160 | alpha: 0.300 | norm: non | MAP: 0.0548 |
| iter:    74/240 | topk: 160 | alpha: 0.400 | norm: non | MAP: 0.0560 |
| iter:    75/240 | topk: 160 | alpha: 0.500 | norm: non | MAP: 0.0558 |
| iter:    76/240 | topk: 160 | alpha: 0.600 | norm: non | MAP: 0.0551 |
| iter:    77/240 | topk: 160 | alpha: 0.700 | norm: non | MAP: 0.0550 |
| iter:    78/240 | topk: 160 | alpha: 0.800 | norm: non | MAP: 0.0545 |
| iter:    79/240 | topk: 160 | alpha: 0.900 | norm: non | MAP: 0.0540 |
| iter:    80/240 | topk: 180 | alpha: 0.000 | norm: non | MAP: 0.0519 |
| iter:    81/240 | topk: 180 | alpha: 0.100 | norm: non | MAP: 0.0530 |
| iter:    82/240 | topk: 180 | alpha: 0.200 | norm: non | MAP: 0.0540 |
| iter:    83/240 | topk: 180 | alpha: 0.300 | norm: non | MAP: 0.0548 |
| iter:    84/240 | topk: 180 | alpha: 0.400 | norm: non | MAP: 0.0561 |
| iter:    85/240 | topk: 180 | alpha: 0.500 | norm: non | MAP: 0.0558 |
| iter:    86/240 | topk: 180 | alpha: 0.600 | norm: non | MAP: 0.0552 |
| iter:    87/240 | topk: 180 | alpha: 0.700 | norm: non | MAP: 0.0550 |
| iter:    88/240 | topk: 180 | alpha: 0.800 | norm: non | MAP: 0.0544 |
| iter:    89/240 | topk: 180 | alpha: 0.900 | norm: non | MAP: 0.0540 |
| iter:    90/240 | topk: 200 | alpha: 0.000 | norm: non | MAP: 0.0519 |
| iter:    91/240 | topk: 200 | alpha: 0.100 | norm: non | MAP: 0.0530 |
| iter:    92/240 | topk: 200 | alpha: 0.200 | norm: non | MAP: 0.0539 |
| iter:    93/240 | topk: 200 | alpha: 0.300 | norm: non | MAP: 0.0551 |
| iter:    94/240 | topk: 200 | alpha: 0.400 | norm: non | MAP: 0.0562 |
| iter:    95/240 | topk: 200 | alpha: 0.500 | norm: non | MAP: 0.0560 |
| iter:    96/240 | topk: 200 | alpha: 0.600 | norm: non | MAP: 0.0554 |
| iter:    97/240 | topk: 200 | alpha: 0.700 | norm: non | MAP: 0.0551 |
| iter:    98/240 | topk: 200 | alpha: 0.800 | norm: non | MAP: 0.0545 |
| iter:    99/240 | topk: 200 | alpha: 0.900 | norm: non | MAP: 0.0541 |
| iter:   100/240 | topk: 220 | alpha: 0.000 | norm: non | MAP: 0.0519 |
| iter:   101/240 | topk: 220 | alpha: 0.100 | norm: non | MAP: 0.0526 |
| iter:   102/240 | topk: 220 | alpha: 0.200 | norm: non | MAP: 0.0538 |
| iter:   103/240 | topk: 220 | alpha: 0.300 | norm: non | MAP: 0.0546 |
| iter:   104/240 | topk: 220 | alpha: 0.400 | norm: non | MAP: 0.0560 |
| iter:   105/240 | topk: 220 | alpha: 0.500 | norm: non | MAP: 0.0556 |
| iter:   106/240 | topk: 220 | alpha: 0.600 | norm: non | MAP: 0.0551 |
| iter:   107/240 | topk: 220 | alpha: 0.700 | norm: non | MAP: 0.0552 |
| iter:   108/240 | topk: 220 | alpha: 0.800 | norm: non | MAP: 0.0544 |
| iter:   109/240 | topk: 220 | alpha: 0.900 | norm: non | MAP: 0.0539 |
| iter:   110/240 | topk: 240 | alpha: 0.000 | norm: non | MAP: 0.0519 |
| iter:   111/240 | topk: 240 | alpha: 0.100 | norm: non | MAP: 0.0527 |
| iter:   112/240 | topk: 240 | alpha: 0.200 | norm: non | MAP: 0.0539 |
| iter:   113/240 | topk: 240 | alpha: 0.300 | norm: non | MAP: 0.0548 |
| iter:   114/240 | topk: 240 | alpha: 0.400 | norm: non | MAP: 0.0557 |
