| iter:     0/240 | topk:  20 | alpha: 0.000 | norm: non | MAP: 0.0445 |
| iter:     1/240 | topk:  20 | alpha: 0.100 | norm: non | MAP: 0.0447 |
| iter:     2/240 | topk:  20 | alpha: 0.200 | norm: non | MAP: 0.0449 |
| iter:     3/240 | topk:  20 | alpha: 0.300 | norm: non | MAP: 0.0455 |
| iter:     4/240 | topk:  20 | alpha: 0.400 | norm: non | MAP: 0.0461 |
| iter:     5/240 | topk:  20 | alpha: 0.500 | norm: non | MAP: 0.0474 |
| iter:     6/240 | topk:  20 | alpha: 0.600 | norm: non | MAP: 0.0487 |
| iter:     7/240 | topk:  20 | alpha: 0.700 | norm: non | MAP: 0.0501 |
| iter:     8/240 | topk:  20 | alpha: 0.800 | norm: non | MAP: 0.0519 |
| iter:     9/240 | topk:  20 | alpha: 0.900 | norm: non | MAP: 0.0538 |
| iter:    10/240 | topk:  40 | alpha: 0.000 | norm: non | MAP: 0.0490 |
| iter:    11/240 | topk:  40 | alpha: 0.100 | norm: non | MAP: 0.0496 |
| iter:    12/240 | topk:  40 | alpha: 0.200 | norm: non | MAP: 0.0502 |
| iter:    13/240 | topk:  40 | alpha: 0.300 | norm: non | MAP: 0.0507 |
| iter:    14/240 | topk:  40 | alpha: 0.400 | norm: non | MAP: 0.0519 |
| iter:    15/240 | topk:  40 | alpha: 0.500 | norm: non | MAP: 0.0525 |
| iter:    16/240 | topk:  40 | alpha: 0.600 | norm: non | MAP: 0.0535 |
| iter:    17/240 | topk:  40 | alpha: 0.700 | norm: non | MAP: 0.0547 |
| iter:    18/240 | topk:  40 | alpha: 0.800 | norm: non | MAP: 0.0560 |
| iter:    19/240 | topk:  40 | alpha: 0.900 | norm: non | MAP: 0.0560 |
| iter:    20/240 | topk:  60 | alpha: 0.000 | norm: non | MAP: 0.0518 |
| iter:    21/240 | topk:  60 | alpha: 0.100 | norm: non | MAP: 0.0524 |
| iter:    22/240 | topk:  60 | alpha: 0.200 | norm: non | MAP: 0.0527 |
| iter:    23/240 | topk:  60 | alpha: 0.300 | norm: non | MAP: 0.0532 |
| iter:    24/240 | topk:  60 | alpha: 0.400 | norm: non | MAP: 0.0541 |
| iter:    25/240 | topk:  60 | alpha: 0.500 | norm: non | MAP: 0.0543 |
| iter:    26/240 | topk:  60 | alpha: 0.600 | norm: non | MAP: 0.0551 |
| iter:    27/240 | topk:  60 | alpha: 0.700 | norm: non | MAP: 0.0564 |
| iter:    28/240 | topk:  60 | alpha: 0.800 | norm: non | MAP: 0.0575 |
