| iter:     0/1160 | topk:  20 | alpha: 0.000 | norm: non | MAP: 0.0481 |
| iter:     1/1160 | topk:  20 | alpha: 0.000 | norm: l2 | MAP: 0.0347 |
| iter:     2/1160 | topk:  20 | alpha: 0.000 | norm: l1 | MAP: 0.0282 |
| iter:     3/1160 | topk:  20 | alpha: 0.000 | norm: max | MAP: 0.0252 |
| iter:     4/1160 | topk:  20 | alpha: 0.100 | norm: non | MAP: 0.0490 |
| iter:     5/1160 | topk:  20 | alpha: 0.100 | norm: l2 | MAP: 0.0355 |
| iter:     6/1160 | topk:  20 | alpha: 0.100 | norm: l1 | MAP: 0.0281 |
| iter:     7/1160 | topk:  20 | alpha: 0.100 | norm: max | MAP: 0.0217 |
| iter:     8/1160 | topk:  20 | alpha: 0.200 | norm: non | MAP: 0.0502 |
| iter:     9/1160 | topk:  20 | alpha: 0.200 | norm: l2 | MAP: 0.0358 |
| iter:    10/1160 | topk:  20 | alpha: 0.200 | norm: l1 | MAP: 0.0275 |
| iter:    11/1160 | topk:  20 | alpha: 0.200 | norm: max | MAP: 0.0216 |
| iter:    12/1160 | topk:  20 | alpha: 0.300 | norm: non | MAP: 0.0518 |
| iter:    13/1160 | topk:  20 | alpha: 0.300 | norm: l2 | MAP: 0.0360 |
| iter:    14/1160 | topk:  20 | alpha: 0.300 | norm: l1 | MAP: 0.0269 |
| iter:    15/1160 | topk:  20 | alpha: 0.300 | norm: max | MAP: 0.0215 |
| iter:    16/1160 | topk:  20 | alpha: 0.400 | norm: non | MAP: 0.0530 |
| iter:    17/1160 | topk:  20 | alpha: 0.400 | norm: l2 | MAP: 0.0362 |
| iter:    18/1160 | topk:  20 | alpha: 0.400 | norm: l1 | MAP: 0.0265 |
| iter:    19/1160 | topk:  20 | alpha: 0.400 | norm: max | MAP: 0.0212 |
| iter:    20/1160 | topk:  20 | alpha: 0.500 | norm: non | MAP: 0.0542 |
| iter:    21/1160 | topk:  20 | alpha: 0.500 | norm: l2 | MAP: 0.0357 |
| iter:    22/1160 | topk:  20 | alpha: 0.500 | norm: l1 | MAP: 0.0264 |
| iter:    23/1160 | topk:  20 | alpha: 0.500 | norm: max | MAP: 0.0209 |
| iter:    24/1160 | topk:  20 | alpha: 0.600 | norm: non | MAP: 0.0542 |
| iter:    25/1160 | topk:  20 | alpha: 0.600 | norm: l2 | MAP: 0.0361 |
| iter:    26/1160 | topk:  20 | alpha: 0.600 | norm: l1 | MAP: 0.0262 |
| iter:    27/1160 | topk:  20 | alpha: 0.600 | norm: max | MAP: 0.0205 |
| iter:    28/1160 | topk:  20 | alpha: 0.700 | norm: non | MAP: 0.0542 |
| iter:    29/1160 | topk:  20 | alpha: 0.700 | norm: l2 | MAP: 0.0365 |
| iter:    30/1160 | topk:  20 | alpha: 0.700 | norm: l1 | MAP: 0.0261 |
| iter:    31/1160 | topk:  20 | alpha: 0.700 | norm: max | MAP: 0.0200 |
| iter:    32/1160 | topk:  20 | alpha: 0.800 | norm: non | MAP: 0.0531 |
| iter:    33/1160 | topk:  20 | alpha: 0.800 | norm: l2 | MAP: 0.0359 |
| iter:    34/1160 | topk:  20 | alpha: 0.800 | norm: l1 | MAP: 0.0257 |
| iter:    35/1160 | topk:  20 | alpha: 0.800 | norm: max | MAP: 0.0186 |
| iter:    36/1160 | topk:  20 | alpha: 0.900 | norm: non | MAP: 0.0518 |
| iter:    37/1160 | topk:  20 | alpha: 0.900 | norm: l2 | MAP: 0.0339 |
| iter:    38/1160 | topk:  20 | alpha: 0.900 | norm: l1 | MAP: 0.0252 |
| iter:    39/1160 | topk:  20 | alpha: 0.900 | norm: max | MAP: 0.0175 |
| iter:    40/1160 | topk:  40 | alpha: 0.000 | norm: non | MAP: 0.0495 |
| iter:    41/1160 | topk:  40 | alpha: 0.000 | norm: l2 | MAP: 0.0416 |
| iter:    42/1160 | topk:  40 | alpha: 0.000 | norm: l1 | MAP: 0.0333 |
| iter:    43/1160 | topk:  40 | alpha: 0.000 | norm: max | MAP: 0.0360 |
