13-12-2020-12:00:20
| iter:     0/420 | topk:  40 | alpha: 0.000 | norm: l2 | MAP: 0.0465 |
| iter:     1/420 | topk:  40 | alpha: 0.000 | norm: l1 | MAP: 0.0372 |
| iter:     2/420 | topk:  40 | alpha: 0.000 | norm: max | MAP: 0.0464 |
| iter:     3/420 | topk:  40 | alpha: 0.200 | norm: l2 | MAP: 0.0466 |
| iter:     4/420 | topk:  40 | alpha: 0.200 | norm: l1 | MAP: 0.0381 |
| iter:     5/420 | topk:  40 | alpha: 0.200 | norm: max | MAP: 0.0467 |
| iter:     6/420 | topk:  40 | alpha: 0.400 | norm: l2 | MAP: 0.0462 |
| iter:     7/420 | topk:  40 | alpha: 0.400 | norm: l1 | MAP: 0.0363 |
| iter:     8/420 | topk:  40 | alpha: 0.400 | norm: max | MAP: 0.0448 |
| iter:     9/420 | topk:  40 | alpha: 0.600 | norm: l2 | MAP: 0.0434 |
| iter:    10/420 | topk:  40 | alpha: 0.600 | norm: l1 | MAP: 0.0338 |
| iter:    11/420 | topk:  40 | alpha: 0.600 | norm: max | MAP: 0.0416 |
| iter:    12/420 | topk:  40 | alpha: 0.800 | norm: l2 | MAP: 0.0400 |
| iter:    13/420 | topk:  40 | alpha: 0.800 | norm: l1 | MAP: 0.0302 |
| iter:    14/420 | topk:  40 | alpha: 0.800 | norm: max | MAP: 0.0382 |
| iter:    15/420 | topk:  60 | alpha: 0.000 | norm: l2 | MAP: 0.0487 |
| iter:    16/420 | topk:  60 | alpha: 0.000 | norm: l1 | MAP: 0.0385 |
| iter:    17/420 | topk:  60 | alpha: 0.000 | norm: max | MAP: 0.0491 |
| iter:    18/420 | topk:  60 | alpha: 0.200 | norm: l2 | MAP: 0.0499 |
| iter:    19/420 | topk:  60 | alpha: 0.200 | norm: l1 | MAP: 0.0398 |
| iter:    20/420 | topk:  60 | alpha: 0.200 | norm: max | MAP: 0.0499 |
| iter:    21/420 | topk:  60 | alpha: 0.400 | norm: l2 | MAP: 0.0497 |
| iter:    22/420 | topk:  60 | alpha: 0.400 | norm: l1 | MAP: 0.0390 |
| iter:    23/420 | topk:  60 | alpha: 0.400 | norm: max | MAP: 0.0483 |
| iter:    24/420 | topk:  60 | alpha: 0.600 | norm: l2 | MAP: 0.0470 |
| iter:    25/420 | topk:  60 | alpha: 0.600 | norm: l1 | MAP: 0.0364 |
| iter:    26/420 | topk:  60 | alpha: 0.600 | norm: max | MAP: 0.0451 |
| iter:    27/420 | topk:  60 | alpha: 0.800 | norm: l2 | MAP: 0.0433 |
| iter:    28/420 | topk:  60 | alpha: 0.800 | norm: l1 | MAP: 0.0318 |
| iter:    29/420 | topk:  60 | alpha: 0.800 | norm: max | MAP: 0.0411 |
| iter:    30/420 | topk:  80 | alpha: 0.000 | norm: l2 | MAP: 0.0497 |
| iter:    31/420 | topk:  80 | alpha: 0.000 | norm: l1 | MAP: 0.0392 |
| iter:    32/420 | topk:  80 | alpha: 0.000 | norm: max | MAP: 0.0489 |
| iter:    33/420 | topk:  80 | alpha: 0.200 | norm: l2 | MAP: 0.0508 |
| iter:    34/420 | topk:  80 | alpha: 0.200 | norm: l1 | MAP: 0.0407 |
| iter:    35/420 | topk:  80 | alpha: 0.200 | norm: max | MAP: 0.0506 |
| iter:    36/420 | topk:  80 | alpha: 0.400 | norm: l2 | MAP: 0.0506 |
| iter:    37/420 | topk:  80 | alpha: 0.400 | norm: l1 | MAP: 0.0399 |
| iter:    38/420 | topk:  80 | alpha: 0.400 | norm: max | MAP: 0.0495 |
| iter:    39/420 | topk:  80 | alpha: 0.600 | norm: l2 | MAP: 0.0488 |
| iter:    40/420 | topk:  80 | alpha: 0.600 | norm: l1 | MAP: 0.0371 |
| iter:    41/420 | topk:  80 | alpha: 0.600 | norm: max | MAP: 0.0474 |
| iter:    42/420 | topk:  80 | alpha: 0.800 | norm: l2 | MAP: 0.0460 |
| iter:    43/420 | topk:  80 | alpha: 0.800 | norm: l1 | MAP: 0.0333 |
| iter:    44/420 | topk:  80 | alpha: 0.800 | norm: max | MAP: 0.0433 |
| iter:    45/420 | topk: 100 | alpha: 0.000 | norm: l2 | MAP: 0.0497 |
| iter:    46/420 | topk: 100 | alpha: 0.000 | norm: l1 | MAP: 0.0394 |
| iter:    47/420 | topk: 100 | alpha: 0.000 | norm: max | MAP: 0.0488 |
| iter:    48/420 | topk: 100 | alpha: 0.200 | norm: l2 | MAP: 0.0512 |
| iter:    49/420 | topk: 100 | alpha: 0.200 | norm: l1 | MAP: 0.0411 |
| iter:    50/420 | topk: 100 | alpha: 0.200 | norm: max | MAP: 0.0504 |
| iter:    51/420 | topk: 100 | alpha: 0.400 | norm: l2 | MAP: 0.0518 |
| iter:    52/420 | topk: 100 | alpha: 0.400 | norm: l1 | MAP: 0.0405 |
| iter:    53/420 | topk: 100 | alpha: 0.400 | norm: max | MAP: 0.0506 |
| iter:    54/420 | topk: 100 | alpha: 0.600 | norm: l2 | MAP: 0.0499 |
| iter:    55/420 | topk: 100 | alpha: 0.600 | norm: l1 | MAP: 0.0384 |
| iter:    56/420 | topk: 100 | alpha: 0.600 | norm: max | MAP: 0.0487 |
| iter:    57/420 | topk: 100 | alpha: 0.800 | norm: l2 | MAP: 0.0472 |
| iter:    58/420 | topk: 100 | alpha: 0.800 | norm: l1 | MAP: 0.0343 |
| iter:    59/420 | topk: 100 | alpha: 0.800 | norm: max | MAP: 0.0451 |
| iter:    60/420 | topk: 120 | alpha: 0.000 | norm: l2 | MAP: 0.0497 |
| iter:    61/420 | topk: 120 | alpha: 0.000 | norm: l1 | MAP: 0.0394 |
| iter:    62/420 | topk: 120 | alpha: 0.000 | norm: max | MAP: 0.0492 |
| iter:    63/420 | topk: 120 | alpha: 0.200 | norm: l2 | MAP: 0.0516 |
| iter:    64/420 | topk: 120 | alpha: 0.200 | norm: l1 | MAP: 0.0413 |
| iter:    65/420 | topk: 120 | alpha: 0.200 | norm: max | MAP: 0.0509 |
| iter:    66/420 | topk: 120 | alpha: 0.400 | norm: l2 | MAP: 0.0523 |
| iter:    67/420 | topk: 120 | alpha: 0.400 | norm: l1 | MAP: 0.0411 |
| iter:    68/420 | topk: 120 | alpha: 0.400 | norm: max | MAP: 0.0511 |
| iter:    69/420 | topk: 120 | alpha: 0.600 | norm: l2 | MAP: 0.0510 |
| iter:    70/420 | topk: 120 | alpha: 0.600 | norm: l1 | MAP: 0.0390 |
| iter:    71/420 | topk: 120 | alpha: 0.600 | norm: max | MAP: 0.0494 |
| iter:    72/420 | topk: 120 | alpha: 0.800 | norm: l2 | MAP: 0.0481 |
| iter:    73/420 | topk: 120 | alpha: 0.800 | norm: l1 | MAP: 0.0352 |
| iter:    74/420 | topk: 120 | alpha: 0.800 | norm: max | MAP: 0.0462 |
| iter:    75/420 | topk: 140 | alpha: 0.000 | norm: l2 | MAP: 0.0498 |
| iter:    76/420 | topk: 140 | alpha: 0.000 | norm: l1 | MAP: 0.0395 |
| iter:    77/420 | topk: 140 | alpha: 0.000 | norm: max | MAP: 0.0495 |
| iter:    78/420 | topk: 140 | alpha: 0.200 | norm: l2 | MAP: 0.0516 |
| iter:    79/420 | topk: 140 | alpha: 0.200 | norm: l1 | MAP: 0.0416 |
| iter:    80/420 | topk: 140 | alpha: 0.200 | norm: max | MAP: 0.0512 |
| iter:    81/420 | topk: 140 | alpha: 0.400 | norm: l2 | MAP: 0.0525 |
| iter:    82/420 | topk: 140 | alpha: 0.400 | norm: l1 | MAP: 0.0415 |
| iter:    83/420 | topk: 140 | alpha: 0.400 | norm: max | MAP: 0.0511 |
| iter:    84/420 | topk: 140 | alpha: 0.600 | norm: l2 | MAP: 0.0514 |
| iter:    85/420 | topk: 140 | alpha: 0.600 | norm: l1 | MAP: 0.0393 |
| iter:    86/420 | topk: 140 | alpha: 0.600 | norm: max | MAP: 0.0498 |
| iter:    87/420 | topk: 140 | alpha: 0.800 | norm: l2 | MAP: 0.0490 |
| iter:    88/420 | topk: 140 | alpha: 0.800 | norm: l1 | MAP: 0.0357 |
| iter:    89/420 | topk: 140 | alpha: 0.800 | norm: max | MAP: 0.0470 |
| iter:    90/420 | topk: 160 | alpha: 0.000 | norm: l2 | MAP: 0.0498 |
| iter:    91/420 | topk: 160 | alpha: 0.000 | norm: l1 | MAP: 0.0395 |
| iter:    92/420 | topk: 160 | alpha: 0.000 | norm: max | MAP: 0.0496 |
| iter:    93/420 | topk: 160 | alpha: 0.200 | norm: l2 | MAP: 0.0517 |
| iter:    94/420 | topk: 160 | alpha: 0.200 | norm: l1 | MAP: 0.0417 |
| iter:    95/420 | topk: 160 | alpha: 0.200 | norm: max | MAP: 0.0512 |
| iter:    96/420 | topk: 160 | alpha: 0.400 | norm: l2 | MAP: 0.0527 |
| iter:    97/420 | topk: 160 | alpha: 0.400 | norm: l1 | MAP: 0.0417 |
| iter:    98/420 | topk: 160 | alpha: 0.400 | norm: max | MAP: 0.0513 |
| iter:    99/420 | topk: 160 | alpha: 0.600 | norm: l2 | MAP: 0.0520 |
| iter:   100/420 | topk: 160 | alpha: 0.600 | norm: l1 | MAP: 0.0397 |
| iter:   101/420 | topk: 160 | alpha: 0.600 | norm: max | MAP: 0.0502 |
| iter:   102/420 | topk: 160 | alpha: 0.800 | norm: l2 | MAP: 0.0497 |
| iter:   103/420 | topk: 160 | alpha: 0.800 | norm: l1 | MAP: 0.0359 |
| iter:   104/420 | topk: 160 | alpha: 0.800 | norm: max | MAP: 0.0474 |
| iter:   105/420 | topk: 180 | alpha: 0.000 | norm: l2 | MAP: 0.0498 |
| iter:   106/420 | topk: 180 | alpha: 0.000 | norm: l1 | MAP: 0.0395 |
| iter:   107/420 | topk: 180 | alpha: 0.000 | norm: max | MAP: 0.0496 |
| iter:   108/420 | topk: 180 | alpha: 0.200 | norm: l2 | MAP: 0.0521 |
| iter:   109/420 | topk: 180 | alpha: 0.200 | norm: l1 | MAP: 0.0418 |
| iter:   110/420 | topk: 180 | alpha: 0.200 | norm: max | MAP: 0.0513 |
| iter:   111/420 | topk: 180 | alpha: 0.400 | norm: l2 | MAP: 0.0530 |
| iter:   112/420 | topk: 180 | alpha: 0.400 | norm: l1 | MAP: 0.0416 |
| iter:   113/420 | topk: 180 | alpha: 0.400 | norm: max | MAP: 0.0518 |
| iter:   114/420 | topk: 180 | alpha: 0.600 | norm: l2 | MAP: 0.0521 |
| iter:   115/420 | topk: 180 | alpha: 0.600 | norm: l1 | MAP: 0.0398 |
| iter:   116/420 | topk: 180 | alpha: 0.600 | norm: max | MAP: 0.0507 |
| iter:   117/420 | topk: 180 | alpha: 0.800 | norm: l2 | MAP: 0.0500 |
| iter:   118/420 | topk: 180 | alpha: 0.800 | norm: l1 | MAP: 0.0360 |
| iter:   119/420 | topk: 180 | alpha: 0.800 | norm: max | MAP: 0.0476 |
| iter:   120/420 | topk: 200 | alpha: 0.000 | norm: l2 | MAP: 0.0498 |
| iter:   121/420 | topk: 200 | alpha: 0.000 | norm: l1 | MAP: 0.0395 |
| iter:   122/420 | topk: 200 | alpha: 0.000 | norm: max | MAP: 0.0496 |
| iter:   123/420 | topk: 200 | alpha: 0.200 | norm: l2 | MAP: 0.0521 |
| iter:   124/420 | topk: 200 | alpha: 0.200 | norm: l1 | MAP: 0.0418 |
| iter:   125/420 | topk: 200 | alpha: 0.200 | norm: max | MAP: 0.0514 |
| iter:   126/420 | topk: 200 | alpha: 0.400 | norm: l2 | MAP: 0.0532 |
| iter:   127/420 | topk: 200 | alpha: 0.400 | norm: l1 | MAP: 0.0421 |
