| iter:     0/240 | topk:  20 | alpha: 0.000 | norm: l2 | MAP: 0.0451 |
| iter:     1/240 | topk:  20 | alpha: 0.000 | norm: l1 | MAP: 0.0440 |
| iter:     2/240 | topk:  20 | alpha: 0.000 | norm: max | MAP: 0.0436 |
| iter:     3/240 | topk:  20 | alpha: 0.100 | norm: l2 | MAP: 0.0456 |
| iter:     4/240 | topk:  20 | alpha: 0.100 | norm: l1 | MAP: 0.0451 |
| iter:     5/240 | topk:  20 | alpha: 0.100 | norm: max | MAP: 0.0451 |
| iter:     6/240 | topk:  20 | alpha: 0.200 | norm: l2 | MAP: 0.0465 |
| iter:     7/240 | topk:  20 | alpha: 0.200 | norm: l1 | MAP: 0.0457 |
| iter:     8/240 | topk:  20 | alpha: 0.200 | norm: max | MAP: 0.0464 |
| iter:     9/240 | topk:  20 | alpha: 0.300 | norm: l2 | MAP: 0.0469 |
| iter:    10/240 | topk:  20 | alpha: 0.300 | norm: l1 | MAP: 0.0459 |
| iter:    11/240 | topk:  20 | alpha: 0.300 | norm: max | MAP: 0.0460 |
| iter:    12/240 | topk:  20 | alpha: 0.400 | norm: l2 | MAP: 0.0473 |
| iter:    13/240 | topk:  20 | alpha: 0.400 | norm: l1 | MAP: 0.0453 |
| iter:    14/240 | topk:  20 | alpha: 0.400 | norm: max | MAP: 0.0460 |
| iter:    15/240 | topk:  20 | alpha: 0.500 | norm: l2 | MAP: 0.0467 |
| iter:    16/240 | topk:  20 | alpha: 0.500 | norm: l1 | MAP: 0.0447 |
| iter:    17/240 | topk:  20 | alpha: 0.500 | norm: max | MAP: 0.0453 |
| iter:    18/240 | topk:  20 | alpha: 0.600 | norm: l2 | MAP: 0.0464 |
| iter:    19/240 | topk:  20 | alpha: 0.600 | norm: l1 | MAP: 0.0449 |
| iter:    20/240 | topk:  20 | alpha: 0.600 | norm: max | MAP: 0.0441 |
| iter:    21/240 | topk:  20 | alpha: 0.700 | norm: l2 | MAP: 0.0466 |
| iter:    22/240 | topk:  20 | alpha: 0.700 | norm: l1 | MAP: 0.0438 |
| iter:    23/240 | topk:  20 | alpha: 0.700 | norm: max | MAP: 0.0436 |
| iter:    24/240 | topk:  20 | alpha: 0.800 | norm: l2 | MAP: 0.0460 |
| iter:    25/240 | topk:  20 | alpha: 0.800 | norm: l1 | MAP: 0.0435 |
| iter:    26/240 | topk:  20 | alpha: 0.800 | norm: max | MAP: 0.0419 |
