| iter: 0/1344 | topk: 20 | shrink: 0 | sim type: 'splus' | MAP: 0.0247 |
| iter: 1/1344 | topk: 20 | shrink: 15 | sim type: 'splus' | MAP: 0.0298 |
| iter: 2/1344 | topk: 20 | shrink: 30 | sim type: 'splus' | MAP: 0.0293 |
| iter: 3/1344 | topk: 20 | shrink: 45 | sim type: 'splus' | MAP: 0.0283 |
| iter: 4/1344 | topk: 20 | shrink: 60 | sim type: 'splus' | MAP: 0.0280 |
| iter: 5/1344 | topk: 20 | shrink: 75 | sim type: 'splus' | MAP: 0.0274 |
| iter: 6/1344 | topk: 20 | shrink: 90 | sim type: 'splus' | MAP: 0.0271 |
| iter: 7/1344 | topk: 20 | shrink: 105 | sim type: 'splus' | MAP: 0.0269 |
| iter: 8/1344 | topk: 20 | shrink: 120 | sim type: 'splus' | MAP: 0.0267 |
| iter: 9/1344 | topk: 20 | shrink: 135 | sim type: 'splus' | MAP: 0.0265 |
| iter: 10/1344 | topk: 20 | shrink: 150 | sim type: 'splus' | MAP: 0.0265 |
| iter: 11/1344 | topk: 20 | shrink: 165 | sim type: 'splus' | MAP: 0.0264 |
| iter: 12/1344 | topk: 20 | shrink: 180 | sim type: 'splus' | MAP: 0.0263 |
| iter: 13/1344 | topk: 20 | shrink: 195 | sim type: 'splus' | MAP: 0.0262 |
| iter: 14/1344 | topk: 35 | shrink: 0 | sim type: 'splus' | MAP: 0.0246 |
| iter: 15/1344 | topk: 35 | shrink: 15 | sim type: 'splus' | MAP: 0.0300 |
| iter: 16/1344 | topk: 35 | shrink: 30 | sim type: 'splus' | MAP: 0.0294 |
| iter: 17/1344 | topk: 35 | shrink: 45 | sim type: 'splus' | MAP: 0.0285 |
| iter: 18/1344 | topk: 35 | shrink: 60 | sim type: 'splus' | MAP: 0.0280 |
| iter: 19/1344 | topk: 35 | shrink: 75 | sim type: 'splus' | MAP: 0.0278 |
| iter: 20/1344 | topk: 35 | shrink: 90 | sim type: 'splus' | MAP: 0.0273 |
| iter: 21/1344 | topk: 35 | shrink: 105 | sim type: 'splus' | MAP: 0.0270 |
| iter: 22/1344 | topk: 35 | shrink: 120 | sim type: 'splus' | MAP: 0.0268 |
| iter: 23/1344 | topk: 35 | shrink: 135 | sim type: 'splus' | MAP: 0.0266 |
| iter: 24/1344 | topk: 35 | shrink: 150 | sim type: 'splus' | MAP: 0.0265 |
| iter: 25/1344 | topk: 35 | shrink: 165 | sim type: 'splus' | MAP: 0.0264 |
| iter: 26/1344 | topk: 35 | shrink: 180 | sim type: 'splus' | MAP: 0.0263 |
| iter: 27/1344 | topk: 35 | shrink: 195 | sim type: 'splus' | MAP: 0.0263 |
| iter: 28/1344 | topk: 50 | shrink: 0 | sim type: 'splus' | MAP: 0.0249 |
| iter: 29/1344 | topk: 50 | shrink: 15 | sim type: 'splus' | MAP: 0.0301 |
| iter: 30/1344 | topk: 50 | shrink: 30 | sim type: 'splus' | MAP: 0.0289 |
| iter: 31/1344 | topk: 50 | shrink: 45 | sim type: 'splus' | MAP: 0.0281 |
| iter: 32/1344 | topk: 50 | shrink: 60 | sim type: 'splus' | MAP: 0.0273 |
| iter: 33/1344 | topk: 50 | shrink: 75 | sim type: 'splus' | MAP: 0.0270 |
| iter: 34/1344 | topk: 50 | shrink: 90 | sim type: 'splus' | MAP: 0.0267 |
| iter: 35/1344 | topk: 50 | shrink: 105 | sim type: 'splus' | MAP: 0.0264 |
| iter: 36/1344 | topk: 50 | shrink: 120 | sim type: 'splus' | MAP: 0.0262 |
| iter: 37/1344 | topk: 50 | shrink: 135 | sim type: 'splus' | MAP: 0.0259 |
| iter: 38/1344 | topk: 50 | shrink: 150 | sim type: 'splus' | MAP: 0.0257 |
| iter: 39/1344 | topk: 50 | shrink: 165 | sim type: 'splus' | MAP: 0.0257 |
| iter: 40/1344 | topk: 50 | shrink: 180 | sim type: 'splus' | MAP: 0.0257 |
| iter: 41/1344 | topk: 50 | shrink: 195 | sim type: 'splus' | MAP: 0.0256 |
| iter: 42/1344 | topk: 65 | shrink: 0 | sim type: 'splus' | MAP: 0.0251 |
| iter: 43/1344 | topk: 65 | shrink: 15 | sim type: 'splus' | MAP: 0.0304 |
| iter: 44/1344 | topk: 65 | shrink: 30 | sim type: 'splus' | MAP: 0.0293 |
| iter: 45/1344 | topk: 65 | shrink: 45 | sim type: 'splus' | MAP: 0.0283 |
| iter: 46/1344 | topk: 65 | shrink: 60 | sim type: 'splus' | MAP: 0.0276 |
| iter: 47/1344 | topk: 65 | shrink: 75 | sim type: 'splus' | MAP: 0.0272 |
| iter: 48/1344 | topk: 65 | shrink: 90 | sim type: 'splus' | MAP: 0.0269 |
| iter: 49/1344 | topk: 65 | shrink: 105 | sim type: 'splus' | MAP: 0.0266 |
| iter: 50/1344 | topk: 65 | shrink: 120 | sim type: 'splus' | MAP: 0.0264 |
| iter: 51/1344 | topk: 65 | shrink: 135 | sim type: 'splus' | MAP: 0.0263 |
| iter: 52/1344 | topk: 65 | shrink: 150 | sim type: 'splus' | MAP: 0.0261 |
| iter: 53/1344 | topk: 65 | shrink: 165 | sim type: 'splus' | MAP: 0.0261 |
| iter: 54/1344 | topk: 65 | shrink: 180 | sim type: 'splus' | MAP: 0.0260 |
| iter: 55/1344 | topk: 65 | shrink: 195 | sim type: 'splus' | MAP: 0.0259 |
| iter: 56/1344 | topk: 80 | shrink: 0 | sim type: 'splus' | MAP: 0.0250 |
| iter: 57/1344 | topk: 80 | shrink: 15 | sim type: 'splus' | MAP: 0.0306 |
| iter: 58/1344 | topk: 80 | shrink: 30 | sim type: 'splus' | MAP: 0.0293 |
| iter: 59/1344 | topk: 80 | shrink: 45 | sim type: 'splus' | MAP: 0.0284 |
| iter: 60/1344 | topk: 80 | shrink: 60 | sim type: 'splus' | MAP: 0.0279 |
| iter: 61/1344 | topk: 80 | shrink: 75 | sim type: 'splus' | MAP: 0.0275 |
| iter: 62/1344 | topk: 80 | shrink: 90 | sim type: 'splus' | MAP: 0.0271 |
| iter: 63/1344 | topk: 80 | shrink: 105 | sim type: 'splus' | MAP: 0.0268 |
| iter: 64/1344 | topk: 80 | shrink: 120 | sim type: 'splus' | MAP: 0.0266 |
| iter: 65/1344 | topk: 80 | shrink: 135 | sim type: 'splus' | MAP: 0.0265 |
| iter: 66/1344 | topk: 80 | shrink: 150 | sim type: 'splus' | MAP: 0.0263 |
| iter: 67/1344 | topk: 80 | shrink: 165 | sim type: 'splus' | MAP: 0.0261 |
| iter: 68/1344 | topk: 80 | shrink: 180 | sim type: 'splus' | MAP: 0.0261 |
| iter: 69/1344 | topk: 80 | shrink: 195 | sim type: 'splus' | MAP: 0.0260 |
| iter: 70/1344 | topk: 95 | shrink: 0 | sim type: 'splus' | MAP: 0.0251 |
| iter: 71/1344 | topk: 95 | shrink: 15 | sim type: 'splus' | MAP: 0.0306 |
| iter: 72/1344 | topk: 95 | shrink: 30 | sim type: 'splus' | MAP: 0.0293 |
| iter: 73/1344 | topk: 95 | shrink: 45 | sim type: 'splus' | MAP: 0.0283 |
| iter: 74/1344 | topk: 95 | shrink: 60 | sim type: 'splus' | MAP: 0.0281 |
