13-12-2020-12:56:02
|ItemKNNCB| iter: 0/420 | topk: 20 | shrink: 0 | sim type: splus | MAP: 0.0337 |
|ItemKNNCB| iter: 1/420 | topk: 20 | shrink: 20 | sim type: splus | MAP: 0.0327 |
|ItemKNNCB| iter: 2/420 | topk: 20 | shrink: 40 | sim type: splus | MAP: 0.0335 |
|ItemKNNCB| iter: 3/420 | topk: 20 | shrink: 60 | sim type: splus | MAP: 0.0334 |
|ItemKNNCB| iter: 4/420 | topk: 20 | shrink: 80 | sim type: splus | MAP: 0.0333 |
|ItemKNNCB| iter: 5/420 | topk: 20 | shrink: 100 | sim type: splus | MAP: 0.0332 |
|ItemKNNCB| iter: 6/420 | topk: 20 | shrink: 120 | sim type: splus | MAP: 0.0334 |
|ItemKNNCB| iter: 7/420 | topk: 20 | shrink: 140 | sim type: splus | MAP: 0.0333 |
|ItemKNNCB| iter: 8/420 | topk: 20 | shrink: 160 | sim type: splus | MAP: 0.0334 |
|ItemKNNCB| iter: 9/420 | topk: 20 | shrink: 180 | sim type: splus | MAP: 0.0334 |
|ItemKNNCB| iter: 10/420 | topk: 40 | shrink: 0 | sim type: splus | MAP: 0.0349 |
|ItemKNNCB| iter: 11/420 | topk: 40 | shrink: 20 | sim type: splus | MAP: 0.0348 |
|ItemKNNCB| iter: 12/420 | topk: 40 | shrink: 40 | sim type: splus | MAP: 0.0353 |
|ItemKNNCB| iter: 13/420 | topk: 40 | shrink: 60 | sim type: splus | MAP: 0.0351 |
|ItemKNNCB| iter: 14/420 | topk: 40 | shrink: 80 | sim type: splus | MAP: 0.0351 |
|ItemKNNCB| iter: 15/420 | topk: 40 | shrink: 100 | sim type: splus | MAP: 0.0349 |
|ItemKNNCB| iter: 16/420 | topk: 40 | shrink: 120 | sim type: splus | MAP: 0.0348 |
|ItemKNNCB| iter: 17/420 | topk: 40 | shrink: 140 | sim type: splus | MAP: 0.0347 |
|ItemKNNCB| iter: 18/420 | topk: 40 | shrink: 160 | sim type: splus | MAP: 0.0348 |
|ItemKNNCB| iter: 19/420 | topk: 40 | shrink: 180 | sim type: splus | MAP: 0.0347 |
|ItemKNNCB| iter: 20/420 | topk: 60 | shrink: 0 | sim type: splus | MAP: 0.0356 |
|ItemKNNCB| iter: 21/420 | topk: 60 | shrink: 20 | sim type: splus | MAP: 0.0347 |
|ItemKNNCB| iter: 22/420 | topk: 60 | shrink: 40 | sim type: splus | MAP: 0.0349 |
|ItemKNNCB| iter: 23/420 | topk: 60 | shrink: 60 | sim type: splus | MAP: 0.0345 |
|ItemKNNCB| iter: 24/420 | topk: 60 | shrink: 80 | sim type: splus | MAP: 0.0347 |
|ItemKNNCB| iter: 25/420 | topk: 60 | shrink: 100 | sim type: splus | MAP: 0.0345 |
|ItemKNNCB| iter: 26/420 | topk: 60 | shrink: 120 | sim type: splus | MAP: 0.0345 |
|ItemKNNCB| iter: 27/420 | topk: 60 | shrink: 140 | sim type: splus | MAP: 0.0343 |
|ItemKNNCB| iter: 28/420 | topk: 60 | shrink: 160 | sim type: splus | MAP: 0.0343 |
|ItemKNNCB| iter: 29/420 | topk: 60 | shrink: 180 | sim type: splus | MAP: 0.0343 |
|ItemKNNCB| iter: 30/420 | topk: 80 | shrink: 0 | sim type: splus | MAP: 0.0360 |
|ItemKNNCB| iter: 31/420 | topk: 80 | shrink: 20 | sim type: splus | MAP: 0.0350 |
|ItemKNNCB| iter: 32/420 | topk: 80 | shrink: 40 | sim type: splus | MAP: 0.0346 |
|ItemKNNCB| iter: 33/420 | topk: 80 | shrink: 60 | sim type: splus | MAP: 0.0347 |
|ItemKNNCB| iter: 34/420 | topk: 80 | shrink: 80 | sim type: splus | MAP: 0.0345 |
|ItemKNNCB| iter: 35/420 | topk: 80 | shrink: 100 | sim type: splus | MAP: 0.0343 |
|ItemKNNCB| iter: 36/420 | topk: 80 | shrink: 120 | sim type: splus | MAP: 0.0341 |
|ItemKNNCB| iter: 37/420 | topk: 80 | shrink: 140 | sim type: splus | MAP: 0.0341 |
|ItemKNNCB| iter: 38/420 | topk: 80 | shrink: 160 | sim type: splus | MAP: 0.0340 |
|ItemKNNCB| iter: 39/420 | topk: 80 | shrink: 180 | sim type: splus | MAP: 0.0339 |
|ItemKNNCB| iter: 40/420 | topk: 100 | shrink: 0 | sim type: splus | MAP: 0.0368 |
|ItemKNNCB| iter: 41/420 | topk: 100 | shrink: 20 | sim type: splus | MAP: 0.0357 |
|ItemKNNCB| iter: 42/420 | topk: 100 | shrink: 40 | sim type: splus | MAP: 0.0349 |
|ItemKNNCB| iter: 43/420 | topk: 100 | shrink: 60 | sim type: splus | MAP: 0.0345 |
