13-12-2020-12:54:14
|ItemKNNCF| iter:     0/96 | topk: 130 | shrink: 110 | sim type: splus | MAP: 0.0499 |
|ItemKNNCF| iter:     1/96 | topk: 130 | shrink: 120 | sim type: splus | MAP: 0.0500 |
|ItemKNNCF| iter:     2/96 | topk: 130 | shrink: 130 | sim type: splus | MAP: 0.0499 |
|ItemKNNCF| iter:     3/96 | topk: 130 | shrink: 140 | sim type: splus | MAP: 0.0499 |
|ItemKNNCF| iter:     4/96 | topk: 130 | shrink: 150 | sim type: splus | MAP: 0.0498 |
|ItemKNNCF| iter:     5/96 | topk: 130 | shrink: 160 | sim type: splus | MAP: 0.0499 |
|ItemKNNCF| iter:     6/96 | topk: 130 | shrink: 170 | sim type: splus | MAP: 0.0499 |
|ItemKNNCF| iter:     7/96 | topk: 130 | shrink: 180 | sim type: splus | MAP: 0.0501 |
|ItemKNNCF| iter:     8/96 | topk: 140 | shrink: 110 | sim type: splus | MAP: 0.0502 |
|ItemKNNCF| iter:     9/96 | topk: 140 | shrink: 120 | sim type: splus | MAP: 0.0502 |
|ItemKNNCF| iter:    10/96 | topk: 140 | shrink: 130 | sim type: splus | MAP: 0.0501 |
|ItemKNNCF| iter:    11/96 | topk: 140 | shrink: 140 | sim type: splus | MAP: 0.0503 |
|ItemKNNCF| iter:    12/96 | topk: 140 | shrink: 150 | sim type: splus | MAP: 0.0504 |
|ItemKNNCF| iter:    13/96 | topk: 140 | shrink: 160 | sim type: splus | MAP: 0.0504 |
|ItemKNNCF| iter:    14/96 | topk: 140 | shrink: 170 | sim type: splus | MAP: 0.0501 |
|ItemKNNCF| iter:    15/96 | topk: 140 | shrink: 180 | sim type: splus | MAP: 0.0500 |
|ItemKNNCF| iter:    16/96 | topk: 150 | shrink: 110 | sim type: splus | MAP: 0.0501 |
|ItemKNNCF| iter:    17/96 | topk: 150 | shrink: 120 | sim type: splus | MAP: 0.0502 |
|ItemKNNCF| iter:    18/96 | topk: 150 | shrink: 130 | sim type: splus | MAP: 0.0503 |
|ItemKNNCF| iter:    19/96 | topk: 150 | shrink: 140 | sim type: splus | MAP: 0.0503 |
|ItemKNNCF| iter:    20/96 | topk: 150 | shrink: 150 | sim type: splus | MAP: 0.0503 |
|ItemKNNCF| iter:    21/96 | topk: 150 | shrink: 160 | sim type: splus | MAP: 0.0502 |
|ItemKNNCF| iter:    22/96 | topk: 150 | shrink: 170 | sim type: splus | MAP: 0.0502 |
|ItemKNNCF| iter:    23/96 | topk: 150 | shrink: 180 | sim type: splus | MAP: 0.0503 |
|ItemKNNCF| iter:    24/96 | topk: 160 | shrink: 110 | sim type: splus | MAP: 0.0506 |
|ItemKNNCF| iter:    25/96 | topk: 160 | shrink: 120 | sim type: splus | MAP: 0.0507 |
|ItemKNNCF| iter:    26/96 | topk: 160 | shrink: 130 | sim type: splus | MAP: 0.0507 |
|ItemKNNCF| iter:    27/96 | topk: 160 | shrink: 140 | sim type: splus | MAP: 0.0509 |
|ItemKNNCF| iter:    28/96 | topk: 160 | shrink: 150 | sim type: splus | MAP: 0.0506 |
|ItemKNNCF| iter:    29/96 | topk: 160 | shrink: 160 | sim type: splus | MAP: 0.0505 |
|ItemKNNCF| iter:    30/96 | topk: 160 | shrink: 170 | sim type: splus | MAP: 0.0503 |
