| iter:     0/460 | topk:  20 | alpha: 0.000 | MAP: 0.0444 |
| iter:     1/460 | topk:  20 | alpha: 0.100 | MAP: 0.0484 |
| iter:     2/460 | topk:  20 | alpha: 0.200 | MAP: 0.0502 |
| iter:     3/460 | topk:  20 | alpha: 0.300 | MAP: 0.0527 |
| iter:     4/460 | topk:  20 | alpha: 0.400 | MAP: 0.0532 |
| iter:     5/460 | topk:  20 | alpha: 0.500 | MAP: 0.0512 |
| iter:     6/460 | topk:  20 | alpha: 0.600 | MAP: 0.0460 |
| iter:     7/460 | topk:  20 | alpha: 0.700 | MAP: 0.0364 |
| iter:     8/460 | topk:  20 | alpha: 0.800 | MAP: 0.0323 |
| iter:     9/460 | topk:  20 | alpha: 0.900 | MAP: 0.0285 |
| iter:    10/460 | topk:  35 | alpha: 0.000 | MAP: 0.0449 |
| iter:    11/460 | topk:  35 | alpha: 0.100 | MAP: 0.0497 |
| iter:    12/460 | topk:  35 | alpha: 0.200 | MAP: 0.0513 |
| iter:    13/460 | topk:  35 | alpha: 0.300 | MAP: 0.0539 |
| iter:    14/460 | topk:  35 | alpha: 0.400 | MAP: 0.0553 |
| iter:    15/460 | topk:  35 | alpha: 0.500 | MAP: 0.0543 |
| iter:    16/460 | topk:  35 | alpha: 0.600 | MAP: 0.0503 |
| iter:    17/460 | topk:  35 | alpha: 0.700 | MAP: 0.0424 |
| iter:    18/460 | topk:  35 | alpha: 0.800 | MAP: 0.0365 |
| iter:    19/460 | topk:  35 | alpha: 0.900 | MAP: 0.0330 |
| iter:    20/460 | topk:  50 | alpha: 0.000 | MAP: 0.0445 |
| iter:    21/460 | topk:  50 | alpha: 0.100 | MAP: 0.0505 |
| iter:    22/460 | topk:  50 | alpha: 0.200 | MAP: 0.0526 |
| iter:    23/460 | topk:  50 | alpha: 0.300 | MAP: 0.0553 |
| iter:    24/460 | topk:  50 | alpha: 0.400 | MAP: 0.0557 |
| iter:    25/460 | topk:  50 | alpha: 0.500 | MAP: 0.0553 |
| iter:    26/460 | topk:  50 | alpha: 0.600 | MAP: 0.0528 |
| iter:    27/460 | topk:  50 | alpha: 0.700 | MAP: 0.0475 |
| iter:    28/460 | topk:  50 | alpha: 0.800 | MAP: 0.0403 |
| iter:    29/460 | topk:  50 | alpha: 0.900 | MAP: 0.0359 |
| iter:    30/460 | topk:  65 | alpha: 0.000 | MAP: 0.0450 |
| iter:    31/460 | topk:  65 | alpha: 0.100 | MAP: 0.0505 |
| iter:    32/460 | topk:  65 | alpha: 0.200 | MAP: 0.0533 |
| iter:    33/460 | topk:  65 | alpha: 0.300 | MAP: 0.0562 |
| iter:    34/460 | topk:  65 | alpha: 0.400 | MAP: 0.0562 |
| iter:    35/460 | topk:  65 | alpha: 0.500 | MAP: 0.0562 |
| iter:    36/460 | topk:  65 | alpha: 0.600 | MAP: 0.0545 |
| iter:    37/460 | topk:  65 | alpha: 0.700 | MAP: 0.0488 |
| iter:    38/460 | topk:  65 | alpha: 0.800 | MAP: 0.0424 |
| iter:    39/460 | topk:  65 | alpha: 0.900 | MAP: 0.0380 |
| iter:    40/460 | topk:  80 | alpha: 0.000 | MAP: 0.0449 |
| iter:    41/460 | topk:  80 | alpha: 0.100 | MAP: 0.0506 |
| iter:    42/460 | topk:  80 | alpha: 0.200 | MAP: 0.0530 |
| iter:    43/460 | topk:  80 | alpha: 0.300 | MAP: 0.0559 |
| iter:    44/460 | topk:  80 | alpha: 0.400 | MAP: 0.0566 |
| iter:    45/460 | topk:  80 | alpha: 0.500 | MAP: 0.0562 |
| iter:    46/460 | topk:  80 | alpha: 0.600 | MAP: 0.0547 |
| iter:    47/460 | topk:  80 | alpha: 0.700 | MAP: 0.0500 |
| iter:    48/460 | topk:  80 | alpha: 0.800 | MAP: 0.0442 |
| iter:    49/460 | topk:  80 | alpha: 0.900 | MAP: 0.0396 |
| iter:    50/460 | topk:  95 | alpha: 0.000 | MAP: 0.0448 |
| iter:    51/460 | topk:  95 | alpha: 0.100 | MAP: 0.0506 |
| iter:    52/460 | topk:  95 | alpha: 0.200 | MAP: 0.0530 |
| iter:    53/460 | topk:  95 | alpha: 0.300 | MAP: 0.0561 |
| iter:    54/460 | topk:  95 | alpha: 0.400 | MAP: 0.0571 |
| iter:    55/460 | topk:  95 | alpha: 0.500 | MAP: 0.0569 |
| iter:    56/460 | topk:  95 | alpha: 0.600 | MAP: 0.0551 |
| iter:    57/460 | topk:  95 | alpha: 0.700 | MAP: 0.0518 |
| iter:    58/460 | topk:  95 | alpha: 0.800 | MAP: 0.0460 |
| iter:    59/460 | topk:  95 | alpha: 0.900 | MAP: 0.0410 |
| iter:    60/460 | topk: 110 | alpha: 0.000 | MAP: 0.0453 |
| iter:    61/460 | topk: 110 | alpha: 0.100 | MAP: 0.0505 |
| iter:    62/460 | topk: 110 | alpha: 0.200 | MAP: 0.0529 |
| iter:    63/460 | topk: 110 | alpha: 0.300 | MAP: 0.0558 |
| iter:    64/460 | topk: 110 | alpha: 0.400 | MAP: 0.0573 |
| iter:    65/460 | topk: 110 | alpha: 0.500 | MAP: 0.0569 |
| iter:    66/460 | topk: 110 | alpha: 0.600 | MAP: 0.0563 |
| iter:    67/460 | topk: 110 | alpha: 0.700 | MAP: 0.0525 |
| iter:    68/460 | topk: 110 | alpha: 0.800 | MAP: 0.0462 |
| iter:    69/460 | topk: 110 | alpha: 0.900 | MAP: 0.0418 |
