13-12-2020-14:58:18
| iter:     0/70 | topk:  20 | alpha: 0.000 | MAP: 0.0301 |
| iter:     1/70 | topk:  20 | alpha: 0.100 | MAP: 0.0333 |
| iter:     2/70 | topk:  20 | alpha: 0.200 | MAP: 0.0342 |
| iter:     3/70 | topk:  20 | alpha: 0.300 | MAP: 0.0342 |
| iter:     4/70 | topk:  20 | alpha: 0.400 | MAP: 0.0337 |
| iter:     5/70 | topk:  20 | alpha: 0.500 | MAP: 0.0328 |
| iter:     6/70 | topk:  20 | alpha: 0.600 | MAP: 0.0313 |
| iter:     7/70 | topk:  20 | alpha: 0.700 | MAP: 0.0302 |
| iter:     8/70 | topk:  20 | alpha: 0.800 | MAP: 0.0289 |
| iter:     9/70 | topk:  20 | alpha: 0.900 | MAP: 0.0275 |
| iter:    10/70 | topk:  40 | alpha: 0.000 | MAP: 0.0293 |
| iter:    11/70 | topk:  40 | alpha: 0.100 | MAP: 0.0325 |
| iter:    12/70 | topk:  40 | alpha: 0.200 | MAP: 0.0339 |
| iter:    13/70 | topk:  40 | alpha: 0.300 | MAP: 0.0341 |
| iter:    14/70 | topk:  40 | alpha: 0.400 | MAP: 0.0342 |
| iter:    15/70 | topk:  40 | alpha: 0.500 | MAP: 0.0335 |
| iter:    16/70 | topk:  40 | alpha: 0.600 | MAP: 0.0319 |
| iter:    17/70 | topk:  40 | alpha: 0.700 | MAP: 0.0307 |
| iter:    18/70 | topk:  40 | alpha: 0.800 | MAP: 0.0294 |
| iter:    19/70 | topk:  40 | alpha: 0.900 | MAP: 0.0282 |
| iter:    20/70 | topk:  60 | alpha: 0.000 | MAP: 0.0279 |
| iter:    21/70 | topk:  60 | alpha: 0.100 | MAP: 0.0332 |
| iter:    22/70 | topk:  60 | alpha: 0.200 | MAP: 0.0339 |
| iter:    23/70 | topk:  60 | alpha: 0.300 | MAP: 0.0349 |
| iter:    24/70 | topk:  60 | alpha: 0.400 | MAP: 0.0351 |
| iter:    25/70 | topk:  60 | alpha: 0.500 | MAP: 0.0340 |
| iter:    26/70 | topk:  60 | alpha: 0.600 | MAP: 0.0327 |
| iter:    27/70 | topk:  60 | alpha: 0.700 | MAP: 0.0314 |
| iter:    28/70 | topk:  60 | alpha: 0.800 | MAP: 0.0299 |
| iter:    29/70 | topk:  60 | alpha: 0.900 | MAP: 0.0287 |
| iter:    30/70 | topk:  80 | alpha: 0.000 | MAP: 0.0282 |
