| iter:     0/975 | topk:  20 | alpha: 0.000 | beta: 0.000 | MAP: 0.0421 |
| iter:     1/975 | topk:  20 | alpha: 0.000 | beta: 0.200 | MAP: 0.0464 |
| iter:     2/975 | topk:  20 | alpha: 0.000 | beta: 0.400 | MAP: 0.0386 |
| iter:     3/975 | topk:  20 | alpha: 0.000 | beta: 0.600 | MAP: 0.0225 |
| iter:     4/975 | topk:  20 | alpha: 0.000 | beta: 0.800 | MAP: 0.0153 |
| iter:     5/975 | topk:  20 | alpha: 0.200 | beta: 0.000 | MAP: 0.0470 |
| iter:     6/975 | topk:  20 | alpha: 0.200 | beta: 0.200 | MAP: 0.0505 |
| iter:     7/975 | topk:  20 | alpha: 0.200 | beta: 0.400 | MAP: 0.0435 |
| iter:     8/975 | topk:  20 | alpha: 0.200 | beta: 0.600 | MAP: 0.0256 |
| iter:     9/975 | topk:  20 | alpha: 0.200 | beta: 0.800 | MAP: 0.0180 |
| iter:    10/975 | topk:  20 | alpha: 0.400 | beta: 0.000 | MAP: 0.0479 |
| iter:    11/975 | topk:  20 | alpha: 0.400 | beta: 0.200 | MAP: 0.0498 |
| iter:    12/975 | topk:  20 | alpha: 0.400 | beta: 0.400 | MAP: 0.0413 |
| iter:    13/975 | topk:  20 | alpha: 0.400 | beta: 0.600 | MAP: 0.0246 |
| iter:    14/975 | topk:  20 | alpha: 0.400 | beta: 0.800 | MAP: 0.0187 |
| iter:    15/975 | topk:  20 | alpha: 0.600 | beta: 0.000 | MAP: 0.0445 |
| iter:    16/975 | topk:  20 | alpha: 0.600 | beta: 0.200 | MAP: 0.0444 |
| iter:    17/975 | topk:  20 | alpha: 0.600 | beta: 0.400 | MAP: 0.0364 |
| iter:    18/975 | topk:  20 | alpha: 0.600 | beta: 0.600 | MAP: 0.0239 |
| iter:    19/975 | topk:  20 | alpha: 0.600 | beta: 0.800 | MAP: 0.0188 |
| iter:    20/975 | topk:  20 | alpha: 0.800 | beta: 0.000 | MAP: 0.0392 |
| iter:    21/975 | topk:  20 | alpha: 0.800 | beta: 0.200 | MAP: 0.0395 |
| iter:    22/975 | topk:  20 | alpha: 0.800 | beta: 0.400 | MAP: 0.0314 |
| iter:    23/975 | topk:  20 | alpha: 0.800 | beta: 0.600 | MAP: 0.0220 |
| iter:    24/975 | topk:  20 | alpha: 0.800 | beta: 0.800 | MAP: 0.0194 |
| iter:    25/975 | topk:  35 | alpha: 0.000 | beta: 0.000 | MAP: 0.0464 |
