13-12-2020-11:52:44
| iter:     0/320 | topk:  40 | alpha: 0.350 | beta: 0.000 | MAP: 0.0581 |
| iter:     1/320 | topk:  40 | alpha: 0.350 | beta: 0.030 | MAP: 0.0587 |
| iter:     2/320 | topk:  40 | alpha: 0.350 | beta: 0.060 | MAP: 0.0584 |
| iter:     3/320 | topk:  40 | alpha: 0.350 | beta: 0.090 | MAP: 0.0575 |
| iter:     4/320 | topk:  40 | alpha: 0.350 | beta: 0.120 | MAP: 0.0577 |
| iter:     5/320 | topk:  40 | alpha: 0.380 | beta: 0.000 | MAP: 0.0579 |
| iter:     6/320 | topk:  40 | alpha: 0.380 | beta: 0.030 | MAP: 0.0583 |
| iter:     7/320 | topk:  40 | alpha: 0.380 | beta: 0.060 | MAP: 0.0576 |
| iter:     8/320 | topk:  40 | alpha: 0.380 | beta: 0.090 | MAP: 0.0578 |
| iter:     9/320 | topk:  40 | alpha: 0.380 | beta: 0.120 | MAP: 0.0569 |
| iter:    10/320 | topk:  40 | alpha: 0.410 | beta: 0.000 | MAP: 0.0577 |
| iter:    11/320 | topk:  40 | alpha: 0.410 | beta: 0.030 | MAP: 0.0576 |
| iter:    12/320 | topk:  40 | alpha: 0.410 | beta: 0.060 | MAP: 0.0572 |
| iter:    13/320 | topk:  40 | alpha: 0.410 | beta: 0.090 | MAP: 0.0566 |
| iter:    14/320 | topk:  40 | alpha: 0.410 | beta: 0.120 | MAP: 0.0566 |
| iter:    15/320 | topk:  40 | alpha: 0.440 | beta: 0.000 | MAP: 0.0568 |
| iter:    16/320 | topk:  40 | alpha: 0.440 | beta: 0.030 | MAP: 0.0569 |
| iter:    17/320 | topk:  40 | alpha: 0.440 | beta: 0.060 | MAP: 0.0568 |
| iter:    18/320 | topk:  40 | alpha: 0.440 | beta: 0.090 | MAP: 0.0563 |
| iter:    19/320 | topk:  40 | alpha: 0.440 | beta: 0.120 | MAP: 0.0555 |
| iter:    20/320 | topk:  50 | alpha: 0.350 | beta: 0.000 | MAP: 0.0587 |
| iter:    21/320 | topk:  50 | alpha: 0.350 | beta: 0.030 | MAP: 0.0589 |
| iter:    22/320 | topk:  50 | alpha: 0.350 | beta: 0.060 | MAP: 0.0584 |
| iter:    23/320 | topk:  50 | alpha: 0.350 | beta: 0.090 | MAP: 0.0580 |
