|UserKNNCB| iter:     0/1344 | topk:  20 | shrink:   0 | sim type: 'splus' | MAP: 0.0498 |
|UserKNNCB| iter:     1/1344 | topk:  20 | shrink:  15 | sim type: 'splus' | MAP: 0.0498 |
|UserKNNCB| iter:     2/1344 | topk:  20 | shrink:  30 | sim type: 'splus' | MAP: 0.0484 |
|UserKNNCB| iter:     3/1344 | topk:  20 | shrink:  45 | sim type: 'splus' | MAP: 0.0473 |
|UserKNNCB| iter:     4/1344 | topk:  20 | shrink:  60 | sim type: 'splus' | MAP: 0.0464 |
|UserKNNCB| iter:     5/1344 | topk:  20 | shrink:  75 | sim type: 'splus' | MAP: 0.0455 |
|UserKNNCB| iter:     6/1344 | topk:  20 | shrink:  90 | sim type: 'splus' | MAP: 0.0449 |
|UserKNNCB| iter:     7/1344 | topk:  20 | shrink: 105 | sim type: 'splus' | MAP: 0.0439 |
|UserKNNCB| iter:     8/1344 | topk:  20 | shrink: 120 | sim type: 'splus' | MAP: 0.0429 |
|UserKNNCB| iter:     9/1344 | topk:  20 | shrink: 135 | sim type: 'splus' | MAP: 0.0424 |
|UserKNNCB| iter:    10/1344 | topk:  20 | shrink: 150 | sim type: 'splus' | MAP: 0.0414 |
|UserKNNCB| iter:    11/1344 | topk:  20 | shrink: 165 | sim type: 'splus' | MAP: 0.0416 |
|UserKNNCB| iter:    12/1344 | topk:  20 | shrink: 180 | sim type: 'splus' | MAP: 0.0409 |
|UserKNNCB| iter:    13/1344 | topk:  20 | shrink: 195 | sim type: 'splus' | MAP: 0.0396 |
|UserKNNCB| iter:    14/1344 | topk:  35 | shrink:   0 | sim type: 'splus' | MAP: 0.0518 |
|UserKNNCB| iter:    15/1344 | topk:  35 | shrink:  15 | sim type: 'splus' | MAP: 0.0502 |
|UserKNNCB| iter:    16/1344 | topk:  35 | shrink:  30 | sim type: 'splus' | MAP: 0.0489 |
|UserKNNCB| iter:    17/1344 | topk:  35 | shrink:  45 | sim type: 'splus' | MAP: 0.0472 |
|UserKNNCB| iter:    18/1344 | topk:  35 | shrink:  60 | sim type: 'splus' | MAP: 0.0455 |
|UserKNNCB| iter:    19/1344 | topk:  35 | shrink:  75 | sim type: 'splus' | MAP: 0.0451 |
|UserKNNCB| iter:    20/1344 | topk:  35 | shrink:  90 | sim type: 'splus' | MAP: 0.0439 |
|UserKNNCB| iter:    21/1344 | topk:  35 | shrink: 105 | sim type: 'splus' | MAP: 0.0418 |
|UserKNNCB| iter:    22/1344 | topk:  35 | shrink: 120 | sim type: 'splus' | MAP: 0.0410 |
|UserKNNCB| iter:    23/1344 | topk:  35 | shrink: 135 | sim type: 'splus' | MAP: 0.0396 |
|UserKNNCB| iter:    24/1344 | topk:  35 | shrink: 150 | sim type: 'splus' | MAP: 0.0387 |
|UserKNNCB| iter:    25/1344 | topk:  35 | shrink: 165 | sim type: 'splus' | MAP: 0.0384 |
|UserKNNCB| iter:    26/1344 | topk:  35 | shrink: 180 | sim type: 'splus' | MAP: 0.0373 |
|UserKNNCB| iter:    27/1344 | topk:  35 | shrink: 195 | sim type: 'splus' | MAP: 0.0364 |
|UserKNNCB| iter:    28/1344 | topk:  50 | shrink:   0 | sim type: 'splus' | MAP: 0.0505 |
|UserKNNCB| iter:    29/1344 | topk:  50 | shrink:  15 | sim type: 'splus' | MAP: 0.0488 |
|UserKNNCB| iter:    30/1344 | topk:  50 | shrink:  30 | sim type: 'splus' | MAP: 0.0476 |
|UserKNNCB| iter:    31/1344 | topk:  50 | shrink:  45 | sim type: 'splus' | MAP: 0.0455 |
|UserKNNCB| iter:    32/1344 | topk:  50 | shrink:  60 | sim type: 'splus' | MAP: 0.0442 |
|UserKNNCB| iter:    33/1344 | topk:  50 | shrink:  75 | sim type: 'splus' | MAP: 0.0429 |
|UserKNNCB| iter:    34/1344 | topk:  50 | shrink:  90 | sim type: 'splus' | MAP: 0.0417 |
|UserKNNCB| iter:    35/1344 | topk:  50 | shrink: 105 | sim type: 'splus' | MAP: 0.0404 |
|UserKNNCB| iter:    36/1344 | topk:  50 | shrink: 120 | sim type: 'splus' | MAP: 0.0395 |
|UserKNNCB| iter:    37/1344 | topk:  50 | shrink: 135 | sim type: 'splus' | MAP: 0.0375 |
|UserKNNCB| iter:    38/1344 | topk:  50 | shrink: 150 | sim type: 'splus' | MAP: 0.0365 |
|UserKNNCB| iter:    39/1344 | topk:  50 | shrink: 165 | sim type: 'splus' | MAP: 0.0355 |
|UserKNNCB| iter:    40/1344 | topk:  50 | shrink: 180 | sim type: 'splus' | MAP: 0.0348 |
|UserKNNCB| iter:    41/1344 | topk:  50 | shrink: 195 | sim type: 'splus' | MAP: 0.0343 |
|UserKNNCB| iter:    42/1344 | topk:  65 | shrink:   0 | sim type: 'splus' | MAP: 0.0501 |
|UserKNNCB| iter:    43/1344 | topk:  65 | shrink:  15 | sim type: 'splus' | MAP: 0.0475 |
|UserKNNCB| iter:    44/1344 | topk:  65 | shrink:  30 | sim type: 'splus' | MAP: 0.0456 |
|UserKNNCB| iter:    45/1344 | topk:  65 | shrink:  45 | sim type: 'splus' | MAP: 0.0444 |
|UserKNNCB| iter:    46/1344 | topk:  65 | shrink:  60 | sim type: 'splus' | MAP: 0.0424 |
|UserKNNCB| iter:    47/1344 | topk:  65 | shrink:  75 | sim type: 'splus' | MAP: 0.0417 |
|UserKNNCB| iter:    48/1344 | topk:  65 | shrink:  90 | sim type: 'splus' | MAP: 0.0396 |
|UserKNNCB| iter:    49/1344 | topk:  65 | shrink: 105 | sim type: 'splus' | MAP: 0.0385 |
|UserKNNCB| iter:    50/1344 | topk:  65 | shrink: 120 | sim type: 'splus' | MAP: 0.0370 |
|UserKNNCB| iter:    51/1344 | topk:  65 | shrink: 135 | sim type: 'splus' | MAP: 0.0358 |
|UserKNNCB| iter:    52/1344 | topk:  65 | shrink: 150 | sim type: 'splus' | MAP: 0.0352 |
|UserKNNCB| iter:    53/1344 | topk:  65 | shrink: 165 | sim type: 'splus' | MAP: 0.0344 |
|UserKNNCB| iter:    54/1344 | topk:  65 | shrink: 180 | sim type: 'splus' | MAP: 0.0335 |
|UserKNNCB| iter:    55/1344 | topk:  65 | shrink: 195 | sim type: 'splus' | MAP: 0.0325 |
|UserKNNCB| iter:    56/1344 | topk:  80 | shrink:   0 | sim type: 'splus' | MAP: 0.0488 |
|UserKNNCB| iter:    57/1344 | topk:  80 | shrink:  15 | sim type: 'splus' | MAP: 0.0466 |
|UserKNNCB| iter:    58/1344 | topk:  80 | shrink:  30 | sim type: 'splus' | MAP: 0.0442 |
|UserKNNCB| iter:    59/1344 | topk:  80 | shrink:  45 | sim type: 'splus' | MAP: 0.0425 |
|UserKNNCB| iter:    60/1344 | topk:  80 | shrink:  60 | sim type: 'splus' | MAP: 0.0406 |
|UserKNNCB| iter:    61/1344 | topk:  80 | shrink:  75 | sim type: 'splus' | MAP: 0.0388 |
|UserKNNCB| iter:    62/1344 | topk:  80 | shrink:  90 | sim type: 'splus' | MAP: 0.0378 |
|UserKNNCB| iter:    63/1344 | topk:  80 | shrink: 105 | sim type: 'splus' | MAP: 0.0370 |
|UserKNNCB| iter:    64/1344 | topk:  80 | shrink: 120 | sim type: 'splus' | MAP: 0.0354 |
|UserKNNCB| iter:    65/1344 | topk:  80 | shrink: 135 | sim type: 'splus' | MAP: 0.0344 |
|UserKNNCB| iter:    66/1344 | topk:  80 | shrink: 150 | sim type: 'splus' | MAP: 0.0333 |
|UserKNNCB| iter:    67/1344 | topk:  80 | shrink: 165 | sim type: 'splus' | MAP: 0.0324 |
|UserKNNCB| iter:    68/1344 | topk:  80 | shrink: 180 | sim type: 'splus' | MAP: 0.0315 |
|UserKNNCB| iter:    69/1344 | topk:  80 | shrink: 195 | sim type: 'splus' | MAP: 0.0312 |
|UserKNNCB| iter:    70/1344 | topk:  95 | shrink:   0 | sim type: 'splus' | MAP: 0.0489 |
|UserKNNCB| iter:    71/1344 | topk:  95 | shrink:  15 | sim type: 'splus' | MAP: 0.0451 |
|UserKNNCB| iter:    72/1344 | topk:  95 | shrink:  30 | sim type: 'splus' | MAP: 0.0432 |
|UserKNNCB| iter:    73/1344 | topk:  95 | shrink:  45 | sim type: 'splus' | MAP: 0.0409 |
|UserKNNCB| iter:    74/1344 | topk:  95 | shrink:  60 | sim type: 'splus' | MAP: 0.0386 |
|UserKNNCB| iter:    75/1344 | topk:  95 | shrink:  75 | sim type: 'splus' | MAP: 0.0375 |
|UserKNNCB| iter:    76/1344 | topk:  95 | shrink:  90 | sim type: 'splus' | MAP: 0.0363 |
|UserKNNCB| iter:    77/1344 | topk:  95 | shrink: 105 | sim type: 'splus' | MAP: 0.0350 |
|UserKNNCB| iter:    78/1344 | topk:  95 | shrink: 120 | sim type: 'splus' | MAP: 0.0336 |
|UserKNNCB| iter:    79/1344 | topk:  95 | shrink: 135 | sim type: 'splus' | MAP: 0.0329 |
|UserKNNCB| iter:    80/1344 | topk:  95 | shrink: 150 | sim type: 'splus' | MAP: 0.0323 |
|UserKNNCB| iter:    81/1344 | topk:  95 | shrink: 165 | sim type: 'splus' | MAP: 0.0314 |
|UserKNNCB| iter:    82/1344 | topk:  95 | shrink: 180 | sim type: 'splus' | MAP: 0.0308 |
|UserKNNCB| iter:    83/1344 | topk:  95 | shrink: 195 | sim type: 'splus' | MAP: 0.0299 |
