19-12-2020-03:18:06
|UserKNNCB| iter:     0/2340 | topk:  10 | shrink:   0 | sim type: splus | MAP: 0.0410 |
|UserKNNCB| iter:     1/2340 | topk:  10 | shrink:  10 | sim type: splus | MAP: 0.0404 |
|UserKNNCB| iter:     2/2340 | topk:  10 | shrink:  20 | sim type: splus | MAP: 0.0406 |
|UserKNNCB| iter:     3/2340 | topk:  10 | shrink:  30 | sim type: splus | MAP: 0.0409 |
|UserKNNCB| iter:     4/2340 | topk:  10 | shrink:  40 | sim type: splus | MAP: 0.0415 |
|UserKNNCB| iter:     5/2340 | topk:  10 | shrink:  50 | sim type: splus | MAP: 0.0420 |
|UserKNNCB| iter:     6/2340 | topk:  10 | shrink:  60 | sim type: splus | MAP: 0.0416 |
|UserKNNCB| iter:     7/2340 | topk:  10 | shrink:  70 | sim type: splus | MAP: 0.0418 |
|UserKNNCB| iter:     8/2340 | topk:  10 | shrink:  80 | sim type: splus | MAP: 0.0422 |
|UserKNNCB| iter:     9/2340 | topk:  10 | shrink:  90 | sim type: splus | MAP: 0.0420 |
|UserKNNCB| iter:    10/2340 | topk:  10 | shrink: 100 | sim type: splus | MAP: 0.0430 |
|UserKNNCB| iter:    11/2340 | topk:  10 | shrink: 110 | sim type: splus | MAP: 0.0429 |
|UserKNNCB| iter:    12/2340 | topk:  10 | shrink: 120 | sim type: splus | MAP: 0.0433 |
|UserKNNCB| iter:    13/2340 | topk:  10 | shrink: 130 | sim type: splus | MAP: 0.0437 |
|UserKNNCB| iter:    14/2340 | topk:  10 | shrink: 140 | sim type: splus | MAP: 0.0438 |
|UserKNNCB| iter:    15/2340 | topk:  10 | shrink: 150 | sim type: splus | MAP: 0.0438 |
|UserKNNCB| iter:    16/2340 | topk:  10 | shrink: 160 | sim type: splus | MAP: 0.0437 |
|UserKNNCB| iter:    17/2340 | topk:  10 | shrink: 170 | sim type: splus | MAP: 0.0440 |
|UserKNNCB| iter:    18/2340 | topk:  10 | shrink: 180 | sim type: splus | MAP: 0.0449 |
|UserKNNCB| iter:    19/2340 | topk:  10 | shrink: 190 | sim type: splus | MAP: 0.0448 |
|UserKNNCB| iter:    20/2340 | topk:  20 | shrink:   0 | sim type: splus | MAP: 0.0489 |
|UserKNNCB| iter:    21/2340 | topk:  20 | shrink:  10 | sim type: splus | MAP: 0.0498 |
|UserKNNCB| iter:    22/2340 | topk:  20 | shrink:  20 | sim type: splus | MAP: 0.0501 |
|UserKNNCB| iter:    23/2340 | topk:  20 | shrink:  30 | sim type: splus | MAP: 0.0492 |
|UserKNNCB| iter:    24/2340 | topk:  20 | shrink:  40 | sim type: splus | MAP: 0.0490 |
|UserKNNCB| iter:    25/2340 | topk:  20 | shrink:  50 | sim type: splus | MAP: 0.0494 |
|UserKNNCB| iter:    26/2340 | topk:  20 | shrink:  60 | sim type: splus | MAP: 0.0496 |
|UserKNNCB| iter:    27/2340 | topk:  20 | shrink:  70 | sim type: splus | MAP: 0.0493 |
|UserKNNCB| iter:    28/2340 | topk:  20 | shrink:  80 | sim type: splus | MAP: 0.0493 |
|UserKNNCB| iter:    29/2340 | topk:  20 | shrink:  90 | sim type: splus | MAP: 0.0494 |
|UserKNNCB| iter:    30/2340 | topk:  20 | shrink: 100 | sim type: splus | MAP: 0.0493 |
|UserKNNCB| iter:    31/2340 | topk:  20 | shrink: 110 | sim type: splus | MAP: 0.0494 |
|UserKNNCB| iter:    32/2340 | topk:  20 | shrink: 120 | sim type: splus | MAP: 0.0494 |
|UserKNNCB| iter:    33/2340 | topk:  20 | shrink: 130 | sim type: splus | MAP: 0.0493 |
|UserKNNCB| iter:    34/2340 | topk:  20 | shrink: 140 | sim type: splus | MAP: 0.0491 |
|UserKNNCB| iter:    35/2340 | topk:  20 | shrink: 150 | sim type: splus | MAP: 0.0496 |
