| iter: 0/828 | topk: 20 | shrink: 0 | sim type: 'cosine' | MAP: 0.0407 |
| iter: 1/828 | topk: 20 | shrink: 15 | sim type: 'cosine' | MAP: 0.0496 |
| iter: 2/828 | topk: 20 | shrink: 30 | sim type: 'cosine' | MAP: 0.0506 |
| iter: 3/828 | topk: 20 | shrink: 45 | sim type: 'cosine' | MAP: 0.0515 |
| iter: 4/828 | topk: 20 | shrink: 60 | sim type: 'cosine' | MAP: 0.0511 |
| iter: 5/828 | topk: 20 | shrink: 75 | sim type: 'cosine' | MAP: 0.0510 |
| iter: 6/828 | topk: 20 | shrink: 90 | sim type: 'cosine' | MAP: 0.0508 |
| iter: 7/828 | topk: 20 | shrink: 105 | sim type: 'cosine' | MAP: 0.0507 |
| iter: 8/828 | topk: 20 | shrink: 120 | sim type: 'cosine' | MAP: 0.0509 |
| iter: 9/828 | topk: 35 | shrink: 0 | sim type: 'cosine' | MAP: 0.0466 |
| iter: 10/828 | topk: 35 | shrink: 15 | sim type: 'cosine' | MAP: 0.0531 |
| iter: 11/828 | topk: 35 | shrink: 30 | sim type: 'cosine' | MAP: 0.0541 |
| iter: 12/828 | topk: 35 | shrink: 45 | sim type: 'cosine' | MAP: 0.0540 |
| iter: 13/828 | topk: 35 | shrink: 60 | sim type: 'cosine' | MAP: 0.0537 |
| iter: 14/828 | topk: 35 | shrink: 75 | sim type: 'cosine' | MAP: 0.0535 |
| iter: 15/828 | topk: 35 | shrink: 90 | sim type: 'cosine' | MAP: 0.0535 |
| iter: 16/828 | topk: 35 | shrink: 105 | sim type: 'cosine' | MAP: 0.0535 |
| iter: 17/828 | topk: 35 | shrink: 120 | sim type: 'cosine' | MAP: 0.0535 |
| iter: 18/828 | topk: 50 | shrink: 0 | sim type: 'cosine' | MAP: 0.0482 |
| iter: 19/828 | topk: 50 | shrink: 15 | sim type: 'cosine' | MAP: 0.0542 |
| iter: 20/828 | topk: 50 | shrink: 30 | sim type: 'cosine' | MAP: 0.0549 |
| iter: 21/828 | topk: 50 | shrink: 45 | sim type: 'cosine' | MAP: 0.0551 |
| iter: 22/828 | topk: 50 | shrink: 60 | sim type: 'cosine' | MAP: 0.0549 |
| iter: 23/828 | topk: 50 | shrink: 75 | sim type: 'cosine' | MAP: 0.0552 |
| iter: 24/828 | topk: 50 | shrink: 90 | sim type: 'cosine' | MAP: 0.0551 |
| iter: 25/828 | topk: 50 | shrink: 105 | sim type: 'cosine' | MAP: 0.0551 |
| iter: 26/828 | topk: 50 | shrink: 120 | sim type: 'cosine' | MAP: 0.0551 |
| iter: 27/828 | topk: 65 | shrink: 0 | sim type: 'cosine' | MAP: 0.0489 |
| iter: 28/828 | topk: 65 | shrink: 15 | sim type: 'cosine' | MAP: 0.0547 |
| iter: 29/828 | topk: 65 | shrink: 30 | sim type: 'cosine' | MAP: 0.0552 |
| iter: 30/828 | topk: 65 | shrink: 45 | sim type: 'cosine' | MAP: 0.0555 |
| iter: 31/828 | topk: 65 | shrink: 60 | sim type: 'cosine' | MAP: 0.0553 |
| iter: 32/828 | topk: 65 | shrink: 75 | sim type: 'cosine' | MAP: 0.0553 |
| iter: 33/828 | topk: 65 | shrink: 90 | sim type: 'cosine' | MAP: 0.0552 |
| iter: 34/828 | topk: 65 | shrink: 105 | sim type: 'cosine' | MAP: 0.0551 |
| iter: 35/828 | topk: 65 | shrink: 120 | sim type: 'cosine' | MAP: 0.0550 |
| iter: 36/828 | topk: 80 | shrink: 0 | sim type: 'cosine' | MAP: 0.0495 |
| iter: 37/828 | topk: 80 | shrink: 15 | sim type: 'cosine' | MAP: 0.0544 |
| iter: 38/828 | topk: 80 | shrink: 30 | sim type: 'cosine' | MAP: 0.0549 |
| iter: 39/828 | topk: 80 | shrink: 45 | sim type: 'cosine' | MAP: 0.0551 |
| iter: 40/828 | topk: 80 | shrink: 60 | sim type: 'cosine' | MAP: 0.0548 |
| iter: 41/828 | topk: 80 | shrink: 75 | sim type: 'cosine' | MAP: 0.0549 |
| iter: 42/828 | topk: 80 | shrink: 90 | sim type: 'cosine' | MAP: 0.0548 |
| iter: 43/828 | topk: 80 | shrink: 105 | sim type: 'cosine' | MAP: 0.0547 |
| iter: 44/828 | topk: 80 | shrink: 120 | sim type: 'cosine' | MAP: 0.0547 |
| iter: 45/828 | topk: 95 | shrink: 0 | sim type: 'cosine' | MAP: 0.0492 |
| iter: 46/828 | topk: 95 | shrink: 15 | sim type: 'cosine' | MAP: 0.0542 |
| iter: 47/828 | topk: 95 | shrink: 30 | sim type: 'cosine' | MAP: 0.0545 |
| iter: 48/828 | topk: 95 | shrink: 45 | sim type: 'cosine' | MAP: 0.0549 |
| iter: 49/828 | topk: 95 | shrink: 60 | sim type: 'cosine' | MAP: 0.0546 |
| iter: 50/828 | topk: 95 | shrink: 75 | sim type: 'cosine' | MAP: 0.0547 |
| iter: 51/828 | topk: 95 | shrink: 90 | sim type: 'cosine' | MAP: 0.0546 |
| iter: 52/828 | topk: 95 | shrink: 105 | sim type: 'cosine' | MAP: 0.0545 |
| iter: 53/828 | topk: 95 | shrink: 120 | sim type: 'cosine' | MAP: 0.0546 |
| iter: 54/828 | topk: 110 | shrink: 0 | sim type: 'cosine' | MAP: 0.0492 |
| iter: 55/828 | topk: 110 | shrink: 15 | sim type: 'cosine' | MAP: 0.0541 |
| iter: 56/828 | topk: 110 | shrink: 30 | sim type: 'cosine' | MAP: 0.0545 |
| iter: 57/828 | topk: 110 | shrink: 45 | sim type: 'cosine' | MAP: 0.0547 |
| iter: 58/828 | topk: 110 | shrink: 60 | sim type: 'cosine' | MAP: 0.0542 |
| iter: 59/828 | topk: 110 | shrink: 75 | sim type: 'cosine' | MAP: 0.0544 |
| iter: 60/828 | topk: 110 | shrink: 90 | sim type: 'cosine' | MAP: 0.0543 |
| iter: 61/828 | topk: 110 | shrink: 105 | sim type: 'cosine' | MAP: 0.0542 |
| iter: 62/828 | topk: 110 | shrink: 120 | sim type: 'cosine' | MAP: 0.0543 |
| iter: 63/828 | topk: 125 | shrink: 0 | sim type: 'cosine' | MAP: 0.0497 |
| iter: 64/828 | topk: 125 | shrink: 15 | sim type: 'cosine' | MAP: 0.0541 |
| iter: 65/828 | topk: 125 | shrink: 30 | sim type: 'cosine' | MAP: 0.0547 |
| iter: 66/828 | topk: 125 | shrink: 45 | sim type: 'cosine' | MAP: 0.0549 |
| iter: 67/828 | topk: 125 | shrink: 60 | sim type: 'cosine' | MAP: 0.0546 |
| iter: 68/828 | topk: 125 | shrink: 75 | sim type: 'cosine' | MAP: 0.0546 |
| iter: 69/828 | topk: 125 | shrink: 90 | sim type: 'cosine' | MAP: 0.0546 |
| iter: 70/828 | topk: 125 | shrink: 105 | sim type: 'cosine' | MAP: 0.0545 |
| iter: 71/828 | topk: 125 | shrink: 120 | sim type: 'cosine' | MAP: 0.0545 |
| iter: 72/828 | topk: 140 | shrink: 0 | sim type: 'cosine' | MAP: 0.0497 |
| iter: 73/828 | topk: 140 | shrink: 15 | sim type: 'cosine' | MAP: 0.0541 |
| iter: 74/828 | topk: 140 | shrink: 30 | sim type: 'cosine' | MAP: 0.0547 |
| iter: 75/828 | topk: 140 | shrink: 45 | sim type: 'cosine' | MAP: 0.0548 |
| iter: 76/828 | topk: 140 | shrink: 60 | sim type: 'cosine' | MAP: 0.0545 |
| iter: 77/828 | topk: 140 | shrink: 75 | sim type: 'cosine' | MAP: 0.0547 |
| iter: 78/828 | topk: 140 | shrink: 90 | sim type: 'cosine' | MAP: 0.0545 |
| iter: 79/828 | topk: 140 | shrink: 105 | sim type: 'cosine' | MAP: 0.0544 |
| iter: 80/828 | topk: 140 | shrink: 120 | sim type: 'cosine' | MAP: 0.0544 |
| iter: 81/828 | topk: 155 | shrink: 0 | sim type: 'cosine' | MAP: 0.0497 |
| iter: 82/828 | topk: 155 | shrink: 15 | sim type: 'cosine' | MAP: 0.0536 |
| iter: 83/828 | topk: 155 | shrink: 30 | sim type: 'cosine' | MAP: 0.0543 |
| iter: 84/828 | topk: 155 | shrink: 45 | sim type: 'cosine' | MAP: 0.0546 |
| iter: 85/828 | topk: 155 | shrink: 60 | sim type: 'cosine' | MAP: 0.0542 |
| iter: 86/828 | topk: 155 | shrink: 75 | sim type: 'cosine' | MAP: 0.0544 |
| iter: 87/828 | topk: 155 | shrink: 90 | sim type: 'cosine' | MAP: 0.0544 |
| iter: 88/828 | topk: 155 | shrink: 105 | sim type: 'cosine' | MAP: 0.0543 |
| iter: 89/828 | topk: 155 | shrink: 120 | sim type: 'cosine' | MAP: 0.0543 |
| iter: 90/828 | topk: 170 | shrink: 0 | sim type: 'cosine' | MAP: 0.0496 |
| iter: 91/828 | topk: 170 | shrink: 15 | sim type: 'cosine' | MAP: 0.0536 |
| iter: 92/828 | topk: 170 | shrink: 30 | sim type: 'cosine' | MAP: 0.0541 |
| iter: 93/828 | topk: 170 | shrink: 45 | sim type: 'cosine' | MAP: 0.0543 |
| iter: 94/828 | topk: 170 | shrink: 60 | sim type: 'cosine' | MAP: 0.0539 |
| iter: 95/828 | topk: 170 | shrink: 75 | sim type: 'cosine' | MAP: 0.0540 |
| iter: 96/828 | topk: 170 | shrink: 90 | sim type: 'cosine' | MAP: 0.0540 |
| iter: 97/828 | topk: 170 | shrink: 105 | sim type: 'cosine' | MAP: 0.0540 |
| iter: 98/828 | topk: 170 | shrink: 120 | sim type: 'cosine' | MAP: 0.0540 |
| iter: 99/828 | topk: 185 | shrink: 0 | sim type: 'cosine' | MAP: 0.0496 |
| iter: 100/828 | topk: 185 | shrink: 15 | sim type: 'cosine' | MAP: 0.0536 |
| iter: 101/828 | topk: 185 | shrink: 30 | sim type: 'cosine' | MAP: 0.0539 |
