|UserKNNCF| iter:     0/864 | topk:  20 | shrink:   0 | sim type: 'splus' | MAP: 0.0482 |
|UserKNNCF| iter:     1/864 | topk:  20 | shrink:  15 | sim type: 'splus' | MAP: 0.0491 |
|UserKNNCF| iter:     2/864 | topk:  20 | shrink:  30 | sim type: 'splus' | MAP: 0.0477 |
|UserKNNCF| iter:     3/864 | topk:  20 | shrink:  45 | sim type: 'splus' | MAP: 0.0466 |
|UserKNNCF| iter:     4/864 | topk:  20 | shrink:  60 | sim type: 'splus' | MAP: 0.0463 |
|UserKNNCF| iter:     5/864 | topk:  20 | shrink:  75 | sim type: 'splus' | MAP: 0.0460 |
|UserKNNCF| iter:     6/864 | topk:  20 | shrink:  90 | sim type: 'splus' | MAP: 0.0457 |
|UserKNNCF| iter:     7/864 | topk:  20 | shrink: 105 | sim type: 'splus' | MAP: 0.0455 |
|UserKNNCF| iter:     8/864 | topk:  20 | shrink: 120 | sim type: 'splus' | MAP: 0.0455 |
|UserKNNCF| iter:     9/864 | topk:  35 | shrink:   0 | sim type: 'splus' | MAP: 0.0533 |
|UserKNNCF| iter:    10/864 | topk:  35 | shrink:  15 | sim type: 'splus' | MAP: 0.0513 |
|UserKNNCF| iter:    11/864 | topk:  35 | shrink:  30 | sim type: 'splus' | MAP: 0.0496 |
|UserKNNCF| iter:    12/864 | topk:  35 | shrink:  45 | sim type: 'splus' | MAP: 0.0489 |
|UserKNNCF| iter:    13/864 | topk:  35 | shrink:  60 | sim type: 'splus' | MAP: 0.0486 |
|UserKNNCF| iter:    14/864 | topk:  35 | shrink:  75 | sim type: 'splus' | MAP: 0.0483 |
|UserKNNCF| iter:    15/864 | topk:  35 | shrink:  90 | sim type: 'splus' | MAP: 0.0479 |
|UserKNNCF| iter:    16/864 | topk:  35 | shrink: 105 | sim type: 'splus' | MAP: 0.0478 |
|UserKNNCF| iter:    17/864 | topk:  35 | shrink: 120 | sim type: 'splus' | MAP: 0.0476 |
|UserKNNCF| iter:    18/864 | topk:  50 | shrink:   0 | sim type: 'splus' | MAP: 0.0542 |
|UserKNNCF| iter:    19/864 | topk:  50 | shrink:  15 | sim type: 'splus' | MAP: 0.0523 |
|UserKNNCF| iter:    20/864 | topk:  50 | shrink:  30 | sim type: 'splus' | MAP: 0.0511 |
|UserKNNCF| iter:    21/864 | topk:  50 | shrink:  45 | sim type: 'splus' | MAP: 0.0504 |
|UserKNNCF| iter:    22/864 | topk:  50 | shrink:  60 | sim type: 'splus' | MAP: 0.0501 |
|UserKNNCF| iter:    23/864 | topk:  50 | shrink:  75 | sim type: 'splus' | MAP: 0.0496 |
|UserKNNCF| iter:    24/864 | topk:  50 | shrink:  90 | sim type: 'splus' | MAP: 0.0492 |
|UserKNNCF| iter:    25/864 | topk:  50 | shrink: 105 | sim type: 'splus' | MAP: 0.0492 |
|UserKNNCF| iter:    26/864 | topk:  50 | shrink: 120 | sim type: 'splus' | MAP: 0.0490 |
|UserKNNCF| iter:    27/864 | topk:  65 | shrink:   0 | sim type: 'splus' | MAP: 0.0542 |
|UserKNNCF| iter:    28/864 | topk:  65 | shrink:  15 | sim type: 'splus' | MAP: 0.0521 |
|UserKNNCF| iter:    29/864 | topk:  65 | shrink:  30 | sim type: 'splus' | MAP: 0.0511 |
|UserKNNCF| iter:    30/864 | topk:  65 | shrink:  45 | sim type: 'splus' | MAP: 0.0504 |
|UserKNNCF| iter:    31/864 | topk:  65 | shrink:  60 | sim type: 'splus' | MAP: 0.0501 |
|UserKNNCF| iter:    32/864 | topk:  65 | shrink:  75 | sim type: 'splus' | MAP: 0.0495 |
