19-12-2020-01:05:37
|UserKNNCF| iter:     0/1740 | topk:  10 | shrink:   0 | sim type: splus | MAP: 0.0348 |
|UserKNNCF| iter:     1/1740 | topk:  10 | shrink:  10 | sim type: splus | MAP: 0.0377 |
|UserKNNCF| iter:     2/1740 | topk:  10 | shrink:  20 | sim type: splus | MAP: 0.0387 |
|UserKNNCF| iter:     3/1740 | topk:  10 | shrink:  30 | sim type: splus | MAP: 0.0392 |
|UserKNNCF| iter:     4/1740 | topk:  10 | shrink:  40 | sim type: splus | MAP: 0.0392 |
|UserKNNCF| iter:     5/1740 | topk:  10 | shrink:  50 | sim type: splus | MAP: 0.0401 |
|UserKNNCF| iter:     6/1740 | topk:  10 | shrink:  60 | sim type: splus | MAP: 0.0405 |
|UserKNNCF| iter:     7/1740 | topk:  10 | shrink:  70 | sim type: splus | MAP: 0.0406 |
|UserKNNCF| iter:     8/1740 | topk:  10 | shrink:  80 | sim type: splus | MAP: 0.0405 |
|UserKNNCF| iter:     9/1740 | topk:  10 | shrink:  90 | sim type: splus | MAP: 0.0403 |
|UserKNNCF| iter:    10/1740 | topk:  10 | shrink: 100 | sim type: splus | MAP: 0.0405 |
|UserKNNCF| iter:    11/1740 | topk:  10 | shrink: 110 | sim type: splus | MAP: 0.0403 |
|UserKNNCF| iter:    12/1740 | topk:  10 | shrink: 120 | sim type: splus | MAP: 0.0404 |
|UserKNNCF| iter:    13/1740 | topk:  10 | shrink: 130 | sim type: splus | MAP: 0.0406 |
|UserKNNCF| iter:    14/1740 | topk:  10 | shrink: 140 | sim type: splus | MAP: 0.0406 |
|UserKNNCF| iter:    15/1740 | topk:  10 | shrink: 150 | sim type: splus | MAP: 0.0405 |
|UserKNNCF| iter:    16/1740 | topk:  10 | shrink: 160 | sim type: splus | MAP: 0.0405 |
|UserKNNCF| iter:    17/1740 | topk:  10 | shrink: 170 | sim type: splus | MAP: 0.0405 |
|UserKNNCF| iter:    18/1740 | topk:  10 | shrink: 180 | sim type: splus | MAP: 0.0406 |
|UserKNNCF| iter:    19/1740 | topk:  10 | shrink: 190 | sim type: splus | MAP: 0.0405 |
|UserKNNCF| iter:    20/1740 | topk:  20 | shrink:   0 | sim type: splus | MAP: 0.0415 |
|UserKNNCF| iter:    21/1740 | topk:  20 | shrink:  10 | sim type: splus | MAP: 0.0450 |
|UserKNNCF| iter:    22/1740 | topk:  20 | shrink:  20 | sim type: splus | MAP: 0.0459 |
|UserKNNCF| iter:    23/1740 | topk:  20 | shrink:  30 | sim type: splus | MAP: 0.0467 |
|UserKNNCF| iter:    24/1740 | topk:  20 | shrink:  40 | sim type: splus | MAP: 0.0466 |
|UserKNNCF| iter:    25/1740 | topk:  20 | shrink:  50 | sim type: splus | MAP: 0.0469 |
|UserKNNCF| iter:    26/1740 | topk:  20 | shrink:  60 | sim type: splus | MAP: 0.0472 |
|UserKNNCF| iter:    27/1740 | topk:  20 | shrink:  70 | sim type: splus | MAP: 0.0474 |
|UserKNNCF| iter:    28/1740 | topk:  20 | shrink:  80 | sim type: splus | MAP: 0.0476 |
|UserKNNCF| iter:    29/1740 | topk:  20 | shrink:  90 | sim type: splus | MAP: 0.0477 |
|UserKNNCF| iter:    30/1740 | topk:  20 | shrink: 100 | sim type: splus | MAP: 0.0478 |
|UserKNNCF| iter:    31/1740 | topk:  20 | shrink: 110 | sim type: splus | MAP: 0.0477 |
|UserKNNCF| iter:    32/1740 | topk:  20 | shrink: 120 | sim type: splus | MAP: 0.0479 |
|UserKNNCF| iter:    33/1740 | topk:  20 | shrink: 130 | sim type: splus | MAP: 0.0481 |
|UserKNNCF| iter:    34/1740 | topk:  20 | shrink: 140 | sim type: splus | MAP: 0.0479 |
|UserKNNCF| iter:    35/1740 | topk:  20 | shrink: 150 | sim type: splus | MAP: 0.0479 |
|UserKNNCF| iter:    36/1740 | topk:  20 | shrink: 160 | sim type: splus | MAP: 0.0479 |
|UserKNNCF| iter:    37/1740 | topk:  20 | shrink: 170 | sim type: splus | MAP: 0.0478 |
|UserKNNCF| iter:    38/1740 | topk:  20 | shrink: 180 | sim type: splus | MAP: 0.0479 |
|UserKNNCF| iter:    39/1740 | topk:  20 | shrink: 190 | sim type: splus | MAP: 0.0477 |
|UserKNNCF| iter:    40/1740 | topk:  30 | shrink:   0 | sim type: splus | MAP: 0.0454 |
|UserKNNCF| iter:    41/1740 | topk:  30 | shrink:  10 | sim type: splus | MAP: 0.0495 |
|UserKNNCF| iter:    42/1740 | topk:  30 | shrink:  20 | sim type: splus | MAP: 0.0503 |
|UserKNNCF| iter:    43/1740 | topk:  30 | shrink:  30 | sim type: splus | MAP: 0.0510 |
|UserKNNCF| iter:    44/1740 | topk:  30 | shrink:  40 | sim type: splus | MAP: 0.0512 |
|UserKNNCF| iter:    45/1740 | topk:  30 | shrink:  50 | sim type: splus | MAP: 0.0515 |
|UserKNNCF| iter:    46/1740 | topk:  30 | shrink:  60 | sim type: splus | MAP: 0.0518 |
|UserKNNCF| iter:    47/1740 | topk:  30 | shrink:  70 | sim type: splus | MAP: 0.0517 |
|UserKNNCF| iter:    48/1740 | topk:  30 | shrink:  80 | sim type: splus | MAP: 0.0518 |
|UserKNNCF| iter:    49/1740 | topk:  30 | shrink:  90 | sim type: splus | MAP: 0.0519 |
|UserKNNCF| iter:    50/1740 | topk:  30 | shrink: 100 | sim type: splus | MAP: 0.0519 |
|UserKNNCF| iter:    51/1740 | topk:  30 | shrink: 110 | sim type: splus | MAP: 0.0518 |
|UserKNNCF| iter:    52/1740 | topk:  30 | shrink: 120 | sim type: splus | MAP: 0.0518 |
|UserKNNCF| iter:    53/1740 | topk:  30 | shrink: 130 | sim type: splus | MAP: 0.0521 |
|UserKNNCF| iter:    54/1740 | topk:  30 | shrink: 140 | sim type: splus | MAP: 0.0519 |
|UserKNNCF| iter:    55/1740 | topk:  30 | shrink: 150 | sim type: splus | MAP: 0.0518 |
