name: ItemKNNCF, r_hat => type <class 'numpy.ndarray'>  shape (7947, 25975) 
training SLIM_MSE...
tune CBCFP3A_SM
| iter:     0/722 | topk:  20 | alpha: 0.050 | MAP: 0.0543 |
| iter:     1/722 | topk:  20 | alpha: 0.100 | MAP: 0.0560 |
| iter:     2/722 | topk:  20 | alpha: 0.150 | MAP: 0.0568 |
| iter:     3/722 | topk:  20 | alpha: 0.200 | MAP: 0.0579 |
| iter:     4/722 | topk:  20 | alpha: 0.250 | MAP: 0.0596 |
| iter:     5/722 | topk:  20 | alpha: 0.300 | MAP: 0.0600 |
| iter:     6/722 | topk:  20 | alpha: 0.350 | MAP: 0.0607 |
| iter:     7/722 | topk:  20 | alpha: 0.400 | MAP: 0.0613 |
| iter:     8/722 | topk:  20 | alpha: 0.450 | MAP: 0.0622 |
| iter:     9/722 | topk:  20 | alpha: 0.500 | MAP: 0.0629 |
| iter:    10/722 | topk:  20 | alpha: 0.550 | MAP: 0.0632 |
| iter:    11/722 | topk:  20 | alpha: 0.600 | MAP: 0.0640 |
| iter:    12/722 | topk:  20 | alpha: 0.650 | MAP: 0.0647 |
| iter:    13/722 | topk:  20 | alpha: 0.700 | MAP: 0.0651 |
| iter:    14/722 | topk:  20 | alpha: 0.750 | MAP: 0.0655 |
| iter:    15/722 | topk:  20 | alpha: 0.800 | MAP: 0.0658 |
| iter:    16/722 | topk:  20 | alpha: 0.850 | MAP: 0.0660 |
| iter:    17/722 | topk:  20 | alpha: 0.900 | MAP: 0.0660 |
| iter:    18/722 | topk:  20 | alpha: 0.950 | MAP: 0.0660 |
| iter:    19/722 | topk:  30 | alpha: 0.050 | MAP: 0.0544 |
| iter:    20/722 | topk:  30 | alpha: 0.100 | MAP: 0.0566 |
| iter:    21/722 | topk:  30 | alpha: 0.150 | MAP: 0.0579 |
| iter:    22/722 | topk:  30 | alpha: 0.200 | MAP: 0.0592 |
| iter:    23/722 | topk:  30 | alpha: 0.250 | MAP: 0.0601 |
| iter:    24/722 | topk:  30 | alpha: 0.300 | MAP: 0.0611 |
| iter:    25/722 | topk:  30 | alpha: 0.350 | MAP: 0.0617 |
| iter:    26/722 | topk:  30 | alpha: 0.400 | MAP: 0.0628 |
| iter:    27/722 | topk:  30 | alpha: 0.450 | MAP: 0.0633 |
| iter:    28/722 | topk:  30 | alpha: 0.500 | MAP: 0.0635 |
| iter:    29/722 | topk:  30 | alpha: 0.550 | MAP: 0.0646 |
| iter:    30/722 | topk:  30 | alpha: 0.600 | MAP: 0.0649 |
| iter:    31/722 | topk:  30 | alpha: 0.650 | MAP: 0.0657 |
| iter:    32/722 | topk:  30 | alpha: 0.700 | MAP: 0.0661 |
| iter:    33/722 | topk:  30 | alpha: 0.750 | MAP: 0.0666 |
| iter:    34/722 | topk:  30 | alpha: 0.800 | MAP: 0.0671 |
| iter:    35/722 | topk:  30 | alpha: 0.850 | MAP: 0.0671 |
| iter:    36/722 | topk:  30 | alpha: 0.900 | MAP: 0.0674 |
| iter:    37/722 | topk:  30 | alpha: 0.950 | MAP: 0.0671 |
| iter:    38/722 | topk:  40 | alpha: 0.050 | MAP: 0.0557 |
| iter:    39/722 | topk:  40 | alpha: 0.100 | MAP: 0.0572 |
| iter:    40/722 | topk:  40 | alpha: 0.150 | MAP: 0.0580 |
| iter:    41/722 | topk:  40 | alpha: 0.200 | MAP: 0.0594 |
| iter:    42/722 | topk:  40 | alpha: 0.250 | MAP: 0.0607 |
| iter:    43/722 | topk:  40 | alpha: 0.300 | MAP: 0.0617 |
| iter:    44/722 | topk:  40 | alpha: 0.350 | MAP: 0.0623 |
| iter:    45/722 | topk:  40 | alpha: 0.400 | MAP: 0.0630 |
| iter:    46/722 | topk:  40 | alpha: 0.450 | MAP: 0.0639 |
| iter:    47/722 | topk:  40 | alpha: 0.500 | MAP: 0.0642 |
| iter:    48/722 | topk:  40 | alpha: 0.550 | MAP: 0.0648 |
| iter:    49/722 | topk:  40 | alpha: 0.600 | MAP: 0.0656 |
| iter:    50/722 | topk:  40 | alpha: 0.650 | MAP: 0.0662 |
| iter:    51/722 | topk:  40 | alpha: 0.700 | MAP: 0.0665 |
| iter:    52/722 | topk:  40 | alpha: 0.750 | MAP: 0.0670 |
| iter:    53/722 | topk:  40 | alpha: 0.800 | MAP: 0.0673 |
| iter:    54/722 | topk:  40 | alpha: 0.850 | MAP: 0.0672 |
| iter:    55/722 | topk:  40 | alpha: 0.900 | MAP: 0.0674 |
| iter:    56/722 | topk:  40 | alpha: 0.950 | MAP: 0.0676 |
| iter:    57/722 | topk:  50 | alpha: 0.050 | MAP: 0.0558 |
| iter:    58/722 | topk:  50 | alpha: 0.100 | MAP: 0.0574 |
| iter:    59/722 | topk:  50 | alpha: 0.150 | MAP: 0.0586 |
| iter:    60/722 | topk:  50 | alpha: 0.200 | MAP: 0.0599 |
| iter:    61/722 | topk:  50 | alpha: 0.250 | MAP: 0.0609 |
| iter:    62/722 | topk:  50 | alpha: 0.300 | MAP: 0.0617 |
| iter:    63/722 | topk:  50 | alpha: 0.350 | MAP: 0.0623 |
| iter:    64/722 | topk:  50 | alpha: 0.400 | MAP: 0.0630 |
| iter:    65/722 | topk:  50 | alpha: 0.450 | MAP: 0.0643 |
| iter:    66/722 | topk:  50 | alpha: 0.500 | MAP: 0.0644 |
| iter:    67/722 | topk:  50 | alpha: 0.550 | MAP: 0.0651 |
| iter:    68/722 | topk:  50 | alpha: 0.600 | MAP: 0.0655 |
| iter:    69/722 | topk:  50 | alpha: 0.650 | MAP: 0.0662 |
| iter:    70/722 | topk:  50 | alpha: 0.700 | MAP: 0.0664 |
| iter:    71/722 | topk:  50 | alpha: 0.750 | MAP: 0.0669 |
| iter:    72/722 | topk:  50 | alpha: 0.800 | MAP: 0.0672 |
| iter:    73/722 | topk:  50 | alpha: 0.850 | MAP: 0.0676 |
| iter:    74/722 | topk:  50 | alpha: 0.900 | MAP: 0.0677 |
| iter:    75/722 | topk:  50 | alpha: 0.950 | MAP: 0.0678 |
| iter:    76/722 | topk:  60 | alpha: 0.050 | MAP: 0.0562 |
| iter:    77/722 | topk:  60 | alpha: 0.100 | MAP: 0.0577 |
| iter:    78/722 | topk:  60 | alpha: 0.150 | MAP: 0.0588 |
| iter:    79/722 | topk:  60 | alpha: 0.200 | MAP: 0.0599 |
| iter:    80/722 | topk:  60 | alpha: 0.250 | MAP: 0.0609 |
| iter:    81/722 | topk:  60 | alpha: 0.300 | MAP: 0.0618 |
| iter:    82/722 | topk:  60 | alpha: 0.350 | MAP: 0.0626 |
| iter:    83/722 | topk:  60 | alpha: 0.400 | MAP: 0.0632 |
| iter:    84/722 | topk:  60 | alpha: 0.450 | MAP: 0.0638 |
| iter:    85/722 | topk:  60 | alpha: 0.500 | MAP: 0.0640 |
| iter:    86/722 | topk:  60 | alpha: 0.550 | MAP: 0.0647 |
| iter:    87/722 | topk:  60 | alpha: 0.600 | MAP: 0.0651 |
| iter:    88/722 | topk:  60 | alpha: 0.650 | MAP: 0.0658 |
| iter:    89/722 | topk:  60 | alpha: 0.700 | MAP: 0.0664 |
| iter:    90/722 | topk:  60 | alpha: 0.750 | MAP: 0.0666 |
| iter:    91/722 | topk:  60 | alpha: 0.800 | MAP: 0.0669 |
| iter:    92/722 | topk:  60 | alpha: 0.850 | MAP: 0.0670 |
| iter:    93/722 | topk:  60 | alpha: 0.900 | MAP: 0.0672 |
| iter:    94/722 | topk:  60 | alpha: 0.950 | MAP: 0.0674 |
| iter:    95/722 | topk:  70 | alpha: 0.050 | MAP: 0.0566 |
| iter:    96/722 | topk:  70 | alpha: 0.100 | MAP: 0.0581 |
| iter:    97/722 | topk:  70 | alpha: 0.150 | MAP: 0.0588 |
