| iter: 0/684 | topk: 20 | alpha: 0.05 | MAP: 0.0486 |
| iter: 1/684 | topk: 20 | alpha: 0.1 | MAP: 0.0489 |
| iter: 2/684 | topk: 20 | alpha: 0.15000000000000002 | MAP: 0.0493 |
| iter: 3/684 | topk: 20 | alpha: 0.2 | MAP: 0.0496 |
| iter: 4/684 | topk: 20 | alpha: 0.25 | MAP: 0.0501 |
| iter: 5/684 | topk: 20 | alpha: 0.3 | MAP: 0.0505 |
| iter: 6/684 | topk: 20 | alpha: 0.35000000000000003 | MAP: 0.0510 |
| iter: 7/684 | topk: 20 | alpha: 0.4 | MAP: 0.0513 |
| iter: 8/684 | topk: 20 | alpha: 0.45 | MAP: 0.0522 |
| iter: 9/684 | topk: 20 | alpha: 0.5 | MAP: 0.0531 |
| iter: 10/684 | topk: 20 | alpha: 0.55 | MAP: 0.0537 |
| iter: 11/684 | topk: 20 | alpha: 0.6000000000000001 | MAP: 0.0541 |
| iter: 12/684 | topk: 20 | alpha: 0.6500000000000001 | MAP: 0.0556 |
| iter: 13/684 | topk: 20 | alpha: 0.7000000000000001 | MAP: 0.0571 |
| iter: 14/684 | topk: 20 | alpha: 0.7500000000000001 | MAP: 0.0591 |
| iter: 15/684 | topk: 20 | alpha: 0.8 | MAP: 0.0615 |
| iter: 16/684 | topk: 20 | alpha: 0.8500000000000001 | MAP: 0.0639 |
| iter: 17/684 | topk: 20 | alpha: 0.9000000000000001 | MAP: 0.0661 |
| iter: 18/684 | topk: 30 | alpha: 0.05 | MAP: 0.0503 |
| iter: 19/684 | topk: 30 | alpha: 0.1 | MAP: 0.0506 |
| iter: 20/684 | topk: 30 | alpha: 0.15000000000000002 | MAP: 0.0509 |
| iter: 21/684 | topk: 30 | alpha: 0.2 | MAP: 0.0514 |
| iter: 22/684 | topk: 30 | alpha: 0.25 | MAP: 0.0520 |
| iter: 23/684 | topk: 30 | alpha: 0.3 | MAP: 0.0526 |
| iter: 24/684 | topk: 30 | alpha: 0.35000000000000003 | MAP: 0.0532 |
| iter: 25/684 | topk: 30 | alpha: 0.4 | MAP: 0.0536 |
| iter: 26/684 | topk: 30 | alpha: 0.45 | MAP: 0.0546 |
| iter: 27/684 | topk: 30 | alpha: 0.5 | MAP: 0.0554 |
| iter: 28/684 | topk: 30 | alpha: 0.55 | MAP: 0.0566 |
| iter: 29/684 | topk: 30 | alpha: 0.6000000000000001 | MAP: 0.0577 |
| iter: 30/684 | topk: 30 | alpha: 0.6500000000000001 | MAP: 0.0588 |
| iter: 31/684 | topk: 30 | alpha: 0.7000000000000001 | MAP: 0.0601 |
| iter: 32/684 | topk: 30 | alpha: 0.7500000000000001 | MAP: 0.0615 |
| iter: 33/684 | topk: 30 | alpha: 0.8 | MAP: 0.0637 |
| iter: 34/684 | topk: 30 | alpha: 0.8500000000000001 | MAP: 0.0655 |
| iter: 35/684 | topk: 30 | alpha: 0.9000000000000001 | MAP: 0.0675 |
