| iter: 0/41 | topk: 390 | alpha: 0.9 | MAP: 0.0667 |
| iter: 1/41 | topk: 400 | alpha: 0.9 | MAP: 0.0667 |
| iter: 2/41 | topk: 410 | alpha: 0.9 | MAP: 0.0667 |
| iter: 3/41 | topk: 420 | alpha: 0.9 | MAP: 0.0667 |
| iter: 4/41 | topk: 430 | alpha: 0.9 | MAP: 0.0667 |
| iter: 5/41 | topk: 440 | alpha: 0.9 | MAP: 0.0667 |
| iter: 6/41 | topk: 450 | alpha: 0.9 | MAP: 0.0667 |
| iter: 7/41 | topk: 460 | alpha: 0.9 | MAP: 0.0667 |
| iter: 8/41 | topk: 470 | alpha: 0.9 | MAP: 0.0668 |
| iter: 9/41 | topk: 480 | alpha: 0.9 | MAP: 0.0668 |
| iter: 10/41 | topk: 490 | alpha: 0.9 | MAP: 0.0669 |
| iter: 11/41 | topk: 500 | alpha: 0.9 | MAP: 0.0669 |
| iter: 12/41 | topk: 510 | alpha: 0.9 | MAP: 0.0669 |
| iter: 13/41 | topk: 520 | alpha: 0.9 | MAP: 0.0668 |
| iter: 14/41 | topk: 530 | alpha: 0.9 | MAP: 0.0669 |
| iter: 15/41 | topk: 540 | alpha: 0.9 | MAP: 0.0668 |
| iter: 16/41 | topk: 550 | alpha: 0.9 | MAP: 0.0669 |
| iter: 17/41 | topk: 560 | alpha: 0.9 | MAP: 0.0669 |
| iter: 18/41 | topk: 570 | alpha: 0.9 | MAP: 0.0669 |
| iter: 19/41 | topk: 580 | alpha: 0.9 | MAP: 0.0669 |
| iter: 20/41 | topk: 590 | alpha: 0.9 | MAP: 0.0669 |
| iter: 21/41 | topk: 600 | alpha: 0.9 | MAP: 0.0669 |
| iter: 22/41 | topk: 610 | alpha: 0.9 | MAP: 0.0669 |
| iter: 23/41 | topk: 620 | alpha: 0.9 | MAP: 0.0669 |
| iter: 24/41 | topk: 630 | alpha: 0.9 | MAP: 0.0669 |
| iter: 25/41 | topk: 640 | alpha: 0.9 | MAP: 0.0669 |
| iter: 26/41 | topk: 650 | alpha: 0.9 | MAP: 0.0669 |
| iter: 27/41 | topk: 660 | alpha: 0.9 | MAP: 0.0669 |
| iter: 28/41 | topk: 670 | alpha: 0.9 | MAP: 0.0669 |
| iter: 29/41 | topk: 680 | alpha: 0.9 | MAP: 0.0669 |
| iter: 30/41 | topk: 690 | alpha: 0.9 | MAP: 0.0669 |
| iter: 31/41 | topk: 700 | alpha: 0.9 | MAP: 0.0669 |
| iter: 32/41 | topk: 710 | alpha: 0.9 | MAP: 0.0669 |
| iter: 33/41 | topk: 720 | alpha: 0.9 | MAP: 0.0669 |
| iter: 34/41 | topk: 730 | alpha: 0.9 | MAP: 0.0669 |
| iter: 35/41 | topk: 740 | alpha: 0.9 | MAP: 0.0669 |
| iter: 36/41 | topk: 750 | alpha: 0.9 | MAP: 0.0669 |
| iter: 37/41 | topk: 760 | alpha: 0.9 | MAP: 0.0669 |
| iter: 38/41 | topk: 770 | alpha: 0.9 | MAP: 0.0669 |
| iter: 39/41 | topk: 780 | alpha: 0.9 | MAP: 0.0669 |
| iter: 40/41 | topk: 790 | alpha: 0.9 | MAP: 0.0669 |
| best results | topk: 500 | alpha: 0.9 | MAP: 0.0669 |
