| iter: 0/360 | topk: 20 | shrink: 0 | sim type: jaccard | MAP: 0.0254 |
| iter: 1/360 | topk: 20 | shrink: 5 | sim type: jaccard | MAP: 0.0309 |
| iter: 2/360 | topk: 20 | shrink: 10 | sim type: jaccard | MAP: 0.0312 |
| iter: 3/360 | topk: 20 | shrink: 15 | sim type: jaccard | MAP: 0.0308 |
| iter: 4/360 | topk: 20 | shrink: 20 | sim type: jaccard | MAP: 0.0301 |
| iter: 5/360 | topk: 20 | shrink: 25 | sim type: jaccard | MAP: 0.0300 |
| iter: 6/360 | topk: 20 | shrink: 30 | sim type: jaccard | MAP: 0.0298 |
| iter: 7/360 | topk: 20 | shrink: 35 | sim type: jaccard | MAP: 0.0298 |
| iter: 8/360 | topk: 20 | shrink: 40 | sim type: jaccard | MAP: 0.0297 |
| iter: 9/360 | topk: 20 | shrink: 45 | sim type: jaccard | MAP: 0.0294 |
| iter: 10/360 | topk: 30 | shrink: 0 | sim type: jaccard | MAP: 0.0257 |
| iter: 11/360 | topk: 30 | shrink: 5 | sim type: jaccard | MAP: 0.0312 |
| iter: 12/360 | topk: 30 | shrink: 10 | sim type: jaccard | MAP: 0.0315 |
| iter: 13/360 | topk: 30 | shrink: 15 | sim type: jaccard | MAP: 0.0316 |
| iter: 14/360 | topk: 30 | shrink: 20 | sim type: jaccard | MAP: 0.0311 |
| iter: 15/360 | topk: 30 | shrink: 25 | sim type: jaccard | MAP: 0.0310 |
| iter: 16/360 | topk: 30 | shrink: 30 | sim type: jaccard | MAP: 0.0308 |
| iter: 17/360 | topk: 30 | shrink: 35 | sim type: jaccard | MAP: 0.0306 |
| iter: 18/360 | topk: 30 | shrink: 40 | sim type: jaccard | MAP: 0.0305 |
| iter: 19/360 | topk: 30 | shrink: 45 | sim type: jaccard | MAP: 0.0305 |
| iter: 20/360 | topk: 40 | shrink: 0 | sim type: jaccard | MAP: 0.0251 |
| iter: 21/360 | topk: 40 | shrink: 5 | sim type: jaccard | MAP: 0.0307 |
| iter: 22/360 | topk: 40 | shrink: 10 | sim type: jaccard | MAP: 0.0317 |
| iter: 23/360 | topk: 40 | shrink: 15 | sim type: jaccard | MAP: 0.0315 |
| iter: 24/360 | topk: 40 | shrink: 20 | sim type: jaccard | MAP: 0.0312 |
| iter: 25/360 | topk: 40 | shrink: 25 | sim type: jaccard | MAP: 0.0311 |
| iter: 26/360 | topk: 40 | shrink: 30 | sim type: jaccard | MAP: 0.0308 |
| iter: 27/360 | topk: 40 | shrink: 35 | sim type: jaccard | MAP: 0.0306 |
| iter: 28/360 | topk: 40 | shrink: 40 | sim type: jaccard | MAP: 0.0307 |
| iter: 29/360 | topk: 40 | shrink: 45 | sim type: jaccard | MAP: 0.0303 |
| iter: 30/360 | topk: 50 | shrink: 0 | sim type: jaccard | MAP: 0.0256 |
| iter: 31/360 | topk: 50 | shrink: 5 | sim type: jaccard | MAP: 0.0306 |
| iter: 32/360 | topk: 50 | shrink: 10 | sim type: jaccard | MAP: 0.0311 |
| iter: 33/360 | topk: 50 | shrink: 15 | sim type: jaccard | MAP: 0.0314 |
| iter: 34/360 | topk: 50 | shrink: 20 | sim type: jaccard | MAP: 0.0310 |
| iter: 35/360 | topk: 50 | shrink: 25 | sim type: jaccard | MAP: 0.0306 |
| iter: 36/360 | topk: 50 | shrink: 30 | sim type: jaccard | MAP: 0.0304 |
| iter: 37/360 | topk: 50 | shrink: 35 | sim type: jaccard | MAP: 0.0301 |
| iter: 38/360 | topk: 50 | shrink: 40 | sim type: jaccard | MAP: 0.0301 |
| iter: 39/360 | topk: 50 | shrink: 45 | sim type: jaccard | MAP: 0.0299 |
| iter: 40/360 | topk: 60 | shrink: 0 | sim type: jaccard | MAP: 0.0255 |
| iter: 41/360 | topk: 60 | shrink: 5 | sim type: jaccard | MAP: 0.0309 |
| iter: 42/360 | topk: 60 | shrink: 10 | sim type: jaccard | MAP: 0.0316 |
| iter: 43/360 | topk: 60 | shrink: 15 | sim type: jaccard | MAP: 0.0313 |
| iter: 44/360 | topk: 60 | shrink: 20 | sim type: jaccard | MAP: 0.0310 |
| iter: 45/360 | topk: 60 | shrink: 25 | sim type: jaccard | MAP: 0.0306 |
| iter: 46/360 | topk: 60 | shrink: 30 | sim type: jaccard | MAP: 0.0306 |
| iter: 47/360 | topk: 60 | shrink: 35 | sim type: jaccard | MAP: 0.0302 |
| iter: 48/360 | topk: 60 | shrink: 40 | sim type: jaccard | MAP: 0.0303 |
| iter: 49/360 | topk: 60 | shrink: 45 | sim type: jaccard | MAP: 0.0300 |
| iter: 50/360 | topk: 70 | shrink: 0 | sim type: jaccard | MAP: 0.0255 |
| iter: 51/360 | topk: 70 | shrink: 5 | sim type: jaccard | MAP: 0.0310 |
| iter: 52/360 | topk: 70 | shrink: 10 | sim type: jaccard | MAP: 0.0319 |
| iter: 53/360 | topk: 70 | shrink: 15 | sim type: jaccard | MAP: 0.0314 |
| iter: 54/360 | topk: 70 | shrink: 20 | sim type: jaccard | MAP: 0.0313 |
| iter: 55/360 | topk: 70 | shrink: 25 | sim type: jaccard | MAP: 0.0311 |
| iter: 56/360 | topk: 70 | shrink: 30 | sim type: jaccard | MAP: 0.0307 |
| iter: 57/360 | topk: 70 | shrink: 35 | sim type: jaccard | MAP: 0.0304 |
| iter: 58/360 | topk: 70 | shrink: 40 | sim type: jaccard | MAP: 0.0301 |
| iter: 59/360 | topk: 70 | shrink: 45 | sim type: jaccard | MAP: 0.0299 |
| iter: 60/360 | topk: 80 | shrink: 0 | sim type: jaccard | MAP: 0.0253 |
| iter: 61/360 | topk: 80 | shrink: 5 | sim type: jaccard | MAP: 0.0308 |
| iter: 62/360 | topk: 80 | shrink: 10 | sim type: jaccard | MAP: 0.0314 |
| iter: 63/360 | topk: 80 | shrink: 15 | sim type: jaccard | MAP: 0.0312 |
| iter: 64/360 | topk: 80 | shrink: 20 | sim type: jaccard | MAP: 0.0310 |
| iter: 65/360 | topk: 80 | shrink: 25 | sim type: jaccard | MAP: 0.0308 |
| iter: 66/360 | topk: 80 | shrink: 30 | sim type: jaccard | MAP: 0.0305 |
| iter: 67/360 | topk: 80 | shrink: 35 | sim type: jaccard | MAP: 0.0301 |
| iter: 68/360 | topk: 80 | shrink: 40 | sim type: jaccard | MAP: 0.0301 |
| iter: 69/360 | topk: 80 | shrink: 45 | sim type: jaccard | MAP: 0.0297 |
