| iter: 0/6164 | topk: 20 | shrink: 0 | sim type: cosine | MAP: 0.0184 |
| iter: 1/6164 | topk: 20 | shrink: 15 | sim type: cosine | MAP: 0.0374 |
| iter: 2/6164 | topk: 20 | shrink: 30 | sim type: cosine | MAP: 0.0423 |
| iter: 3/6164 | topk: 20 | shrink: 45 | sim type: cosine | MAP: 0.0440 |
| iter: 4/6164 | topk: 20 | shrink: 60 | sim type: cosine | MAP: 0.0443 |
| iter: 5/6164 | topk: 20 | shrink: 75 | sim type: cosine | MAP: 0.0446 |
| iter: 6/6164 | topk: 20 | shrink: 90 | sim type: cosine | MAP: 0.0448 |
| iter: 7/6164 | topk: 20 | shrink: 105 | sim type: cosine | MAP: 0.0450 |
| iter: 8/6164 | topk: 20 | shrink: 120 | sim type: cosine | MAP: 0.0452 |
| iter: 9/6164 | topk: 20 | shrink: 135 | sim type: cosine | MAP: 0.0452 |
| iter: 10/6164 | topk: 20 | shrink: 150 | sim type: cosine | MAP: 0.0453 |
| iter: 11/6164 | topk: 20 | shrink: 165 | sim type: cosine | MAP: 0.0449 |
| iter: 12/6164 | topk: 20 | shrink: 180 | sim type: cosine | MAP: 0.0448 |
| iter: 13/6164 | topk: 20 | shrink: 195 | sim type: cosine | MAP: 0.0450 |
| iter: 14/6164 | topk: 20 | shrink: 210 | sim type: cosine | MAP: 0.0450 |
| iter: 15/6164 | topk: 20 | shrink: 225 | sim type: cosine | MAP: 0.0451 |
| iter: 16/6164 | topk: 20 | shrink: 240 | sim type: cosine | MAP: 0.0450 |
| iter: 17/6164 | topk: 20 | shrink: 255 | sim type: cosine | MAP: 0.0449 |
| iter: 18/6164 | topk: 20 | shrink: 270 | sim type: cosine | MAP: 0.0450 |
| iter: 19/6164 | topk: 20 | shrink: 285 | sim type: cosine | MAP: 0.0451 |
| iter: 20/6164 | topk: 20 | shrink: 300 | sim type: cosine | MAP: 0.0450 |
| iter: 21/6164 | topk: 20 | shrink: 315 | sim type: cosine | MAP: 0.0450 |
| iter: 22/6164 | topk: 20 | shrink: 330 | sim type: cosine | MAP: 0.0450 |
| iter: 23/6164 | topk: 20 | shrink: 345 | sim type: cosine | MAP: 0.0449 |
| iter: 24/6164 | topk: 20 | shrink: 360 | sim type: cosine | MAP: 0.0449 |
| iter: 25/6164 | topk: 20 | shrink: 375 | sim type: cosine | MAP: 0.0448 |
| iter: 26/6164 | topk: 20 | shrink: 390 | sim type: cosine | MAP: 0.0448 |
| iter: 27/6164 | topk: 20 | shrink: 405 | sim type: cosine | MAP: 0.0448 |
| iter: 28/6164 | topk: 20 | shrink: 420 | sim type: cosine | MAP: 0.0448 |
| iter: 29/6164 | topk: 20 | shrink: 435 | sim type: cosine | MAP: 0.0448 |
| iter: 30/6164 | topk: 20 | shrink: 450 | sim type: cosine | MAP: 0.0449 |
| iter: 31/6164 | topk: 20 | shrink: 465 | sim type: cosine | MAP: 0.0448 |
| iter: 32/6164 | topk: 20 | shrink: 480 | sim type: cosine | MAP: 0.0448 |
| iter: 33/6164 | topk: 20 | shrink: 495 | sim type: cosine | MAP: 0.0448 |
| iter: 34/6164 | topk: 20 | shrink: 510 | sim type: cosine | MAP: 0.0448 |
| iter: 35/6164 | topk: 20 | shrink: 525 | sim type: cosine | MAP: 0.0448 |
| iter: 36/6164 | topk: 20 | shrink: 540 | sim type: cosine | MAP: 0.0448 |
| iter: 37/6164 | topk: 20 | shrink: 555 | sim type: cosine | MAP: 0.0449 |
| iter: 38/6164 | topk: 20 | shrink: 570 | sim type: cosine | MAP: 0.0449 |
| iter: 39/6164 | topk: 20 | shrink: 585 | sim type: cosine | MAP: 0.0449 |
| iter: 40/6164 | topk: 20 | shrink: 600 | sim type: cosine | MAP: 0.0449 |
| iter: 41/6164 | topk: 20 | shrink: 615 | sim type: cosine | MAP: 0.0449 |
| iter: 42/6164 | topk: 20 | shrink: 630 | sim type: cosine | MAP: 0.0449 |
| iter: 43/6164 | topk: 20 | shrink: 645 | sim type: cosine | MAP: 0.0449 |
| iter: 44/6164 | topk: 20 | shrink: 660 | sim type: cosine | MAP: 0.0448 |
| iter: 45/6164 | topk: 20 | shrink: 675 | sim type: cosine | MAP: 0.0448 |
| iter: 46/6164 | topk: 20 | shrink: 690 | sim type: cosine | MAP: 0.0449 |
| iter: 47/6164 | topk: 20 | shrink: 705 | sim type: cosine | MAP: 0.0449 |
| iter: 48/6164 | topk: 20 | shrink: 720 | sim type: cosine | MAP: 0.0449 |
| iter: 49/6164 | topk: 20 | shrink: 735 | sim type: cosine | MAP: 0.0449 |
| iter: 50/6164 | topk: 20 | shrink: 750 | sim type: cosine | MAP: 0.0449 |
| iter: 51/6164 | topk: 20 | shrink: 765 | sim type: cosine | MAP: 0.0449 |
| iter: 52/6164 | topk: 20 | shrink: 780 | sim type: cosine | MAP: 0.0449 |
| iter: 53/6164 | topk: 20 | shrink: 795 | sim type: cosine | MAP: 0.0449 |
| iter: 54/6164 | topk: 20 | shrink: 810 | sim type: cosine | MAP: 0.0448 |
| iter: 55/6164 | topk: 20 | shrink: 825 | sim type: cosine | MAP: 0.0448 |
| iter: 56/6164 | topk: 20 | shrink: 840 | sim type: cosine | MAP: 0.0448 |
| iter: 57/6164 | topk: 20 | shrink: 855 | sim type: cosine | MAP: 0.0448 |
| iter: 58/6164 | topk: 20 | shrink: 870 | sim type: cosine | MAP: 0.0448 |
| iter: 59/6164 | topk: 20 | shrink: 885 | sim type: cosine | MAP: 0.0448 |
| iter: 60/6164 | topk: 20 | shrink: 900 | sim type: cosine | MAP: 0.0448 |
| iter: 61/6164 | topk: 20 | shrink: 915 | sim type: cosine | MAP: 0.0448 |
| iter: 62/6164 | topk: 20 | shrink: 930 | sim type: cosine | MAP: 0.0448 |
| iter: 63/6164 | topk: 20 | shrink: 945 | sim type: cosine | MAP: 0.0448 |
