| iter:     0/76 | topk:  20 | alpha: 0.250 | beta: 0.050 | MAP: 0.0480 |
| iter:     1/76 | topk:  20 | alpha: 0.250 | beta: 0.080 | MAP: 0.0484 |
| iter:     2/76 | topk:  20 | alpha: 0.250 | beta: 0.110 | MAP: 0.0488 |
| iter:     3/76 | topk:  20 | alpha: 0.250 | beta: 0.140 | MAP: 0.0484 |
| iter:     4/76 | topk:  35 | alpha: 0.250 | beta: 0.050 | MAP: 0.0512 |
| iter:     5/76 | topk:  35 | alpha: 0.250 | beta: 0.080 | MAP: 0.0512 |
| iter:     6/76 | topk:  35 | alpha: 0.250 | beta: 0.110 | MAP: 0.0512 |
| iter:     7/76 | topk:  35 | alpha: 0.250 | beta: 0.140 | MAP: 0.0506 |
| iter:     8/76 | topk:  50 | alpha: 0.250 | beta: 0.050 | MAP: 0.0510 |
| iter:     9/76 | topk:  50 | alpha: 0.250 | beta: 0.080 | MAP: 0.0517 |
| iter:    10/76 | topk:  50 | alpha: 0.250 | beta: 0.110 | MAP: 0.0513 |
| iter:    11/76 | topk:  50 | alpha: 0.250 | beta: 0.140 | MAP: 0.0510 |
| iter:    12/76 | topk:  65 | alpha: 0.250 | beta: 0.050 | MAP: 0.0511 |
| iter:    13/76 | topk:  65 | alpha: 0.250 | beta: 0.080 | MAP: 0.0512 |
| iter:    14/76 | topk:  65 | alpha: 0.250 | beta: 0.110 | MAP: 0.0513 |
| iter:    15/76 | topk:  65 | alpha: 0.250 | beta: 0.140 | MAP: 0.0508 |
| iter:    16/76 | topk:  80 | alpha: 0.250 | beta: 0.050 | MAP: 0.0510 |
| iter:    17/76 | topk:  80 | alpha: 0.250 | beta: 0.080 | MAP: 0.0511 |
| iter:    18/76 | topk:  80 | alpha: 0.250 | beta: 0.110 | MAP: 0.0504 |
| iter:    19/76 | topk:  80 | alpha: 0.250 | beta: 0.140 | MAP: 0.0503 |
| iter:    20/76 | topk:  95 | alpha: 0.250 | beta: 0.050 | MAP: 0.0501 |
| iter:    21/76 | topk:  95 | alpha: 0.250 | beta: 0.080 | MAP: 0.0508 |
| iter:    22/76 | topk:  95 | alpha: 0.250 | beta: 0.110 | MAP: 0.0505 |
| iter:    23/76 | topk:  95 | alpha: 0.250 | beta: 0.140 | MAP: 0.0498 |
| iter:    24/76 | topk: 110 | alpha: 0.250 | beta: 0.050 | MAP: 0.0501 |
| iter:    25/76 | topk: 110 | alpha: 0.250 | beta: 0.080 | MAP: 0.0500 |
| iter:    26/76 | topk: 110 | alpha: 0.250 | beta: 0.110 | MAP: 0.0503 |
| iter:    27/76 | topk: 110 | alpha: 0.250 | beta: 0.140 | MAP: 0.0498 |
| iter:    28/76 | topk: 125 | alpha: 0.250 | beta: 0.050 | MAP: 0.0501 |
| iter:    29/76 | topk: 125 | alpha: 0.250 | beta: 0.080 | MAP: 0.0510 |
| iter:    30/76 | topk: 125 | alpha: 0.250 | beta: 0.110 | MAP: 0.0507 |
| iter:    31/76 | topk: 125 | alpha: 0.250 | beta: 0.140 | MAP: 0.0495 |
| iter:    32/76 | topk: 140 | alpha: 0.250 | beta: 0.050 | MAP: 0.0506 |
| iter:    33/76 | topk: 140 | alpha: 0.250 | beta: 0.080 | MAP: 0.0507 |
| iter:    34/76 | topk: 140 | alpha: 0.250 | beta: 0.110 | MAP: 0.0502 |
| iter:    35/76 | topk: 140 | alpha: 0.250 | beta: 0.140 | MAP: 0.0494 |
| iter:    36/76 | topk: 155 | alpha: 0.250 | beta: 0.050 | MAP: 0.0512 |
| iter:    37/76 | topk: 155 | alpha: 0.250 | beta: 0.080 | MAP: 0.0509 |
| iter:    38/76 | topk: 155 | alpha: 0.250 | beta: 0.110 | MAP: 0.0504 |
| iter:    39/76 | topk: 155 | alpha: 0.250 | beta: 0.140 | MAP: 0.0493 |
| iter:    40/76 | topk: 170 | alpha: 0.250 | beta: 0.050 | MAP: 0.0511 |
| iter:    41/76 | topk: 170 | alpha: 0.250 | beta: 0.080 | MAP: 0.0509 |
| iter:    42/76 | topk: 170 | alpha: 0.250 | beta: 0.110 | MAP: 0.0498 |
| iter:    43/76 | topk: 170 | alpha: 0.250 | beta: 0.140 | MAP: 0.0494 |
| iter:    44/76 | topk: 185 | alpha: 0.250 | beta: 0.050 | MAP: 0.0515 |
| iter:    45/76 | topk: 185 | alpha: 0.250 | beta: 0.080 | MAP: 0.0506 |
| iter:    46/76 | topk: 185 | alpha: 0.250 | beta: 0.110 | MAP: 0.0499 |
| iter:    47/76 | topk: 185 | alpha: 0.250 | beta: 0.140 | MAP: 0.0487 |
| iter:    48/76 | topk: 200 | alpha: 0.250 | beta: 0.050 | MAP: 0.0509 |
| iter:    49/76 | topk: 200 | alpha: 0.250 | beta: 0.080 | MAP: 0.0504 |
| iter:    50/76 | topk: 200 | alpha: 0.250 | beta: 0.110 | MAP: 0.0495 |
| iter:    51/76 | topk: 200 | alpha: 0.250 | beta: 0.140 | MAP: 0.0483 |
| iter:    52/76 | topk: 215 | alpha: 0.250 | beta: 0.050 | MAP: 0.0508 |
| iter:    53/76 | topk: 215 | alpha: 0.250 | beta: 0.080 | MAP: 0.0502 |
| iter:    54/76 | topk: 215 | alpha: 0.250 | beta: 0.110 | MAP: 0.0491 |
| iter:    55/76 | topk: 215 | alpha: 0.250 | beta: 0.140 | MAP: 0.0483 |
| iter:    56/76 | topk: 230 | alpha: 0.250 | beta: 0.050 | MAP: 0.0509 |
| iter:    57/76 | topk: 230 | alpha: 0.250 | beta: 0.080 | MAP: 0.0504 |
| iter:    58/76 | topk: 230 | alpha: 0.250 | beta: 0.110 | MAP: 0.0490 |
| iter:    59/76 | topk: 230 | alpha: 0.250 | beta: 0.140 | MAP: 0.0484 |
| iter:    60/76 | topk: 245 | alpha: 0.250 | beta: 0.050 | MAP: 0.0504 |
| iter:    61/76 | topk: 245 | alpha: 0.250 | beta: 0.080 | MAP: 0.0499 |
| iter:    62/76 | topk: 245 | alpha: 0.250 | beta: 0.110 | MAP: 0.0487 |
| iter:    63/76 | topk: 245 | alpha: 0.250 | beta: 0.140 | MAP: 0.0481 |
| iter:    64/76 | topk: 260 | alpha: 0.250 | beta: 0.050 | MAP: 0.0506 |
| iter:    65/76 | topk: 260 | alpha: 0.250 | beta: 0.080 | MAP: 0.0498 |
| iter:    66/76 | topk: 260 | alpha: 0.250 | beta: 0.110 | MAP: 0.0485 |
| iter:    67/76 | topk: 260 | alpha: 0.250 | beta: 0.140 | MAP: 0.0479 |
| iter:    68/76 | topk: 275 | alpha: 0.250 | beta: 0.050 | MAP: 0.0508 |
| iter:    69/76 | topk: 275 | alpha: 0.250 | beta: 0.080 | MAP: 0.0497 |
| iter:    70/76 | topk: 275 | alpha: 0.250 | beta: 0.110 | MAP: 0.0486 |
| iter:    71/76 | topk: 275 | alpha: 0.250 | beta: 0.140 | MAP: 0.0475 |
| iter:    72/76 | topk: 290 | alpha: 0.250 | beta: 0.050 | MAP: 0.0503 |
| iter:    73/76 | topk: 290 | alpha: 0.250 | beta: 0.080 | MAP: 0.0495 |
| iter:    74/76 | topk: 290 | alpha: 0.250 | beta: 0.110 | MAP: 0.0487 |
| iter:    75/76 | topk: 290 | alpha: 0.250 | beta: 0.140 | MAP: 0.0477 |
| best results | topk:  50 | alpha: 0.250 | beta: 0.080 | MAP: 0.0517 |
