| iter: 0/570 | topk: 20 | shrink: 0 | sim type: 'splus' | MAP: 0.0247 |
| iter: 1/570 | topk: 20 | shrink: 20 | sim type: 'splus' | MAP: 0.0295 |
| iter: 2/570 | topk: 20 | shrink: 40 | sim type: 'splus' | MAP: 0.0287 |
| iter: 3/570 | topk: 20 | shrink: 60 | sim type: 'splus' | MAP: 0.0280 |
| iter: 4/570 | topk: 20 | shrink: 80 | sim type: 'splus' | MAP: 0.0273 |
| iter: 5/570 | topk: 20 | shrink: 100 | sim type: 'splus' | MAP: 0.0270 |
| iter: 6/570 | topk: 20 | shrink: 120 | sim type: 'splus' | MAP: 0.0267 |
| iter: 7/570 | topk: 20 | shrink: 140 | sim type: 'splus' | MAP: 0.0265 |
| iter: 8/570 | topk: 20 | shrink: 160 | sim type: 'splus' | MAP: 0.0264 |
| iter: 9/570 | topk: 20 | shrink: 180 | sim type: 'splus' | MAP: 0.0263 |
| iter: 10/570 | topk: 40 | shrink: 0 | sim type: 'splus' | MAP: 0.0246 |
| iter: 11/570 | topk: 40 | shrink: 20 | sim type: 'splus' | MAP: 0.0297 |
| iter: 12/570 | topk: 40 | shrink: 40 | sim type: 'splus' | MAP: 0.0290 |
| iter: 13/570 | topk: 40 | shrink: 60 | sim type: 'splus' | MAP: 0.0280 |
| iter: 14/570 | topk: 40 | shrink: 80 | sim type: 'splus' | MAP: 0.0275 |
| iter: 15/570 | topk: 40 | shrink: 100 | sim type: 'splus' | MAP: 0.0272 |
| iter: 16/570 | topk: 40 | shrink: 120 | sim type: 'splus' | MAP: 0.0268 |
| iter: 17/570 | topk: 40 | shrink: 140 | sim type: 'splus' | MAP: 0.0265 |
| iter: 18/570 | topk: 40 | shrink: 160 | sim type: 'splus' | MAP: 0.0264 |
| iter: 19/570 | topk: 40 | shrink: 180 | sim type: 'splus' | MAP: 0.0262 |
| iter: 20/570 | topk: 60 | shrink: 0 | sim type: 'splus' | MAP: 0.0248 |
| iter: 21/570 | topk: 60 | shrink: 20 | sim type: 'splus' | MAP: 0.0296 |
| iter: 22/570 | topk: 60 | shrink: 40 | sim type: 'splus' | MAP: 0.0284 |
| iter: 23/570 | topk: 60 | shrink: 60 | sim type: 'splus' | MAP: 0.0274 |
| iter: 24/570 | topk: 60 | shrink: 80 | sim type: 'splus' | MAP: 0.0269 |
| iter: 25/570 | topk: 60 | shrink: 100 | sim type: 'splus' | MAP: 0.0265 |
| iter: 26/570 | topk: 60 | shrink: 120 | sim type: 'splus' | MAP: 0.0262 |
| iter: 27/570 | topk: 60 | shrink: 140 | sim type: 'splus' | MAP: 0.0260 |
| iter: 28/570 | topk: 60 | shrink: 160 | sim type: 'splus' | MAP: 0.0259 |
| iter: 29/570 | topk: 60 | shrink: 180 | sim type: 'splus' | MAP: 0.0258 |
| iter: 30/570 | topk: 80 | shrink: 0 | sim type: 'splus' | MAP: 0.0250 |
| iter: 31/570 | topk: 80 | shrink: 20 | sim type: 'splus' | MAP: 0.0300 |
| iter: 32/570 | topk: 80 | shrink: 40 | sim type: 'splus' | MAP: 0.0284 |
| iter: 33/570 | topk: 80 | shrink: 60 | sim type: 'splus' | MAP: 0.0279 |
| iter: 34/570 | topk: 80 | shrink: 80 | sim type: 'splus' | MAP: 0.0274 |
| iter: 35/570 | topk: 80 | shrink: 100 | sim type: 'splus' | MAP: 0.0269 |
| iter: 36/570 | topk: 80 | shrink: 120 | sim type: 'splus' | MAP: 0.0266 |
| iter: 37/570 | topk: 80 | shrink: 140 | sim type: 'splus' | MAP: 0.0264 |
| iter: 38/570 | topk: 80 | shrink: 160 | sim type: 'splus' | MAP: 0.0261 |
| iter: 39/570 | topk: 80 | shrink: 180 | sim type: 'splus' | MAP: 0.0261 |
| iter: 40/570 | topk: 100 | shrink: 0 | sim type: 'splus' | MAP: 0.0252 |
| iter: 41/570 | topk: 100 | shrink: 20 | sim type: 'splus' | MAP: 0.0300 |
| iter: 42/570 | topk: 100 | shrink: 40 | sim type: 'splus' | MAP: 0.0287 |
| iter: 43/570 | topk: 100 | shrink: 60 | sim type: 'splus' | MAP: 0.0283 |
| iter: 44/570 | topk: 100 | shrink: 80 | sim type: 'splus' | MAP: 0.0275 |
| iter: 45/570 | topk: 100 | shrink: 100 | sim type: 'splus' | MAP: 0.0271 |
| iter: 46/570 | topk: 100 | shrink: 120 | sim type: 'splus' | MAP: 0.0268 |
| iter: 47/570 | topk: 100 | shrink: 140 | sim type: 'splus' | MAP: 0.0266 |
| iter: 48/570 | topk: 100 | shrink: 160 | sim type: 'splus' | MAP: 0.0264 |
| iter: 49/570 | topk: 100 | shrink: 180 | sim type: 'splus' | MAP: 0.0263 |
| iter: 50/570 | topk: 120 | shrink: 0 | sim type: 'splus' | MAP: 0.0255 |
| iter: 51/570 | topk: 120 | shrink: 20 | sim type: 'splus' | MAP: 0.0301 |
| iter: 52/570 | topk: 120 | shrink: 40 | sim type: 'splus' | MAP: 0.0288 |
| iter: 53/570 | topk: 120 | shrink: 60 | sim type: 'splus' | MAP: 0.0281 |
| iter: 54/570 | topk: 120 | shrink: 80 | sim type: 'splus' | MAP: 0.0275 |
| iter: 55/570 | topk: 120 | shrink: 100 | sim type: 'splus' | MAP: 0.0273 |
| iter: 56/570 | topk: 120 | shrink: 120 | sim type: 'splus' | MAP: 0.0269 |
| iter: 57/570 | topk: 120 | shrink: 140 | sim type: 'splus' | MAP: 0.0266 |
| iter: 58/570 | topk: 120 | shrink: 160 | sim type: 'splus' | MAP: 0.0264 |
| iter: 59/570 | topk: 120 | shrink: 180 | sim type: 'splus' | MAP: 0.0263 |
| iter: 60/570 | topk: 140 | shrink: 0 | sim type: 'splus' | MAP: 0.0258 |
| iter: 61/570 | topk: 140 | shrink: 20 | sim type: 'splus' | MAP: 0.0302 |
| iter: 62/570 | topk: 140 | shrink: 40 | sim type: 'splus' | MAP: 0.0286 |
| iter: 63/570 | topk: 140 | shrink: 60 | sim type: 'splus' | MAP: 0.0281 |
| iter: 64/570 | topk: 140 | shrink: 80 | sim type: 'splus' | MAP: 0.0275 |
| iter: 65/570 | topk: 140 | shrink: 100 | sim type: 'splus' | MAP: 0.0272 |
| iter: 66/570 | topk: 140 | shrink: 120 | sim type: 'splus' | MAP: 0.0268 |
| iter: 67/570 | topk: 140 | shrink: 140 | sim type: 'splus' | MAP: 0.0266 |
| iter: 68/570 | topk: 140 | shrink: 160 | sim type: 'splus' | MAP: 0.0264 |
| iter: 69/570 | topk: 140 | shrink: 180 | sim type: 'splus' | MAP: 0.0262 |
| iter: 70/570 | topk: 160 | shrink: 0 | sim type: 'splus' | MAP: 0.0263 |
| iter: 71/570 | topk: 160 | shrink: 20 | sim type: 'splus' | MAP: 0.0303 |
| iter: 72/570 | topk: 160 | shrink: 40 | sim type: 'splus' | MAP: 0.0288 |
| iter: 73/570 | topk: 160 | shrink: 60 | sim type: 'splus' | MAP: 0.0283 |
| iter: 74/570 | topk: 160 | shrink: 80 | sim type: 'splus' | MAP: 0.0276 |
| iter: 75/570 | topk: 160 | shrink: 100 | sim type: 'splus' | MAP: 0.0271 |
| iter: 76/570 | topk: 160 | shrink: 120 | sim type: 'splus' | MAP: 0.0267 |
| iter: 77/570 | topk: 160 | shrink: 140 | sim type: 'splus' | MAP: 0.0265 |
| iter: 78/570 | topk: 160 | shrink: 160 | sim type: 'splus' | MAP: 0.0263 |
| iter: 79/570 | topk: 160 | shrink: 180 | sim type: 'splus' | MAP: 0.0262 |
| iter: 80/570 | topk: 180 | shrink: 0 | sim type: 'splus' | MAP: 0.0263 |
| iter: 81/570 | topk: 180 | shrink: 20 | sim type: 'splus' | MAP: 0.0303 |
| iter: 82/570 | topk: 180 | shrink: 40 | sim type: 'splus' | MAP: 0.0290 |
| iter: 83/570 | topk: 180 | shrink: 60 | sim type: 'splus' | MAP: 0.0282 |
| iter: 84/570 | topk: 180 | shrink: 80 | sim type: 'splus' | MAP: 0.0276 |
| iter: 85/570 | topk: 180 | shrink: 100 | sim type: 'splus' | MAP: 0.0271 |
| iter: 86/570 | topk: 180 | shrink: 120 | sim type: 'splus' | MAP: 0.0267 |
| iter: 87/570 | topk: 180 | shrink: 140 | sim type: 'splus' | MAP: 0.0264 |
| iter: 88/570 | topk: 180 | shrink: 160 | sim type: 'splus' | MAP: 0.0263 |
| iter: 89/570 | topk: 180 | shrink: 180 | sim type: 'splus' | MAP: 0.0262 |
| iter: 90/570 | topk: 200 | shrink: 0 | sim type: 'splus' | MAP: 0.0265 |
| iter: 91/570 | topk: 200 | shrink: 20 | sim type: 'splus' | MAP: 0.0303 |
| iter: 92/570 | topk: 200 | shrink: 40 | sim type: 'splus' | MAP: 0.0288 |
| iter: 93/570 | topk: 200 | shrink: 60 | sim type: 'splus' | MAP: 0.0283 |
| iter: 94/570 | topk: 200 | shrink: 80 | sim type: 'splus' | MAP: 0.0277 |
| iter: 95/570 | topk: 200 | shrink: 100 | sim type: 'splus' | MAP: 0.0272 |
| iter: 96/570 | topk: 200 | shrink: 120 | sim type: 'splus' | MAP: 0.0268 |
| iter: 97/570 | topk: 200 | shrink: 140 | sim type: 'splus' | MAP: 0.0264 |
| iter: 98/570 | topk: 200 | shrink: 160 | sim type: 'splus' | MAP: 0.0263 |
| iter: 99/570 | topk: 200 | shrink: 180 | sim type: 'splus' | MAP: 0.0261 |
| iter: 100/570 | topk: 220 | shrink: 0 | sim type: 'splus' | MAP: 0.0263 |
| iter: 101/570 | topk: 220 | shrink: 20 | sim type: 'splus' | MAP: 0.0305 |
| iter: 102/570 | topk: 220 | shrink: 40 | sim type: 'splus' | MAP: 0.0286 |
| iter: 103/570 | topk: 220 | shrink: 60 | sim type: 'splus' | MAP: 0.0282 |
| iter: 104/570 | topk: 220 | shrink: 80 | sim type: 'splus' | MAP: 0.0275 |
| iter: 105/570 | topk: 220 | shrink: 100 | sim type: 'splus' | MAP: 0.0270 |
| iter: 106/570 | topk: 220 | shrink: 120 | sim type: 'splus' | MAP: 0.0267 |
| iter: 107/570 | topk: 220 | shrink: 140 | sim type: 'splus' | MAP: 0.0263 |
| iter: 108/570 | topk: 220 | shrink: 160 | sim type: 'splus' | MAP: 0.0260 |
| iter: 109/570 | topk: 220 | shrink: 180 | sim type: 'splus' | MAP: 0.0258 |
| iter: 110/570 | topk: 240 | shrink: 0 | sim type: 'splus' | MAP: 0.0261 |
| iter: 111/570 | topk: 240 | shrink: 20 | sim type: 'splus' | MAP: 0.0305 |
| iter: 112/570 | topk: 240 | shrink: 40 | sim type: 'splus' | MAP: 0.0287 |
| iter: 113/570 | topk: 240 | shrink: 60 | sim type: 'splus' | MAP: 0.0283 |
| iter: 114/570 | topk: 240 | shrink: 80 | sim type: 'splus' | MAP: 0.0275 |
| iter: 115/570 | topk: 240 | shrink: 100 | sim type: 'splus' | MAP: 0.0268 |
| iter: 116/570 | topk: 240 | shrink: 120 | sim type: 'splus' | MAP: 0.0266 |
