| iter:     0/190 | topk:  20 | alpha: 0.000 | MAP: 0.0445 |
| iter:     1/190 | topk:  20 | alpha: 0.100 | MAP: 0.0484 |
| iter:     2/190 | topk:  20 | alpha: 0.200 | MAP: 0.0502 |
| iter:     3/190 | topk:  20 | alpha: 0.300 | MAP: 0.0527 |
| iter:     4/190 | topk:  20 | alpha: 0.400 | MAP: 0.0532 |
| iter:     5/190 | topk:  20 | alpha: 0.500 | MAP: 0.0512 |
| iter:     6/190 | topk:  20 | alpha: 0.600 | MAP: 0.0462 |
| iter:     7/190 | topk:  20 | alpha: 0.700 | MAP: 0.0364 |
| iter:     8/190 | topk:  20 | alpha: 0.800 | MAP: 0.0323 |
| iter:     9/190 | topk:  20 | alpha: 0.900 | MAP: 0.0285 |
| iter:    10/190 | topk:  40 | alpha: 0.000 | MAP: 0.0446 |
| iter:    11/190 | topk:  40 | alpha: 0.100 | MAP: 0.0498 |
| iter:    12/190 | topk:  40 | alpha: 0.200 | MAP: 0.0518 |
| iter:    13/190 | topk:  40 | alpha: 0.300 | MAP: 0.0544 |
| iter:    14/190 | topk:  40 | alpha: 0.400 | MAP: 0.0557 |
| iter:    15/190 | topk:  40 | alpha: 0.500 | MAP: 0.0549 |
| iter:    16/190 | topk:  40 | alpha: 0.600 | MAP: 0.0514 |
| iter:    17/190 | topk:  40 | alpha: 0.700 | MAP: 0.0450 |
| iter:    18/190 | topk:  40 | alpha: 0.800 | MAP: 0.0382 |
| iter:    19/190 | topk:  40 | alpha: 0.900 | MAP: 0.0348 |
| iter:    20/190 | topk:  60 | alpha: 0.000 | MAP: 0.0446 |
| iter:    21/190 | topk:  60 | alpha: 0.100 | MAP: 0.0507 |
| iter:    22/190 | topk:  60 | alpha: 0.200 | MAP: 0.0534 |
| iter:    23/190 | topk:  60 | alpha: 0.300 | MAP: 0.0557 |
| iter:    24/190 | topk:  60 | alpha: 0.400 | MAP: 0.0559 |
| iter:    25/190 | topk:  60 | alpha: 0.500 | MAP: 0.0556 |
| iter:    26/190 | topk:  60 | alpha: 0.600 | MAP: 0.0537 |
| iter:    27/190 | topk:  60 | alpha: 0.700 | MAP: 0.0483 |
| iter:    28/190 | topk:  60 | alpha: 0.800 | MAP: 0.0417 |
| iter:    29/190 | topk:  60 | alpha: 0.900 | MAP: 0.0375 |
| iter:    30/190 | topk:  80 | alpha: 0.000 | MAP: 0.0449 |
| iter:    31/190 | topk:  80 | alpha: 0.100 | MAP: 0.0506 |
| iter:    32/190 | topk:  80 | alpha: 0.200 | MAP: 0.0530 |
| iter:    33/190 | topk:  80 | alpha: 0.300 | MAP: 0.0559 |
| iter:    34/190 | topk:  80 | alpha: 0.400 | MAP: 0.0566 |
| iter:    35/190 | topk:  80 | alpha: 0.500 | MAP: 0.0562 |
| iter:    36/190 | topk:  80 | alpha: 0.600 | MAP: 0.0547 |
| iter:    37/190 | topk:  80 | alpha: 0.700 | MAP: 0.0500 |
| iter:    38/190 | topk:  80 | alpha: 0.800 | MAP: 0.0442 |
| iter:    39/190 | topk:  80 | alpha: 0.900 | MAP: 0.0396 |
| iter:    40/190 | topk: 100 | alpha: 0.000 | MAP: 0.0451 |
| iter:    41/190 | topk: 100 | alpha: 0.100 | MAP: 0.0508 |
| iter:    42/190 | topk: 100 | alpha: 0.200 | MAP: 0.0531 |
