|UserKNNCB| iter:     0/270 | topk:  20 | shrink:   0 | sim type: 'splus' | MAP: 0.0498 |
|UserKNNCB| iter:     1/270 | topk:  20 | shrink:  20 | sim type: 'splus' | MAP: 0.0495 |
|UserKNNCB| iter:     2/270 | topk:  20 | shrink:  40 | sim type: 'splus' | MAP: 0.0475 |
|UserKNNCB| iter:     3/270 | topk:  20 | shrink:  60 | sim type: 'splus' | MAP: 0.0464 |
|UserKNNCB| iter:     4/270 | topk:  20 | shrink:  80 | sim type: 'splus' | MAP: 0.0454 |
|UserKNNCB| iter:     5/270 | topk:  20 | shrink: 100 | sim type: 'splus' | MAP: 0.0445 |
|UserKNNCB| iter:     6/270 | topk:  20 | shrink: 120 | sim type: 'splus' | MAP: 0.0429 |
|UserKNNCB| iter:     7/270 | topk:  20 | shrink: 140 | sim type: 'splus' | MAP: 0.0420 |
|UserKNNCB| iter:     8/270 | topk:  20 | shrink: 160 | sim type: 'splus' | MAP: 0.0416 |
|UserKNNCB| iter:     9/270 | topk:  20 | shrink: 180 | sim type: 'splus' | MAP: 0.0409 |
|UserKNNCB| iter:    10/270 | topk:  40 | shrink:   0 | sim type: 'splus' | MAP: 0.0509 |
|UserKNNCB| iter:    11/270 | topk:  40 | shrink:  20 | sim type: 'splus' | MAP: 0.0493 |
|UserKNNCB| iter:    12/270 | topk:  40 | shrink:  40 | sim type: 'splus' | MAP: 0.0468 |
|UserKNNCB| iter:    13/270 | topk:  40 | shrink:  60 | sim type: 'splus' | MAP: 0.0450 |
|UserKNNCB| iter:    14/270 | topk:  40 | shrink:  80 | sim type: 'splus' | MAP: 0.0441 |
|UserKNNCB| iter:    15/270 | topk:  40 | shrink: 100 | sim type: 'splus' | MAP: 0.0418 |
|UserKNNCB| iter:    16/270 | topk:  40 | shrink: 120 | sim type: 'splus' | MAP: 0.0404 |
|UserKNNCB| iter:    17/270 | topk:  40 | shrink: 140 | sim type: 'splus' | MAP: 0.0396 |
|UserKNNCB| iter:    18/270 | topk:  40 | shrink: 160 | sim type: 'splus' | MAP: 0.0382 |
|UserKNNCB| iter:    19/270 | topk:  40 | shrink: 180 | sim type: 'splus' | MAP: 0.0368 |
|UserKNNCB| iter:    20/270 | topk:  60 | shrink:   0 | sim type: 'splus' | MAP: 0.0501 |
|UserKNNCB| iter:    21/270 | topk:  60 | shrink:  20 | sim type: 'splus' | MAP: 0.0476 |
|UserKNNCB| iter:    22/270 | topk:  60 | shrink:  40 | sim type: 'splus' | MAP: 0.0449 |
|UserKNNCB| iter:    23/270 | topk:  60 | shrink:  60 | sim type: 'splus' | MAP: 0.0432 |
|UserKNNCB| iter:    24/270 | topk:  60 | shrink:  80 | sim type: 'splus' | MAP: 0.0413 |
|UserKNNCB| iter:    25/270 | topk:  60 | shrink: 100 | sim type: 'splus' | MAP: 0.0391 |
|UserKNNCB| iter:    26/270 | topk:  60 | shrink: 120 | sim type: 'splus' | MAP: 0.0376 |
|UserKNNCB| iter:    27/270 | topk:  60 | shrink: 140 | sim type: 'splus' | MAP: 0.0364 |
|UserKNNCB| iter:    28/270 | topk:  60 | shrink: 160 | sim type: 'splus' | MAP: 0.0350 |
|UserKNNCB| iter:    29/270 | topk:  60 | shrink: 180 | sim type: 'splus' | MAP: 0.0339 |
|UserKNNCB| iter:    30/270 | topk:  80 | shrink:   0 | sim type: 'splus' | MAP: 0.0488 |
|UserKNNCB| iter:    31/270 | topk:  80 | shrink:  20 | sim type: 'splus' | MAP: 0.0457 |
|UserKNNCB| iter:    32/270 | topk:  80 | shrink:  40 | sim type: 'splus' | MAP: 0.0434 |
|UserKNNCB| iter:    33/270 | topk:  80 | shrink:  60 | sim type: 'splus' | MAP: 0.0406 |
|UserKNNCB| iter:    34/270 | topk:  80 | shrink:  80 | sim type: 'splus' | MAP: 0.0385 |
|UserKNNCB| iter:    35/270 | topk:  80 | shrink: 100 | sim type: 'splus' | MAP: 0.0373 |
|UserKNNCB| iter:    36/270 | topk:  80 | shrink: 120 | sim type: 'splus' | MAP: 0.0354 |
|UserKNNCB| iter:    37/270 | topk:  80 | shrink: 140 | sim type: 'splus' | MAP: 0.0341 |
|UserKNNCB| iter:    38/270 | topk:  80 | shrink: 160 | sim type: 'splus' | MAP: 0.0325 |
|UserKNNCB| iter:    39/270 | topk:  80 | shrink: 180 | sim type: 'splus' | MAP: 0.0315 |
|UserKNNCB| iter:    40/270 | topk: 100 | shrink:   0 | sim type: 'splus' | MAP: 0.0482 |
|UserKNNCB| iter:    41/270 | topk: 100 | shrink:  20 | sim type: 'splus' | MAP: 0.0441 |
|UserKNNCB| iter:    42/270 | topk: 100 | shrink:  40 | sim type: 'splus' | MAP: 0.0413 |
|UserKNNCB| iter:    43/270 | topk: 100 | shrink:  60 | sim type: 'splus' | MAP: 0.0384 |
|UserKNNCB| iter:    44/270 | topk: 100 | shrink:  80 | sim type: 'splus' | MAP: 0.0366 |
|UserKNNCB| iter:    45/270 | topk: 100 | shrink: 100 | sim type: 'splus' | MAP: 0.0354 |
|UserKNNCB| iter:    46/270 | topk: 100 | shrink: 120 | sim type: 'splus' | MAP: 0.0334 |
|UserKNNCB| iter:    47/270 | topk: 100 | shrink: 140 | sim type: 'splus' | MAP: 0.0319 |
|UserKNNCB| iter:    48/270 | topk: 100 | shrink: 160 | sim type: 'splus' | MAP: 0.0311 |
|UserKNNCB| iter:    49/270 | topk: 100 | shrink: 180 | sim type: 'splus' | MAP: 0.0299 |
|UserKNNCB| iter:    50/270 | topk: 120 | shrink:   0 | sim type: 'splus' | MAP: 0.0464 |
|UserKNNCB| iter:    51/270 | topk: 120 | shrink:  20 | sim type: 'splus' | MAP: 0.0428 |
|UserKNNCB| iter:    52/270 | topk: 120 | shrink:  40 | sim type: 'splus' | MAP: 0.0395 |
|UserKNNCB| iter:    53/270 | topk: 120 | shrink:  60 | sim type: 'splus' | MAP: 0.0369 |
|UserKNNCB| iter:    54/270 | topk: 120 | shrink:  80 | sim type: 'splus' | MAP: 0.0349 |
|UserKNNCB| iter:    55/270 | topk: 120 | shrink: 100 | sim type: 'splus' | MAP: 0.0329 |
|UserKNNCB| iter:    56/270 | topk: 120 | shrink: 120 | sim type: 'splus' | MAP: 0.0317 |
|UserKNNCB| iter:    57/270 | topk: 120 | shrink: 140 | sim type: 'splus' | MAP: 0.0305 |
|UserKNNCB| iter:    58/270 | topk: 120 | shrink: 160 | sim type: 'splus' | MAP: 0.0292 |
|UserKNNCB| iter:    59/270 | topk: 120 | shrink: 180 | sim type: 'splus' | MAP: 0.0286 |
|UserKNNCB| iter:    60/270 | topk: 140 | shrink:   0 | sim type: 'splus' | MAP: 0.0451 |
|UserKNNCB| iter:    61/270 | topk: 140 | shrink:  20 | sim type: 'splus' | MAP: 0.0418 |
|UserKNNCB| iter:    62/270 | topk: 140 | shrink:  40 | sim type: 'splus' | MAP: 0.0383 |
|UserKNNCB| iter:    63/270 | topk: 140 | shrink:  60 | sim type: 'splus' | MAP: 0.0358 |
|UserKNNCB| iter:    64/270 | topk: 140 | shrink:  80 | sim type: 'splus' | MAP: 0.0338 |
|UserKNNCB| iter:    65/270 | topk: 140 | shrink: 100 | sim type: 'splus' | MAP: 0.0316 |
|UserKNNCB| iter:    66/270 | topk: 140 | shrink: 120 | sim type: 'splus' | MAP: 0.0306 |
|UserKNNCB| iter:    67/270 | topk: 140 | shrink: 140 | sim type: 'splus' | MAP: 0.0292 |
|UserKNNCB| iter:    68/270 | topk: 140 | shrink: 160 | sim type: 'splus' | MAP: 0.0280 |
|UserKNNCB| iter:    69/270 | topk: 140 | shrink: 180 | sim type: 'splus' | MAP: 0.0274 |
|UserKNNCB| iter:    70/270 | topk: 160 | shrink:   0 | sim type: 'splus' | MAP: 0.0441 |
|UserKNNCB| iter:    71/270 | topk: 160 | shrink:  20 | sim type: 'splus' | MAP: 0.0400 |
|UserKNNCB| iter:    72/270 | topk: 160 | shrink:  40 | sim type: 'splus' | MAP: 0.0370 |
|UserKNNCB| iter:    73/270 | topk: 160 | shrink:  60 | sim type: 'splus' | MAP: 0.0348 |
|UserKNNCB| iter:    74/270 | topk: 160 | shrink:  80 | sim type: 'splus' | MAP: 0.0326 |
|UserKNNCB| iter:    75/270 | topk: 160 | shrink: 100 | sim type: 'splus' | MAP: 0.0312 |
|UserKNNCB| iter:    76/270 | topk: 160 | shrink: 120 | sim type: 'splus' | MAP: 0.0299 |
|UserKNNCB| iter:    77/270 | topk: 160 | shrink: 140 | sim type: 'splus' | MAP: 0.0285 |
|UserKNNCB| iter:    78/270 | topk: 160 | shrink: 160 | sim type: 'splus' | MAP: 0.0279 |
|UserKNNCB| iter:    79/270 | topk: 160 | shrink: 180 | sim type: 'splus' | MAP: 0.0273 |
|UserKNNCB| iter:    80/270 | topk: 180 | shrink:   0 | sim type: 'splus' | MAP: 0.0431 |
|UserKNNCB| iter:    81/270 | topk: 180 | shrink:  20 | sim type: 'splus' | MAP: 0.0390 |
|UserKNNCB| iter:    82/270 | topk: 180 | shrink:  40 | sim type: 'splus' | MAP: 0.0362 |
|UserKNNCB| iter:    83/270 | topk: 180 | shrink:  60 | sim type: 'splus' | MAP: 0.0335 |
|UserKNNCB| iter:    84/270 | topk: 180 | shrink:  80 | sim type: 'splus' | MAP: 0.0321 |
|UserKNNCB| iter:    85/270 | topk: 180 | shrink: 100 | sim type: 'splus' | MAP: 0.0304 |
|UserKNNCB| iter:    86/270 | topk: 180 | shrink: 120 | sim type: 'splus' | MAP: 0.0284 |
|UserKNNCB| iter:    87/270 | topk: 180 | shrink: 140 | sim type: 'splus' | MAP: 0.0276 |
|UserKNNCB| iter:    88/270 | topk: 180 | shrink: 160 | sim type: 'splus' | MAP: 0.0271 |
|UserKNNCB| iter:    89/270 | topk: 180 | shrink: 180 | sim type: 'splus' | MAP: 0.0264 |
|UserKNNCB| iter:    90/270 | topk:  20 | shrink:   0 | sim type: 'cosine' | MAP: 0.0498 |
|UserKNNCB| iter:    91/270 | topk:  20 | shrink:  20 | sim type: 'cosine' | MAP: 0.0495 |
|UserKNNCB| iter:    92/270 | topk:  20 | shrink:  40 | sim type: 'cosine' | MAP: 0.0475 |
|UserKNNCB| iter:    93/270 | topk:  20 | shrink:  60 | sim type: 'cosine' | MAP: 0.0464 |
|UserKNNCB| iter:    94/270 | topk:  20 | shrink:  80 | sim type: 'cosine' | MAP: 0.0454 |
|UserKNNCB| iter:    95/270 | topk:  20 | shrink: 100 | sim type: 'cosine' | MAP: 0.0445 |
|UserKNNCB| iter:    96/270 | topk:  20 | shrink: 120 | sim type: 'cosine' | MAP: 0.0429 |
|UserKNNCB| iter:    97/270 | topk:  20 | shrink: 140 | sim type: 'cosine' | MAP: 0.0420 |
|UserKNNCB| iter:    98/270 | topk:  20 | shrink: 160 | sim type: 'cosine' | MAP: 0.0416 |
|UserKNNCB| iter:    99/270 | topk:  20 | shrink: 180 | sim type: 'cosine' | MAP: 0.0409 |
|UserKNNCB| iter:   100/270 | topk:  40 | shrink:   0 | sim type: 'cosine' | MAP: 0.0509 |
|UserKNNCB| iter:   101/270 | topk:  40 | shrink:  20 | sim type: 'cosine' | MAP: 0.0493 |
|UserKNNCB| iter:   102/270 | topk:  40 | shrink:  40 | sim type: 'cosine' | MAP: 0.0468 |
|UserKNNCB| iter:   103/270 | topk:  40 | shrink:  60 | sim type: 'cosine' | MAP: 0.0450 |
|UserKNNCB| iter:   104/270 | topk:  40 | shrink:  80 | sim type: 'cosine' | MAP: 0.0441 |
|UserKNNCB| iter:   105/270 | topk:  40 | shrink: 100 | sim type: 'cosine' | MAP: 0.0418 |
|UserKNNCB| iter:   106/270 | topk:  40 | shrink: 120 | sim type: 'cosine' | MAP: 0.0404 |
|UserKNNCB| iter:   107/270 | topk:  40 | shrink: 140 | sim type: 'cosine' | MAP: 0.0396 |
