|UserKNNCF| iter:     0/189 | topk:  20 | shrink:   0 | sim type: 'splus' | MAP: 0.0407 |
|UserKNNCF| iter:     1/189 | topk:  20 | shrink:  20 | sim type: 'splus' | MAP: 0.0501 |
|UserKNNCF| iter:     2/189 | topk:  20 | shrink:  40 | sim type: 'splus' | MAP: 0.0512 |
|UserKNNCF| iter:     3/189 | topk:  20 | shrink:  60 | sim type: 'splus' | MAP: 0.0511 |
|UserKNNCF| iter:     4/189 | topk:  20 | shrink:  80 | sim type: 'splus' | MAP: 0.0509 |
|UserKNNCF| iter:     5/189 | topk:  20 | shrink: 100 | sim type: 'splus' | MAP: 0.0507 |
|UserKNNCF| iter:     6/189 | topk:  20 | shrink: 120 | sim type: 'splus' | MAP: 0.0509 |
|UserKNNCF| iter:     7/189 | topk:  40 | shrink:   0 | sim type: 'splus' | MAP: 0.0469 |
|UserKNNCF| iter:     8/189 | topk:  40 | shrink:  20 | sim type: 'splus' | MAP: 0.0538 |
|UserKNNCF| iter:     9/189 | topk:  40 | shrink:  40 | sim type: 'splus' | MAP: 0.0543 |
|UserKNNCF| iter:    10/189 | topk:  40 | shrink:  60 | sim type: 'splus' | MAP: 0.0541 |
|UserKNNCF| iter:    11/189 | topk:  40 | shrink:  80 | sim type: 'splus' | MAP: 0.0541 |
|UserKNNCF| iter:    12/189 | topk:  40 | shrink: 100 | sim type: 'splus' | MAP: 0.0541 |
|UserKNNCF| iter:    13/189 | topk:  40 | shrink: 120 | sim type: 'splus' | MAP: 0.0541 |
|UserKNNCF| iter:    14/189 | topk:  60 | shrink:   0 | sim type: 'splus' | MAP: 0.0488 |
|UserKNNCF| iter:    15/189 | topk:  60 | shrink:  20 | sim type: 'splus' | MAP: 0.0549 |
|UserKNNCF| iter:    16/189 | topk:  60 | shrink:  40 | sim type: 'splus' | MAP: 0.0556 |
|UserKNNCF| iter:    17/189 | topk:  60 | shrink:  60 | sim type: 'splus' | MAP: 0.0553 |
|UserKNNCF| iter:    18/189 | topk:  60 | shrink:  80 | sim type: 'splus' | MAP: 0.0552 |
|UserKNNCF| iter:    19/189 | topk:  60 | shrink: 100 | sim type: 'splus' | MAP: 0.0551 |
|UserKNNCF| iter:    20/189 | topk:  60 | shrink: 120 | sim type: 'splus' | MAP: 0.0553 |
