|ItemKNNCF| iter:     0/1980 | topk:  70 | shrink:   0 | sim type: 'splus' | MAP: 0.0203 |
|ItemKNNCF| iter:     1/1980 | topk:  70 | shrink:   5 | sim type: 'splus' | MAP: 0.0377 |
|ItemKNNCF| iter:     2/1980 | topk:  70 | shrink:  10 | sim type: 'splus' | MAP: 0.0424 |
|ItemKNNCF| iter:     3/1980 | topk:  70 | shrink:  15 | sim type: 'splus' | MAP: 0.0463 |
|ItemKNNCF| iter:     4/1980 | topk:  70 | shrink:  20 | sim type: 'splus' | MAP: 0.0471 |
|ItemKNNCF| iter:     5/1980 | topk:  70 | shrink:  25 | sim type: 'splus' | MAP: 0.0473 |
|ItemKNNCF| iter:     6/1980 | topk:  70 | shrink:  30 | sim type: 'splus' | MAP: 0.0473 |
|ItemKNNCF| iter:     7/1980 | topk:  70 | shrink:  35 | sim type: 'splus' | MAP: 0.0480 |
|ItemKNNCF| iter:     8/1980 | topk:  70 | shrink:  40 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:     9/1980 | topk:  70 | shrink:  45 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:    10/1980 | topk:  70 | shrink:  50 | sim type: 'splus' | MAP: 0.0489 |
|ItemKNNCF| iter:    11/1980 | topk:  70 | shrink:  55 | sim type: 'splus' | MAP: 0.0487 |
|ItemKNNCF| iter:    12/1980 | topk:  70 | shrink:  60 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:    13/1980 | topk:  70 | shrink:  65 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:    14/1980 | topk:  70 | shrink:  70 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:    15/1980 | topk:  70 | shrink:  75 | sim type: 'splus' | MAP: 0.0481 |
|ItemKNNCF| iter:    16/1980 | topk:  70 | shrink:  80 | sim type: 'splus' | MAP: 0.0481 |
|ItemKNNCF| iter:    17/1980 | topk:  70 | shrink:  85 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:    18/1980 | topk:  70 | shrink:  90 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:    19/1980 | topk:  70 | shrink:  95 | sim type: 'splus' | MAP: 0.0480 |
|ItemKNNCF| iter:    20/1980 | topk:  80 | shrink:   0 | sim type: 'splus' | MAP: 0.0211 |
|ItemKNNCF| iter:    21/1980 | topk:  80 | shrink:   5 | sim type: 'splus' | MAP: 0.0372 |
|ItemKNNCF| iter:    22/1980 | topk:  80 | shrink:  10 | sim type: 'splus' | MAP: 0.0424 |
|ItemKNNCF| iter:    23/1980 | topk:  80 | shrink:  15 | sim type: 'splus' | MAP: 0.0462 |
|ItemKNNCF| iter:    24/1980 | topk:  80 | shrink:  20 | sim type: 'splus' | MAP: 0.0474 |
|ItemKNNCF| iter:    25/1980 | topk:  80 | shrink:  25 | sim type: 'splus' | MAP: 0.0473 |
|ItemKNNCF| iter:    26/1980 | topk:  80 | shrink:  30 | sim type: 'splus' | MAP: 0.0478 |
|ItemKNNCF| iter:    27/1980 | topk:  80 | shrink:  35 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:    28/1980 | topk:  80 | shrink:  40 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:    29/1980 | topk:  80 | shrink:  45 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:    30/1980 | topk:  80 | shrink:  50 | sim type: 'splus' | MAP: 0.0487 |
|ItemKNNCF| iter:    31/1980 | topk:  80 | shrink:  55 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:    32/1980 | topk:  80 | shrink:  60 | sim type: 'splus' | MAP: 0.0481 |
|ItemKNNCF| iter:    33/1980 | topk:  80 | shrink:  65 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:    34/1980 | topk:  80 | shrink:  70 | sim type: 'splus' | MAP: 0.0480 |
|ItemKNNCF| iter:    35/1980 | topk:  80 | shrink:  75 | sim type: 'splus' | MAP: 0.0481 |
|ItemKNNCF| iter:    36/1980 | topk:  80 | shrink:  80 | sim type: 'splus' | MAP: 0.0481 |
|ItemKNNCF| iter:    37/1980 | topk:  80 | shrink:  85 | sim type: 'splus' | MAP: 0.0481 |
|ItemKNNCF| iter:    38/1980 | topk:  80 | shrink:  90 | sim type: 'splus' | MAP: 0.0481 |
|ItemKNNCF| iter:    39/1980 | topk:  80 | shrink:  95 | sim type: 'splus' | MAP: 0.0478 |
|ItemKNNCF| iter:    40/1980 | topk:  90 | shrink:   0 | sim type: 'splus' | MAP: 0.0207 |
|ItemKNNCF| iter:    41/1980 | topk:  90 | shrink:   5 | sim type: 'splus' | MAP: 0.0376 |
|ItemKNNCF| iter:    42/1980 | topk:  90 | shrink:  10 | sim type: 'splus' | MAP: 0.0421 |
|ItemKNNCF| iter:    43/1980 | topk:  90 | shrink:  15 | sim type: 'splus' | MAP: 0.0463 |
|ItemKNNCF| iter:    44/1980 | topk:  90 | shrink:  20 | sim type: 'splus' | MAP: 0.0472 |
|ItemKNNCF| iter:    45/1980 | topk:  90 | shrink:  25 | sim type: 'splus' | MAP: 0.0476 |
|ItemKNNCF| iter:    46/1980 | topk:  90 | shrink:  30 | sim type: 'splus' | MAP: 0.0480 |
|ItemKNNCF| iter:    47/1980 | topk:  90 | shrink:  35 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:    48/1980 | topk:  90 | shrink:  40 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:    49/1980 | topk:  90 | shrink:  45 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:    50/1980 | topk:  90 | shrink:  50 | sim type: 'splus' | MAP: 0.0488 |
|ItemKNNCF| iter:    51/1980 | topk:  90 | shrink:  55 | sim type: 'splus' | MAP: 0.0487 |
|ItemKNNCF| iter:    52/1980 | topk:  90 | shrink:  60 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:    53/1980 | topk:  90 | shrink:  65 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:    54/1980 | topk:  90 | shrink:  70 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:    55/1980 | topk:  90 | shrink:  75 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:    56/1980 | topk:  90 | shrink:  80 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:    57/1980 | topk:  90 | shrink:  85 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:    58/1980 | topk:  90 | shrink:  90 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:    59/1980 | topk:  90 | shrink:  95 | sim type: 'splus' | MAP: 0.0479 |
|ItemKNNCF| iter:    60/1980 | topk: 100 | shrink:   0 | sim type: 'splus' | MAP: 0.0208 |
|ItemKNNCF| iter:    61/1980 | topk: 100 | shrink:   5 | sim type: 'splus' | MAP: 0.0374 |
|ItemKNNCF| iter:    62/1980 | topk: 100 | shrink:  10 | sim type: 'splus' | MAP: 0.0423 |
|ItemKNNCF| iter:    63/1980 | topk: 100 | shrink:  15 | sim type: 'splus' | MAP: 0.0460 |
|ItemKNNCF| iter:    64/1980 | topk: 100 | shrink:  20 | sim type: 'splus' | MAP: 0.0476 |
|ItemKNNCF| iter:    65/1980 | topk: 100 | shrink:  25 | sim type: 'splus' | MAP: 0.0476 |
|ItemKNNCF| iter:    66/1980 | topk: 100 | shrink:  30 | sim type: 'splus' | MAP: 0.0479 |
|ItemKNNCF| iter:    67/1980 | topk: 100 | shrink:  35 | sim type: 'splus' | MAP: 0.0481 |
|ItemKNNCF| iter:    68/1980 | topk: 100 | shrink:  40 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:    69/1980 | topk: 100 | shrink:  45 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:    70/1980 | topk: 100 | shrink:  50 | sim type: 'splus' | MAP: 0.0487 |
|ItemKNNCF| iter:    71/1980 | topk: 100 | shrink:  55 | sim type: 'splus' | MAP: 0.0486 |
|ItemKNNCF| iter:    72/1980 | topk: 100 | shrink:  60 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:    73/1980 | topk: 100 | shrink:  65 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:    74/1980 | topk: 100 | shrink:  70 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:    75/1980 | topk: 100 | shrink:  75 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:    76/1980 | topk: 100 | shrink:  80 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:    77/1980 | topk: 100 | shrink:  85 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:    78/1980 | topk: 100 | shrink:  90 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:    79/1980 | topk: 100 | shrink:  95 | sim type: 'splus' | MAP: 0.0480 |
|ItemKNNCF| iter:    80/1980 | topk: 110 | shrink:   0 | sim type: 'splus' | MAP: 0.0211 |
|ItemKNNCF| iter:    81/1980 | topk: 110 | shrink:   5 | sim type: 'splus' | MAP: 0.0380 |
|ItemKNNCF| iter:    82/1980 | topk: 110 | shrink:  10 | sim type: 'splus' | MAP: 0.0426 |
|ItemKNNCF| iter:    83/1980 | topk: 110 | shrink:  15 | sim type: 'splus' | MAP: 0.0459 |
|ItemKNNCF| iter:    84/1980 | topk: 110 | shrink:  20 | sim type: 'splus' | MAP: 0.0473 |
|ItemKNNCF| iter:    85/1980 | topk: 110 | shrink:  25 | sim type: 'splus' | MAP: 0.0474 |
|ItemKNNCF| iter:    86/1980 | topk: 110 | shrink:  30 | sim type: 'splus' | MAP: 0.0478 |
|ItemKNNCF| iter:    87/1980 | topk: 110 | shrink:  35 | sim type: 'splus' | MAP: 0.0480 |
|ItemKNNCF| iter:    88/1980 | topk: 110 | shrink:  40 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:    89/1980 | topk: 110 | shrink:  45 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:    90/1980 | topk: 110 | shrink:  50 | sim type: 'splus' | MAP: 0.0487 |
|ItemKNNCF| iter:    91/1980 | topk: 110 | shrink:  55 | sim type: 'splus' | MAP: 0.0488 |
|ItemKNNCF| iter:    92/1980 | topk: 110 | shrink:  60 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:    93/1980 | topk: 110 | shrink:  65 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:    94/1980 | topk: 110 | shrink:  70 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:    95/1980 | topk: 110 | shrink:  75 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:    96/1980 | topk: 110 | shrink:  80 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:    97/1980 | topk: 110 | shrink:  85 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:    98/1980 | topk: 110 | shrink:  90 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:    99/1980 | topk: 110 | shrink:  95 | sim type: 'splus' | MAP: 0.0480 |
|ItemKNNCF| iter:   100/1980 | topk: 120 | shrink:   0 | sim type: 'splus' | MAP: 0.0214 |
|ItemKNNCF| iter:   101/1980 | topk: 120 | shrink:   5 | sim type: 'splus' | MAP: 0.0379 |
|ItemKNNCF| iter:   102/1980 | topk: 120 | shrink:  10 | sim type: 'splus' | MAP: 0.0425 |
|ItemKNNCF| iter:   103/1980 | topk: 120 | shrink:  15 | sim type: 'splus' | MAP: 0.0461 |
|ItemKNNCF| iter:   104/1980 | topk: 120 | shrink:  20 | sim type: 'splus' | MAP: 0.0476 |
|ItemKNNCF| iter:   105/1980 | topk: 120 | shrink:  25 | sim type: 'splus' | MAP: 0.0474 |
|ItemKNNCF| iter:   106/1980 | topk: 120 | shrink:  30 | sim type: 'splus' | MAP: 0.0477 |
|ItemKNNCF| iter:   107/1980 | topk: 120 | shrink:  35 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:   108/1980 | topk: 120 | shrink:  40 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:   109/1980 | topk: 120 | shrink:  45 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:   110/1980 | topk: 120 | shrink:  50 | sim type: 'splus' | MAP: 0.0490 |
|ItemKNNCF| iter:   111/1980 | topk: 120 | shrink:  55 | sim type: 'splus' | MAP: 0.0491 |
|ItemKNNCF| iter:   112/1980 | topk: 120 | shrink:  60 | sim type: 'splus' | MAP: 0.0490 |
|ItemKNNCF| iter:   113/1980 | topk: 120 | shrink:  65 | sim type: 'splus' | MAP: 0.0489 |
|ItemKNNCF| iter:   114/1980 | topk: 120 | shrink:  70 | sim type: 'splus' | MAP: 0.0487 |
|ItemKNNCF| iter:   115/1980 | topk: 120 | shrink:  75 | sim type: 'splus' | MAP: 0.0487 |
|ItemKNNCF| iter:   116/1980 | topk: 120 | shrink:  80 | sim type: 'splus' | MAP: 0.0488 |
|ItemKNNCF| iter:   117/1980 | topk: 120 | shrink:  85 | sim type: 'splus' | MAP: 0.0486 |
|ItemKNNCF| iter:   118/1980 | topk: 120 | shrink:  90 | sim type: 'splus' | MAP: 0.0486 |
|ItemKNNCF| iter:   119/1980 | topk: 120 | shrink:  95 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:   120/1980 | topk: 130 | shrink:   0 | sim type: 'splus' | MAP: 0.0211 |
|ItemKNNCF| iter:   121/1980 | topk: 130 | shrink:   5 | sim type: 'splus' | MAP: 0.0377 |
|ItemKNNCF| iter:   122/1980 | topk: 130 | shrink:  10 | sim type: 'splus' | MAP: 0.0427 |
|ItemKNNCF| iter:   123/1980 | topk: 130 | shrink:  15 | sim type: 'splus' | MAP: 0.0459 |
|ItemKNNCF| iter:   124/1980 | topk: 130 | shrink:  20 | sim type: 'splus' | MAP: 0.0474 |
|ItemKNNCF| iter:   125/1980 | topk: 130 | shrink:  25 | sim type: 'splus' | MAP: 0.0473 |
|ItemKNNCF| iter:   126/1980 | topk: 130 | shrink:  30 | sim type: 'splus' | MAP: 0.0478 |
|ItemKNNCF| iter:   127/1980 | topk: 130 | shrink:  35 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:   128/1980 | topk: 130 | shrink:  40 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:   129/1980 | topk: 130 | shrink:  45 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:   130/1980 | topk: 130 | shrink:  50 | sim type: 'splus' | MAP: 0.0489 |
|ItemKNNCF| iter:   131/1980 | topk: 130 | shrink:  55 | sim type: 'splus' | MAP: 0.0487 |
|ItemKNNCF| iter:   132/1980 | topk: 130 | shrink:  60 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:   133/1980 | topk: 130 | shrink:  65 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:   134/1980 | topk: 130 | shrink:  70 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:   135/1980 | topk: 130 | shrink:  75 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:   136/1980 | topk: 130 | shrink:  80 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:   137/1980 | topk: 130 | shrink:  85 | sim type: 'splus' | MAP: 0.0484 |
|ItemKNNCF| iter:   138/1980 | topk: 130 | shrink:  90 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:   139/1980 | topk: 130 | shrink:  95 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:   140/1980 | topk: 140 | shrink:   0 | sim type: 'splus' | MAP: 0.0216 |
|ItemKNNCF| iter:   141/1980 | topk: 140 | shrink:   5 | sim type: 'splus' | MAP: 0.0378 |
|ItemKNNCF| iter:   142/1980 | topk: 140 | shrink:  10 | sim type: 'splus' | MAP: 0.0427 |
|ItemKNNCF| iter:   143/1980 | topk: 140 | shrink:  15 | sim type: 'splus' | MAP: 0.0461 |
|ItemKNNCF| iter:   144/1980 | topk: 140 | shrink:  20 | sim type: 'splus' | MAP: 0.0471 |
|ItemKNNCF| iter:   145/1980 | topk: 140 | shrink:  25 | sim type: 'splus' | MAP: 0.0472 |
|ItemKNNCF| iter:   146/1980 | topk: 140 | shrink:  30 | sim type: 'splus' | MAP: 0.0479 |
|ItemKNNCF| iter:   147/1980 | topk: 140 | shrink:  35 | sim type: 'splus' | MAP: 0.0481 |
|ItemKNNCF| iter:   148/1980 | topk: 140 | shrink:  40 | sim type: 'splus' | MAP: 0.0480 |
|ItemKNNCF| iter:   149/1980 | topk: 140 | shrink:  45 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:   150/1980 | topk: 140 | shrink:  50 | sim type: 'splus' | MAP: 0.0487 |
|ItemKNNCF| iter:   151/1980 | topk: 140 | shrink:  55 | sim type: 'splus' | MAP: 0.0486 |
|ItemKNNCF| iter:   152/1980 | topk: 140 | shrink:  60 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:   153/1980 | topk: 140 | shrink:  65 | sim type: 'splus' | MAP: 0.0485 |
|ItemKNNCF| iter:   154/1980 | topk: 140 | shrink:  70 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:   155/1980 | topk: 140 | shrink:  75 | sim type: 'splus' | MAP: 0.0481 |
|ItemKNNCF| iter:   156/1980 | topk: 140 | shrink:  80 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:   157/1980 | topk: 140 | shrink:  85 | sim type: 'splus' | MAP: 0.0482 |
|ItemKNNCF| iter:   158/1980 | topk: 140 | shrink:  90 | sim type: 'splus' | MAP: 0.0483 |
|ItemKNNCF| iter:   159/1980 | topk: 140 | shrink:  95 | sim type: 'splus' | MAP: 0.0481 |
|ItemKNNCF| iter:   160/1980 | topk: 150 | shrink:   0 | sim type: 'splus' | MAP: 0.0218 |
|ItemKNNCF| iter:   161/1980 | topk: 150 | shrink:   5 | sim type: 'splus' | MAP: 0.0380 |
|ItemKNNCF| iter:   162/1980 | topk: 150 | shrink:  10 | sim type: 'splus' | MAP: 0.0427 |
|ItemKNNCF| iter:   163/1980 | topk: 150 | shrink:  15 | sim type: 'splus' | MAP: 0.0456 |
|ItemKNNCF| iter:   164/1980 | topk: 150 | shrink:  20 | sim type: 'splus' | MAP: 0.0471 |
|ItemKNNCF| iter:   165/1980 | topk: 150 | shrink:  25 | sim type: 'splus' | MAP: 0.0471 |
|ItemKNNCF| iter:   166/1980 | topk: 150 | shrink:  30 | sim type: 'splus' | MAP: 0.0478 |
